cyc,wiggle time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
32,30,20,32,9720.14,0,5,101,125,0,5,135,-10.1069,-5.33736,-20.9232,-9.19492,-11.4669,256.568,30.1147,19043.8,50.5926,16439.4,-11.0982,-6.32869,-22.9059,-10.1862,-12.4582,0.636283,15.1209,17919.3,35.5987,0.261429,0.000481958,0.998923,57.8393,1338.98,1501.59,0.461912,34808.4,1.16531e-06,1.2168,115.489,85.7193,42.0784,44.2865,0.950139,1621.07,1819.35,1.47372 
33,0.01,20,33,10442.2,0,5,101,125,0,5,135,-14.7661,-12.8324,-20.0809,-8.61971,-11.3521,274.124,17.7513,19673.3,61.1845,16439.4,-15.8253,-13.8916,-22.1992,-9.67887,-12.4112,0.700036,1.73154,18471.8,45.1647,0.0309595,5.35626e-05,0.998674,55.9292,1531.39,1770.9,745708,37694,1.19666e-06,1.37615,114.815,85.6658,40.8949,43.6904,0.936015,1531.17,1770.7,1.37598 
34,40,20,34,8956.89,0,5,101,125,0,5,135,-4.05809,-3.81971,-15.61,-5.36692,-12.2822,277.276,15.9856,18017.7,54.5044,16439.4,-5.12943,-4.89105,-17.7526,-6.43826,-13.3536,0.626771,-0.218337,16802.4,38.3004,-0.00477321,-7.42544e-06,0.998764,45.7422,1174.4,1310.87,0.350938,32081.4,1.13405e-06,1.09409,115.315,85.4903,42.2396,44.3622,0.952152,1633.52,1825.57,1.52275 
35,70,20,35,6761.69,0,5,101,125,0,5,135,-6.78189,-8.72377,-15.1706,-10.8183,-11.0065,288.005,21.9092,16698.1,62.8299,16439.4,-7.89469,-9.83656,-17.3961,-11.9311,-12.1193,0.706036,5.07815,15435.8,45.9989,0.0842471,0.000187957,0.998385,60.2768,1106.21,1210.45,0.30409,29919.9,1.10799e-06,1.04438,115.112,85.7734,43.0119,44.715,0.961912,1693.8,1854.72,1.59969 
36,50,20,36,8273.54,0,5,101,125,0,5,135,-7.00914,-9.63583,-30.9284,-11.9271,-10.0397,258.838,16.4958,17623.3,47.489,16439.4,-8.00924,-10.6359,-32.9286,-12.9272,-11.0398,0.564094,1.3693,16488.9,32.3625,0.0340586,4.74516e-05,0.998936,40.2044,1346.62,1411.94,0.425042,32696.3,1.14125e-06,1.20823,115.114,85.698,42.9649,43.7358,0.982373,1690.1,1774.38,1.51739 
37,60,20,37,8153.41,0,5,101,125,0,5,135,-10.1197,-11.3354,-24.5902,-4.61146,-11.2292,219.327,8.64173,17351.3,49.2007,16439.4,-10.9671,-12.1829,-26.285,-5.4589,-12.0767,0.607514,-4.17571,16390,36.3832,-0.105757,-0.000145605,0.998796,39.4842,1169.45,1282.39,0.345992,31078.3,1.12211e-06,1.09136,114.833,85.6823,42.249,44.0294,0.959564,1634.25,1798.28,1.52776 
38,20,20,38,10705.7,0,5,101,125,0,5,135,-7.49078,-9.44246,-15.4169,-8.52478,-15.3227,277.845,28.3284,19550.7,53.5377,16439.4,-8.56432,-10.516,-17.564,-9.59832,-16.3963,0.719599,12.0911,18332.9,37.3004,0.212678,0.000376731,0.998897,56.8516,1082.41,1171.97,0.306376,32948,1.14417e-06,0.984381,114.858,85.3997,42.3294,43.8107,0.966188,1640.47,1780.46,1.49369 
39,10,20,39,9907.29,0,5,101,125,0,5,135,-11.5652,-11.3335,-22.3354,-9.58187,-9.247,290.465,25.5607,19111.7,68.1912,16439.4,-12.6875,-12.4558,-24.58,-10.7042,-10.3693,0.652809,8.58592,17838.6,51.2164,0.122576,0.00027496,0.998444,70.0456,1229.96,1341.93,0.393795,34047.4,1.15676e-06,1.11063,115.868,85.792,41.8142,43.4433,0.9625,1600.78,1750.72,1.44721 
40,30,20,40,8371.55,0,5,101,125,0,5,135,-13.2768,-10.9355,-26.6899,-13.2801,-7.78428,238.178,21.7154,17930.3,41.063,16439.4,-14.1971,-11.8558,-28.5305,-14.2003,-8.70455,0.631809,7.79624,16886.3,27.1438,0.193125,0.000263753,0.999128,40.3688,1379.5,1488.69,0.467914,33818.7,1.15416e-06,1.24164,115.482,86.3374,42.6152,43.9827,0.968908,1662.7,1794.46,1.49661 
41,0.01,20,41,11452.7,0,5,101,125,0,5,135,-5.01341,-6.46648,-20.4257,-10.4489,-11.1241,262.161,26.1746,20360.9,50.1914,16439.4,-6.02634,-7.47942,-22.4516,-11.4618,-12.137,0.623019,10.8539,19211.9,34.8707,0.205961,0.000322728,0.999016,52.6988,1120.62,1265.84,0.346857,34655.7,1.16361e-06,1.02356,113.937,84.4209,41.2906,43.6507,0.945933,1560.95,1767.48,1.42746 
