cyc,freq,amplitude,time,waittime,T,TF,EF,ToTF,wx,wy,wz,q,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SN,tof,AR
0,5,0.7,0.01,10.99,3.95995e-07,7.28621e-07,1.00597e-29,0.543485,1062.49,2846.28,2770.88,-0.163743,-2.43236e-13,34529.3,45250.2,1.49875,22.7541,1.40621,21.3492,1.91824e-23,0.0066,1.41707 
1,5,0.7,0.01,10.99,3.73792e-07,7.70116e-07,1.06326e-29,0.485371,1062.49,2846.28,2770.88,0.138611,5.60858e-13,40770.9,55588.4,1.32681,21.2908,1.28537,20.6259,1.48602e-23,0.0066,1.45558 
2,5,0.7,0.01,10.99,4.07029e-07,7.17904e-07,9.91175e-30,0.566968,1062.49,2846.28,2770.88,-0.276617,2.55462e-13,33027.9,45798,1.5704,23.4911,1.45721,21.7981,2.08153e-23,0.0066,1.42696 
3,5,0.7,10,1,3.84892e-07,7.64306e-07,1.05524e-29,0.503583,1062.49,2846.28,2770.88,0.0399517,5.17626e-14,39855.1,52998,1.37986,21.9751,1.3224,21.0601,1.62622e-23,0.0066,1.44146 
4,5,0.7,10,1,3.90023e-07,7.89228e-07,1.08965e-29,0.494183,1062.49,2846.28,2770.88,0.0903795,1.77527e-13,43882.3,58810.5,1.35235,22.2393,1.30319,21.4309,1.55442e-23,0.0066,1.46552 
5,5,0.7,0.01,10.99,3.85109e-07,7.37464e-07,1.01818e-29,0.522207,1062.49,2846.28,2770.88,-0.0571088,3.76969e-13,35801.7,48907.8,1.43491,22.0491,1.36107,20.9146,1.76494e-23,0.0066,1.44585 
6,5,0.7,0.01,10.99,3.71272e-07,7.69173e-07,1.06196e-29,0.48269,1062.49,2846.28,2770.88,0.153477,-2.21475e-13,40621.2,53024.4,1.31908,21.1409,1.27999,20.5143,1.46499e-23,0.0066,1.42624 
7,5,0.7,0.01,10.99,3.8224e-07,7.72095e-07,1.06599e-29,0.495069,1062.49,2846.28,2770.88,0.0855858,5.13671e-13,41085.9,56910.3,1.35493,21.798,1.305,20.9946,1.56123e-23,0.0066,1.47346 
8,5,0.7,10,1,3.91917e-07,7.63972e-07,1.05478e-29,0.512999,1062.49,2846.28,2770.88,-0.0095769,2.87543e-13,39802.9,53560.4,1.40758,22.4067,1.34185,21.3604,1.69689e-23,0.0066,1.46809 
9,5,0.7,10,1,3.82777e-07,7.48936e-07,1.03402e-29,0.511093,1062.49,2846.28,2770.88,0.000366022,2.66002e-13,37498.7,50630.8,1.40195,21.8779,1.3379,20.8784,1.68268e-23,0.0066,1.44064 
10,5,0.7,10,1,3.97648e-07,7.52567e-07,1.03903e-29,0.528388,1062.49,2846.28,2770.88,-0.0885447,9.86778e-14,38046.8,51412.4,1.45335,22.79,1.37408,21.5469,1.81004e-23,0.0066,1.42766 
11,5,0.7,0.01,10.99,3.73657e-07,7.50952e-07,1.0368e-29,0.497578,1062.49,2846.28,2770.88,0.0720516,1.44375e-13,37802.3,50392.3,1.36225,21.3155,1.31011,20.4997,1.58047e-23,0.0066,1.4614 
12,5,0.7,0.01,10.99,3.91642e-07,7.5899e-07,1.0479e-29,0.516004,1062.49,2846.28,2770.88,-0.0251854,6.68074e-13,39029.2,54440.6,1.41648,22.4013,1.3481,21.32,1.71922e-23,0.0066,1.45799 
13,5,0.7,0.01,10.99,3.88586e-07,7.40411e-07,1.02225e-29,0.524824,1062.49,2846.28,2770.88,-0.0704665,3.89362e-13,36232.6,49529.2,1.4427,22.2575,1.36657,21.083,1.78409e-23,0.0066,1.46199 
14,5,0.7,10,1,3.94004e-07,7.65507e-07,1.0569e-29,0.514697,1062.49,2846.28,2770.88,-0.0184077,7.6494e-14,40043.2,53905.5,1.4126,22.5319,1.34538,21.4596,1.70952e-23,0.0066,1.42884 
15,5,0.7,10,1,3.91442e-07,7.33984e-07,1.01338e-29,0.533311,1062.49,2846.28,2770.88,-0.113298,4.30022e-13,35297.3,49447.2,1.4681,22.4528,1.3845,21.1742,1.84561e-23,0.0066,1.40152 
16,5,0.7,10,1,3.73934e-07,7.51687e-07,1.03782e-29,0.497459,1062.49,2846.28,2770.88,0.072693,-6.56657e-13,37913.5,47528.3,1.3619,21.331,1.30987,20.516,1.57956e-23,0.0066,1.4765 
17,5,0.7,10,1,3.88469e-07,7.62702e-07,1.05303e-29,0.509333,1062.49,2846.28,2770.88,0.00959509,4.69718e-13,39604.7,54335.2,1.39675,22.1974,1.33426,21.2042,1.6695e-23,0.0066,1.44998 
18,5,0.7,0.01,10.99,3.82892e-07,7.61526e-07,1.0514e-29,0.502796,1062.49,2846.28,2770.88,0.0441386,-4.64401e-14,39421.8,52662.9,1.37757,21.8588,1.32079,20.9578,1.62028e-23,0.0066,1.43382 
19,5,0.7,10,1,3.88635e-07,7.55441e-07,1.043e-29,0.514449,1062.49,2846.28,2770.88,-0.0171188,8.86063e-16,38484.3,51684.4,1.41187,22.224,1.34487,21.1693,1.70768e-23,0.0066,1.42933 
20,5,0.9,0.01,10.99,3.74654e-07,7.59764e-07,1.04897e-29,0.493119,1062.49,2846.28,2770.88,0.0961593,-2.71573e-13,39148.8,50697.4,1.34925,21.3599,1.30103,20.5966,1.54621e-23,0.0066,1.46133 
21,5,0.9,0.01,10.99,3.83389e-07,7.41609e-07,1.0239e-29,0.516969,1062.49,2846.28,2770.88,-0.030179,4.2883e-13,36408.8,50471,1.41934,21.9325,1.35012,20.8629,1.72637e-23,0.0066,1.44445 
22,5,0.9,10,1,4.0037e-07,7.63813e-07,1.05456e-29,0.524172,1062.49,2846.28,2770.88,-0.0671429,-2.09605e-13,39778,53010.9,1.44076,22.9302,1.3652,21.7275,1.77933e-23,0.0066,1.40553 
23,5,0.9,10,1,4.12995e-07,7.03797e-07,9.71697e-30,0.58681,1062.49,2846.28,2770.88,-0.368448,1.4255e-13,31118.9,43167.9,1.63171,23.9286,1.50125,22.0155,2.21496e-23,0.0066,1.37795 
24,5,0.9,0.01,10.99,3.82085e-07,7.66964e-07,1.05891e-29,0.498179,1062.49,2846.28,2770.88,0.0688112,6.15144e-13,40272.3,55610.8,1.36399,21.7979,1.31134,20.9564,1.58507e-23,0.0066,1.46965 
25,5,0.9,0.01,10.99,3.97697e-07,7.60515e-07,1.05001e-29,0.522931,1062.49,2846.28,2770.88,-0.0608089,5.23075e-13,39264.9,54436.1,1.43706,22.7725,1.36259,21.5924,1.77025e-23,0.0066,1.46653 
26,5,0.9,10,1,3.90776e-07,7.49909e-07,1.03536e-29,0.521099,1062.49,2846.28,2770.88,-0.0514341,3.8109e-13,37645,51759.8,1.43161,22.3697,1.35875,21.2312,1.75681e-23,0.0066,1.42154 
27,5,0.9,0.01,10.99,3.86714e-07,7.36814e-07,1.01728e-29,0.524846,1062.49,2846.28,2770.88,-0.0705757,2.4498e-13,35707.1,48816,1.44277,22.1504,1.36661,20.9812,1.78425e-23,0.0066,1.41976 
28,5,0.9,0.01,10.99,3.78609e-07,7.41072e-07,1.02316e-29,0.510894,1062.49,2846.28,2770.88,0.00141522,3.02244e-13,36329.7,48943,1.40136,21.639,1.33749,20.6527,1.68118e-23,0.0066,1.49207 
29,5,0.9,10,1,3.82441e-07,7.59405e-07,1.04847e-29,0.503607,1062.49,2846.28,2770.88,0.0398267,3.69334e-13,39093.3,53589.1,1.37993,21.8353,1.32245,20.9258,1.6264e-23,0.0066,1.44665 
30,5,0.9,10,1,3.9729e-07,7.23868e-07,9.99408e-30,0.548843,1062.49,2846.28,2770.88,-0.189922,1.2681e-13,33857.8,45993.8,1.51499,22.8506,1.41774,21.3838,1.95602e-23,0.0066,1.45599 
31,5,0.9,10,1,3.91436e-07,7.36581e-07,1.01696e-29,0.531422,1062.49,2846.28,2770.88,-0.103825,1.54782e-13,35673.3,48884.3,1.46244,22.4453,1.3805,21.1877,1.83199e-23,0.0066,1.39121 
32,5,0.9,0.01,10.99,3.89559e-07,7.13202e-07,9.84683e-30,0.546212,1062.49,2846.28,2770.88,-0.177096,1.10199e-13,32383.2,43983.5,1.50701,22.3953,1.41207,20.9844,1.93751e-23,0.0066,1.39569 
33,5,0.9,0.01,10.99,3.99493e-07,6.97159e-07,9.62533e-30,0.573031,1062.49,2846.28,2770.88,-0.305008,-2.80422e-14,30246.7,40755.3,1.58902,23.0828,1.47058,21.3623,2.12269e-23,0.0066,1.4169 
34,5,0.9,0.01,10.99,3.95503e-07,7.75302e-07,1.07042e-29,0.510128,1062.49,2846.28,2770.88,0.0054236,3.27687e-13,41600.1,56448.1,1.3991,22.602,1.3359,21.5811,1.67546e-23,0.0066,1.45134 
35,5,0.9,10,1,3.85876e-07,7.57646e-07,1.04604e-29,0.50931,1062.49,2846.28,2770.88,0.00971494,-9.14289e-15,38822.2,51645.8,1.39668,22.0491,1.33421,21.0629,1.66933e-23,0.0066,1.46634 
36,5,0.9,10,1,4.01205e-07,7.20631e-07,9.9494e-30,0.556741,1062.49,2846.28,2770.88,-0.228043,-2.65365e-13,33405.7,44143.7,1.53904,23.1095,1.43485,21.5451,2.01113e-23,0.0066,1.39646 
37,5,0.9,10,1,3.93696e-07,7.08863e-07,9.78691e-30,0.555392,1062.49,2846.28,2770.88,-0.22157,-1.99966e-13,31795.7,42388.5,1.53492,22.6713,1.43192,21.1499,2.00176e-23,0.0066,1.39203 
38,5,0.9,10,1,3.95432e-07,6.99349e-07,9.65557e-30,0.565428,1062.49,2846.28,2770.88,-0.269359,-3.57614e-14,30532.6,41495.3,1.56564,22.8146,1.45383,21.1854,2.07098e-23,0.0066,1.39278 
39,5,0.9,0.01,10.99,3.9186e-07,7.12082e-07,9.83137e-30,0.550302,1062.49,2846.28,2770.88,-0.197003,-2.10438e-13,32230.9,43135.3,1.51942,22.5443,1.42089,21.0823,1.96625e-23,0.0066,1.39211 
40,5,1.1,0.01,10.99,3.99431e-07,6.83398e-07,9.43534e-30,0.584478,1062.49,2846.28,2770.88,-0.357808,-1.69544e-13,28490.7,37874.1,1.62446,23.1319,1.49603,21.3031,2.19948e-23,0.0066,1.39754 
41,5,1.1,0.01,10.99,3.77122e-07,7.57852e-07,1.04633e-29,0.497619,1062.49,2846.28,2770.88,0.0718169,1.98618e-13,38854,52743.4,1.36235,21.513,1.31019,20.6894,1.58078e-23,0.0066,1.43265 
42,5,1.1,7,4,3.83048e-07,7.37236e-07,1.01787e-29,0.519573,1062.49,2846.28,2770.88,-0.0436041,3.76732e-13,35768.6,48975.6,1.42707,21.922,1.35555,20.8234,1.74559e-23,0.0066,1.42895 
43,5,1.1,0.01,10.99,3.767e-07,7.61386e-07,1.05121e-29,0.494755,1062.49,2846.28,2770.88,0.0872875,-4.16449e-14,39400,51835.8,1.35402,21.4811,1.30436,20.6933,1.55881e-23,0.0066,1.44492 
44,5,1.1,0.01,10.99,3.96487e-07,7.19168e-07,9.9292e-30,0.551313,1062.49,2846.28,2770.88,-0.201905,2.13585e-13,33202.7,45906.9,1.5225,22.8147,1.42308,21.3249,1.97333e-23,0.0066,1.40359 
45,5,1.1,7,4,4.11689e-07,7.11327e-07,9.82095e-30,0.578762,1062.49,2846.28,2770.88,-0.331566,-6.09002e-14,32128.5,43556.2,1.60675,23.8147,1.48329,21.9848,2.1613e-23,0.0066,1.39053 
46,5,1.1,0.01,10.99,3.70028e-07,7.77806e-07,1.07388e-29,0.475733,1062.49,2846.28,2770.88,0.192477,3.76206e-13,42004.5,57163.5,1.29913,21.0548,1.26609,20.5193,1.40993e-23,0.0066,1.43644 
47,5,1.1,0.01,10.99,3.79445e-07,7.50925e-07,1.03676e-29,0.505303,1062.49,2846.28,2770.88,0.0308295,-1.94891e-13,37798.2,49435.8,1.38489,21.669,1.32594,20.7467,1.63919e-23,0.0066,1.43118 
48,5,1.1,7,4,3.93036e-07,7.68446e-07,1.06096e-29,0.511468,1062.49,2846.28,2770.88,-0.00159018,-5.12325e-13,40506.3,51749.6,1.40305,22.4655,1.33868,21.4347,1.68548e-23,0.0066,1.41545 
49,5,1.1,7,4,3.99991e-07,7.17379e-07,9.9045e-30,0.557572,1062.49,2846.28,2770.88,-0.232024,3.51635e-13,32955.5,45847,1.54158,23.0432,1.43666,21.4749,2.01689e-23,0.0066,1.41089 
50,5,1.1,7,4,3.91232e-07,7.15486e-07,9.87836e-30,0.546806,1062.49,2846.28,2770.88,-0.179997,3.86549e-14,32695.3,43923.9,1.50881,22.4939,1.41335,21.0707,1.94169e-23,0.0066,1.42352 
51,5,1.1,0.01,10.99,3.86752e-07,7.79974e-07,1.07687e-29,0.495852,1062.49,2846.28,2770.88,0.0813526,4.82966e-14,42356.7,56144.2,1.35721,22.0574,1.30659,21.2347,1.56724e-23,0.0066,1.45765 
52,5,1.1,0.01,10.99,3.81957e-07,7.66848e-07,1.05875e-29,0.498087,1062.49,2846.28,2770.88,0.0693037,4.00828e-13,40254.1,55092.7,1.36372,21.7903,1.31115,20.9502,1.58436e-23,0.0066,1.44113 
