cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,meanEk,meanEk_kHz,meanEtof,meanEtof_kHz,meanEtot,meanEtot_kHz
61,7,61,29681,0,5,101,125,0,5,135,-2.32991,-2.32191,-1.30412,-0.227847,-2.88434,-251.022,15.5983,31148.7,40.4391,16439.4,-1.36001,-1.35201,0.635679,0.74205,-1.91444,1.19567,30.268,32249,55.1088,0.313988,0.00053604,0.999073,96.3985,7.8428e-30,11.8363,1.2451e-29,18.7909,2.4902e-29,37.5818 
62,5,62,32121,0,5,101,125,0,5,135,-5.33311,-2.15598,-4.18265,-2.16855,-2.53295,-254.554,22.6352,33799.7,15.2873,16439.4,-4.34956,-1.17244,-2.21556,-1.185,-1.5494,0.788429,37.5113,34915.4,30.1635,0.508922,0.000613536,0.999531,73.7075,7.51382e-30,11.3398,1.20247e-29,18.1475,2.40493e-29,36.295 
63,4,63,31563.7,0,5,101,125,0,5,135,-1.1188,-3.8876,0.866639,-4.8157,-1.64372,-275.483,15.3594,33309.3,19.633,16439.4,-0.0543825,-2.82319,2.99547,-3.75129,-0.579308,1.71106,31.4587,34516.8,35.7323,0.423188,0.00052053,0.999438,74.3374,7.09365e-30,10.7057,1.14678e-29,17.307,2.29355e-29,34.6141 
64,3,64,32225,0,5,101,125,0,5,135,-3.07566,-5.65296,-3.79334,-1.94974,-3.68756,-228.449,8.81946,33988.8,28.2308,16439.4,-2.19298,-4.77028,-2.02798,-1.06705,-2.80487,0.842342,22.1701,34990.1,41.5814,0.307628,0.000361931,0.999355,72.0677,7.40882e-30,11.1813,1.19088e-29,17.9727,2.38177e-29,35.9454 
65,1,65,34725.1,0,5,101,125,0,5,135,-1.09459,-7.08658,-5.27884,3.02643,-1.60654,-234.775,19.3716,36311,40.5996,16439.4,-0.187466,-6.17946,-3.4646,3.93356,-0.699413,0.474853,33.0918,37340,54.3198,0.336725,0.00050616,0.999211,98.2756,7.29471e-30,11.0091,1.178e-29,17.7783,2.35601e-29,35.5566 
66,0.1,66,32701.1,0,5,101,125,0,5,135,-1.60203,-6.48788,-4.97907,0.0708113,-1.17308,-266.257,19.3685,34316.4,20.4148,16439.4,-0.573267,-5.45911,-2.92154,1.09958,-0.144319,0.634746,34.9285,35483.4,35.9748,0.447238,0.000562176,0.99945,78.0983,6.58803e-30,9.94259,1.05561e-29,15.9311,2.11121e-29,31.8622 
67,6,67,30968.4,0,5,101,125,0,5,135,3.01541,-3.64564,-1.38675,-1.99226,-2.05351,-291.315,18.906,32261.8,5.90031,16439.4,4.141,-2.52005,0.864413,-0.866683,-0.92793,-0.251428,35.9304,33538.6,22.9247,0.566368,0.000611806,0.999629,63.4401,7.8204e-30,11.8025,1.24092e-29,18.7279,2.48185e-29,37.4558 
68,8,68,30765.3,0,5,101,125,0,5,135,-4.08332,-0.40286,2.56813,1.51149,-2.34747,-203.854,27.3068,32041.2,22.2484,16439.4,-3.29566,0.384791,4.14343,2.29914,-1.55982,-1.10126,39.2201,32934.7,34.1616,0.488943,0.000680018,0.999437,80.214,7.87922e-30,11.8912,1.25972e-29,19.0116,2.51945e-29,38.0233 
69,9,69,28425.7,0,5,101,125,0,5,135,-1.63764,-1.84518,-6.98989,-1.72151,-2.88443,-262.97,26.4491,30114.3,24.0457,16439.4,-0.621582,-0.829117,-4.95776,-0.705451,-1.86837,0.448051,41.8171,31266.9,39.4137,0.469257,0.000763658,0.999316,89.1135,7.91785e-30,11.9495,1.26129e-29,19.0353,2.52258e-29,38.0706 
70,10,70,28321.8,0,5,101,125,0,5,135,0.425895,-0.7159,-3.44796,-4.75741,-1.16096,-302.172,12.8725,29579.6,18.5674,16439.4,1.59343,0.451631,-1.1129,-3.58988,0.00657119,0.580221,30.5314,30904,36.2263,0.41257,0.00056422,0.999364,74.0029,8.10202e-30,12.2275,1.28664e-29,19.4178,2.57328e-29,38.8357 
