cyc,amplitude,wiggle time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,meanEk,meanEk_kHz,meanEtof,meanEtof_kHz,meanEtot,meanEtot_kHz
72,1.7,4.5,72,9418.96,0,5,101,125,0,5,135,-1.43324,-1.84059,-6.43696,-0.848948,-3.047,-159.714,30.7734,11927.6,-42.164,16439.4,-0.816137,-1.22349,-5.20275,-0.231845,-2.4299,0.474688,40.1071,12627.6,-32.8303,56.4376,0.00181165,1.00141,0.710644,5.46677e-30,8.2504,8.95681e-30,13.5175,1.79136e-29,27.0351 
73,0.05,4.5,73,14552.8,0,5,101,125,0,5,135,1.88367,-0.505244,-3.57963,-1.37763,1.52889,-140.523,42.5257,17164.3,-31.7643,16439.4,2.42662,0.0377086,-2.49373,-0.834674,2.07185,3.06473,50.7379,17780.2,-23.5522,2.2575,0.00162798,1.00072,22.4753,5.00936e-30,7.56008,8.24792e-30,12.4477,1.64958e-29,24.8954 
74,0.95,4.5,74,13326.7,0,5,101,125,0,5,135,-1.47252,0.229875,-2.89425,1.51265,-2.76614,-73.093,24.6931,15826,-34.3938,16439.4,-1.1901,0.512292,-2.32942,1.79507,-2.48373,0.369726,28.9646,16146.3,-30.1223,-4.03288,0.00102403,1.00101,-7.18212,5.17257e-30,7.80639,8.33185e-30,12.5743,1.66637e-29,25.1487 
75,1.4,4.5,75,12864.1,0,5,101,125,0,5,135,1.59528,-2.79859,-1.02997,-3.08694,-1.17516,-76.5468,33.7634,15492.7,-41.4132,16439.4,1.89104,-2.50283,-0.438451,-2.79118,-0.879402,0.907124,38.2368,15828.2,-36.9398,-6.27768,0.00137852,1.00127,-6.09092,5.28002e-30,7.96855,8.68569e-30,13.1084,1.73714e-29,26.2167 
76,0.5,4.5,76,11733.7,0,5,101,125,0,5,135,-1.37397,-0.0885215,-0.0129386,0.0645331,-0.631499,-34.5647,25.1817,13961.7,-33.7415,16439.4,-1.24042,0.0450298,0.254164,0.198084,-0.497948,1.20479,27.2016,14113.2,-31.7215,-2.50379,0.00110015,1.00122,-10.8642,5.10167e-30,7.6994,8.31342e-30,12.5465,1.66268e-29,25.0931 
77,0.35,4.5,77,13915.9,0,5,101,125,0,5,135,1.66276,0.122481,-4.84772,-1.82879,0.0781443,-86.9101,33.9655,16333.7,-27.9512,16439.4,1.99856,0.458284,-4.17612,-1.49298,0.413948,-0.492373,39.0445,16714.7,-22.8722,3.36651,0.00133305,1.00074,11.5979,4.76231e-30,7.18724,7.79391e-30,11.7625,1.55878e-29,23.525 
78,0.8,4.5,78,13601.9,0,5,101,125,0,5,135,-2.38515,-0.190275,-6.00058,-1.64558,-1.14796,-136.067,27.9849,16154.8,-26.6692,16439.4,-1.85941,0.335459,-4.94911,-1.11985,-0.622228,0.397563,35.9366,16751.1,-18.7175,2.66678,0.0012244,1.00061,13.4757,4.79272e-30,7.23313,7.88992e-30,11.9074,1.57798e-29,23.8148 
79,0.65,4.5,79,14580.8,0,5,101,125,0,5,135,-0.396434,-1.57212,-3.71839,0.825911,-0.729799,-57.2778,22.358,17047.9,-35.4638,16439.4,-0.175124,-1.35081,-3.27577,1.04722,-0.50849,0.231577,25.7053,17299,-32.1165,-2.00284,0.00084839,1.00101,-12.8344,4.78551e-30,7.22224,7.83542e-30,11.8251,1.56708e-29,23.6503 
80,0.2,4.5,80,14250.7,0,5,101,125,0,5,135,0.444999,-1.77397,-2.00986,-2.79398,1.13187,-15.7379,31.1818,16603.4,-15.5094,16439.4,0.505807,-1.71316,-1.88825,-2.73317,1.19268,0.592707,32.1015,16672.3,-14.5897,2.19966,0.00109904,1.00048,14.5939,5.28699e-30,7.97908,8.48249e-30,12.8017,1.6965e-29,25.6034 
81,1.55,4.5,81,14686.8,0,5,101,125,0,5,135,-1.25663,0.691146,-5.84315,-2.31223,1.80902,-178.599,48.7543,17366.3,-43.793,16439.4,-0.566561,1.38122,-4.463,-1.62216,2.49909,-0.61037,59.1917,18149.1,-33.3557,3.08855,0.0018602,1.001,19.1649,4.96292e-30,7.48998,8.25134e-30,12.4528,1.65027e-29,24.9057 
