cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,35,0,20414,0,5,101,125,0,5,135,-3.77311,-2.17274,-10.8393,-5.19108,-5.91341,-89.831,15.6372,27514.1,-14.784,16439.4,-3.42602,-1.82565,-10.1451,-4.84399,-5.56632,0.606886,20.8869,27907.9,-9.53432,2.21126,0.000427488,1.00019,9.44572,623.118,703.762,0.715484,36946.3,8.84719e-07,0.748501,109.847,84.7195,26.8542,28.2654,0.950072,655.526,739.815,0.787138 
1,40,1,19863.6,0,5,101,125,0,5,135,-8.06127,-9.41285,-12.6825,-8.86296,-3.24757,-103.775,4.9222,26528.9,6.3959,16439.4,-7.66031,-9.01188,-11.8806,-8.46199,-2.84661,0.701952,10.9868,26983.7,12.4605,0.423556,0.000232611,0.999749,25.9395,636.051,732.556,1.21525,35778,8.75294e-07,0.779853,109.698,84.2418,26.6012,28.2813,0.940591,643.231,740.649,0.788562 
2,45,2,20804.5,0,5,101,125,0,5,135,-4.6585,-5.5661,-14.267,-6.8181,-7.45501,-121.483,22.4584,27532.9,0.0926305,16439.4,-4.18911,-5.09671,-13.3282,-6.34872,-6.98562,0.62924,29.5579,28065.3,7.19212,0.774001,0.000601457,0.999861,38.1885,667.206,777.803,1.52441,37353,8.87954e-07,0.811287,109.557,83.8714,27.1717,29.0648,0.934869,671.12,782.25,0.815986 
3,10,3,21463.2,0,5,101,125,0,5,135,-3.76559,-4.42045,-10.6634,-7.3839,-5.84584,-168.228,-1.16578,28671,-12.7731,16439.4,-3.11559,-3.77045,-9.36336,-6.7339,-5.19584,0.66772,8.66547,29408.3,-2.94189,1.68747,0.000168349,1.00005,5.13519,468.953,536.68,0.559099,36950.3,8.84751e-07,0.567024,109.643,85.6777,23.8101,25.2175,0.944191,515.334,588.865,0.622631 
4,50,4,18843.5,0,5,101,125,0,5,135,-5.97616,-7.89017,-14.6015,-8.99636,-5.73084,-99.0921,9.09428,25938.4,2.78509,16439.4,-5.59329,-7.50729,-13.8358,-8.61349,-5.34797,0.661699,14.8852,26372.8,8.57603,0.591236,0.00032242,0.999824,25.1765,616.866,696.787,0.541923,34741.4,8.66757e-07,0.756394,109.695,83.5143,27.4679,28.8881,0.950839,685.832,772.771,0.839918 
5,90,5,20910.6,0,5,101,125,0,5,135,-8.99846,-3.64368,-6.99593,-8.44577,-5.59422,-157.675,23.3638,27840.7,15.339,16439.4,-8.38923,-3.03445,-5.77748,-7.83655,-4.98499,0.807563,32.5783,28531.7,24.5536,0.525096,0.000652047,0.999533,62.0426,704.805,814.43,1.12787,38153.5,8.94252e-07,0.84723,109.81,83.8231,28.0453,29.8668,0.939014,714.967,826.017,0.859365 
6,40,6,19818.7,0,5,101,125,0,5,135,-6.64421,-5.28225,-9.77596,-9.22115,-3.03237,-138.266,11.0722,26521.2,6.01625,16439.4,-6.10998,-4.74802,-8.7075,-8.68692,-2.49814,0.716835,19.1525,27127.2,14.0965,0.531006,0.00040328,0.999718,36.0683,645.383,784.366,544.995,36503.1,8.81168e-07,0.807439,109.911,84.242,26.7156,28.0989,0.950768,648.775,731.126,0.7816 
7,100,7,19456.8,0,5,101,125,0,5,135,-5.13248,-7.60098,-8.23323,-3.45697,-8.87543,-153.206,15.504,26417.7,-5.72293,16439.4,-4.54052,-7.00902,-7.04932,-2.86501,-8.28347,0.763027,24.4574,27089.2,3.23042,0.863185,0.000515645,0.999935,28.3339,722.108,982.794,206.214,38526.7,8.97158e-07,0.938995,110.042,84.1224,27.9628,29.6463,0.943213,710.764,813.865,0.847754 
8,30,8,20732.8,0,5,101,125,0,5,135,-7.59588,-3.17608,-9.13385,-5.18337,-7.52686,-163.298,1.04638,27721.9,-7.56254,16439.4,-6.96493,-2.54513,-7.87195,-4.55242,-6.89591,0.726956,10.5895,28437.6,1.98058,0.816701,0.000212741,0.999962,12.9662,604.929,702.478,531.728,36445.4,8.80703e-07,0.740183,109.674,84.6511,26.1129,27.8321,0.938231,619.836,717.305,0.757113 
9,60,9,18948.2,0,5,101,125,0,5,135,-6.37343,-5.21633,-12.4225,-7.07304,-9.98862,-130.705,31.2863,25982.1,9.55809,16439.4,-5.86841,-4.71131,-11.4125,-6.56802,-9.4836,0.700017,38.9248,26555,17.1965,0.653532,0.000836908,0.999649,59.5606,675.537,787.084,1.85119,35028.9,8.69142e-07,0.838966,110.159,83.7285,27.306,29.2015,0.935091,677.77,789.626,0.841707 
