cyc,wiggle time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,180,5,0,2327.88,0,5,101,125,0,5,135,-14.374,-16.9856,-30.717,-16.6281,-17.0292,463.762,-69.2285,20164.2,-50.7267,16439.4,-16.1659,-18.7775,-34.3008,-18.42,-18.8211,0.677883,-96.3307,18131.5,-77.829,0.507737,-0.00304518,1.00234,-189.725,488.639,549.125,0.527617,29407.1,8.19909e-07,0.631777,109.962,87.9322,24.379,25.6918,0.948901,544.147,612.297,0.704002 
2,20,5,2,3968.4,0,5,101,125,0,5,135,-9.45765,-13.2112,-32.0026,-12.9809,-16.9556,413.386,-78.2884,20783.1,-58.7012,16439.4,-11.0549,-14.8084,-35.1971,-14.5781,-18.5528,0.626323,-102.447,18971.2,-82.8595,0.507468,-0.00309533,1.00238,-201.878,354.502,424.34,0.280467,29187,8.17859e-07,0.474229,109.999,87.2984,23.9888,26.007,0.922399,526.868,627.41,0.702989 
3,0.01,5,3,4331.43,0,5,101,125,0,5,135,-10.9977,-8.33823,-27.1746,-11.0778,-18.2755,397.818,-72.2167,21554,-52.5214,16439.4,-12.5347,-9.87532,-30.2488,-12.6149,-19.8126,0.644493,-95.4651,19810.3,-75.7699,0.512182,-0.00276129,1.00208,-186.389,420.731,467.355,0.34627,30970.3,8.34187e-07,0.531572,110.653,87.7743,24.5668,25.6886,0.956331,552.563,612.143,0.697195 
4,140,5,4,2542.34,0,5,101,125,0,5,135,-8.32942,-8.67514,-23.6807,-10.7865,-19.8291,394.544,-53.3767,19602.4,-63.8197,16439.4,-9.85386,-10.1996,-26.7296,-12.3109,-21.3536,0.667739,-76.4338,17873.1,-86.8768,0.42302,-0.00244968,1.00265,-180.686,413.386,495.113,0.475564,28320.9,8.09687e-07,0.558744,110.103,87.3082,22.7587,24.7599,0.919175,474.219,568.682,0.641368 
5,100,5,5,5056.63,0,5,101,125,0,5,135,-13.3216,-12.5047,-24.6317,-9.92056,-14.7227,374.466,-83.9523,22477.3,-68.0833,16439.4,-14.7685,-13.9516,-27.5254,-11.3674,-16.1695,0.671466,-105.836,20836,-89.9671,0.495032,-0.002911,1.00235,-213.797,366.526,429.308,0.350381,31573.9,8.39572e-07,0.472475,109.441,87.2338,22.8154,24.5513,0.929293,476.585,559.142,0.614856 
6,160,5,6,3467.95,0,5,101,125,0,5,135,-10.2786,-12.9742,-22.2054,-17.5895,-9.52028,462.279,-91.4984,22254.1,-73.4915,16439.4,-12.0648,-14.7603,-25.7777,-19.3756,-11.3064,0.690488,-118.514,20227.9,-100.507,0.49562,-0.0033592,1.0027,-239.122,466.857,538.682,0.509731,32280.6,8.4579e-07,0.592919,110.415,87.2665,23.9331,25.5674,0.93608,524.424,606.379,0.666732 
7,200,5,7,4753.91,0,5,101,125,0,5,135,-12.2917,-8.77743,-21.3781,-8.0976,-7.95213,451.009,-77.5868,22499.2,-67.4564,16439.4,-14.0343,-10.52,-24.8633,-9.84021,-9.69474,0.639415,-103.944,20522.4,-93.8134,0.480066,-0.00290263,1.00249,-216.52,369.772,427.228,0.338642,31696.6,8.40658e-07,0.4728,110.098,87.2857,23.114,24.7104,0.935395,489.14,566.409,0.626126 
8,60,5,8,4149.9,0,5,101,125,0,5,135,-9.26099,-9.0769,-21.3472,-10.4457,-17.7452,436.425,-68.197,22525.8,-67.5585,16439.4,-10.9472,-10.7632,-24.7197,-12.132,-19.4314,0.683055,-93.7016,20613,-93.0631,0.456241,-0.00260434,1.00246,-205.377,407.48,474.336,0.398981,32501.3,8.47713e-07,0.518618,110.512,87.3057,23.3365,25.0394,0.93199,498.603,581.594,0.635241 
9,120,5,9,3819.97,0,5,101,125,0,5,135,-13.2847,-15.1376,-27.3125,-10.4697,-17.4003,359.516,-93.9823,21262,-66.13,16439.4,-14.6738,-16.5267,-30.0907,-11.8588,-18.7894,0.672712,-114.992,19686.2,-87.1401,0.523739,-0.00334904,1.00241,-219.561,429.408,500.255,0.451624,30481.8,8.29778e-07,0.558559,110.49,87.7545,23.3939,25.1163,0.931421,501.059,585.173,0.652566 
10,80,5,10,7143.42,0,5,101,125,0,5,135,-13.2203,-16.2416,-21.4657,-9.39687,-13.6228,353.016,-79.3864,24480.1,-73.8317,16439.4,-14.5842,-17.6055,-24.1937,-10.7608,-14.9868,0.705426,-100.017,22932.8,-94.4619,0.468745,-0.00249839,1.00224,-213.371,431.396,512.348,0.478372,34496.8,8.64719e-07,0.543683,109.664,87.2967,23.2334,25.1587,0.923474,494.21,587.149,0.622953 
