cyc,amplitude,time,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,tof,AR
63,1.4,2.5,3.83007e-07,7.4084e-07,1.02284e-29,0.51699,-0.0302874,2.57591e-13,36295.7,49584.8,1.4194,0.0066,1.4042 
64,0.5,2.5,3.75352e-07,7.64515e-07,1.05553e-29,0.490967,0.10787,2.11703e-13,39887.8,53045.7,1.343,0.0066,1.45638 
65,0.35,2.5,3.63244e-07,7.99033e-07,1.10318e-29,0.454604,0.315003,1.8801e-13,45538.1,59607.3,1.23949,0.0066,1.47556 
66,0.8,2.5,3.70121e-07,7.55374e-07,1.04291e-29,0.489983,0.113251,4.74565e-13,38474.1,51716.4,1.34015,0.0066,1.47032 
67,0.65,2.5,3.84765e-07,7.16286e-07,9.88941e-30,0.537167,-0.132531,-2.56025e-13,32805.1,43495.1,1.4797,0.0066,1.40556 
68,0.2,2.5,4.01756e-07,6.77293e-07,9.35104e-30,0.593179,-0.397299,9.96767e-14,27733.9,38917.5,1.65153,0.0066,1.33453 
69,1.55,2.5,3.91355e-07,7.53122e-07,1.0398e-29,0.519644,-0.0439643,1.39509e-13,38131,51464.3,1.42728,0.0066,1.4168 
70,1.1,2.5,3.87345e-07,7.14718e-07,9.86776e-30,0.541955,-0.156216,-2.42072e-14,32590.1,43174.3,1.49413,0.0066,1.41918 
71,1.25,2.5,3.77475e-07,7.69123e-07,1.06189e-29,0.490787,0.108859,4.25098e-13,40613.3,55267.8,1.34248,0.0066,1.4275 
72,1.7,4.5,4.27989e-07,6.93844e-07,9.57956e-30,0.616837,-0.502054,4.84688e-13,29817.3,41802,1.72552,0.0066,1.40588 
73,0.05,4.5,3.61401e-07,7.83733e-07,1.08206e-29,0.461127,0.276493,1.15358e-12,42972,59065.3,1.25774,0.0066,1.48255 
74,0.95,4.5,3.76752e-07,7.65088e-07,1.05632e-29,0.492429,0.0999064,-1.01426e-13,39977.6,53106.1,1.34726,0.0066,1.41318 
75,1.4,4.5,3.99361e-07,7.54752e-07,1.04205e-29,0.529129,-0.0922802,3.40095e-13,38379.1,52339,1.45557,0.0066,1.40904 
76,0.5,4.5,3.79537e-07,7.32779e-07,1.01171e-29,0.517942,-0.0352022,5.73555e-13,35123.7,48694.6,1.42223,0.0066,1.43312 
77,0.35,4.5,3.59057e-07,7.76739e-07,1.07241e-29,0.462262,0.269856,8.99607e-13,41831.9,57234.4,1.26094,0.0066,1.4776 
78,0.8,4.5,3.82465e-07,7.73023e-07,1.06727e-29,0.494765,0.0872354,1.69498e-13,41234.4,54710.6,1.35404,0.0066,1.45387 
79,0.65,4.5,3.69215e-07,7.80219e-07,1.07721e-29,0.47322,0.206726,-5.13708e-14,42396.7,55849.5,1.29196,0.0066,1.42871 
80,0.2,4.5,3.71261e-07,7.73855e-07,1.06842e-29,0.479755,0.169856,-4.7511e-14,41367.6,54129.5,1.31065,0.0066,1.45377 
81,1.55,4.5,3.92942e-07,7.90993e-07,1.09209e-29,0.49677,0.0764088,1.06185e-15,44177.4,57866.6,1.3599,0.0066,1.45204 
82,1.1,4.5,4.09525e-07,7.01177e-07,9.68081e-30,0.584054,-0.355875,2.10621e-13,30772.7,42002.1,1.62315,0.0066,1.45258 
83,1.25,4.5,3.83106e-07,7.943e-07,1.09665e-29,0.48232,0.155538,6.13335e-13,44733.7,60800.2,1.31801,0.0066,1.45987 
84,1.7,4.5,4.18447e-07,7.49527e-07,1.03483e-29,0.558282,-0.235417,-5.31296e-13,37587.5,49104.6,1.54374,0.0066,1.41157 
85,0.05,4.5,3.68495e-07,7.62785e-07,1.05314e-29,0.483091,0.151248,4.59564e-13,39617.7,53791.6,1.32023,0.0066,1.43723 
86,0.95,4.5,3.75536e-07,7.76075e-07,1.07149e-29,0.483891,0.146806,3.74801e-13,41724.7,56351.7,1.32254,0.0066,1.44865 
87,1.4,4.5,3.93696e-07,7.68388e-07,1.06088e-29,0.512367,-0.00627909,7.70629e-14,40497.1,53632.9,1.40571,0.0066,1.45774 
88,0.5,4.5,3.6735e-07,7.40072e-07,1.02178e-29,0.496371,0.0785541,9.53019e-14,36182.9,48118.6,1.35873,0.0066,1.41497 
89,0.35,4.5,3.62663e-07,8.03534e-07,1.1094e-29,0.451335,0.334537,4.67064e-13,46312.2,61945.1,1.23038,0.0066,1.46498 
90,0.8,4.5,3.7359e-07,7.37145e-07,1.01774e-29,0.506807,0.0228879,4.49281e-13,35755.3,48613.1,1.38931,0.0066,1.43742 
91,0.65,4.5,3.73812e-07,8.05424e-07,1.11201e-29,0.464118,0.259046,-8.85855e-15,46639.7,60904.8,1.26616,0.0066,1.47537 
92,0.2,4.5,3.69251e-07,7.24896e-07,1.00083e-29,0.509385,0.00931936,1.05678e-13,34002.3,45559.9,1.39691,0.0066,1.40723 
93,1.55,4.5,3.95975e-07,7.94198e-07,1.09651e-29,0.498585,0.066635,-2.05021e-14,44716.5,58749.1,1.36518,0.0066,1.43257 
94,1.1,4.5,3.9456e-07,7.61688e-07,1.05162e-29,0.518008,-0.0355412,-2.69779e-13,39446.9,52135.3,1.42242,0.0066,1.41912 
95,1.25,4.5,3.89005e-07,7.48076e-07,1.03283e-29,0.520008,-0.0458377,4.49303e-13,37369.7,51118,1.42836,0.0066,1.43295 
96,1.7,4.5,4.04206e-07,7.66566e-07,1.05836e-29,0.527295,-0.0830038,6.7125e-15,40209.6,53993.2,1.45008,0.0066,1.43982 
97,0.05,4.5,3.83143e-07,7.30334e-07,1.00834e-29,0.524613,-0.0693875,3.45403e-13,34773.4,46929.9,1.44208,0.0066,1.42839 
98,0.95,4.5,3.90055e-07,7.34462e-07,1.01404e-29,0.531076,-0.102074,4.12068e-13,35366.3,48603,1.46141,0.0066,1.40243 
99,1.4,4.5,4.13548e-07,7.39569e-07,1.02109e-29,0.559174,-0.239676,-2.89828e-13,36109.2,47849.5,1.54647,0.0066,1.41253 
100,0.5,4.5,3.73332e-07,7.30903e-07,1.00912e-29,0.510782,0.00200309,2.96995e-13,34854.6,46927.6,1.40103,0.0066,1.43392 
101,0.35,4.5,3.69979e-07,7.8229e-07,1.08007e-29,0.472943,0.2083,-4.69296e-13,42735.2,53761.2,1.29117,0.0066,1.49436 
102,0.8,4.5,3.81497e-07,7.5953e-07,1.04865e-29,0.50228,0.0468817,5.14033e-13,39112.6,54186.9,1.37601,0.0066,1.4422 
103,0.65,4.5,3.67179e-07,7.84091e-07,1.08256e-29,0.468286,0.234945,8.34875e-14,43031,56675.8,1.27795,0.0066,1.4662 
104,0.2,4.5,3.68027e-07,7.25039e-07,1.00103e-29,0.507596,0.0187403,4.75865e-13,34022.4,46579.4,1.39166,0.0066,1.43751 
105,1.55,4.5,4.17633e-07,7.5981e-07,1.04903e-29,0.549655,-0.193863,-6.99518e-13,39155.8,49631.7,1.51746,0.0066,1.42348 
106,1.1,4.5,3.89486e-07,8.395e-07,1.15906e-29,0.463949,0.260026,1.88779e-14,52813.3,69341.1,1.26569,0.0066,1.45487 
107,1.25,4.5,3.83364e-07,7.88106e-07,1.0881e-29,0.486437,0.132725,4.95016e-13,43695.3,59090.7,1.32989,0.0066,1.42346 
108,1.7,6.5,4.18534e-07,7.83356e-07,1.08154e-29,0.534283,-0.118158,-8.89138e-14,42910.1,58034.5,1.47102,0.0066,1.39792 
