cyc,amplitude,time,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,tof,AR
175,0.65,8.5,3.90812e-07,7.12218e-07,9.83324e-30,0.548725,-0.189343,-1.74828e-13,32249.3,42448.3,1.51464,0.0066,1.4055 
176,0.2,8.5,3.81894e-07,7.28228e-07,1.00543e-29,0.524416,-0.0683836,4.75132e-14,34473.4,46447.3,1.44149,0.0066,1.39709 
177,1.55,8.5,4.30342e-07,7.36032e-07,1.0162e-29,0.584678,-0.358728,-2.35074e-13,35593.5,47775.7,1.62509,0.0066,1.34259 
178,1.1,8.5,4.05485e-07,7.33071e-07,1.01212e-29,0.553131,-0.210686,8.00872e-13,35165.8,50458.8,1.52803,0.0066,1.35482 
179,1.25,8.5,4.28826e-07,7.31952e-07,1.01057e-29,0.585866,-0.364149,2.45961e-13,35004.9,48729.8,1.62878,0.0066,1.37068 
180,1.7,8.5,4.63345e-07,8.06015e-07,1.11283e-29,0.574859,-0.313495,3.51448e-13,46742.4,65391.1,1.5947,0.0066,1.40868 
181,0.05,8.5,3.65005e-07,7.92637e-07,1.09436e-29,0.460494,0.280202,2.86087e-14,44453.4,57913.8,1.25596,0.0066,1.44156 
182,0.95,8.5,3.9274e-07,7.87329e-07,1.08703e-29,0.498825,0.0653454,6.53022e-13,43566.3,60517.9,1.36589,0.0066,1.40098 
183,1.4,8.5,4.24155e-07,7.71875e-07,1.06569e-29,0.549513,-0.193172,4.05344e-13,41050.9,56521.6,1.51703,0.0066,1.40553 
184,0.5,8.5,3.82965e-07,7.6498e-07,1.05617e-29,0.500621,0.0557462,7.93767e-13,39960.6,54856,1.37116,0.0066,1.44661 
186,0.8,8.5,3.94579e-07,7.79178e-07,1.07577e-29,0.506404,0.0250096,3.68406e-13,42227.1,57580.6,1.38812,0.0066,1.43584 
187,0.65,8.5,3.68762e-07,7.42709e-07,1.02542e-29,0.496509,0.0778135,4.78848e-13,36571.1,48460.3,1.35914,0.0066,1.46098 
188,0.2,8.5,3.93755e-07,7.83792e-07,1.08214e-29,0.502372,0.0463952,-4.91437e-13,42981.8,54868.8,1.37628,0.0066,1.49526 
189,1.55,8.5,4.53019e-07,6.81092e-07,9.4035e-30,0.665137,-0.705514,-1.40902e-13,28203.2,39325,1.87736,0.0066,1.30007 
190,1.1,8.5,4.14653e-07,7.30592e-07,1.00869e-29,0.567557,-0.279386,-1.89253e-13,34810.1,46174.4,1.5722,0.0066,1.38322 
191,1.25,8.5,4.17348e-07,7.557e-07,1.04336e-29,0.552267,-0.206515,-5.74651e-13,38523.9,49377.3,1.5254,0.0066,1.41713 
192,1.7,8.5,4.53612e-07,7.40703e-07,1.02265e-29,0.612407,-0.48271,-4.89502e-14,36275.6,49476.9,1.71163,0.0066,1.3693 
193,0.05,8.5,3.60071e-07,7.51311e-07,1.0373e-29,0.479257,0.172642,1.63995e-13,37856.6,49772.9,1.30922,0.0066,1.45997 
194,0.95,8.5,4.05955e-07,7.2259e-07,9.97644e-30,0.561805,-0.252205,3.79021e-13,33678.9,46099,1.55453,0.0066,1.44688 
195,1.4,8.5,4.2232e-07,7.10715e-07,9.81249e-30,0.594219,-0.401982,3.4954e-13,32045.5,45123.4,1.65477,0.0066,1.3284 
196,0.5,8.5,3.72535e-07,7.46205e-07,1.03025e-29,0.499239,0.063129,1.24246e-13,37089.9,49365.7,1.3671,0.0066,1.43336 
197,0.35,8.5,3.70399e-07,7.92741e-07,1.0945e-29,0.467238,0.240983,5.87252e-13,44470.9,60165.8,1.27498,0.0066,1.45882 
198,0.8,8.5,4.00706e-07,7.53227e-07,1.03994e-29,0.531985,-0.106655,1.72136e-13,38146.9,52167.7,1.46413,0.0066,1.39471 
199,0.65,8.5,3.87517e-07,7.85736e-07,1.08483e-29,0.49319,0.0957732,-3.59376e-13,43302.4,56305,1.34946,0.0066,1.45175 
200,0.2,8.5,3.67981e-07,7.50042e-07,1.03555e-29,0.490614,0.109803,-1.95887e-13,37665.1,48942.4,1.34198,0.0066,1.44911 
201,1.55,8.5,4.35845e-07,7.56248e-07,1.04411e-29,0.576325,-0.320302,-6.26478e-13,38607.8,50041.5,1.59921,0.0066,1.38459 
202,1.1,8.5,3.92158e-07,7.75996e-07,1.07138e-29,0.50536,0.0305285,1.50843e-13,41712,55908.8,1.38505,0.0066,1.43745 
203,1.25,8.5,4.12758e-07,7.77353e-07,1.07325e-29,0.53098,-0.10159,-2.353e-13,41931,55591.3,1.46112,0.0066,1.40599 
205,0.05,8.5,3.61293e-07,7.77433e-07,1.07336e-29,0.464726,0.255515,-2.25368e-14,41944.1,54230.6,1.26788,0.0066,1.47769 
206,0.95,8.5,3.9522e-07,7.19185e-07,9.92943e-30,0.549539,-0.193298,3.30422e-13,33204.9,45408.1,1.51711,0.0066,1.37498 
207,1.4,8.5,4.17469e-07,7.80044e-07,1.07697e-29,0.535186,-0.122668,8.43381e-13,42368.2,60273.3,1.47374,0.0066,1.37765 
208,0.5,8.5,3.76759e-07,7.3181e-07,1.01037e-29,0.514832,-0.0191084,1.02586e-12,34984.6,49744.2,1.413,0.0066,1.40877 
209,0.35,8.5,3.71923e-07,7.70454e-07,1.06373e-29,0.482731,0.153246,6.40659e-13,40824.6,56250.6,1.3192,0.0066,1.42766 
210,0.8,8.5,4.03665e-07,7.92007e-07,1.09348e-29,0.509674,0.00780356,-1.0646e-12,44347.4,55086.9,1.39776,0.0066,1.47172 
212,0.2,8.5,3.97384e-07,7.52132e-07,1.03843e-29,0.528344,-0.0883209,-6.15996e-13,37980.7,48546.2,1.45322,0.0066,1.48196 
213,1.55,8.5,4.37798e-07,7.70001e-07,1.0631e-29,0.568567,-0.28413,-6.69546e-13,40752.7,52465.7,1.57529,0.0066,1.43888 
214,1.1,8.5,4.2955e-07,7.21486e-07,9.96119e-30,0.595369,-0.40715,-7.44968e-13,33524.7,42938.3,1.65836,0.0066,1.41691 
215,1.25,8.5,4.3657e-07,7.20041e-07,9.94124e-30,0.606313,-0.455904,-1.40895e-13,33323.7,45148.6,1.69255,0.0066,1.38916 
216,1.7,8.5,4.31406e-07,7.34499e-07,1.01409e-29,0.587347,-0.370896,5.8523e-14,35371.7,48283.4,1.63338,0.0066,1.38342 
217,0.05,8.5,3.8239e-07,7.60001e-07,1.0493e-29,0.503144,0.0422842,-2.18558e-15,39185.3,52339.6,1.37858,0.0066,1.44486 
218,0.95,8.5,3.87148e-07,7.82476e-07,1.08033e-29,0.494773,0.0871911,6.37767e-13,42765.6,58201,1.35407,0.0066,1.44882 
219,1.4,8.5,4.31832e-07,7.09355e-07,9.79371e-30,0.608768,-0.466731,2.25827e-13,31862,44497.8,1.70023,0.0066,1.39688 
220,0.5,8.5,3.76133e-07,7.62097e-07,1.05219e-29,0.493549,0.0938247,4.67132e-13,39510.5,53301.1,1.3505,0.0066,1.46623 
221,0.35,8.5,3.66326e-07,7.97918e-07,1.10165e-29,0.459102,0.288382,2.54915e-13,45347.8,59611.3,1.25206,0.0066,1.4668 
222,0.8,8.5,3.9791e-07,7.01469e-07,9.68484e-30,0.567251,-0.277947,6.50209e-13,30811.2,43109.4,1.57127,0.0066,1.42863 
223,0.65,8.5,3.83034e-07,7.55643e-07,1.04328e-29,0.506899,0.0224112,1.2583e-13,38515.1,50694.1,1.38959,0.0066,1.44477 
224,0.2,8.5,3.79027e-07,7.88879e-07,1.08917e-29,0.480462,0.165896,2.74486e-13,43824.1,58347.3,1.31268,0.0066,1.48299 
225,1.55,8.5,4.25198e-07,7.3916e-07,1.02052e-29,0.575245,-0.315281,-2.41926e-13,36049.3,47621,1.59589,0.0066,1.39213 
226,1.1,8.5,4.09075e-07,7.30543e-07,1.00863e-29,0.55996,-0.243428,2.65521e-14,34803.2,47047.6,1.54888,0.0066,1.36339 
227,1.25,8.5,4.31957e-07,7.65682e-07,1.05714e-29,0.564147,-0.263304,1.15659e-13,40070.7,54480.4,1.56171,0.0066,1.42019 
228,1.7,8.5,4.29709e-07,7.84195e-07,1.0827e-29,0.547962,-0.185631,7.14987e-13,43048.2,60607.5,1.51232,0.0066,1.39403 
229,0.05,8.5,3.68948e-07,7.60158e-07,1.04951e-29,0.485357,0.138689,5.79349e-13,39209.7,53673.6,1.32677,0.0066,1.43666 
230,0.95,8.5,3.90854e-07,7.57323e-07,1.0456e-29,0.5161,-0.0256815,8.89879e-14,38772.7,52173.7,1.41676,0.0066,1.42714 
231,1.4,8.5,4.21779e-07,7.55998e-07,1.04377e-29,0.557911,-0.233645,2.15148e-13,38569.4,52850.9,1.54261,0.0066,1.3962 
232,0.5,8.5,3.59606e-07,7.62645e-07,1.05295e-29,0.471525,0.21638,4.1868e-13,39595.8,52801.2,1.28714,0.0066,1.46028 
233,0.35,8.5,3.61462e-07,8.07358e-07,1.11468e-29,0.44771,0.356398,5.40294e-13,46976.5,62644.9,1.22033,0.0066,1.47971 
234,0.8,8.5,3.95677e-07,7.45275e-07,1.02896e-29,0.530913,-0.101257,-2.9658e-13,36951.5,48274.9,1.46093,0.0066,1.4206 
235,0.65,8.5,3.81714e-07,7.73228e-07,1.06756e-29,0.493663,0.0932082,1.65457e-13,41267.2,54542.7,1.35083,0.0066,1.45185 
236,0.2,8.5,3.69624e-07,7.62456e-07,1.05269e-29,0.484781,0.141875,8.50366e-13,39566.3,55104.5,1.32511,0.0066,1.46393 
237,1.55,8.5,4.40381e-07,7.50412e-07,1.03606e-29,0.586853,-0.368644,-4.53462e-14,37720.7,52133.4,1.63184,0.0066,1.34323 
238,1.1,8.5,4.07615e-07,7.35837e-07,1.01593e-29,0.553947,-0.214622,2.3327e-13,35565.3,48695.2,1.53052,0.0066,1.40706 
239,1.25,8.5,4.12031e-07,7.89699e-07,1.0903e-29,0.521757,-0.0548094,1.10688e-13,43960.8,58887.2,1.43357,0.0066,1.41783 
240,1.7,8.5,4.39792e-07,7.69111e-07,1.06187e-29,0.571819,-0.299345,1.38108e-13,40611.5,55892.5,1.5853,0.0066,1.38928 
241,0.05,8.5,3.6631e-07,7.80726e-07,1.07791e-29,0.469192,0.229737,2.9996e-13,42479.3,56037.4,1.28051,0.0066,1.47312 
242,0.95,8.5,3.85252e-07,7.19218e-07,9.92988e-30,0.535655,-0.125001,7.46795e-13,33209.5,46838.3,1.47515,0.0066,1.41412 
243,1.4,8.5,4.00972e-07,7.98078e-07,1.10187e-29,0.502423,0.0461238,7.51472e-13,45375,62796.5,1.37643,0.0066,1.4071 
244,0.5,8.5,3.78489e-07,7.71434e-07,1.06508e-29,0.490631,0.109713,3.52692e-13,40980.6,54888,1.34203,0.0066,1.44523 
245,0.35,8.5,3.76579e-07,7.21599e-07,9.96276e-30,0.521867,-0.0553718,8.70924e-13,33540.5,47170,1.43389,0.0066,1.45159 
246,0.8,8.5,3.7765e-07,7.8016e-07,1.07713e-29,0.484067,0.145833,3.69147e-13,42387.1,56483.4,1.32304,0.0066,1.43656 
247,0.65,8.5,3.92239e-07,7.8113e-07,1.07847e-29,0.502143,0.0476102,7.49311e-15,42545.2,56347.7,1.37561,0.0066,1.4321 
248,0.2,8.5,3.65771e-07,7.94072e-07,1.09634e-29,0.460627,0.279425,9.80802e-14,44695.3,58427.9,1.25634,0.0066,1.49826 
249,1.55,8.5,4.28052e-07,7.59542e-07,1.04866e-29,0.563566,-0.260555,3.58797e-14,39114.4,53222.8,1.55992,0.0066,1.37368 
250,1.1,8.5,4.17918e-07,7.15065e-07,9.87254e-30,0.584447,-0.357669,8.28845e-13,32637.6,46758.9,1.62437,0.0066,1.38629 
251,1.25,8.5,4.0252e-07,7.73253e-07,1.06759e-29,0.520555,-0.048642,2.03219e-13,41271.1,55468.2,1.42999,0.0066,1.41664 
252,1.7,8.5,4.42287e-07,7.97515e-07,1.10109e-29,0.554582,-0.217676,2.04238e-13,45279.1,61530.4,1.53245,0.0066,1.42405 
253,0.05,8.5,3.59543e-07,7.80687e-07,1.07786e-29,0.460547,0.279891,8.31397e-13,42473,57987.7,1.25611,0.0066,1.47669 
254,0.95,8.5,3.88282e-07,7.91516e-07,1.09281e-29,0.490555,0.110127,4.86967e-13,44265,59866.8,1.34181,0.0066,1.45796 
255,0.95,8.5,3.96049e-07,7.81714e-07,1.07927e-29,0.506642,0.0237573,1.14908e-13,42640.9,56482.8,1.38882,0.0066,1.43422 
