cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR
0,10,0.8,0.01,10,0,3.20015e-07,6.95643e-07,9.6044e-30,0.460028,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.282939,1.25011e-30,3.69499e-13,41995.9,59621.9,1.25466,18.1861,1.23514,17.9032,1.49509,0.0066,1.4208 
1,10,0.8,10,0.01,1,3.63557e-07,6.53959e-07,9.02888e-30,0.555932,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.224166,-1.12519e-30,9.20781e-13,34889.7,52724.8,1.53657,20.9378,1.43309,19.5278,1.00426,0.0066,1.39487 
2,10,0.8,10,0.01,2,3.46963e-07,6.81491e-07,9.40901e-30,0.509124,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0106903,5.12102e-32,5.50229e-13,39484.6,57605.6,1.39613,19.8251,1.33382,18.9403,1.22946,0.0066,1.39397 
3,10,0.8,10,0.01,3,3.65896e-07,6.57068e-07,9.07181e-30,0.556862,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.228626,-1.15496e-30,1.76395e-13,35389.8,50602.7,1.53941,21.0762,1.43512,19.6483,1.00001,0.0066,1.42138 
4,10,0.8,10,0.01,4,3.59591e-07,6.11068e-07,8.43672e-30,0.588463,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.375964,-1.86655e-30,7.25342e-13,28465.3,43028.2,1.63685,20.8413,1.50496,19.1621,0.860286,0.0066,1.37113 
5,10,0.8,10,0.01,5,3.48536e-07,6.68469e-07,9.22923e-30,0.521394,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0529478,-2.54788e-31,4.52914e-13,37264.2,53925.4,1.43249,19.9526,1.35937,18.9341,1.16813,0.0066,1.39592 
6,10,0.8,0.01,10,6,3.33831e-07,6.52078e-07,9.00292e-30,0.511949,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.00410151,-1.8904e-32,5.80315e-13,34589.6,50522.3,1.40447,19.0828,1.33967,18.2023,1.21518,0.0066,1.40869 
7,10,0.8,0.01,10,7,3.21411e-07,6.91945e-07,9.55335e-30,0.464503,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.256808,1.1396e-30,7.07868e-13,41329.7,59292.9,1.26725,18.271,1.2439,17.9343,1.46933,0.0066,1.43915 
8,10,0.8,10,0.01,8,3.60473e-07,6.15335e-07,8.49562e-30,0.585815,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.363917,-1.81117e-30,5.41346e-13,29065.7,43197.6,1.62862,20.8813,1.49903,19.2198,0.871677,0.0066,1.40241 
9,10,0.8,0.01,10,9,3.1394e-07,6.88423e-07,9.50471e-30,0.456029,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.306536,1.32865e-30,6.38584e-13,40701.7,58249.8,1.24346,17.8367,1.22736,17.6057,1.51841,0.0066,1.42723 
10,10,0.8,10,0.01,10,3.53733e-07,6.46029e-07,8.9194e-30,0.547551,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.183628,-8.96805e-31,7.19026e-13,33635.8,50287.8,1.51107,20.3406,1.41496,19.0468,1.0429,0.0066,1.38681 
11,10,0.8,10,0.01,11,3.56096e-07,6.63134e-07,9.15556e-30,0.53699,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.131649,-6.47247e-31,4.33747e-13,36379,52387.6,1.47916,20.4383,1.39232,19.2384,1.09259,0.0066,1.42625 
12,10,0.8,10,0.01,12,3.45596e-07,7.06759e-07,9.75787e-30,0.488987,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.118708,5.66412e-31,9.75629e-13,44041.4,65113.1,1.33726,19.6932,1.29266,19.0364,1.33416,0.0066,1.42176 
13,10,0.8,0.01,10,13,3.10489e-07,6.64793e-07,9.17846e-30,0.467046,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.242092,1.03779e-30,5.36124e-13,36652.7,52475.9,1.27443,17.6535,1.2489,17.2998,1.45485,0.0066,1.43566 
14,10,0.8,0.01,10,14,3.18304e-07,6.45117e-07,8.90682e-30,0.493404,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0946102,4.1578e-31,1.16589e-12,33493.7,51017.1,1.35008,18.1479,1.30161,17.4964,1.31073,0.0066,1.40558 
15,10,0.8,0.01,10,15,3.26731e-07,6.61454e-07,9.13236e-30,0.493959,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.091616,4.13281e-31,4.12214e-13,36103.1,51456.1,1.35172,18.63,1.30274,17.9549,1.30784,0.0066,1.44293 
16,10,0.8,0.01,10,16,3.24673e-07,6.48072e-07,8.94761e-30,0.500983,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0538134,2.41224e-31,6.14262e-13,33956,49325.1,1.37223,18.5301,1.31707,17.7853,1.27118,0.0066,1.43384 
17,10,0.8,0.01,10,17,3.24909e-07,6.979e-07,9.63556e-30,0.465552,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.250725,1.12472e-30,4.59967e-13,42406,59954.2,1.27021,18.4713,1.24596,18.1186,1.46335,0.0066,1.45406 
18,10,0.8,10,0.01,18,3.51645e-07,6.78149e-07,9.36287e-30,0.518536,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0382622,-1.85763e-31,5.78932e-13,38906.5,56978.7,1.42399,20.1215,1.35339,19.1238,1.18226,0.0066,1.40907 
19,10,0.8,0.01,10,19,3.26784e-07,7.08577e-07,9.78297e-30,0.461184,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.276161,1.24597e-30,4.34647e-13,44382.1,62484.5,1.2579,18.5721,1.2374,18.2694,1.48841,0.0066,1.4555 
20,20,0.7,0.01,10,20,3.3659e-07,6.234e-07,8.60697e-30,0.539926,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.146205,-6.79432e-31,2.88506e-13,30223.7,43165.8,1.48801,19.3286,1.39859,18.1671,1.07866,0.0066,1.43091 
21,20,0.7,10,0.01,21,3.92813e-07,6.51579e-07,8.99602e-30,0.602863,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.440626,-2.38968e-30,4.58154e-13,34510.2,51505.9,1.68176,22.8327,1.53751,20.8743,0.799205,0.0066,1.36057 
22,20,0.7,10,0.01,22,3.99892e-07,6.20062e-07,8.56088e-30,0.644923,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.621945,-3.43382e-30,9.54257e-14,29740.7,43249.3,1.81376,23.4338,1.63511,21.1256,0.627996,0.0066,1.36694 
23,20,0.7,10,0.01,23,3.96059e-07,6.43523e-07,8.88481e-30,0.615454,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.496028,-2.71237e-30,1.2251e-13,33246,49214.6,1.72118,23.0791,1.56633,21.0028,0.746909,0.0066,1.32351 
24,20,0.7,10,0.01,24,4.11024e-07,6.65588e-07,9.18945e-30,0.617534,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.505085,-2.86625e-30,2.3146e-13,36784.4,54137.3,1.72771,23.9609,1.57113,21.7894,0.73836,0.0066,1.34813 
25,20,0.7,10,0.01,25,4.14875e-07,6.36647e-07,8.78987e-30,0.651656,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.650027,-3.72334e-30,4.60501e-13,32191.6,48774.5,1.83494,24.3415,1.65108,21.9025,0.601442,0.0066,1.33229 
