cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
13,80,13,19174.1,0,5,101,125,0,5,135,-5.16788,-3.45105,-5.86527,-5.18696,-4.95308,-79.658,25.1713,25467.2,15.0931,16439.4,-4.8601,-3.14327,-5.2497,-4.87917,-4.6453,0.769523,29.8265,25816.3,19.7483,0.557251,0.000659756,0.999585,53.5245,736.025,844.16,0.72367,36320.4,8.79695e-07,0.896038,109.08,82.7051,29.1848,30.9596,0.942672,774.243,887.572,0.942342 
14,100,14,18577.4,0,5,101,125,0,5,135,-4.63846,-5.74333,-11.9872,-5.07932,-6.34869,-50.4486,15.2213,24201.8,49.837,16439.4,-4.44354,-5.54841,-11.5974,-4.8844,-6.15377,0.644552,18.1696,24422.9,52.7852,0.222907,0.000424937,0.998828,81.5118,735.589,851.996,0.636223,33713.4,8.58123e-07,0.922544,109.628,83.1745,29.4917,31.4315,0.938285,790.616,914.834,0.99107 
15,120,15,16174,0,5,101,125,0,5,135,-2.80839,-0.528485,-9.17203,-4.07044,-9.1802,-62.806,14.4829,21823.7,7.20625,16439.4,-2.56572,-0.285815,-8.68669,-3.82777,-8.93753,0.642575,18.1533,22099,10.8766,0.581738,0.000469181,0.999733,31.2052,765.055,874.335,0.783536,30929.2,8.33819e-07,0.980875,109.849,82.7932,29.6063,31.3516,0.944334,796.773,910.187,1.02132 
16,15,16,20419.4,0,5,101,125,0,5,135,-7.26722,-7.48811,-10.894,-7.16938,-4.2179,-5.91454,11.454,26475.2,6.23619,16439.4,-7.24437,-7.46525,-10.8483,-7.14653,-4.19505,0.706004,11.7997,26501.2,6.58184,0.599033,0.000254365,0.999865,19.6979,546.288,648.675,0.594411,36282.2,8.79386e-07,0.676932,109.201,84.432,25.5308,27.5663,0.92616,592.509,703.671,0.734265 
17,30,17,20882.9,0,5,101,125,0,5,135,-5.39605,-4.29974,-10.5967,-4.25225,-7.6038,-23.7148,0.604488,26818.1,21.8142,16439.4,-5.30442,-4.20811,-10.4135,-4.16062,-7.51217,0.670447,1.99038,26922.1,23.2001,0.0667229,4.22446e-05,0.999532,29.8305,640.175,760.234,0.701503,37491.9,8.89053e-07,0.784685,109.411,83.689,27.2577,29.4268,0.926286,675.372,801.862,0.827739 
18,7.5,18,19165.2,0,5,101,125,0,5,135,-7.55441,-5.19633,-9.87142,-5.31377,-5.31565,-61.5844,-4.2726,25858.1,-3.10136,16439.4,-7.31646,-4.95838,-9.39552,-5.07582,-5.0777,0.704765,-0.673607,26128.1,0.497631,8.81111,-1.47322e-05,0.99999,-0.0764498,476.717,569.604,0.597188,34631.4,8.65842e-07,0.601837,109.347,85.4221,23.8269,25.8098,0.923175,516.062,616.852,0.651633 
19,50,19,19446.6,0,5,101,125,0,5,135,-4.03283,-5.34353,-10.1274,-1.92335,-7.59235,-40.0826,17.4315,25430.9,6.96686,16439.4,-3.87796,-5.18866,-9.81763,-1.76848,-7.43748,0.650496,19.7739,25606.6,9.30929,0.639001,0.000441074,0.999803,30.9451,694.6,833.771,0.651616,35598.4,8.73827e-07,0.870895,109.291,83.4945,28.5783,31.006,0.921705,742.403,890.231,0.930349 
20,5,20,19863.5,0,5,101,125,0,5,135,-3.7594,-3.41612,-4.58623,-3.54248,-3.0924,-66.35,0.317281,26329.8,-4.81223,16439.4,-3.50303,-3.15976,-4.0735,-3.28611,-2.83604,0.75837,4.19477,26620.6,-0.934733,1.365,9.00355e-05,1.00002,3.07309,549.898,631.555,2.35681e+06,35584.1,8.73709e-07,0.674496,109.405,84.6844,24.5956,26.1156,0.941798,549.896,631.556,0.674496 
21,20,21,18693.6,0,5,101,125,0,5,135,-4.36593,-4.89179,-4.07758,-2.14388,-5.1759,-28.3333,22.8062,25043.3,5.86929,16439.4,-4.25646,-4.78232,-3.85863,-2.0344,-5.06643,0.807051,24.462,25167.5,7.52509,0.730381,0.000555102,0.999838,33.4921,622.03,746.719,254.096,34659.7,8.66078e-07,0.786914,109.735,84.0279,26.1713,28.4084,0.921253,622.61,747.317,0.787596 
22,2.5,22,21793.5,0,5,101,125,0,5,135,-2.21688,-1.21356,-7.17537,-3.95217,-5.56734,14.4333,-0.167957,28068.3,-5.0813,16439.4,-2.27265,-1.26933,-7.2869,-4.00794,-5.6231,0.643845,-1.01144,28005,-5.92478,0.124543,-2.06383e-05,1.00011,-8.12118,470.009,544.568,0.599654,37843.3,8.91822e-07,0.567284,109.532,85.179,23.644,25.2164,0.937645,508.17,588.814,0.61336 
