cyc,time (ms),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
10,6.51,10,16663.3,0,5,101,125,0,5,135,-3.84557,-1.83735,-9.65075,-4.01248,-3.85139,-117.683,30.1865,24748.1,11.4323,16439.4,-3.39087,-1.38265,-8.74134,-3.55777,-3.39668,0.572954,37.0639,25263.9,18.3097,0.627824,0.000837623,0.999607,59.0355,747.701,815.698,0.873547,34001.1,8.60557e-07,0.907505,110.125,84.1786,29.1119,30.1204,0.966517,770.382,840.105,0.934846 
11,1.51,11,20716,0,5,101,125,0,5,135,-2.50131,-4.89884,-8.71811,-6.5397,-5.21625,-33.738,30.4473,29511.1,2.73655,16439.4,-2.37095,-4.76849,-8.4574,-6.40935,-5.08589,0.687828,32.4189,29659,4.7082,0.851589,0.000624213,0.999914,38.0688,600.647,679.719,0.813491,39740.6,9.06483e-07,0.704879,108.813,84.2793,26.1615,27.5702,0.948905,622.145,703.871,0.730017 
12,5.51,12,19946.9,0,5,101,125,0,5,135,-8.29983,-7.76324,-9.98474,-9.64365,-7.90692,-165.293,19.1943,28223.7,8.51002,16439.4,-7.66117,-7.12458,-8.70742,-9.00499,-7.26826,0.781036,28.854,28948.1,18.1697,0.569588,0.000569246,0.999659,50.6577,707.909,804.554,0.736361,38820.2,8.99431e-07,0.839071,110.587,83.522,28.5844,30.1889,0.946852,742.716,843.929,0.880231 
13,3.01,13,20475.5,0,5,101,125,0,5,135,-4.30638,-2.42571,-7.78856,-1.69289,-7.48437,-128.938,14.8272,28359.3,5.65998,16439.4,-3.80819,-1.92752,-6.79218,-1.1947,-6.98618,0.672014,22.3624,28924.4,13.1951,0.585456,0.000441594,0.999752,38.1965,683.283,766.866,3.50091e+06,38721.8,8.9867e-07,0.805489,109.747,83.6371,27.4169,28.7776,0.952717,683.286,766.868,0.805492 
14,3.51,14,21182.1,0,5,101,125,0,5,135,-4.06003,-6.02523,-7.68012,-6.53695,-7.48817,-71.8216,33.3132,29205,0.55331,16439.4,-3.78252,-5.74772,-7.12511,-6.25945,-7.21066,0.763485,37.5105,29519.8,4.75056,0.868074,0.00072558,0.999913,43.2111,669.372,768.85,0.821978,39687.4,9.06079e-07,0.791751,109.212,82.8883,27.6128,29.3192,0.941799,693.087,796.008,0.81976 
15,1.01,15,23060.2,0,5,101,125,0,5,135,-2.35188,-2.27164,-6.41504,-2.82991,-4.22417,-65.8125,14.2866,30955.1,-12.3439,16439.4,-2.09759,-2.01735,-5.90647,-2.57562,-3.96989,0.643478,18.1327,31243.5,-8.49781,2.28506,0.000331528,1.00015,7.93533,572.643,644.88,0.708332,40646.4,9.13319e-07,0.665363,109.072,84.5,25.7556,27.0738,0.95131,602.988,678.752,0.700466 
16,2.51,16,18911.3,0,5,101,125,0,5,135,-7.81417,-8.5646,-18.7603,-6.96446,-6.32481,-23.5119,13.2373,27330.7,-1.85985,16439.4,-7.72332,-8.47375,-18.5786,-6.87361,-6.23396,0.612002,14.6114,27433.8,-0.485808,1.04156,0.000304254,1.00001,14.0284,606.412,685.895,0.532138,36839.2,8.83864e-07,0.729672,109.029,83.7179,27.2872,28.7411,0.949415,676.836,764.924,0.814078 
17,4.51,17,20334.2,0,5,101,125,0,5,135,-5.54929,-3.72387,-8.04112,-4.13642,-9.54121,-131.494,14.0304,28142.5,0.943662,16439.4,-5.04122,-3.2158,-7.02498,-3.62836,-9.03314,0.7486,21.7149,28718.8,8.62819,0.677137,0.000431883,0.999837,32.0687,707.639,812.779,2.30672e+06,38422.4,8.96348e-07,0.846088,110.451,83.9595,27.9012,29.6265,0.941767,707.64,812.778,0.846088 
18,0.01,18,22174.3,0,5,101,125,0,5,135,-11.4129,-6.85265,-6.83676,-6.98892,-7.29988,-34.1355,-7.72787,30549,-37.3769,16439.4,-11.281,-6.72076,-6.57298,-6.85703,-7.16799,0.829715,-5.73299,30698.6,-35.3821,0.118963,-0.000106726,1.00063,-48.1915,412.409,482.744,0.460379,39603.4,9.05439e-07,0.492791,109.395,86.0202,22.9453,24.5947,0.932936,478.577,560.139,0.571827 
19,6.01,19,17763.8,0,5,101,125,0,5,135,-7.05154,-5.76681,-11.0175,-4.82186,-9.53313,-101.814,32.3171,25401.9,-13.3286,16439.4,-6.65815,-5.37342,-10.2307,-4.42848,-9.13974,0.714469,38.267,25848.2,-7.37859,1.30104,0.000845259,1.00015,29.4127,720.959,802.186,0.967851,34422.2,8.64095e-07,0.880098,110.459,84.1976,28.478,29.7593,0.956944,737.196,820.082,0.899826 
