cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,44.76,12,27053.5,-0.626288,58.5232,11.7758,120.835,1.07255,-411.904,2.21856e-07,-5.27744,-5.54519,-6.33222,-4.01727,-5.65292,89.2835,2286.61,-1.61452,27776.5,36816.1,-5.83963,-6.10738,-7.45661,-4.57947,-6.21511,0.753078,2161.38,-6.25262,27651.2,0.0833176,1.00509,-0.000416719,25941.4,-0.00423719,0.147103,12.7936,13.661,122.787,93.9707,2.63947,12.078,11.4387,120.348,141.806,2.43967,-47.8353 
13,44.785,13,24749.9,-0.0226936,55.4847,11.2312,121.197,0.0225288,-70.3323,492.11,-5.75111,-1.45788,-9.46677,-5.35176,-8.45978,147.327,3458.35,-1.37576,24237.5,20337.5,-6.67879,-2.38556,-11.3221,-6.27944,-9.38745,0.685962,3251.71,-9.0291,24030.9,0.135951,1.00488,-0.000692612,23918.3,-0.00388982,0.341584,10.668,10.436,121.727,91.0331,2.42276,11.7633,11.2032,120.801,140.273,0.926029,-49.2397 
14,44.835,14,25366.7,-0.113756,56.091,11.3435,120.693,0.275609,-315.587,500,-5.16497,-3.48413,-8.03311,-3.36058,-6.70532,120.283,3120.57,8.40707,25161.4,23544.1,-5.92236,-4.24152,-9.54789,-4.11797,-7.46271,0.694882,2951.86,2.1586,24992.7,0.120752,0.998722,0.000159076,24445.6,-0.00384676,0.285335,10.9443,10.9906,121.535,92.454,2.51906,11.7775,11.1215,120.205,141.628,1.33071,-49.1742 
15,44.8,15,22890.2,-0.916761,53.0439,11.3335,121.075,1.78111,-863.202,0.0778216,-7.08236,-4.83781,-14.861,-8.85491,-7.99825,149.326,3556.96,-6.44963,22202.3,69619.5,-8.02262,-5.77808,-16.7415,-9.79518,-8.93852,0.66025,3347.51,-14.2068,21992.9,0.150373,1.00748,-0.00119137,22261.4,-0.00374184,0.35713,10.6537,10.5469,121.878,91.6455,2.23361,11.6427,11.2417,120.481,141.071,1.39678,-49.4257 
16,44.82,16,25140.7,-0.905243,56.6385,11.4542,120.805,-1.16732,1662.6,165.185,-5.28954,-4.75543,-7.40396,-4.36252,-5.80107,146.802,3474.21,-6.12779,24443.4,84298.1,-6.21391,-5.6798,-9.25271,-5.28689,-6.72544,0.720957,3268.3,-13.7539,24237.5,0.135544,1.00742,-0.00104642,24112.5,-0.00367046,0.336357,10.8278,10.6672,121.512,91.2325,2.45934,11.7072,11.1215,120.36,140.581,1.15195,-49.3489 
17,44.825,17,19560.1,-0.00199214,46.6504,10.9431,121.036,0.270274,-106.433,500,-4.1546,-7.24179,-8.82839,-3.80876,-4.37354,147.374,2935.51,-12.4577,19751.1,17554.9,-5.08257,-8.16977,-10.6843,-4.73673,-5.30152,0.685523,2728.81,-20.1134,19544.4,0.139674,1.01307,-0.00189933,19537,-0.00393169,0.287402,10.7731,10.3207,121.52,91.7252,2.10171,11.431,10.9197,120.621,140.983,0.899188,-49.2577 
18,44.805,18,23985.6,-0.00123998,52.6614,11.3284,121.011,-0.00785585,10.97,500,-6.55056,-5.17685,-4.28893,-6.73932,-4.21913,118.203,3730.17,8.31217,22877.7,19423.1,-7.29486,-5.92114,-5.77751,-7.48361,-4.96343,0.81624,3564.38,2.17175,22711.9,0.154325,0.998935,0.000176114,23096.6,-0.00345483,0.370317,10.7732,10.3719,121.322,90.8597,2.27135,11.8055,11.2079,120.547,140.441,0.775174,-49.5814 
19,44.78,19,23488.1,-0.930451,54.029,11.396,121.007,-0.0511791,520.66,251.587,-4.16983,-8.15198,-2.05761,-5.85721,-0.0835337,143.199,2946.03,-6.25676,23531.4,20910.9,-5.07152,-9.05366,-3.86098,-6.7589,-0.985217,0.849944,2745.18,-13.6956,23330.6,0.120353,1.00881,-0.00108253,22809.5,-0.00384596,0.285679,10.6752,10.3744,121.255,92.1279,2.42508,11.6002,11.0056,120.571,141.45,0.684338,-49.3217 
20,44.845,20,23925.9,-0.257564,53.2069,-11.4549,121.007,0.266062,20.4208,500,-5.25478,-2.20212,-4.56622,-9.87673,-7.19204,146.046,2528.17,-0.962763,24314.2,20017.5,-6.17439,-3.12173,-6.40544,-10.7963,-8.11165,0.814923,2323.33,-8.54954,24109.3,0.100763,1.00648,-0.000653666,23057.4,-0.00391238,0.185229,12.3699,11.9377,122.028,92.8696,2.43017,11.793,11.172,120.572,141.892,1.4552,-49.0223 
21,44.845,21,25161.5,-0.278946,55.2414,11.3866,120.948,0.230582,212.674,500,-3.56101,-6.61614,-14.9643,-4.66003,-2.77293,154.995,2442.49,-14.0583,25314.5,22072.8,-4.53697,-7.5921,-16.9162,-5.63599,-3.74889,0.559819,2225.1,-22.1099,25097.1,0.0934579,1.0177,-0.00162549,23808.6,-0.00371635,0.196696,11.5133,11.3963,121.71,92.3581,2.54976,11.7927,11.1127,120.551,141.157,1.15913,-48.7987 
