cyc,vva,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
15,10,46.5333,15,17027.8,-0.0036682,31.101,11.8633,121.733,0.0237217,-18.6696,500,2.64455,-0.0978427,2.94012,0.633693,1.59709,-19.862,310.558,67.9824,16220.9,12025.3,2.76961,0.0272233,3.19025,0.758759,1.72216,0.623258,332.007,68.8579,16242.3,0.0210635,0.733704,0.00774893,15762.2 
16,5,46.4033,16,18188.9,0.0248018,32.732,11.9845,121.768,0.0223629,196.337,0.701492,1.79537,4.88724,-1.92779,3.13981,2.56876,-46.5175,314.115,78.3492,17243.1,12912.8,2.08828,5.18014,-1.34197,3.43272,2.86167,1.10981,364.349,80.3995,17293.3,0.0216965,0.721414,0.00849153,16793 
17,2,46.3483,17,16791.5,0.0496303,31.0639,11.5603,121.792,0.128535,-127.851,0.215985,6.2224,-0.527753,1.87478,-1.5615,2.31547,-70.8651,279.965,66.8041,15906.4,12225.1,6.66862,-0.0815343,2.76721,-1.11528,2.76169,0.748451,356.492,69.9276,15983,0.0229398,0.744451,0.00799502,15540.3 
18,10,46.1433,18,17158.5,0.0207872,31.2657,11.8453,121.846,-0.00612218,1.39972,13.8947,3.89365,-1.31251,5.23304,-0.106413,2.56616,-92.9367,295.416,60.8923,16303.5,12056.4,4.47885,-0.727316,6.40344,0.478785,3.15136,0.535482,395.778,64.9887,16403.9,0.0247679,0.776784,0.00724515,15979.5 
19,2,46.3383,19,13601.1,0.0785473,25.8824,11.06,122.72,-0.0309056,-48.566,0.00065584,2.97345,-4.46468,3.66877,-0.816952,-2.08371,-16.9934,4458.4,48.6094,8469.44,9367.55,3.08045,-4.35767,3.88277,-0.709949,-1.9767,48.8747,4476.75,49.3584,8487.79,0.356993,0.981071,0.0105987,12540.1 
20,5,46.3933,20,17264,-0.00820981,31.7101,11.8021,122.176,-0.0172196,-7.73197,1.53149e-10,1.12718,-0.40331,1.24882,-1.83892,0.735264,-70.3057,353.373,81.383,16342.9,12187.2,1.56988,0.0393868,2.13421,-1.39623,1.17796,0.394586,429.295,84.4819,16418.8,0.0267855,0.743834,0.00938942,16027.2 
21,10,46.4533,21,16881.5,0.00479912,31.1523,11.7534,122.059,-0.0464008,-91.8334,437.425,-3.23284,-2.51105,-0.168725,2.30133,-1.37904,-47.0836,331.902,62.5488,16136.5,12058,-2.93637,-2.21457,0.424221,2.59781,-1.08257,1.13209,382.747,64.6241,16187.3,0.0242849,0.771918,0.00730049,15760.7 
22,2.5,46.3233,22,17911.5,0.00462567,32.9967,11.8806,121.97,-0.0144378,-12.7765,500,1.06347,2.55764,-4.92598,3.36799,-2.0199,-46.1739,316.867,75.2764,17194,12767.6,1.35422,2.84838,-4.34449,3.65873,-1.72915,3.43024,366.73,77.3117,17243.9,0.0218964,0.730501,0.00819128,16748.4 
23,10,46.4733,23,16367.5,-0.00989369,31.1228,11.6115,121.995,-0.0390073,20.4167,500,2.17996,-1.5873,7.75969,1.79861,1.87136,10.7655,267.552,73.096,15897.5,11790.1,2.11217,-1.65509,7.62411,1.73082,1.80357,0.343631,255.926,72.6215,15885.9,0.0166754,0.668191,0.00835075,15347.5 
24,2,46.3463,24,16189.4,-0.0368062,30.6629,11.6046,121.827,0.0355741,12.9538,335.306,-1.844,2.81531,1.49084,0.757412,0.574908,-47.5869,412.635,76.1805,15507,11598.5,-1.54435,3.11496,2.09012,1.05705,0.87455,0.626252,464.023,78.278,15558.4,0.0304387,0.772073,0.00918295,15244.5 
