cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,0.79,3.21,12,5949.98,0.0127544,11.3445,11.1891,120.737,-0.028828,21.0984,8.83875e-11,2.86409,-0.0639805,-6.01792,6.52603,1.33127,54.8599,440.383,24.9876,5218.51,4151.94,2.51865,-0.409419,-6.7088,6.18059,0.985831,3.61363,381.14,22.5695,5159.26,0.124395,0.906103,0.00799398,3063.96,0.000244351,0.037005,10.2493,15.0673,125.415,105.375,0.477142,11.4625,11.667,120.12,133.961,5.29532,-28.586 
13,0.65,3.35,13,6366.12,-0.00289754,11.9431,11.4072,121.027,0.000956851,-2.43388,0.00501927,1.917,-0.182061,1.53727,-2.1626,0.00698947,28.1337,507.01,37.8853,5513.13,4435.08,1.73985,-0.359211,1.18297,-2.33975,-0.170161,-21.0302,476.628,36.6452,5482.75,0.143232,0.881409,0.0121624,3327.66,0.000339994,0.0371282,11.4501,18.5048,124.786,106.656,0.500306,11.5102,11.362,120.444,134.236,4.34165,-27.5794 
14,0.19,3.81,14,6525.39,0.0591007,11.5846,11.6567,120.702,-0.225718,197.24,435.497,0.836031,6.89677,1.81843,0.648572,-0.786674,48.6285,572.008,55.1063,5456.88,5845.26,0.52983,6.59056,1.20603,0.342371,-1.09288,0.840807,519.495,52.9629,5404.36,0.156015,0.848598,0.0177326,3329.76,0.000437142,0.055792,-10.9401,12.3246,124.228,106.131,0.488364,11.709,11.608,120.034,134.282,4.19416,-28.1512 
15,0.55,3.45,15,5848.82,0.00746949,10.9301,11.546,120.844,-0.0369024,-15.9658,319.766,-3.02148,-1.45401,-2.55224,-2.76153,-1.85558,18.9406,516.888,46.1318,5106.73,4127.35,-3.14074,-1.57327,-2.79076,-2.88079,-1.97484,0.774217,496.435,45.297,5086.27,0.158035,0.862308,0.0161405,3141.3,0.000180233,0.0487984,-11.2436,13.5951,124.165,105.158,0.466124,11.7527,11.2657,120.169,133.187,3.99614,-28.0288 
16,0.23,3.77,16,6492.85,0.0330953,11.9217,11.5152,120.626,-0.115233,121.42,281.647,1.68242,2.24629,0.104744,1.2517,0.528796,23.0413,498.517,37.4926,5669.25,4924.43,1.53733,2.1012,-0.185426,1.10661,0.383711,1.03751,473.635,36.477,5644.37,0.138948,0.881231,0.0117646,3408.71,0.000380243,0.0290042,10.5958,22.9334,125.174,108,0.503134,11.5128,11.6087,120.03,133.467,5.14361,-25.4672 
17,0.73,3.27,17,6228.83,0.00572869,11.9763,11.243,120.74,0.0119602,-10.2914,185.041,1.26342,-1.91686,1.93188,-1.21778,-0.698414,13.6142,562.662,47.3129,5459.47,4387.31,1.1777,-2.00259,1.76043,-1.30351,-0.784139,2.52801,547.96,46.7128,5444.77,0.162155,0.870182,0.0155583,3379.24,0.00021859,0.057477,10.8248,12.6538,123.811,105.399,0.488179,11.502,11.6521,120.131,133.95,3.68041,-28.5508 
18,0.33,3.67,18,6516.83,0.0215043,12.275,11.3333,121.117,-0.00571935,-18.9025,413.687,-1.30761,2.45657,3.74337,-1.58212,1.0341,-10.5781,509.26,50.7073,5700.22,4532.23,-1.241,2.52317,3.87659,-1.51551,1.10071,0.182838,520.684,51.1736,5711.64,0.149161,0.853248,0.0162364,3490.74,0.000289176,0.0499499,-9.8522,13.6459,124.913,106.016,0.515582,11.6372,11.5224,120.353,133.493,4.56041,-27.4767 
19,0.07,3.93,19,6266.04,0.038685,11.1981,11.7628,120.839,-0.232709,278.808,146.02,-1.31478,2.2371,2.78124,-0.734431,-1.14326,41.9509,425.771,37.8227,5482.16,6400.04,-1.57893,1.97294,2.25293,-0.998585,-1.40742,-8.35045,380.469,35.9737,5436.86,0.118614,0.858027,0.0120418,3207.64,0.000337309,0.0395382,-10.7519,14.4228,125.103,107.01,0.497539,11.745,11.2904,120.082,134.214,5.02053,-27.2042 
20,0.03,3.97,20,6589.15,0.0452175,12.1077,11.3976,120.96,-0.038175,76.2708,9.91338,-1.27667,-0.283356,0.00450948,0.395219,-2.65994,32.1043,560.384,40.9279,5710.22,4587.09,-1.47882,-0.485508,-0.399795,0.193067,-2.86209,0.920568,525.715,39.5128,5675.55,0.151198,0.883759,0.0126622,3477,0.000313429,0.0304867,12.1763,23.0123,125.223,103.627,0.506646,11.6348,11.5113,120.254,133.962,4.96908,-30.3348 
21,0.21,3.79,21,6998.38,0.0683156,12.4342,11.6025,120.884,-0.990836,124.105,107.673,0.443553,-0.0864938,-2.41651,1.35521,-0.215962,39.8642,574.094,29.2945,5885.14,8699.4,0.192539,-0.337508,-2.91854,1.1042,-0.466976,-0.202884,531.045,27.5374,5842.09,0.148797,0.916803,0.00860824,3568.93,0.000424213,0.031324,11.1969,34.5137,124.812,108,0.513593,11.7021,11.2761,120.064,133.929,4.74809,-25.929 
