cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,-200,47.0159,10,0,15086.2,-0.0208898,27.3089,12.1746,121.592,0.0156658,-6.15009,6.79891e-11,3.45977,3.24172,-0.445744,-2.07193,3.05998,6.61319,152.94,47.834,14940.7,10826.3,3.41813,3.20008,-0.529027,-2.11357,3.01834,1.07564,145.799,47.5425,14933.6,0.0116261,0.636681,0.00583033,12540.7 
1,110,47.3259,10,1,14460.9,-0.050653,25.4583,12.564,121.683,0.0803759,-0.0226867,1.96949,2.80848,2.6312,3.85017,-0.551224,-1.55396,39.1886,768.843,51.4986,13565.6,10412.5,2.56172,2.38444,3.35665,-0.797984,-1.80072,0.411537,726.524,49.7713,13523.2,0.0607928,0.892948,0.00673407,11950.8 
2,-15,47.2009,2.1,2,13107.3,-0.045653,24.1157,12.0676,121.617,-0.044538,52.4299,499.936,0.417992,1.63807,4.46276,-1.88736,-1.93219,15.5326,854.656,35.8437,12242.4,9549.61,0.320187,1.54026,4.26715,-1.98516,-2.02999,-1.02,837.882,35.159,12225.7,0.0762738,0.93159,0.00526968,10985.2 
3,120,47.3359,10,3,14827.7,-0.0239583,26.2396,12.3781,121.648,-0.00215556,0.301691,154.635,-0.711402,0.279487,1.43086,-0.239567,0.887771,21.4517,690.424,59.1643,14032.2,10573.2,-0.846477,0.144411,1.16071,-0.374643,0.752696,-0.387254,667.259,58.2188,14009,0.0542719,0.867537,0.00759729,12294.7 
4,-10,47.2059,2.1,4,13885.6,-0.125244,26.0763,12.1114,121.532,0.043827,131.611,499.887,2.5806,1.73676,4.43126,0.273156,1.92831,-27.6881,1026.77,49.2695,13123.9,10468.7,2.75495,1.91111,4.77995,0.447501,2.10265,0.601543,1056.67,50.49,13153.8,0.0882448,0.922834,0.00702116,11974.3 
5,130,47.3459,10,5,13680.8,-0.0811649,24.9492,12.2798,121.58,0.00759803,-44.2719,491.626,2.45841,3.84018,1.64269,-1.24878,-1.06937,9.57673,560.14,41.4419,13199.4,9984.37,2.39811,3.77988,1.52209,-1.30909,-1.12967,0.710702,549.799,41.0197,13189.1,0.0478221,0.884513,0.00569654,11496.8 
6,15,47.2309,2.1,6,15573.4,-0.0721202,28.5032,12.155,121.737,-0.0118968,62.92,244.489,3.5242,5.03795,8.20959,0.432771,0.961485,1.53858,1154.34,66.9981,14476,11302.6,3.51451,5.02826,8.19021,0.423083,0.951797,0.547699,1152.67,66.9303,14474.4,0.0875466,0.907759,0.00844605,13166.4 
7,60,47.2759,2.7,7,15214.1,-0.0163706,27.5829,12.0484,121.654,0.0181784,-14.82,275.513,2.00074,0.653694,12.7828,0.0914904,0.0740233,-27.8009,1004.55,56.2389,14113.7,10827.2,2.17579,0.828749,13.133,0.266545,0.249078,0.211382,1034.58,57.4643,14143.7,0.0809916,0.911409,0.00742866,12773.9 
8,90,47.3059,4,8,15767.7,-0.0549256,29.1455,-12.1108,121.536,0.0576242,13.7558,500,-6.73746,1.25203,0.499156,-2.4394,-1.83553,-6.60918,707.982,44.4432,15245.7,11516.3,-6.69584,1.29365,0.582388,-2.39778,-1.79391,1.06463,715.119,44.7345,15252.9,0.0534669,0.90133,0.00537361,13375 
9,-30,47.1859,2.3,9,14159.2,0.00795146,25.8561,-12.0351,121.801,-0.00875569,-10.4202,1.05061e-11,0.767279,-0.795694,0.631748,-0.0739106,0.101684,27.3299,1061.04,41.392,13111.8,10132.9,0.59519,-0.967783,0.28757,-0.246,-0.0704052,1.71637,1031.52,40.1874,13082.3,0.0867569,0.936173,0.0056269,11889.8 
