cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,0.73,3.27,17,13720.6,-0.00414535,23.7581,12.7766,121.565,-0.0062413,9.9487,3.92859e-11,3.19461,-0.431298,-6.0912,4.07851,-1.31738,15.064,1470.45,822.241,11014.9,9883.49,3.09975,-0.526152,-6.28091,3.98366,-1.41224,-4.52951,1453.51,818.257,10998,0.202651,0.503737,0.120534,7172.48 
18,0.33,3.67,18,14112.8,-0.039266,24.097,12.9064,121.586,-0.00685919,33.4742,333.874,-5.23085,-2.57688,-1.93235,-0.815326,0.130924,78.4317,1536.14,820.304,11246.8,10131.7,-5.72472,-3.07075,-2.92008,-1.30919,-0.362939,0.781883,1447.98,799.562,11158.7,0.199708,0.508561,0.116603,7250.49 
19,0.07,3.93,19,13776.9,-0.0134819,24.1653,12.6536,121.655,-0.0128006,10.5862,500,-2.88209,-1.29391,-3.09662,-0.160759,-0.31067,49.2668,1407.98,688.066,11270.8,9958.48,-3.19231,-1.60413,-3.71706,-0.470979,-0.62089,0.613023,1352.61,675.036,11215.4,0.188264,0.5338,0.099807,7184.64 
20,0.03,3.97,20,14560.6,-0.0399862,24.3502,13.175,121.457,0.00711101,16.5848,485.115,-3.28255,0.107229,-1.21482,0.923555,-0.682604,79.2085,1805.09,926.216,11298.7,10447.4,-3.78131,-0.391525,-2.21233,0.4248,-1.18136,0.690225,1716.06,905.268,11209.7,0.22744,0.519974,0.129499,7545.09 
21,0.21,3.79,21,14071.2,0.00143472,23.7282,12.8743,121.763,-0.0140092,-7.30678,58.1567,1.78999,-0.955196,-5.65363,3.06557,-1.25599,35.8278,1486.78,619.812,11370,9947.88,1.56439,-1.18079,-6.10482,2.83997,-1.48159,-0.399274,1446.51,610.337,11329.7,0.197127,0.575245,0.0902764,7337.97 
22,0.63,3.37,22,14153.5,-0.00813918,24.3181,12.86,121.644,-0.00384938,-24.6593,2.1005e-10,-5.49968,-1.97643,-2.6028,-0.782306,0.654559,47.5806,1407.22,785.286,11540,10183.5,-5.79928,-2.27603,-3.202,-1.08191,0.354957,0.733261,1353.74,772.702,11486.6,0.184767,0.500279,0.110256,7326.75 
23,0.67,3.33,23,13668.8,-0.000963805,23.5708,12.601,121.78,-0.00601311,3.83637,439.409,2.98767,1.7055,-6.73112,0.391643,2.47172,52.3395,1439.35,834.964,10850.8,9669.64,2.6581,1.37593,-7.39025,0.0620747,2.14215,-5.41521,1380.53,821.122,10792,0.197434,0.489984,0.122929,6992.36 
24,0.41,3.59,24,15211.4,0.00771352,25.3456,13.0018,121.523,0.0123071,-30.0512,428.246,1.87718,-2.60805,-7.04376,-0.292057,0.977352,80.1347,1701.37,820.583,11991.1,10739.6,1.37259,-3.11263,-8.05293,-0.796644,0.472766,0.204008,1611.3,799.39,11901,0.206582,0.535275,0.11011,7799.83 
25,0.11,3.89,25,14129.4,0.0221995,23.8996,12.7364,121.627,-0.0531368,-15.5972,141.867,0.52092,-0.531904,6.08464,2.25832,0.843973,34.7354,1590.34,796.343,11090.6,9936.02,0.302201,-0.750624,5.6472,2.0396,0.625254,0.281859,1551.3,787.157,11051.6,0.212561,0.529666,0.115987,7298.13 
26,0.43,3.57,26,13429.1,0.0125718,22.6901,12.8581,121.446,-0.0094009,-18.1024,500,2.27764,-2.52605,0.174346,-0.879482,3.61009,66.7135,1490.26,801.926,10559.1,9503,1.85756,-2.94613,-0.665808,-1.29956,3.19001,5.89283,1415.28,784.283,10484.1,0.206098,0.507673,0.121113,6867.01 
