cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,0.79,3.21,12,14589,-0.0512765,25.7205,12.6261,122.031,-0.00632997,95.5806,500,-1.58739,0.536815,0.71692,1.90079,-0.103379,26.7324,1818.76,150.993,12384.4,10591.4,-1.75572,0.368488,0.380267,1.73246,-0.271706,0.162027,1789.89,149.814,12355.5,0.217887,0.872238,0.0218481,8214.75,0.000123993,0.113659,12.5791,28.2904,124.422,108,0.92508,12.5755,11.7438,121.113,133.627,3.30917,-25.6271 
13,0.65,3.35,13,13759.7,-0.136418,24.246,12.9651,122.094,0.0794237,2.43231,265.712,4.0224,-3.0497,-1.06275,0.0437526,-0.73738,61.9479,1615.55,76.32,12067.2,10239.5,3.63233,-3.43977,-1.84289,-0.346317,-1.12745,0.410105,1548.66,73.5895,12000.3,0.198831,0.923227,0.0111702,7788.81,-0.000318544,0.0655691,14.8123,27.4282,126.074,96.9436,0.941557,12.7576,12.1886,121.436,134.83,4.63848,-37.8868 
14,0.19,3.81,14,14506,-0.0803261,24.8485,13.0471,121.801,-0.00882368,78.3171,32.4437,-0.259464,2.54803,-3.01094,1.73495,-0.137083,75.417,1602.6,107.116,12536.7,10576.3,-0.734345,2.07315,-3.9607,1.26006,-0.611964,-1.00665,1521.15,103.792,12455.3,0.190194,0.893331,0.0151184,7997.9,-5.29459e-05,0.0806932,13.2436,35.2254,124.969,108,0.947279,12.7666,11.6477,120.824,134.231,4.14533,-26.2306 
15,0.55,3.45,15,13051.2,-0.0252604,22.8647,12.686,122.143,-0.00579415,9.05229,500,-0.0308471,-0.0796484,-4.56981,0.505055,0.299241,41.0983,1592.65,128.583,11114.8,9444.15,-0.289632,-0.338433,-5.08738,0.24627,0.0404556,0.0628767,1548.27,126.772,11070.4,0.211949,0.874669,0.0206589,7304.89,9.95289e-05,0.0946629,12.4017,28.889,124.76,108,0.852621,12.698,11.513,121.264,134.92,3.49571,-26.9195 
16,0.23,3.77,16,13937.1,-0.0662225,24.0406,12.9051,122.046,0.055645,-11.3546,455.847,2.13141,-0.784184,-0.959017,0.208724,1.57303,17.1921,1657.85,101.303,11861.9,10120.1,2.02316,-0.892439,-1.17553,0.10047,1.46477,1.77315,1639.29,100.545,11843.3,0.210224,0.903068,0.015398,7797.8,1.34463e-05,0.0798958,13.0303,35.7866,124.926,108,0.886776,12.6758,11.8639,121.114,134.656,3.81202,-26.6557 
17,0.73,3.27,17,13809.6,0.00186891,24.1815,12.7139,122.102,-0.00677349,2.42612,4.16889e-11,-0.549993,-3.65727,6.73011,-1.80407,-1.56757,36.9286,1660.25,108.97,11855.4,10008.8,-0.782522,-3.8898,6.26505,-2.0366,-1.8001,3.79195,1620.37,107.343,11815.5,0.208691,0.896113,0.0164598,7764.45,-7.61843e-05,0.0893695,12.6751,32.5429,124.913,108,0.904003,12.7471,11.5791,121.19,134.828,3.72386,-26.828 
18,0.33,3.67,18,14308.2,-0.0909867,25.1711,12.7573,122.142,0.0589281,4.62741,495.061,-1.56376,-3.41806,0.0103905,-2.52662,2.39526,76.4716,1571.78,103.032,12342.9,10462.2,-2.04529,-3.89959,-0.952652,-3.00814,1.91374,0.880798,1489.2,99.6612,12260.3,0.189356,0.895164,0.0147531,7864.57,-8.0724e-05,0.0797025,13.3173,35.9132,124.686,108,0.958499,12.5195,11.5292,121.274,134.396,3.41254,-26.3963 
19,0.07,3.93,19,12970.5,-0.12262,23.3891,12.6403,122.261,0.032773,25.5743,383.186,2.03871,-2.8778,0.221145,2.41393,-1.31279,74.1238,1526.78,102.14,11234.7,9651.5,1.57197,-3.34454,-0.712331,1.94719,-1.77953,0.692595,1446.73,98.8727,11154.7,0.199627,0.893177,0.0160657,7247.17,-0.000163753,0.0874413,12.6646,30.6259,125.201,108,0.880989,12.4563,11.6014,121.364,135.071,3.83725,-27.0707 
20,0.03,3.97,20,15320.9,-0.0774411,26.0588,13.1079,122.138,-0.342203,497.918,499.909,-3.24727,2.27001,-2.64149,0.648543,1.32994,49.6605,1872.05,112.194,13027,16666.2,-3.55996,1.95731,-3.26689,0.335843,1.01724,0.0709735,1818.42,110.005,12973.4,0.212318,0.904269,0.0153795,8564.58,-0.000111748,0.0849562,13.4909,36.93,124.92,108,0.973087,12.9234,11.688,121.244,135.638,3.67573,-27.6384 
21,0.21,3.79,21,16231.8,-0.142071,28.4036,12.9838,122.095,0.131608,-37.0293,436.876,-1.40481,-4.86389,-1.50038,-2.52837,-1.9886,41.72,1961.98,132.508,13956.3,12163.8,-1.66751,-5.12659,-2.02578,-2.79107,-2.2513,0.853864,1916.92,130.669,13911.2,0.209482,0.893423,0.0170087,9150.76,-0.000259689,0.098987,13.2241,35.7781,124.73,108,1.05444,12.7833,11.5507,121.184,134.663,3.54659,-26.6626 
22,0.63,3.37,22,15907.6,-0.130136,27.504,12.9441,122.226,0.0706153,6.19926,1.79683e-11,-3.97405,-2.67315,-1.07435,1.0981,1.0236,64.6537,1752.16,92.4872,13838.8,11603.7,-4.38116,-3.08025,-1.88856,0.690992,0.616498,0.765177,1682.34,89.6374,13768.9,0.190263,0.91471,0.0118502,8842.2,-0.000233492,0.0732223,13.2712,43.1091,125.383,108,1.04834,12.7464,11.698,121.371,134.732,4.01109,-26.7317 
23,0.67,3.33,23,13494.5,-0.0337038,23.8566,12.8133,122.202,0.00135016,5.04374,500,-5.80522,1.08063,2.0989,-0.766705,3.24695,36.1291,1528.38,107.896,11789.6,9951.18,-6.03272,0.853133,1.64391,-0.994201,3.01946,2.08838,1489.37,106.303,11750.5,0.195979,0.888963,0.0163917,7599.65,-0.000182773,0.0899876,12.9135,27.7566,125.149,108,0.916769,12.7492,11.6066,121.301,135.791,3.84864,-27.791 
24,0.41,3.59,24,14942.8,-0.0629675,25.963,12.966,122.245,0.00703029,-25.9238,497.064,0.996203,1.35484,0.025437,-0.373106,-1.77154,51.7701,1762.41,104.935,12838.4,10964.6,0.67022,1.02885,-0.626528,-0.699089,-2.09752,0.636598,1706.51,102.653,12782.5,0.204289,0.904757,0.0145779,8353.39,-0.000196909,0.0862345,12.6198,37.7075,125.278,108,0.96344,12.8087,11.7358,121.241,134.501,4.03664,-26.5009 
25,0.11,3.89,25,13640.1,-0.0827132,24.7113,-12.3694,122.221,-0.0534839,47.4834,420.986,-2.50929,-0.87594,-1.20769,0.511571,-0.489589,57.9111,1605.76,107.747,11731.2,10033,-2.87394,-1.24059,-1.93699,0.14692,-0.854239,0.713414,1543.22,105.195,11668.7,0.202764,0.893423,0.0163356,7610.92,-7.58842e-05,0.0929728,12.0227,32.9918,124.764,108,0.947259,12.4086,11.1736,121.295,134.427,3.46886,-26.427 
