cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
1,0.11,3.89,1,17801.2,0.0843176,29.0227,12.9936,121.698,-0.257849,111.938,65.9923,-0.602904,-4.33581,-6.82231,-3.27405,4.15792,-97.5913,1973.67,117.416,14730.1,13215.8,0.0116025,-3.72131,-5.5933,-2.65954,4.77242,0.222086,2079.06,121.717,14835.5,0.212289,0.907068,0.0148884,9793.54,0.000522076,0.078605,14.4388,37.9026,124.92,108,1.1099,12.7072,11.904,120.896,137.811,4.02403,-29.8113 
2,0.07,3.93,2,17041.3,0.0206454,26.8136,13.3634,121.67,-0.0871921,-41.9966,500,0.461108,-2.16644,-10.6379,-4.45451,-9.61074,-85.459,1906.37,80.2731,13959.1,11783.7,0.99922,-1.62833,-9.56165,-3.9164,-9.07263,0.587501,1998.65,84.0399,14051.4,0.214785,0.931459,0.0108974,9305.36,0.000728701,0.0647928,17.1467,26.7169,125.583,96.3806,1.04583,13.1643,12.2784,120.969,137.003,4.61403,-40.6221 
3,0.13,3.87,3,17665.7,0.000979005,28.846,13.1748,121.697,-0.00451093,-16.9472,2.08372e-11,2.02253,-4.77059,-12.2028,-3.27356,-1.77793,-136.341,1933.14,106.122,14954.7,12374.1,2.88104,-3.91209,-10.4858,-2.41506,-0.919425,0.29395,2080.37,112.132,15101.9,0.209433,0.913806,0.0134931,9933.38,0.00015936,0.0745844,14.6633,40.4337,125.058,108,1.11821,12.9798,11.7174,120.855,137.425,4.20271,-29.4249 
4,0.09,3.91,4,17768.6,0.00759837,28.8517,13.2425,121.838,-0.0149568,-5.23365,8.53684e-11,0.0610234,-4.70796,-13.8986,0.192369,-2.83535,-97.5229,2026.29,126.255,14840.8,12440.1,0.675099,-4.09388,-12.6704,0.806445,-2.22128,0.276143,2131.6,130.554,14946.1,0.215236,0.903194,0.0158359,9903.58,0.000363482,0.0805542,14.3311,38.3982,124.913,108,1.08857,13.0364,11.8655,120.949,137.71,3.96371,-29.7098 
5,0.17,3.83,5,18521.1,0.00243475,30.6404,13.1209,121.626,0.0863041,-77.3144,238.238,-3.7253,-2.12958,-9.80585,-7.75793,-3.3214,-118.071,2062.84,112.567,15775.4,13304.6,-2.98183,-1.38612,-8.31892,-7.01447,-2.57794,0.626607,2190.34,117.772,15902.9,0.209405,0.913997,0.0134585,10459.8,8.93418e-05,0.0828386,14.7688,38.0772,124.809,108,1.18555,12.8302,11.7781,120.791,137.438,4.01762,-29.438 
6,0.41,3.59,6,17667.5,-0.0125201,28.7992,13.3749,121.498,-0.0221654,-5.44156,466.216,-2.85112,-7.04627,-5.2641,-2.04063,-1.75299,-54.0899,2109.99,124.949,14949.6,12543,-2.51053,-6.70568,-4.58292,-1.70004,-1.4124,0.729007,2168.4,127.333,15008,0.217437,0.906812,0.0153886,9972.55,-6.27911e-05,0.0805998,15.4096,39.4066,124.381,108,1.08526,13.0582,11.8865,120.711,137.191,3.66953,-29.1913 
7,0.23,3.77,7,17906.6,-0.0180991,29.4073,13.3287,121.677,0.000746397,-13.5791,500,0.378082,-0.782299,-12.3336,-2.94118,-3.15805,-13.95,1992.32,127.411,15396.5,12759.9,0.465921,-0.694459,-12.1579,-2.85334,-3.07021,0.335995,2007.38,128.026,15411.5,0.20031,0.899595,0.015072,10021.4,1.52304e-05,0.0803912,14.5528,35.7176,124.612,108,1.1282,13.1437,11.9666,120.92,137.841,3.69131,-29.8412 
8,0.15,3.85,8,17271.7,-0.0104608,28.6745,-13.125,121.731,0.00348466,7.42998,135.887,-4.73072,-5.23501,-9.43898,-5.96342,-0.488111,-73.4331,1828.06,95.7246,14820.7,12252.4,-4.26833,-4.77262,-8.5142,-5.50103,-0.0257225,0.631131,1907.36,98.9614,14900,0.197545,0.916761,0.0120869,9655.33,7.12903e-06,0.0709301,14.1735,39.8016,125.634,108,1.14992,12.8752,11.5875,120.859,137.781,4.77522,-29.7815 
9,0.21,3.79,9,15378.2,-0.034084,26.009,12.9918,121.698,0.0188402,-12.5391,14.2945,3.51966,0.653907,-7.9819,3.32226,2.49164,-13.9082,1646.24,76.4703,13390.7,11007.6,3.60724,0.741484,-7.80675,3.40983,2.57922,4.08441,1661.26,77.0834,13405.7,0.192449,0.924898,0.0104812,8632.23,-5.7393e-05,0.0578607,16.4414,29.015,125.993,97.49,1.05549,12.7241,12.0368,121.08,136.459,4.91259,-38.9687 
10,0.03,3.97,10,16644.7,-0.0687691,28.3913,13.0091,121.463,0.0053882,-10.9198,135.13,0.14736,0.120393,-11.6954,-3.09261,-2.65183,-42.815,1816.16,98.5451,14551.3,12025.4,0.416955,0.389988,-11.1562,-2.82301,-2.38223,0.282767,1862.4,100.432,14597.6,0.197013,0.913767,0.0125152,9453.14,-9.80567e-05,0.0691821,15.751,28.4912,125.039,100.539,1.13308,12.8541,11.967,120.896,136.907,4.14304,-36.3673 
