cyc,time,chargetime,decoherencetime,VVA,PhaseOGain,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,0.45,0.45,1.25,1.7,-9,0,8848.67,0.0370696,16.9155,11.1046,121.105,-0.0488366,-87.7952,0.0155839,3.21753,3.14094,1.63774,-1.12877,-0.297094,-23.6852,328.042,6.86085,8235.9,6254.37,3.36667,3.29008,1.93602,-0.979633,-0.147954,0.74066,353.619,7.90482,8261.48,0.0479426,0.962353,0.00175948,7375.88 
1,0.2,0.7,1,1.8001,-9,1,9737.81,0.0214475,17.3502,11.6026,121.513,0.0127844,112.246,500,0.814685,-1.71633,2.9943,3.7046,0.720183,-17.2248,189.308,-8.20873,8848.4,6599.94,0.923146,-1.60787,3.21122,3.81306,0.828643,0.552019,207.908,-7.44951,8867,0.0268447,1.0669,-0.00155002,7744.86 
2,0.5,0.4,1.3,1.7,-9,2,8668.16,-0.00480133,16.1519,11.3045,121.099,0.000215272,9.91423,4.03279e-12,0.92177,0.836318,2.15295,-0.403803,-2.9673,2.97523,160.403,1.45842,8046.5,5943.93,0.903036,0.817583,2.11548,-0.422537,-2.98604,-3.94821,157.19,1.32728,8043.29,0.022475,0.985439,0.000303886,6993.99 
3,0.06,0.84,0.86,1.6001,-6,3,9751.84,0.0777484,17.8342,11.3827,121.56,0.0503319,-141.215,161.293,-1.09441,0.572688,3.28255,3.99926,2.11378,-31.717,532.13,2.76632,8689.41,6839.74,-0.894696,0.772402,3.68197,4.19898,2.31349,0.63444,566.381,4.16432,8723.66,0.0709618,0.987297,0.000878573,7981.5 
4,0.09,0.81,0.89,2.8,-9,4,10660.3,0.0940632,19.6133,11.2623,121.548,0.0254001,-269.855,439.306,-3.05898,-0.647808,2.18705,-1.19881,2.08762,-10.1669,425.877,1.77762,9580.73,7413.87,-2.99496,-0.58379,2.31508,-1.13479,2.15164,10.3796,436.856,2.22574,9591.71,0.0508574,0.991163,0.000427275,8589.81 
5,0.03,0.87,0.83,1.799,-6,5,8599.63,0.00133045,16.2617,11.1767,121.363,-0.0125658,4.47439,1.85774e-11,-1.31374,-1.41704,-0.118081,2.74381,2.27141,-27.5263,319.586,-5.10073,7877.03,5918.43,-1.14041,-1.24371,0.228571,2.91714,2.44473,0.928712,349.312,-3.88745,7906.75,0.0494072,1.01986,-0.000906513,7070.05 
6,0.01,0.89,0.81,3,-6,6,8555.29,-0.00342774,16.0199,11.44,121.353,0.000177391,3.14521,8.14864e-11,1.04975,-1.02113,-1.89735,-1.76276,1.75009,11.318,351.708,0.411831,7873.15,5966,0.97848,-1.0924,-2.03989,-1.83403,1.67882,0.116553,339.486,-0.0870354,7860.93,0.048351,1.00045,-2.0396e-05,7021.28 
7,0.4,0.5,1.2,1.8,-9,7,8736.9,-0.000649084,16.6497,11.1493,121.27,-0.00430398,-5.18127,2.37588e-11,-1.05829,-1.51729,-1.73938,-0.940941,-0.832217,1.27738,242.096,-2.88777,8115.68,6043.67,-1.06633,-1.52533,-1.75547,-0.948984,-0.84026,0.713924,240.716,-2.94408,8114.3,0.0337238,1.02187,-0.00066881,7137.87 
8,0.55,0.35,1.35,1.7,-9,8,8023.22,0.0371926,15.3758,11.0602,121.121,-0.0348471,-74.9987,479.551,-2.53092,-0.124829,0.0212406,1.71586,0.271812,-21.615,402.47,-0.815996,7295.47,5621.05,-2.39481,0.0112747,0.293448,1.85197,0.407916,-0.728278,425.812,0.13673,7318.81,0.0640627,0.999438,3.44131e-05,6646.8 
9,0.07,0.83,0.87,1.5,-6,9,9186.95,0.0139616,17.3439,-11.3068,121.598,0.0102946,-37.2148,500,-1.55784,-0.859577,2.8804,1.50894,1.92305,-8.74949,372.36,4.46243,8446.87,6396.32,-1.50275,-0.804484,2.99059,1.56403,1.97815,0.292259,381.808,4.84809,8456.32,0.0504391,0.978262,0.00105498,7569.68 
