cyc,vva,frequency,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,5,47.2559,12,11902.9,-0.066032,22.3367,11.9103,122.119,-0.0116413,39.6295,492.98,2.52807,2.20748,-0.847504,0.21112,3.02984,29.7146,1208.47,7.78878,10580.4,8675.43,2.34097,2.02037,-1.22171,0.0240155,2.84273,1.2034,1176.38,6.47904,10548.3,0.10506,0.990454,0.00113019,11197.3,-0.00022765,0.119277,11.4946,10.9057,123.248,83.264,0.912735,12.3311,11.9128,121.567,131.238,1.6807,-47.9738 
13,5,47.1759,13,13665.9,-0.0518176,25.8269,11.7211,122.024,-0.0163809,22.3647,265.146,3.17509,-2.81214,4.06411,2.09222,0.274365,32.6723,30.5766,9.35069,13488.2,9866.44,2.96936,-3.01787,3.65265,1.88649,0.0686356,0.342962,-4.70594,7.91059,13452.9,-0.000368355,-0.515009,0.00108202,12775.6,-0.000208654,-0.0197183,8.07556,6.0466,117.215,80.134,1.2315,12.0955,11.5024,121.623,131.244,-4.40762,-51.1104 
14,2.5,47.2359,14,14750.9,-0.0654842,27.2734,12.0204,122.153,-0.246351,40.4577,136.475,0.360274,3.63545,3.86683,1.41619,-2.17826,46.3274,1115.41,22.403,13480.7,10996.6,0.0685628,3.34374,3.2834,1.12448,-2.46997,0.386304,1065.38,20.361,13430.7,0.0770643,0.967637,0.00278487,13824.5,-0.000247776,0.104791,11.1791,11.9112,123.997,83.4598,1.16195,12.3428,11.8716,121.623,131.12,2.37461,-47.6598 
15,10,47.3759,15,13736.9,-0.0235085,24.5273,12.2742,122.249,-0.0127967,0.992204,405.651,4.33064,2.24975,-2.65051,3.58002,2.93371,54.8004,364.241,12.5467,13043.6,9800.67,3.98558,1.90469,-3.34064,3.23496,2.58865,1.39897,305.062,10.1313,12984.4,0.0241342,0.945074,0.00143527,12640.2,-8.87742e-05,0.028547,10.9949,15.061,126.975,86.082,1.08074,12.6047,12.1016,121.788,131.041,5.18714,-44.9588 
16,5,47.1659,16,13632.6,-0.0419776,25.2369,11.9222,122.132,0.0185471,22.5357,252.755,-1.18016,3.78266,3.55943,0.857068,-1.90156,14.8114,0.0797696,11.9117,13395.9,9808.27,-1.27342,3.6894,3.3729,0.763805,-1.99483,0.25998,-15.9149,11.2589,13379.9,-0.00125364,-4.20133,0.00154769,12695,-0.000181361,0.0306249,-0.204504,1.96477,114.577,76.7386,1.18945,12.2636,11.6211,121.737,131.034,-7.15942,-54.2952 
17,4,47.2459,17,13262.3,-0.0984862,24.8754,12.0299,122.291,-0.00188549,90.5215,0.00259579,2.25092,0.853621,1.69824,6.66306,1.78569,60.8358,1534.95,9.61255,11706.6,9747.06,1.86785,0.470555,0.932104,6.27999,1.40262,0.914901,1469.25,6.93108,11640.9,0.117277,0.991812,0.0010956,12528.1,-0.000327081,0.155069,11.735,10.5546,123.778,82.2201,1.01696,12.3332,11.7892,121.692,130.369,2.08621,-48.1491 
18,1.7,47.2159,18,11410.6,-0.0310178,22.2115,11.3482,122.143,-0.00248827,15.8985,500,2.31719,-0.203503,1.05402,1.66247,2.5472,36.4352,1794.48,8.73146,9477.33,8206.73,2.08777,-0.432926,0.595175,1.43305,2.31777,0.900818,1755.14,7.1255,9437.98,0.163707,0.992945,0.00138882,10721.2,-0.000131922,0.19683,10.5423,10.3969,123.323,82.4911,0.895333,11.7887,11.3782,121.412,130.514,1.91147,-48.0224 
19,10,47.3859,19,12956.6,0.0648137,23.1995,-12.2062,122.19,-0.0238868,-8.28827,500,-1.11636,1.48132,-2.91994,3.01393,3.17275,33.6424,304.007,10.9409,12408.4,9224.82,-1.3282,1.26948,-3.34361,2.8021,2.96091,2.41638,267.676,9.45802,12372.1,0.0222671,0.941767,0.00140624,12021.2,-0.000148996,0.022363,11.0183,19.8403,128.534,93.4567,1.04553,12.5221,11.9127,121.678,131.221,6.85637,-37.7638 
20,10,47.0159,20,14205.3,0.00704684,25.9147,12.0146,121.941,-0.0246276,-20.8115,500,-0.126221,2.68031,3.34032,4.62817,5.03611,52.1102,140.874,15.0441,13837.6,10152.3,-0.454345,2.35219,2.68407,4.30005,4.70798,0.802496,84.6004,12.7473,13781.3,0.00642039,0.791337,0.00170099,13176.8,1.33796e-05,-0.01046,8.03045,-8.60627,118.571,78.1948,1.21298,12.3381,11.6682,121.572,131.056,-3.00161,-52.8613 
21,2,47.2059,21,12932.7,-0.0568674,24.4539,11.7513,122.117,0.260795,-108.2,10.3559,5.77387,1.84123,8.21392,3.24028,4.33365,57.7906,96.7316,4.22001,12720,10273.3,5.40998,1.47734,7.48614,2.87639,3.96976,0.647206,34.3241,1.67276,12657.6,0.00284633,0.921417,0.000243383,12059.1,-0.000126988,-0.00649923,12.6231,12.8547,123.732,58,1.15364,12.2,11.4611,121.693,130.384,2.03988,-72.3837 
