cyc,vva,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,5,47.2759,0,13960.9,-0.0554223,26.1452,11.8391,122.225,0.0297497,43.0382,238.819,-1.50392,5.90977,8.17132,0.515244,4.78709,58.0386,943.356,25.1343,12950.9,10118.1,-1.86937,5.54431,7.44041,0.14979,4.42163,0.525689,880.681,22.5761,12888.2,0.0671023,0.957065,0.00321642,13124.5 
1,5,47.2659,1,12938.8,-0.110657,24.3838,12.0406,122.144,-1.33763,1050.83,0.315236,2.33216,1.46592,4.8468,0.0627321,2.63654,23.3882,985.333,22.165,11946.7,55315.3,2.18489,1.31865,4.55226,-0.0845373,2.48928,0.564816,960.076,21.1341,11921.4,0.0781475,0.962906,0.00325502,12285.4 
2,2.5,47.1959,2,14082.2,-0.126658,26.7358,11.9783,121.976,0.0808919,33.3518,15.8723,2.2186,6.06171,4.46462,-0.652449,3.67475,75.7469,6.7284,12.7423,14132,10513,1.74165,5.58475,3.51071,-1.12941,3.19779,0.727968,-75.0699,9.40359,14050.2,-0.00565599,1.28076,0.00123137,13272.6 
3,10,47.3559,3,14007.1,-0.038797,24.744,12.474,122.268,0.0240365,-7.77084,450.235,-0.403681,-1.83209,6.82326,0.0715621,0.790576,25.6382,638.156,22.064,13052.6,10053.8,-0.565118,-1.99353,6.50039,-0.0898745,0.629139,-0.450654,610.47,20.9339,13024.9,0.0470165,0.943387,0.00295193,12984.2 
4,10,47.3159,4,13365.3,-0.0397094,23.2585,12.6757,122.271,0.00149096,8.24117,499.853,4.52705,1.0313,-1.78475,4.48771,-1.19889,35.377,1101.48,14.179,11989.3,9597.7,4.30429,0.808539,-2.23027,4.26495,-1.42165,1.38951,1063.27,12.6196,11951.1,0.0856315,0.979652,0.00194137,12416.8 
5,10,47.3359,5,13027.9,-0.0228687,23.0552,12.5456,122.083,-0.0231015,42.6053,217.585,5.55154,-1.33276,-4.69332,1.82027,3.36547,20.1777,811.186,26.1718,12079.9,9447.81,5.42449,-1.45982,-4.94743,1.69322,3.23841,2.25287,789.396,25.2825,12058.1,0.064469,0.946926,0.00384752,12244.6 
6,10,47.4059,6,13609.4,-0.00349351,24.4941,12.1518,121.929,0.00303479,3.22115,4.42525e-10,2.27039,1.18492,4.12384,1.02621,-4.06844,-6.29318,208.417,13.9514,13120.8,9689.71,2.31001,1.22455,4.2031,1.06583,-4.02881,0.119712,215.213,14.2288,13127.6,0.016964,0.896297,0.00199265,12686.4 
7,10,47.3059,7,13027.6,0.0376327,23.0623,12.2559,122.318,0.00983868,-23.7808,0.705233,5.30097,-1.3495,0.489828,3.38796,3.68136,45.5711,1419.77,26.3215,11274.8,9208.79,5.01402,-1.63645,-0.0840693,3.10101,3.39441,1.00859,1370.56,24.3129,11225.6,0.113883,0.969891,0.00397387,12034.8 
8,10,47.3959,8,13474.2,-0.00614219,24.2892,12.0785,122.078,0.00217063,4.13511,1.38101,4.93979,0.438888,4.01582,3.1041,-0.508008,-6.30849,253.706,18.0668,12871.8,9550.65,4.97951,0.478611,4.09526,3.14383,-0.468285,0.665117,260.518,18.3449,12878.6,0.0208495,0.89029,0.00261711,12495.2 
9,10,47.3459,9,13742.5,0.0252795,24.2121,12.2105,122.108,-0.0540769,29.2255,178.37,2.24492,-0.983849,-0.803922,-2.83353,0.296257,-8.49164,782.618,27.6449,12566.9,9675.56,2.29839,-0.93038,-0.696982,-2.78006,0.349726,0.603831,791.788,28.0192,12576.1,0.0621543,0.941684,0.00408739,12739.1 
10,8,47.2959,10,14576.6,-0.0490313,26.1878,12.3029,122.256,0.0982537,107.677,79.05,2.28488,0.76842,1.53436,3.39576,-2.8133,7.9077,1256.63,19.1839,13042.2,10832.6,2.23508,0.718627,1.43478,3.34597,-2.8631,0.705467,1248.1,18.8353,13033.7,0.0915692,0.97427,0.00265502,13630.1 
11,10,47.3659,11,14407.1,0.00296032,25.1881,12.4069,122.272,-0.0340893,-11.2596,500,3.38763,2.26053,-6.64601,-4.11112,-1.93869,-8.45619,601.405,23.2977,13367.3,10185.6,3.44088,2.31378,-6.53952,-4.05787,-1.88544,0.0280405,610.536,23.6704,13376.5,0.0458424,0.936463,0.00324912,13318.2 
12,5,47.2559,12,12281.3,-0.0209859,22.403,11.9529,122.078,-0.0122943,24.6645,2.36994,2.42456,1.94532,-5.31692,-1.90731,-0.033965,-25.0458,1267.88,15.4946,10706.5,8727.01,2.58227,2.10303,-5.0015,-1.7496,0.123742,-1.57535,1294.92,16.5986,10733.6,0.112682,0.97806,0.00284057,11491.8 
