Run           ,B (G)       ,omega (kHz)     ,Amplitude   ,f0 (MHz)     ,Width      ,Offset      ,median    ,lower     ,upper     ,sigma_M    ,sigma_P    ,N_fits      
50us          ,      202.10,      2.5000,    -3644.84,     43.2030,        0.01,    26860.45,       43.20,       43.17,       43.25,        0.04,        0.05,         100
90us          ,      202.10,      2.5000,    -6721.01,     43.2130,        0.01,    27407.77,       43.21,       43.18,       43.24,        0.03,        0.03,         100
130us         ,      202.10,      2.5000,    -4106.39,     43.2158,        0.01,    24516.10,       43.22,       43.15,       43.26,        0.06,        0.04,         100
169us         ,      202.10,      2.5000,    -5405.49,     43.2483,        0.01,    27444.46,       43.25,       43.20,       43.27,        0.04,        0.02,         100
209us         ,      202.10,      2.5000,    -4083.03,     43.2273,        0.01,    26644.03,       43.23,       43.17,       43.27,        0.06,        0.04,         100
249us         ,      202.10,      2.5000,    -4061.11,     43.2330,        0.01,    26613.39,       43.23,       43.18,       43.26,        0.06,        0.03,         100
290us         ,      202.10,      2.5000,    -3630.33,     43.2329,        0.01,    27843.16,       43.23,       43.17,       43.27,        0.06,        0.03,         100
329us         ,      202.10,      2.5000,    -4789.32,     43.2177,        0.01,    26925.34,       43.22,       43.18,       43.26,        0.04,        0.05,         100
369us         ,      202.10,      2.5000,    -3992.90,     43.2330,        0.01,    26268.08,       43.23,       43.19,       43.26,        0.04,        0.03,         100
409us         ,      202.10,      2.5000,    -4298.95,     43.1968,        0.01,    25459.92,       43.20,       43.15,       43.26,        0.04,        0.07,         100
449us         ,      202.10,      2.5000,    -3851.57,     43.2030,        0.01,    23313.37,       43.20,       43.16,       43.25,        0.04,        0.05,         100
489us         ,      202.10,      2.5000,    -4382.59,     43.2312,        0.01,    24207.65,       43.23,       43.18,       43.26,        0.05,        0.03,         100
529us         ,      202.10,      2.5000,    -3190.41,     43.1930,        0.01,    25068.90,       43.19,       43.15,       43.23,        0.04,        0.04,         100
570us         ,      202.10,      2.5000,    -4956.03,     43.2230,        0.00,    25933.44,       43.22,       43.20,       43.28,        0.03,        0.05,         100
