cyc,delaytime,precharge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,10.97,10,44.723,0,31998.3,-0.0256436,64.2797,11.5067,114.89,-0.0502003,100.209,500,2.15693,1.72127,2.2286,0.389609,-1.71144,74.2623,72.2131,34.7637,33481.3,24241.8,1.68932,1.25366,1.29339,-0.078001,-2.17905,0.346552,-31.947,30.9059,33377.2,-0.000958067,-1.44306,0.00170281,33345.2 
1,10.97,10,44.783,1,32110.5,-0.186023,65.7183,11.295,114.975,0.326565,-112.505,21.7798,1.56358,1.13658,2.94757,-1.9756,-1.1722,103.715,1981.32,50.0455,31594,25359.9,0.910511,0.483508,1.64144,-2.62867,-1.82527,2.15718,1835.85,44.6577,31448.5,0.0551564,0.959169,0.00260901,33284.4 
2,10.97,10,44.923,2,33087.4,-0.153932,65.9434,11.6191,114.859,-0.00971562,159.188,500,2.59761,2.32885,-0.645668,1.06137,-0.480226,132.278,108.227,39.965,34408.5,24992.7,1.7647,1.49593,-2.3115,0.228455,-1.31314,-16.0512,-77.3053,33.0934,34223,-0.00226398,3.98648,0.00177814,34145.7 
3,10.97,10,44.773,3,33920.8,-0.171687,68.6401,11.4364,115.22,0.349126,8.68919,500,3.17379,0.72656,8.19552,2.80025,1.19164,79.3454,1424.25,48.963,33994.9,25653,2.67417,0.226943,7.19629,2.30064,0.692026,0.450248,1312.96,44.8411,33883.6,0.0373037,0.943604,0.00243189,35196.6 
4,10.97,10,44.833,4,34820.6,-0.445482,70.9888,11.3663,115.068,0.19369,589.212,474.499,-1.72341,2.08257,-0.174984,0.825568,-0.49559,101.058,4870.41,69.7152,31295.3,29981.7,-2.35975,1.44624,-1.44765,0.189235,-1.13192,0.561829,4728.66,64.4654,31153.6,0.131783,0.976698,0.00379735,35882.2 
5,10.97,10,44.913,5,31599.4,-0.013976,63.5831,11.4461,114.625,-0.0561646,36.6424,500,5.29351,2.56948,-1.27606,0.402572,1.05015,76.7156,216.781,41.4316,32772.2,23758.5,4.81045,2.08642,-2.24218,-0.0804859,0.567094,1.43611,109.18,37.4464,32664.6,0.00333132,0.624917,0.00210732,32773.8 
6,10.97,10,44.813,6,34905,-0.37085,69.9502,11.4844,115.195,1.28739,-854.869,3.64811e-11,3.33594,2.32473,-1.21856,2.08653,-2.34845,96.6795,4251.83,80.1731,31853,61977.7,2.72718,1.71597,-2.43609,1.47777,-2.95722,5.61725,4116.23,75.1508,31717.4,0.114871,0.969039,0.00434569,35833.7 
7,10.97,10,44.863,7,36211.8,-0.0375121,71.8815,11.4907,114.609,-0.0219024,158.177,7.26833,2.30788,-0.0777599,1.36828,-2.84369,-2.2485,98.1458,3238.27,90.4247,34384.7,27000.7,1.68988,-0.695758,0.132279,-3.46168,-2.8665,1.02543,3100.61,85.3262,34247,0.0830203,0.954054,0.00456862,37347.7 
8,10.97,10,44.803,8,32687.3,0.0183135,66.2963,11.257,114.643,-0.0558342,55.0759,500,5.00449,3.23584,0.267467,2.17174,-1.26098,96.4018,3702.63,80.4698,30291.9,24394.6,4.39747,2.62882,-0.946566,1.56473,-1.868,1.16387,3567.42,75.4619,30156.7,0.105782,0.964304,0.0045884,33724.1 
9,10.97,10,44.903,9,33762.5,0.0114626,67.5341,11.524,114.805,0.0572076,72.137,8.64371,3.70373,0.210192,1.8425,1.13018,3.5513,16.779,557.513,45.4346,34584.3,25469.3,3.59807,0.104538,1.63119,1.02453,3.44565,0.833619,533.979,44.563,34560.8,0.0152153,0.872566,0.0023696,35094.8 
10,10.97,10,44.733,10,34375.1,-0.506941,67.9556,11.8337,114.905,0.0642136,-2315.22,40.0027,3.84861,1.98841,-1.89534,-2.6757,4.32979,84.2203,63.5891,44.2647,35727.3,31018,3.3183,1.45809,-2.95597,-3.20601,3.79948,2.22457,-54.5381,39.8896,35609.2,-0.00153392,-3.57187,0.00205929,35554.6 
11,10.97,10,44.843,11,35463,-0.463061,72.3451,11.3736,114.985,0.554136,-263.221,471.162,1.3254,-0.514875,0.451113,1.38149,0.962682,86.7551,4701.12,75.6196,32162,31533.9,0.779126,-1.06115,-0.641434,0.835212,0.416409,2.95462,4579.44,71.1128,32040.3,0.125054,0.973544,0.00407187,36619.7 
12,10.97,10,44.793,12,36489.1,-0.424797,71.929,11.6889,114.717,0.268282,-275.226,468.006,5.71101,3.47125,1.79668,-2.59167,0.929802,43.9798,3020.95,74.0677,34711.9,29773.6,5.43408,3.19432,1.24283,-2.8686,0.652873,0.837656,2959.26,71.783,34650.2,0.078684,0.959279,0.00380169,37609.5 
13,10.97,10,44.743,13,33811,0.0413186,66.6565,11.6311,114.613,-0.0567302,65.9433,2.78877e-11,0.34379,3.45628,2.35098,1.35505,2.07027,86.7168,108.047,43.729,35083.3,25360,-0.202242,2.91025,1.25891,0.809013,1.52424,0.800178,-13.5817,39.2243,34961.6,-0.000388624,-0.246667,0.00206244,34948.1 
14,10.97,10,44.853,14,33905.8,-0.19102,68.5515,11.3469,114.838,0.485662,-561.68,1.09418e-11,1.45086,2.90763,-1.6422,1.63926,-3.85834,110.478,3903.29,70.5764,31329.7,34201.6,0.75521,2.21197,-3.03351,0.943602,-4.55399,0.17494,3748.33,64.8372,31174.7,0.107331,0.970619,0.00381659,34923 
15,10.97,10,44.763,15,32629.9,-0.00348166,66.2291,11.392,114.73,-0.0304261,52.2755,500,2.24746,1.36627,2.52546,-0.0376333,0.69406,43.9618,718.359,40.1654,33496.8,24612.6,1.97065,1.08945,1.97183,-0.314449,0.417244,0.615981,656.698,37.8816,33435.2,0.0192626,0.908307,0.00208274,34091.9 
16,10.97,10,44.893,16,33338.2,-0.0262728,67.4404,11.4273,114.584,-0.0243266,-19.8565,4.43305e-11,2.79652,0.556947,0.800509,0.908152,4.59934,63.4026,961.214,58.4513,33941.7,25103.2,2.39729,0.157717,0.00204961,0.508923,4.20011,0.999718,872.286,55.1576,33852.7,0.0251198,0.900367,0.00299244,34725 
17,10.97,10,44.873,17,35887.7,-0.464949,71.9173,11.5941,114.601,-0.294335,-528.465,343.467,4.81489,3.27946,-4.10066,-2.35559,-1.10527,55.6618,2248.57,51.1735,35070.9,32206.9,4.4644,2.92898,-4.80163,-2.70608,-1.45576,-2.05819,2170.5,48.2819,34992.8,0.0584044,0.962531,0.00253523,37163.3 
18,10.97,10,44.823,18,33434.5,-0.281494,68.9008,11.1711,115.047,0.314756,-105.783,1.21986e-05,2.88652,3.77492,0.769617,3.59593,-1.25728,49.1681,4469.1,70.5649,30293.4,26140.1,2.57692,3.46532,0.150419,3.28633,-1.56688,0.980989,4400.14,68.0107,30224.4,0.127081,0.973664,0.00412798,34624.6 
19,10.97,10,44.883,19,32066.3,0.0170152,65.405,11.2495,114.675,-0.0187429,-28.5091,500,3.11908,-0.965333,2.59138,2.71087,1.66462,50.0072,1748.98,54.5948,31780.6,23969.4,2.8042,-1.28022,1.96162,2.39599,1.34974,0.728733,1678.84,51.997,31710.4,0.0502808,0.948586,0.00301149,33389.3 
20,10.97,10,44.753,20,34253.5,-0.0168497,67.0513,11.7077,114.862,-0.0208935,-141.278,1.40151e-10,1.00046,-1.36694,1.85488,-0.854866,-0.729762,76.4565,414.39,57.6865,35146.8,25651.1,0.519036,-1.84837,0.892028,-1.33629,-1.21119,1.29886,307.153,53.7147,35039.5,0.00868972,0.765674,0.00281595,35346.7 
