cyc,time,charge,freq,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
11,0.05,0.71,43.2859,11,27620.2,-0.106962,55.2807,11.2538,118.058,-0.581135,747.586,1.38083e-10,-2.1915,-0.537777,0.874425,1.00109,-0.926811,211.669,13129.2,1161.62,11415.6,34394.7,-3.52432,-1.8706,-1.79122,-0.33173,-2.25963,0.816802,13051.8,1112.56,11338.1,0.500247,0.870191,0.153086,26090.6,-0.000678523,1.38325,11.5359,11.4925,118.456,86.8002,1.16736,11.0779,12.7222,117.334,137.245,1.12246,-50.4444,409.135,367.045,776.179
12,0.05,0.71,43.1859,12,19571.4,-0.258793,39.9901,11.3645,118.308,-0.712424,1258.21,136.194,2.00033,-1.65868,1.98492,-3.54325,-2.19384,98.0165,8774.89,831.706,8706.98,43974.5,1.38315,-2.27586,0.750557,-4.16043,-2.81103,1.10551,8739.02,808.986,8671.11,0.467058,0.860585,0.146658,18710.8,-0.00107683,0.886176,11.7437,11.9981,118.772,86.7333,0.85874,11.2678,13.4284,117.659,137.559,1.11283,-50.8253,278.578,289.885,568.463
13,0.05,0.71,43.3359,13,32534.8,0.00831307,63.5474,11.468,117.82,0.00143643,-77.5129,5.42926e-12,-0.914416,-0.99547,-4.16616,-1.09542,-2.8441,185.027,15220.5,1371.68,13303.6,23727.2,-2.07948,-2.16053,-6.49629,-2.26049,-4.00917,0.617999,15152.8,1328.79,13235.9,0.498872,0.866955,0.156071,30374.1,-0.00069074,1.55887,11.8009,11.6615,118.131,87.0796,1.31732,11.2615,13.0623,117.048,137.611,1.08358,-50.5311,478.612,432.32,910.932
14,0.05,0.71,43.3859,14,30090.1,0.012508,59.6184,11.3217,118.104,0.0144585,-30.7306,5.42305e-12,-0.773721,0.085414,-1.6386,-2.4157,-4.73808,159.912,13781.2,1234.04,12731.1,21987.3,-1.78064,-0.921506,-3.65244,-3.42262,-5.745,0.764696,13722.6,1196.97,12672.6,0.484966,0.86757,0.148207,28296.1,-0.000782684,1.43634,11.5926,11.6121,118.625,87.3338,1.27643,11.2417,12.9811,117.362,137.877,1.26276,-50.5431,431.373,415.564,846.937
15,0.05,0.71,42.9959,15,32316.6,-0.261579,63.789,11.4695,117.92,-0.0944336,183.007,15.8051,-0.949168,-2.03628,1.53296,-2.68413,-4.71281,173.44,14983.6,1406.1,13397.8,24379.5,-2.04127,-3.12838,-0.65125,-3.77624,-5.80492,0.957717,14920.1,1365.9,13334.3,0.493153,0.861914,0.158742,30254.5,-0.000805431,1.53986,11.8032,11.6617,118.288,86.976,1.33235,11.321,12.9458,117.158,137.315,1.13013,-50.3394,472.875,435.644,908.519
16,0.05,0.71,43.2159,16,26577.7,-0.173765,52.8427,11.4051,118.158,0.176551,-91.455,500.0,0.947952,0.213156,-3.51961,0.561527,-1.25396,149.577,11979.8,1163.46,11414.0,20144.8,0.00610419,-0.728691,-5.4033,-0.380321,-2.19581,0.379075,11925.0,1128.79,11359.3,0.477227,0.857891,0.154729,24988.2,-0.000785524,1.24191,11.5325,11.769,118.553,86.2001,1.12034,11.3684,13.195,117.375,136.621,1.17741,-50.4204,376.06,374.936,750.996
17,0.05,0.71,43.1759,17,23678.3,-0.236221,47.9361,11.329,118.117,0.110838,53.6352,463.103,-0.876376,-2.77485,-1.14625,-1.53196,-4.02561,129.029,10821.4,912.033,10491.8,17872.1,-1.68884,-3.58731,-2.77117,-2.34443,-4.83807,0.818043,10774.2,882.125,10444.6,0.472853,0.874677,0.134634,22785.4,-0.00107566,1.12893,11.5916,11.6426,118.44,86.8401,1.05627,11.3705,12.7188,117.51,137.623,0.930272,-50.783,339.91,340.797,680.707
18,0.05,0.71,43.2059,18,23712.8,-0.288767,47.3514,11.5531,117.855,-0.236095,548.492,386.075,4.52637,-0.9892,-2.43236,0.961526,0.0019896,158.211,9881.98,1027.13,11038.7,22024.0,3.53016,-1.98541,-4.42478,-0.0346843,-0.99422,-0.131966,9824.08,990.453,10980.8,0.437559,0.850027,0.142481,22452.0,-0.000974946,0.991236,11.8401,12.0828,118.133,87.0984,1.05462,11.5622,13.3124,117.265,137.964,0.867879,-50.8657,316.381,362.154,678.535
19,0.05,0.71,43.2359,19,32987.3,-0.262084,64.6988,11.5092,118.097,-0.203516,404.103,499.507,-1.48831,-1.1452,3.18928,-2.74898,-1.0975,171.249,15000.3,1411.44,13760.4,26917.6,-2.56662,-2.22351,1.03266,-3.82729,-2.17581,1.1058,14937.6,1371.75,13697.7,0.486726,0.861545,0.155746,30689.9,-0.000789466,1.51844,11.8016,11.877,118.495,86.7318,1.35753,11.4239,13.0501,117.376,137.584,1.11917,-50.852,474.844,451.518,926.362
20,0.05,0.71,43.2259,20,26577.0,-0.232028,53.488,11.2849,118.05,-0.228137,340.184,396.023,-2.24054,1.97902,-2.49701,-1.05813,-4.27956,95.4969,11800.7,1048.79,11695.8,22175.7,-2.84185,1.37771,-3.69965,-1.65944,-4.88087,0.683902,11765.8,1026.65,11660.9,0.467345,0.867528,0.139551,25175.8,-0.000747727,1.24574,11.5105,11.4976,118.355,87.3297,1.16807,11.2002,13.0875,117.437,138.22,0.917931,-50.8904,367.816,381.986,749.802
21,0.05,0.71,43.0459,21,30360.4,-0.247063,60.641,11.3371,118.167,3.42574,-3333.94,445.636,0.475404,-1.21897,-4.47749,-3.90754,-0.302742,152.377,14086.4,1246.87,12781.5,394179.0,-0.484075,-2.17845,-6.39644,-4.86702,-1.26222,0.578855,14030.7,1211.55,12725.7,0.489466,0.868725,0.149209,28665.2,-0.00082723,1.48102,11.6644,11.4403,118.591,86.9954,1.30966,11.1083,12.7798,117.482,137.588,1.1094,-50.5927,440.919,414.787,855.705
22,0.05,0.71,43.0959,22,35104.4,0.0350526,67.8092,11.5384,118.133,-0.0769066,-8.95606,500.0,2.87838,1.35853,1.08436,0.416931,-4.45541,178.342,15892.2,1619.08,14365.6,25492.5,1.75541,0.235558,-1.16158,-0.706039,-5.57838,0.787062,15826.9,1577.74,14300.4,0.490417,0.851461,0.168908,32272.3,-0.000555212,1.60993,11.861,11.8145,118.558,86.5829,1.40815,11.4162,13.2071,117.334,136.962,1.22412,-50.379,503.323,473.671,976.994
23,0.05,0.71,43.1459,23,34210.2,-0.255689,66.5032,11.6099,118.102,0.23342,-609.106,491.26,-1.8285,-1.374,-3.29505,-2.05676,-2.74255,155.9,15757.4,1529.91,13941.4,29762.6,-2.81016,-2.35566,-5.25837,-3.03843,-3.72421,0.694046,15700.4,1493.77,13884.4,0.49579,0.857266,0.165405,31667.4,-0.000654113,1.58004,11.952,11.8733,118.539,87.2479,1.38978,11.2725,13.0283,117.301,137.781,1.23837,-50.5327,500.246,455.358,955.605
24,0.05,0.71,43.1559,24,31189.4,-0.0472923,61.5762,11.3644,118.03,0.0980027,-243.449,500.0,2.65583,-1.87562,-2.66999,-5.14688,-3.90916,130.804,14277.1,1320.24,13079.9,23556.7,1.83219,-2.69926,-4.31726,-5.97051,-4.7328,0.728263,14229.3,1289.92,13032.0,0.487035,0.863079,0.154215,29216.1,-0.000693671,1.4831,11.6627,11.5916,118.472,86.9602,1.31171,11.2168,13.006,117.314,137.57,1.15777,-50.6101,447.316,426.92,874.236
25,0.05,0.71,43.1659,25,26344.4,0.206697,52.5202,11.2046,118.142,0.147417,-397.515,0.137309,-2.28789,-1.56145,-2.9343,-1.32442,-3.07187,117.388,11965.9,1036.97,11462.4,21064.2,-3.02705,-2.30061,-4.41262,-2.06358,-3.81103,0.717409,11923.0,1009.76,11419.4,0.475867,0.870922,0.140072,25055.3,-0.000792478,1.26623,11.537,11.445,118.503,86.7147,1.15968,11.2506,12.7737,117.398,137.381,1.10475,-50.6663,373.01,371.817,744.827
26,0.05,0.71,43.1959,26,18659.7,0.0111823,37.7337,-11.2799,117.946,-0.0489591,-57.1833,500.0,-2.63745,-1.92249,-6.2427,-0.50798,-2.73771,161.519,8406.76,779.48,8368.38,13946.9,-3.65449,-2.93953,-8.27678,-1.52502,-3.75475,0.589253,8347.64,742.041,8309.27,0.466263,0.86538,0.141266,17903.3,-0.000870318,0.86194,11.7621,11.7199,118.163,86.5177,0.834457,11.2639,12.9732,117.304,137.19,0.858721,-50.6725,265.088,272.044,537.132
27,0.05,0.71,43.2859,27,27078.3,-0.102823,54.9901,11.1268,118.145,0.0467411,-8.15077,500.0,0.47284,3.46034,1.93153,-3.49682,0.45098,111.451,12433.0,1112.8,11685.1,19930.7,-0.22894,2.75856,0.527966,-4.1986,-0.250801,1.37933,12392.2,1086.96,11644.4,0.480631,0.866928,0.146724,25783.2,-0.000774478,1.32067,11.4622,11.4686,118.622,87.5348,1.20655,10.9653,12.7731,117.353,138.186,1.26957,-50.6508,387.321,377.014,764.335
28,0.05,0.71,43.1859,28,22774.6,-0.0563825,44.8539,11.5041,118.039,-0.019405,-3.95095,114.38,1.20058,0.799816,1.63189,-4.13899,-2.96349,177.855,10156.6,930.686,10020.6,16800.2,0.0806758,-0.320086,-0.607912,-5.25889,-4.08339,0.94034,10091.5,889.46,9955.51,0.468493,0.866368,0.141321,21540.3,-0.000970593,1.01452,12.0434,11.8333,118.481,86.3775,0.974162,11.4108,13.314,117.512,137.22,0.96893,-50.8424,322.567,330.182,652.749
29,0.05,0.71,43.3359,29,31278.2,0.00154772,61.7568,11.2811,118.029,-0.0223995,-50.7655,1.22644e-11,0.635752,-0.47597,0.0111648,-3.89167,-1.53614,123.156,14683.9,1304.74,12871.2,22716.4,-0.139728,-1.25145,-1.5398,-4.66715,-2.31162,0.844618,14638.9,1276.19,12826.1,0.498108,0.867632,0.154897,29388.9,-0.000701987,1.52602,11.6659,11.5938,118.427,86.7021,1.29992,11.1934,12.8287,117.391,137.352,1.03646,-50.6498,460.474,416.447,876.921
30,0.05,0.71,43.3859,30,28511.0,0.034733,57.3987,11.133,118.376,-0.020955,-41.8463,0.0562784,-1.38795,0.0741461,-0.301701,-3.25712,-2.56963,150.149,13324.9,1123.18,12202.3,20830.8,-2.3334,-0.871305,-2.1926,-4.20257,-3.51508,0.832817,13270.0,1088.38,12147.3,0.487161,0.874484,0.141667,27239.4,-0.000803257,1.42557,11.5361,11.2629,118.663,86.6187,1.26756,11.0092,12.5642,117.784,137.15,0.878673,-50.5314,413.237,391.16,804.398
31,0.05,0.71,42.9959,31,31354.9,-0.227719,62.1251,11.3786,118.109,0.0315263,84.9464,86.0011,2.23309,-0.0661436,0.831626,0.329722,0.725307,134.613,14815.5,1278.19,12702.9,23099.1,1.38547,-0.913767,-0.863619,-0.517901,-0.122316,0.163271,14766.2,1246.99,12653.7,0.503659,0.871243,0.153643,29317.9,-0.000593459,1.55118,11.6188,11.5099,118.513,86.3096,1.27565,11.2201,12.929,117.392,136.717,1.12132,-50.4074,462.807,412.85,875.657
32,0.05,0.71,43.2159,32,20234.6,-0.0483346,41.8453,11.1014,118.075,0.0349561,-4.08212,3.3787e-11,0.45636,1.53253,-6.83868,-2.41337,-2.9726,61.6465,9695.16,773.094,8783.27,15127.0,0.0681883,1.14436,-7.61502,-2.80154,-3.36077,0.393939,9672.6,758.804,8760.71,0.489816,0.879287,0.137599,19747.4,-0.00111542,1.02605,11.5642,11.3903,118.384,86.0634,0.875881,11.1491,13.1396,117.397,136.712,0.987422,-50.6488,301.522,286.262,587.785
33,0.05,0.71,43.1759,33,20974.4,-0.036871,42.8565,11.1456,117.998,-0.35155,20.726,500.0,-1.30816,-0.445206,-0.62804,-3.4974,-1.20233,158.979,9987.79,832.44,8950.14,15786.6,-2.30921,-1.44625,-2.63014,-4.49845,-2.20337,0.799033,9929.6,795.589,8891.95,0.492653,0.877028,0.141497,20155.4,-0.000853447,1.06854,11.4534,11.3267,118.309,86.2503,0.892835,11.1833,13.0468,117.218,136.588,1.0906,-50.338,309.266,290.631,599.897
34,0.05,0.71,43.2059,34,18677.4,-0.220842,37.8867,11.3693,118.243,0.173099,6.07771,34.6955,-0.516891,0.524079,3.35857,-2.17784,-1.79913,115.206,8627.46,793.135,8116.24,14056.4,-1.24231,-0.201343,1.90773,-2.90326,-2.52455,1.38433,8585.3,766.43,8074.08,0.480418,0.864882,0.148836,17870.5,-0.000966371,0.896445,11.7673,11.5206,118.587,85.7017,0.792632,11.4838,13.2691,117.534,136.149,1.0533,-50.4473,271.132,269.461,540.594
