cyc,time,charge,freq,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
45,0.05,0.71,43.3359,45,26523.0,-0.22662,53.6426,11.1771,118.045,-0.136879,362.673,211.385,0.15243,0.380963,-0.978864,0.278137,-2.62323,121.319,12514.2,1102.5,11006.9,21133.9,-0.611487,-0.382954,-2.5067,-0.48578,-3.38715,0.660066,12469.8,1074.38,10962.5,0.497267,0.868978,0.152927,25076.7,-0.000684945,1.34496,11.4255,11.3225,118.473,85.7001,1.1084,11.0337,13.1286,117.349,136.035,1.12393,-50.3348,388.176,358.207,746.383
46,0.05,0.71,43.3859,46,27363.0,-0.200775,54.2709,11.3713,118.113,0.223724,-120.644,4.25225,-0.962714,0.446671,-3.28497,-3.8429,-0.237177,60.796,12435.3,1122.3,11616.8,20968.4,-1.34553,0.0638552,-4.0506,-4.22571,-0.619993,0.602023,12413.1,1108.21,11594.6,0.482121,0.864876,0.149709,25746.8,-0.000642015,1.29535,11.6108,11.588,118.621,86.4369,1.1688,11.2013,12.9821,117.353,136.846,1.26867,-50.409,388.832,379.186,768.018
47,0.05,0.71,42.9959,47,32326.1,-0.020257,63.4141,11.4368,117.82,0.0679173,-154.345,8.37755e-12,-5.05521,-1.29942,-2.45351,0.0764718,-2.08058,134.131,14323.4,1467.32,13932.0,23950.6,-5.89979,-2.14401,-4.14268,-0.768113,-2.92516,0.739122,14274.3,1436.23,13882.9,0.472041,0.850283,0.160068,30239.6,-0.000675413,1.46961,11.6791,11.7681,118.231,86.8609,1.38108,11.3578,12.9767,117.029,137.222,1.20229,-50.3613,450.631,454.122,904.752
48,0.07,0.69,43.2264,48,24025.1,-0.132026,48.5715,11.2551,118.06,-0.794237,1838.75,499.812,3.18722,-0.906996,-7.38942,-1.09504,-0.0817844,109.527,10838.8,986.403,10537.0,65337.1,2.49756,-1.59666,-8.76874,-1.7847,-0.771446,0.158792,10798.7,961.015,10496.9,0.472174,0.865248,0.144311,22870.2,-0.000880577,1.13826,11.5337,11.5902,118.487,86.94,1.06461,11.1954,12.9622,117.397,137.783,1.08955,-50.8428,339.471,344.675,684.145
49,0.07,0.69,43.1864,49,18898.7,-0.121138,38.8204,11.2044,118.054,0.0452787,-13.7555,1.39589,0.0984328,-4.12963,-0.157903,-1.3969,-3.13966,124.32,9082.11,773.111,8154.04,14179.7,-0.684379,-4.91244,-1.72353,-2.17971,-3.92248,0.871595,9036.61,744.294,8108.54,0.492152,0.874021,0.144633,18361.4,-0.00100095,0.959182,11.522,11.5017,118.383,85.4571,0.819125,11.2724,12.8216,117.348,135.769,1.03536,-50.3123,283.591,264.123,547.714
50,0.07,0.69,43.2164,50,20853.6,-0.157664,42.3132,11.3036,118.064,0.0828026,-27.0128,388.301,-2.72876,-1.55539,1.11931,-1.43251,-4.55026,64.7025,9312.58,858.694,9356.26,15642.7,-3.13617,-1.9628,0.304477,-1.83993,-4.95767,1.02627,9288.9,843.696,9332.57,0.463949,0.86285,0.142759,20021.4,-0.000953841,0.959464,11.8417,11.5379,118.309,86.0725,0.910459,11.4229,13.2417,117.348,136.571,0.960805,-50.4987,292.466,307.24,599.706
51,0.07,0.69,43.2464,51,22285.3,-0.0229324,45.6441,11.0592,117.768,-0.00750606,20.0448,24.3078,0.526239,-3.0909,-1.58219,1.01964,-1.13054,138.445,10280.6,864.482,9829.68,16437.4,-0.345513,-3.96265,-3.32569,0.14789,-2.00229,0.649494,10229.9,832.391,9779.01,0.476346,0.875354,0.135547,21475.7,-0.000863345,1.10899,11.3821,11.2808,118.131,86.4314,0.997225,11.0575,12.9412,117.078,136.811,1.0531,-50.3793,317.68,318.363,636.043
52,0.07,0.69,43.2364,52,21984.1,-0.205054,44.4841,11.2575,117.79,0.167389,-54.3724,131.214,-0.571862,-0.894881,4.14612,-0.577884,-3.79146,68.1562,10151.1,922.079,9598.71,16598.4,-1.00102,-1.32404,3.2878,-1.00705,-4.22062,1.77089,10126.2,906.28,9573.77,0.479096,0.864586,0.148486,21136.0,-0.000856748,1.07556,11.4865,11.4651,118.199,86.4334,0.95743,11.238,12.9805,117.049,136.763,1.15023,-50.3294,316.013,311.593,627.606
53,0.07,0.69,43.0564,53,31516.0,0.0268434,61.2919,11.4576,118.107,-0.0460633,17.2323,4.69314e-09,0.852819,-2.39642,-1.76212,-1.089,-4.53032,105.544,14212.3,1409.01,13018.6,22886.6,0.188234,-3.061,-3.09129,-1.75358,-5.19491,0.760598,14173.7,1384.55,12979.9,0.487058,0.854009,0.164225,29100.6,-0.000595868,1.44219,11.7747,11.8921,118.543,86.6617,1.28876,11.3147,13.2053,117.41,137.093,1.13323,-50.4314,450.545,429.598,880.143
54,0.07,0.69,43.1064,54,32093.8,-0.262908,63.3073,11.4534,118.131,0.0147089,-32.3327,105.061,-0.182692,0.874376,2.89095,-3.39152,-5.26937,111.293,14793.7,1345.07,13499.1,23619.4,-0.883475,0.173593,1.48938,-4.0923,-5.97015,1.16044,14752.9,1319.27,13458.4,0.488022,0.864684,0.152955,30230.1,-0.000813521,1.53302,11.8058,11.4978,118.519,86.2548,1.35615,11.2565,12.873,117.383,136.531,1.13561,-50.2766,464.257,438.419,902.676
55,0.07,0.69,43.1564,55,24917.5,-0.0673714,50.7626,11.0829,118.015,0.0865659,16.8171,479.127,1.42652,2.00787,-2.17312,-0.814411,0.159663,92.9385,11677.1,1028.41,10501.6,18361.7,0.841313,1.42267,-3.34354,-1.39962,-0.425546,-0.151069,11643.1,1006.86,10467.6,0.491667,0.868556,0.15052,23680.8,-0.000818825,1.23437,11.4939,11.5151,118.506,86.7389,1.08064,10.9268,12.9878,117.291,137.293,1.21474,-50.5538,364.489,342.145,706.634
56,0.07,0.69,43.1664,56,28667.8,-0.193302,56.2994,11.45,118.118,-0.144071,572.098,14.1528,0.718768,-0.67623,-4.50461,1.29667,0.88837,139.725,13156.6,1245.98,11909.3,23667.9,-0.161041,-1.55604,-6.26423,0.416859,0.00856124,0.170947,13105.5,1213.59,11858.1,0.490065,0.860546,0.158622,26742.4,-0.000690436,1.35413,11.7961,11.6116,118.545,85.7315,1.18759,11.2812,13.0945,117.431,136.152,1.1138,-50.4209,413.803,391.392,805.195
57,0.07,0.69,43.1764,57,22425.6,-0.0581551,46.186,11.0573,117.917,0.0162487,43.2084,500.0,-0.173604,-1.13753,-2.17326,-0.0215851,-1.86055,100.608,10786.8,882.502,9525.74,16647.5,-0.807103,-1.77103,-3.44025,-0.655085,-2.49405,0.624735,10750.0,859.182,9488.92,0.496255,0.877296,0.142951,21662.3,-0.000974619,1.148,11.4835,11.3664,118.281,85.2982,0.95779,11.0488,13.0891,117.245,135.635,1.03632,-50.3372,334.305,309.022,643.327
58,0.07,0.69,43.2064,58,20714.4,-0.154929,41.3109,11.5362,117.774,0.0116535,75.4128,500.0,-0.961757,1.65435,6.42469,-0.17053,-1.97625,69.8323,9387.99,926.107,9005.11,15542.5,-1.40147,1.21463,5.54526,-0.610245,-2.41597,-1.37769,9362.43,909.92,8979.56,0.475518,0.854643,0.157302,19688.9,-0.000976098,0.931354,12.075,11.9472,118.11,86.4581,0.884391,11.3468,13.2585,117.024,137.07,1.08561,-50.6118,299.76,296.831,596.591
59,0.07,0.69,43.2964,59,27309.9,-0.251941,55.854,11.131,117.903,0.609196,-569.966,256.619,2.4911,-2.85545,-0.616926,0.0594327,-2.69301,132.011,12721.4,1083.27,11791.1,31541.9,1.65986,-3.68669,-2.2794,-0.771806,-3.52425,0.735024,12673.0,1052.67,11742.8,0.484124,0.873087,0.14173,26177.3,-0.000844386,1.3629,11.422,11.3555,118.232,86.4956,1.20884,10.9956,12.7623,117.292,136.945,0.940091,-50.4495,394.378,378.456,772.834
60,0.07,0.69,43.1964,60,19301.3,-0.0633164,39.2707,11.2943,118.055,0.0256493,-93.9927,500.0,-0.725073,-2.23969,-1.01653,-4.03671,-3.74437,93.4567,8504.9,799.816,8958.39,14517.0,-1.31354,-2.82817,-2.19347,-4.62518,-4.33284,0.856572,8470.69,778.153,8924.19,0.452168,0.861503,0.138395,18733.5,-0.00100324,0.878691,11.8323,11.5653,118.466,85.9284,0.882847,11.2309,13.1339,117.405,136.744,1.06104,-50.816,268.265,290.529,558.794
61,0.07,0.69,43.3464,61,31179.5,0.0142808,61.2879,11.3864,117.697,-0.0289689,-37.5372,6.08474,0.799986,-3.82455,-0.353667,1.03789,2.54472,129.994,14755.4,1313.79,12731.9,22752.7,-0.0185522,-4.64309,-1.99074,0.219349,1.72618,0.577054,14707.8,1283.65,12684.4,0.502062,0.867502,0.157129,29294.9,-0.00064601,1.54116,11.6786,11.4933,118.004,86.0747,1.27293,11.2773,12.8324,117.032,136.311,0.971874,-50.2363,461.515,410.974,872.49
62,0.07,0.69,43.3964,62,26167.9,-0.120344,53.3098,11.1535,117.759,0.117138,-39.5832,486.033,1.48229,0.0731534,-0.267806,-1.04109,-3.82443,141.636,12156.9,1038.19,11354.3,19506.8,0.590448,-0.81869,-2.05149,-1.93294,-4.71627,0.770243,12105.1,1005.35,11302.5,0.482217,0.873102,0.140786,25102.9,-0.000867727,1.29998,11.4725,11.351,118.139,85.8395,1.16669,11.0459,12.6829,117.042,136.124,1.09676,-50.2848,377.686,364.646,742.332
63,0.07,0.69,43.0064,63,30900.0,-0.266303,61.6833,11.3709,117.562,-0.0563396,356.42,425.774,-4.16799,0.965621,1.36921,-4.64979,-0.741769,106.391,14520.2,1317.89,12729.9,23486.4,-4.83791,0.295704,0.029376,-5.31971,-1.41169,1.00261,14481.2,1293.23,12691.0,0.49805,0.864841,0.158046,29075.9,-0.000754181,1.51136,11.563,11.6683,117.898,87.2146,1.2701,11.2771,12.9329,116.821,137.715,1.07737,-50.5001,454.933,413.266,868.2
64,0.07,0.69,43.2264,64,24204.4,-0.228007,47.8774,11.515,117.618,-0.151571,319.851,220.662,-1.95673,-4.37983,-1.99853,-1.40541,-2.92993,106.032,11488.9,1035.51,9816.84,19525.1,-2.62438,-5.04748,-3.33384,-2.07306,-3.59759,0.800086,11450.0,1010.93,9778.03,0.504523,0.866169,0.159983,22694.8,-0.000715088,1.18786,11.7664,11.5728,117.884,85.5222,0.958858,11.3143,13.3474,117.03,135.788,0.854468,-50.2661,360.872,323.056,683.928
65,0.07,0.69,43.1864,65,20251.4,-0.0663633,41.4173,11.157,118.092,0.0680249,-109.943,2.11085e-05,-3.55639,1.43513,-1.5284,-0.244764,-1.49885,90.361,9558.82,859.935,8682.1,15286.1,-4.12537,0.866151,-2.66636,-0.813743,-2.06783,0.69725,9525.74,838.989,8649.03,0.489199,0.866451,0.151601,19472.1,-0.000941238,0.994755,11.6174,11.6228,118.576,86.1575,0.880552,11.0054,13.0982,117.393,136.803,1.18303,-50.6454,299.666,283.184,582.85
66,0.07,0.69,43.2164,66,20994.7,-0.244532,42.509,11.3804,118.207,-0.143474,-6.43473,143.749,-3.14105,-0.131783,-8.42928,-3.95707,-2.8415,98.4809,9415.85,907.607,9379.2,15778.4,-3.76116,-0.751892,-9.66949,-4.57718,-3.46161,0.564855,9379.81,884.78,9343.16,0.46609,0.858314,0.148533,20124.4,-0.00100756,0.980751,11.5711,11.6542,118.614,86.1788,0.917204,11.4151,13.2784,117.514,136.815,1.09965,-50.6359,295.067,310.162,605.229
67,0.07,0.69,43.2464,67,27778.1,-0.15509,56.1913,11.2029,117.842,0.131244,484.366,500.0,0.168313,-0.442566,1.55875,-0.912531,-1.76675,74.0588,13172.7,1091.97,11846.8,22561.9,-0.298016,-0.908894,0.626097,-1.37886,-2.23308,1.14933,13145.6,1074.81,11819.7,0.491639,0.874827,0.143475,26738.3,-0.001083,1.39387,11.5511,11.3939,118.3,86.1535,1.18257,11.1921,12.996,117.142,136.613,1.15755,-50.4592,409.279,383.748,793.028
68,0.07,0.69,43.2364,68,22683.9,-0.0633416,46.5127,11.0322,118.106,-0.025825,-21.6676,500.0,-1.54281,-2.41904,-7.60902,-2.09599,-0.986157,140.839,10999.6,928.279,9507.68,16722.6,-2.42963,-3.30586,-9.38267,-2.98281,-1.87298,0.530255,10948.1,895.633,9456.13,0.501684,0.874766,0.148555,21822.6,-0.00078754,1.18792,11.2809,11.3453,118.463,85.7673,0.974868,10.991,12.7758,117.395,135.966,1.06732,-50.1991,339.194,305.4,644.594
69,0.07,0.69,43.0564,69,29628.3,-0.0253723,59.0428,11.2263,117.854,-0.0385242,85.8556,500.0,-0.348851,-0.900552,0.683398,-3.46592,-2.92078,89.663,13886.9,1269.26,12115.3,21685.1,-0.913434,-1.46514,-0.44577,-4.0305,-3.48537,0.95689,13854.1,1248.48,12082.4,0.499266,0.863779,0.159907,27748.9,-0.000506919,1.4577,11.5309,11.5584,118.205,86.4486,1.2164,11.1043,13.0192,117.146,136.619,1.05947,-50.1704,433.444,392.328,825.772
70,0.07,0.69,43.1064,70,31475.9,0.0739489,61.7483,11.2994,118.093,-0.078795,-191.642,1.0074e-12,-0.268441,-1.03591,-0.311109,-2.24112,1.62031,107.68,14569.1,1344.18,13044.5,23204.5,-0.94647,-1.71393,-1.66717,-2.91915,0.942283,0.735556,14529.7,1319.22,13005.1,0.492773,0.862894,0.157441,29485.6,-0.000593795,1.51997,11.5802,11.5865,118.44,85.5646,1.28772,11.31,13.0485,117.461,135.547,0.978463,-49.982,455.0,423.979,878.978
71,0.07,0.69,43.1564,71,27269.9,-0.0931396,55.6728,11.0757,117.922,0.0337267,-14.4299,0.00166561,4.70028,-2.76968,-7.33015,-2.68879,-4.46602,172.246,13111.7,1179.0,11306.1,20088.7,3.61569,-3.85426,-9.49933,-3.77338,-5.55061,0.501659,13048.7,1139.08,11243.1,0.502294,0.867479,0.157278,25978.2,-0.000779393,1.3945,11.488,11.3924,118.23,85.6257,1.16006,10.9366,12.8089,117.238,135.631,0.991383,-50.0051,407.173,362.554,769.727
72,0.07,0.69,43.1664,72,28195.1,-0.0112925,55.5028,11.3716,118.23,-0.0588693,69.3282,1.58996e-12,0.879036,0.100252,-1.6676,-0.470485,-1.80831,140.258,13086.9,1255.05,11541.3,20679.0,-0.00412854,-0.782913,-3.43393,-1.35365,-2.69147,0.584576,13035.5,1222.53,11489.9,0.496611,0.859015,0.16388,26248.9,-0.000704492,1.34333,11.6921,11.7471,118.689,85.5102,1.13129,11.3224,13.3351,117.486,135.616,1.2026,-50.1057,411.636,381.075,792.711
73,0.07,0.69,43.1764,73,28557.8,0.0373297,56.736,11.3397,117.888,-0.0371136,-53.3423,488.508,-1.3025,-2.41792,-1.20477,-3.58511,-1.07191,152.812,12919.7,1280.77,12173.3,21008.2,-2.26472,-3.38014,-3.12921,-4.54733,-2.03413,0.796216,12863.7,1245.34,12117.3,0.480014,0.855126,0.159184,26798.7,-0.000728357,1.34458,11.6112,11.6313,118.248,86.4576,1.20335,11.2694,13.1627,117.158,136.927,1.08912,-50.4691,405.134,398.23,803.364
74,0.07,0.69,43.2064,74,20971.1,-0.248797,41.2326,11.7319,117.602,0.273748,20.3668,58.196,-2.00141,-2.43711,-5.7092,-0.387151,2.31183,80.3628,8464.62,1052.68,9956.56,15928.8,-2.50744,-2.94313,-6.72125,-0.893174,1.80581,0.403043,8435.21,1034.05,9927.15,0.424917,0.823365,0.16099,19851.4,-0.00099161,0.839218,12.1391,12.0261,118.06,86.4522,0.933868,11.6349,13.6446,116.913,137.249,1.14642,-50.7971,273.339,330.757,604.096
75,0.07,0.69,43.2964,75,33677.1,-0.0768806,65.4409,11.4988,118.043,0.0192662,33.8577,500.0,-2.49357,-0.121426,-3.24592,-4.7985,-4.93621,62.4801,15161.8,1512.37,13896.8,24517.4,-2.88699,-0.514847,-4.03276,-5.19192,-5.32963,0.775411,15138.9,1497.89,13873.9,0.486878,0.852406,0.16589,31093.9,-0.000688638,1.53864,11.8324,11.8326,118.565,86.7756,1.3599,11.3634,13.386,117.265,137.285,1.30005,-50.5097,480.611,461.493,942.105
76,0.07,0.69,43.1964,76,22229.0,-0.25588,43.368,11.8028,117.87,-0.0249055,-10.5076,0.805929,0.872214,-1.46628,-2.6682,-2.28195,-4.41343,124.634,9480.99,1068.98,10149.5,16671.4,0.0874247,-2.25107,-4.23778,-3.06674,-5.19822,0.711055,9435.38,1040.09,10103.8,0.448134,0.838288,0.1594,21054.8,-0.00111249,0.939758,12.0398,12.0887,118.276,86.1267,0.942318,11.9017,13.4715,117.114,136.58,1.16159,-50.4528,305.161,337.072,642.233
77,0.07,0.69,43.3464,77,25098.1,-0.25259,51.3347,11.1779,117.978,0.117079,267.565,206.594,-0.486778,-0.429308,-3.73688,-5.61383,-1.62312,156.994,11980.7,1085.63,10483.9,19699.3,-1.47532,-1.41785,-5.71397,-6.60237,-2.61166,0.679372,11923.3,1049.24,10426.4,0.498597,0.866552,0.156386,23913.7,-0.000928361,1.28668,11.4425,11.3372,118.544,85.9066,1.06668,11.0453,13.033,117.179,136.394,1.3645,-50.487,372.39,342.573,714.964
78,0.07,0.69,43.3964,78,30152.9,-0.24056,59.6944,11.429,117.946,-0.692299,1512.22,292.964,-2.51308,-1.62889,-1.47039,-1.16249,-6.51191,129.162,13590.9,1359.51,13009.8,56289.8,-3.32637,-2.44219,-3.09698,-1.97578,-7.3252,0.829523,13543.6,1329.57,12962.6,0.47604,0.853391,0.158918,28450.6,-0.000764434,1.41776,11.6736,11.5217,118.376,86.7527,1.29463,11.2709,12.9835,117.192,136.931,1.18407,-50.1778,425.428,422.664,848.092
79,0.07,0.69,43.0064,79,29052.3,-0.035927,58.3461,11.2622,117.865,-0.0318547,-57.4703,4.85335e-12,-3.19573,-2.16014,-3.97396,-1.18248,-1.51017,99.0613,13668.0,1186.26,12386.4,21450.5,-3.81949,-2.78391,-5.22149,-1.80625,-2.13394,0.668794,13631.7,1163.29,12350.2,0.489744,0.870065,0.147857,27834.5,-0.00098539,1.44183,11.5017,11.5171,118.207,87.0044,1.24946,11.2201,12.7486,117.263,137.64,0.943794,-50.6358,426.108,398.731,824.84
80,0.07,0.69,43.2264,80,24509.5,-0.217678,48.4102,11.5072,117.947,0.334788,-336.542,0.746059,-1.12702,-5.35793,-0.300145,-1.79898,-4.4904,64.9657,11177.2,1098.46,10339.0,21802.2,-1.53609,-5.767,-1.11829,-2.20805,-4.89947,0.927987,11153.4,1083.4,10315.3,0.484594,0.854709,0.16211,23015.9,-0.000859896,1.13125,11.9034,11.772,118.327,85.801,1.00554,11.375,13.445,117.236,136.447,1.09159,-50.6457,353.664,343.091,696.755
81,0.07,0.69,43.1864,81,21388.4,-0.154918,42.7172,11.2872,118.014,0.135549,-14.6591,393.478,-2.08122,-4.91585,-1.56313,-1.71953,-0.495648,86.7752,9954.63,927.791,9053.13,15760.4,-2.62762,-5.46225,-2.65593,-2.26594,-1.04205,0.811017,9922.87,907.676,9021.37,0.488873,0.862011,0.156361,20297.5,-0.000683544,1.03614,11.5231,11.6892,118.356,85.661,0.901235,11.3408,12.919,117.237,136.072,1.11924,-50.4111,311.367,294.585,605.952
82,0.07,0.69,43.2164,82,22778.5,-0.188359,44.9994,11.47,117.709,-0.00188621,-35.3408,466.565,4.29734,-0.224469,-1.15698,-2.69668,-4.6588,147.745,10421.1,1027.48,9637.99,16804.4,3.36703,-1.15478,-3.0176,-3.62699,-5.58911,0.698886,10367.0,993.236,9583.91,0.4847,0.856411,0.160305,21388.5,-0.000849298,1.04261,11.9247,11.9459,118.039,85.8171,0.9383,11.3503,13.3729,116.942,136.17,1.09701,-50.3531,331.357,317.744,649.101
83,0.07,0.69,43.2464,83,25773.0,-0.0993679,51.7085,11.2013,117.911,0.0398023,42.0265,500.0,-2.86826,-0.613277,0.941896,-3.74958,-2.16467,130.211,12162.3,1066.04,10816.7,18909.4,-3.68816,-1.43318,-0.697915,-4.56949,-2.98457,0.947813,12114.6,1035.86,10769.1,0.494494,0.869843,0.150518,24499.1,-0.000739101,1.29483,11.4578,11.4199,118.314,85.6376,1.08793,11.2539,12.7976,117.183,136.002,1.13064,-50.3641,377.988,349.565,727.553
84,0.07,0.69,43.2364,84,24450.4,-0.102537,48.8558,11.3125,118.029,-0.0372061,108.414,0.194197,-0.819456,-1.54152,0.752029,-1.74774,-1.61605,119.632,11440.8,1012.39,10213.2,18123.0,-1.57275,-2.29481,-0.754551,-2.50103,-2.36934,0.920511,11397.0,984.663,10169.4,0.493552,0.868663,0.151366,23091.8,-0.000734973,1.20132,11.586,11.5062,118.411,85.9354,1.02435,11.2076,13.0392,117.295,136.374,1.11615,-50.4383,357.294,333.972,691.266
85,0.07,0.69,43.0564,85,26208.5,0.0936642,52.944,11.0875,117.875,0.0779002,-125.766,2.2e-11,-1.76797,3.07731,1.04818,-4.43085,-3.52798,79.9799,12336.9,1098.31,11196.4,19428.2,-2.27158,2.5737,0.0409603,-4.93446,-4.03159,1.00475,12307.7,1079.77,11167.1,0.489372,0.866904,0.151188,25149.9,-0.000759185,1.31155,11.5774,11.3088,118.334,86.0239,1.15666,10.8802,12.7145,117.18,136.108,1.15412,-50.0841,383.103,356.977,740.08
86,0.07,0.69,43.1064,86,29584.7,-0.167155,58.841,11.2435,117.715,-0.0773081,242.709,194.405,1.35268,2.02128,-2.59515,-1.30521,-2.62074,139.919,14299.6,1224.77,11612.7,22147.4,0.471646,1.14024,-4.35722,-2.18624,-3.50178,0.483335,14248.4,1192.33,11561.4,0.517295,0.872263,0.159647,27544.1,-0.000455346,1.49689,11.5689,11.5583,118.057,85.5264,1.17389,11.0908,12.9594,116.944,135.634,1.11249,-50.1073,446.559,376.422,822.98
87,0.07,0.69,43.1564,87,29509.8,-0.0601991,58.9227,11.1979,118.222,0.0332042,12.6119,500.0,2.46061,-0.570238,-6.1331,-0.68364,3.30115,95.6092,13997.1,1204.97,12098.6,21492.6,1.85858,-1.17226,-7.33715,-1.28567,2.69912,-0.40092,13962.1,1182.81,12063.6,0.501597,0.870888,0.152983,27835.2,-0.000698693,1.47654,11.5025,11.4834,118.673,85.6234,1.21599,11.147,13.0076,117.447,135.735,1.22644,-50.112,435.12,393.352,828.473
88,0.07,0.69,43.1664,88,22382.4,0.00615858,45.0106,11.1628,117.676,-0.0219855,-3.63327,499.938,-3.23994,1.44321,0.232405,-2.90912,-1.0672,104.069,10337.7,920.629,9643.18,16358.9,-3.89524,0.787918,-1.07818,-3.56441,-1.7225,0.886176,10299.6,896.506,9605.09,0.482521,0.867811,0.146711,21345.5,-0.000635605,1.12052,11.4055,11.1933,118.101,85.7422,0.975778,11.1668,12.8549,116.889,135.974,1.21214,-50.2322,319.149,312.495,631.644
89,0.07,0.69,43.1764,89,23826.4,-0.0011551,47.6403,11.2311,118.061,-0.0300656,-9.80875,0.00898774,-3.07887,0.244368,2.18454,-1.40235,1.20389,105.507,11074.2,1013.69,10141.9,17427.4,-3.74322,-0.419984,0.855836,-2.0667,0.539537,1.17703,11035.6,989.238,10103.3,0.487129,0.864401,0.152805,22654.4,-0.000743435,1.15781,11.6518,11.4951,118.441,85.7694,1.02781,11.1142,12.8894,117.269,136.073,1.17213,-50.3036,345.976,328.491,674.466
90,0.07,0.69,43.2064,90,20603.2,-0.0719422,41.424,11.3595,117.904,0.0159637,-8.83018,3.12395e-11,3.41696,2.46926,-4.0409,-0.517609,-0.281907,96.4993,9236.57,902.653,9060.87,15322.7,2.80933,1.86163,-5.25616,-1.12524,-0.889537,-1.02162,9201.25,880.284,9025.56,0.469916,0.856588,0.152302,19580.6,-0.000997325,0.927787,11.9309,11.8869,118.227,85.9062,0.890726,11.3157,13.3702,117.195,136.442,1.03202,-50.5353,293.56,300.65,594.211
91,0.07,0.69,43.2964,91,25167.3,-0.19845,50.5904,11.2652,117.926,0.184899,-68.6595,27.1763,-3.68621,0.462291,-4.25873,-1.24933,-1.36989,84.7108,11771.9,1009.35,10550.4,18965.7,-4.21961,-0.0711107,-5.32553,-1.78273,-1.90329,0.599652,11740.9,989.719,10519.4,0.492525,0.871445,0.147714,23838.1,-0.000646737,1.24339,11.5133,11.4817,118.453,86.3727,1.06767,11.0517,12.9698,117.13,136.981,1.32313,-50.6085,366.706,341.426,708.132
92,0.07,0.69,43.1964,92,20130.7,-0.197952,39.417,11.6629,117.71,0.219151,36.4345,24.0336,1.05592,-3.32752,-0.534699,1.64958,-2.60416,136.35,9399.51,902.497,8433.99,15225.2,0.197363,-4.18608,-2.25181,0.791026,-3.46272,0.747334,9349.61,870.892,8384.08,0.49231,0.859839,0.160614,18991.3,-0.000861171,0.946161,12.123,11.6345,117.961,85.7985,0.810546,11.6196,13.2941,116.954,136.103,1.00701,-50.3043,297.734,279.337,577.071
93,0.07,0.69,43.3464,93,30842.4,-0.0780383,60.415,11.4329,118.082,0.153724,-259.464,499.996,-3.03812,1.06048,6.02012,0.545829,0.129058,146.994,14357.9,1302.14,12639.5,23783.6,-3.9637,0.134901,4.16896,-0.379753,-0.796524,5.98611,14304.1,1268.06,12585.7,0.497056,0.865697,0.156546,28777.6,-0.000671641,1.48426,11.7303,11.6269,118.582,86.1167,1.26267,11.285,12.9737,117.335,136.525,1.24703,-50.4083,451.633,412.435,864.068
94,0.07,0.69,43.3964,94,32751.5,-0.234609,63.8641,11.556,117.523,-0.122455,320.037,121.098,0.658038,0.915937,-2.76628,-2.7299,-3.21675,163.621,14783.3,1478.86,13759.0,25300.6,-0.372239,-0.114339,-4.82683,-3.76018,-4.24702,0.637642,14723.5,1440.93,13699.1,0.483095,0.853777,0.162311,30477.4,-0.000768284,1.49659,11.8992,11.781,117.913,85.9512,1.35219,11.3587,13.1673,116.785,136.103,1.12761,-50.1515,468.067,451.194,919.262
95,0.07,0.69,43.0064,95,27222.3,-0.232278,54.572,11.3181,117.611,0.481159,-209.593,11.7485,-2.16688,-0.357128,5.07274,-6.09031,-1.02058,151.276,13221.8,1116.95,11058.1,23389.4,-3.11943,-1.30967,3.16765,-7.04285,-1.97313,1.30821,13166.4,1081.89,11002.7,0.50994,0.87428,0.153355,25819.5,-0.00075081,1.39141,11.6093,11.4336,118.022,86.2088,1.12771,11.0759,12.7573,116.73,136.451,1.2917,-50.242,412.045,355.494,767.539
96,0.09,0.67,43.237,96,21821.9,0.153529,43.0994,11.3502,117.647,-0.378164,-159.193,6.91813e-12,-0.902619,3.77893,-3.35036,-2.59897,-4.65909,177.623,10331.6,956.64,9000.33,17884.4,-2.02106,2.66049,-5.58725,-3.71742,-5.77753,0.613146,10266.6,915.468,8935.32,0.49978,0.865017,0.158768,20542.2,-0.000811315,1.06845,11.7163,11.6364,117.937,86.1264,0.87156,11.4345,13.3479,116.961,136.591,0.976598,-50.4645,324.991,296.775,621.766
97,0.09,0.67,43.197,97,20837.4,-0.17219,41.7914,11.2977,117.997,0.19231,-71.5734,24.5424,0.475925,1.44637,0.998506,-3.20517,0.0743104,185.012,9797.32,904.169,8662.6,15818.0,-0.689047,0.281399,-1.33144,-4.37015,-1.09066,0.815075,9729.6,861.284,8594.89,0.496061,0.865866,0.15583,19613.7,-0.000638553,1.02011,11.5232,11.7259,118.356,85.2792,0.854056,11.3374,13.0533,117.304,135.325,1.05155,-50.046,307.516,281.982,589.498
