cyc,time,charge,freq,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.03,0.84,43.1146,0,9107.8,0.0162218,29.4113,8.09563,123.711,0.0130707,3.77275,3.19868e-11,1.39715,-3.16837,-2.13949,0.332078,0.758211,-433.115,6342.5,29.7163,4727.43,7752.65,4.12435,-0.441164,3.31492,3.05929,3.48542,0.755226,6687.49,61.0792,5072.42,0.561404,0.984268,0.0217002,11912.1,-0.00180072,1.19761,8.13746,7.92397,124.088,74.7415,0.798499,8.31332,8.9473,123.234,119.768,0.854574,-45.0266
1,0.03,0.84,43.1746,1,6187.53,-0.0321903,21.9629,7.804,123.746,0.0175167,20.7649,499.739,-2.41996,-0.640969,-5.64497,-4.5198,-3.63738,-387.111,4616.46,15.0926,3475.57,5591.43,0.0175733,1.79656,-0.769907,-2.08226,-1.19985,0.655966,4924.8,43.1242,3783.92,0.558226,0.984907,0.0205622,8822.24,-0.00186161,0.905587,7.97462,7.93589,124.05,73.1985,0.585185,8.22159,9.22103,123.395,118.185,0.654833,-44.9867
2,0.03,0.84,43.1346,2,8582.44,-0.0615151,26.641,8.2921,123.349,-0.380839,456.729,26.9111,-8.02872,-3.53712,-3.38727,-2.95571,-2.26245,-262.361,6018.36,32.6956,4198.04,12853.7,-6.37671,-1.8851,-0.0832307,-1.3037,-0.610429,0.991887,6227.34,51.6938,4407.02,0.578396,0.985681,0.0211507,10766.6,-0.00160552,1.06002,8.46886,8.24243,123.776,73.4761,0.687999,8.33987,9.31972,123.167,118.431,0.60972,-44.955
3,0.03,0.84,43.2046,3,6332.74,-0.00317295,21.8264,8.08912,123.467,0.0149601,-9.2435,6.76093e-13,-5.30711,-3.47617,-11.6907,-3.08856,0.310408,-367.449,4814.21,38.3713,3427.89,5752.0,-2.99338,-1.16244,-7.06322,-0.774834,2.62414,0.246167,5106.9,64.9792,3720.58,0.571299,0.978218,0.0311692,8939.1,-0.00180144,0.874546,8.29433,8.11532,123.876,73.1112,0.577614,8.27054,9.15851,123.002,117.782,0.873232,-44.6704
4,0.03,0.84,43.3046,4,10479.0,-0.354029,31.5044,8.49933,123.522,0.422195,-157.68,2.23681,-4.9337,-1.97157,0.131637,-2.31668,0.376263,-274.61,7199.43,38.4337,4931.94,10883.8,-3.20456,-0.242419,3.58993,-0.587538,2.10541,-1.16154,7418.17,58.3188,5150.68,0.583035,0.986429,0.0204312,12723.4,-0.00161759,1.24539,8.56884,8.2461,123.819,74.1283,0.778079,8.57605,9.42319,123.035,118.753,0.783132,-44.6247
5,0.03,0.84,43.1846,5,6306.93,-0.0465315,20.7414,8.13,123.389,0.0178786,-21.9406,4.00509e-06,-2.48083,1.27592,-2.72895,-1.68537,0.646614,-344.157,4408.47,27.721,3402.51,5502.15,-0.313762,3.44299,1.60518,0.481699,2.81368,0.800096,4682.61,52.6423,3676.64,0.552875,0.980706,0.0256975,8469.55,-0.001478,0.825194,8.2288,8.00471,123.679,73.5828,0.549171,8.53962,9.26648,122.958,118.503,0.720847,-44.9205
6,0.03,0.84,43.2546,6,10092.0,-0.343245,30.2254,8.55671,123.581,0.0594677,-91.1265,171.697,-2.88577,-3.22815,-4.55854,-4.99327,0.982169,-294.282,6882.9,43.7255,4831.62,8595.67,-1.03276,-1.37514,-0.852513,-3.14026,2.83518,0.760898,7117.31,65.0352,5066.03,0.576986,0.984261,0.0231017,12335.3,-0.00150005,1.20978,8.51188,8.1348,124.005,74.1827,0.756936,8.49789,9.44235,123.148,118.921,0.857631,-44.738
7,0.03,0.84,43.1246,7,9518.31,-0.120939,29.7109,8.35809,123.481,-0.159419,-272.246,499.681,-6.57391,-1.01697,-7.03776,-0.552651,-5.08639,-399.724,6664.48,30.993,4768.32,9496.7,-4.05695,1.49998,-2.00385,1.9643,-2.56944,0.612104,6982.88,59.938,5086.72,0.571328,0.985201,0.0212448,12222.2,-0.00180275,1.17714,8.41496,8.2259,123.85,73.8423,0.75281,8.51002,9.39585,123.117,118.743,0.733604,-44.9009
8,0.03,0.84,43.1546,8,7198.33,-0.0148246,23.8551,7.95302,123.475,-0.0130726,10.2008,499.998,-3.23789,0.953855,-1.49416,-0.702457,3.07208,-379.68,5042.35,31.76,3848.13,6180.35,-0.847141,3.3446,3.28733,1.68829,5.46282,0.745876,5344.78,59.2536,4150.56,0.555599,0.980968,0.0256242,9619.86,-0.00158324,0.912441,8.05363,8.39979,123.937,73.8782,0.624961,8.15775,9.50746,123.033,118.66,0.904073,-44.7821
9,0.03,0.84,43.1946,9,5632.44,-0.402686,20.9734,7.9641,123.601,0.656972,319.249,499.368,-2.0809,-1.28222,-2.22667,-0.714706,0.132517,-384.796,4181.8,24.6065,3294.15,12265.2,0.342059,1.14074,2.61924,1.70825,2.55548,0.68691,4488.31,52.4705,3600.66,0.547556,0.979952,0.0261423,8196.98,-0.00172207,0.810774,7.95268,7.92032,124.03,74.1997,0.588154,7.95913,8.94337,123.22,119.254,0.810793,-45.0546
