cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
251,0.19,0.57,43.2859,251,24579.1,0.0295618,49.8143,11.0636,117.684,-0.0659603,-13.6306,1.11622e-12,1.39801,-3.46074,2.82098,-7.20758,-4.96659,75.1501,12365.5,1158.32,9628.41,17970.3,0.924805,-3.93394,1.87458,-7.68078,-5.43979,1.1315,12338,1140.9,9600.91,0.527738,0.860716,0.17959,23379.1,-0.000857454,1.32299,11.4304,11.3623,118.055,83.8127,0.955937,11.2007,13.1966,116.888,133.485,1.16764,-49.6723,383.346,315.234,698.58 
252,0.19,0.57,43.1859,252,16588.6,0.00183751,33.7535,11.3199,117.549,-0.0158586,-7.48894,500,-0.971845,-6.77961,-2.50177,-4.29263,-1.50912,51.1573,8259.48,886.898,6807.91,12442,-1.29397,-7.10173,-3.14602,-4.61476,-1.83124,0.825102,8240.76,875.04,6789.19,0.513497,0.843296,0.19187,16048.3,-0.00123781,0.84806,11.7641,11.737,117.779,83.9544,0.640971,11.628,13.871,116.766,133.754,1.01234,-49.7999,261.252,230.65,491.902 
253,0.19,0.57,43.3359,253,24444.6,0.0078759,49.0676,11.1621,117.643,-0.0372025,-18.6828,500,-0.291687,-5.15607,-5.27533,-5.56097,-3.63917,89.1026,12464.6,1187.74,9378.19,17852.1,-0.852742,-5.71712,-6.39744,-6.12203,-4.20022,0.725309,12432,1167.09,9345.58,0.536337,0.858895,0.187021,23179.4,-0.000856142,1.32534,11.4643,11.4238,117.927,83.9431,0.933013,11.1335,13.2736,116.89,133.595,1.03719,-49.6516,387.25,307.614,694.864 
254,0.19,0.57,43.3859,254,26952.8,-0.196029,53.8968,11.2726,117.505,0.232277,-184.132,499.846,-3.28194,-4.26357,-4.5175,-4.48452,-8.71126,50.5441,13307.2,1262,10675.5,21170.2,-3.6002,-4.58183,-5.15402,-4.80278,-9.02952,0.810293,13288.7,1250.29,10657,0.520222,0.858626,0.17771,25544.3,-0.000785083,1.41581,11.4961,11.3574,117.831,84.0661,1.05741,11.2555,13.137,116.767,133.626,1.06413,-49.5601,412.419,348.82,761.238 
255,0.19,0.57,42.9959,255,25820,-0.187962,51.9992,11.1956,117.4,0.10902,-73.43,7.73546,-2.49188,-1.53341,-7.0648,-6.66771,-6.06027,43.6356,12893,1237.95,9950.48,19212,-2.76664,-1.80817,-7.61432,-6.94247,-6.33503,0.701008,12877,1227.83,9934.51,0.529882,0.856998,0.185449,24301.7,-0.000728671,1.35244,11.5028,11.6174,117.682,84.9578,1.00479,11.1511,13.0136,116.663,134.799,1.01903,-49.8413,403.215,325.303,728.519 
256,0.19,0.57,43.2159,256,25076.5,-0.214532,50.3838,11.2939,117.524,0.0197193,179.071,101.972,-5.32489,-3.78385,-2.024,-7.97811,-7.08827,25.8879,12732.4,1141.81,9833.03,18638.7,-5.4879,-3.94686,-2.35001,-8.14112,-7.25128,0.91353,12722.9,1135.81,9823.55,0.529679,0.864882,0.175588,24020,-0.00107503,1.33671,11.6081,11.4424,117.94,84.0003,0.964832,11.4122,13.1408,116.667,133.467,1.27265,-49.4672,396.114,322.807,718.921 
257,0.19,0.57,43.1759,257,21172.3,-0.203244,41.4953,11.6383,117.456,0.270233,-193.064,248.552,1.6986,-2.66093,-10.8587,-6.33918,-4.4151,58.462,9818.48,1135.87,8728.49,17419.5,1.33048,-3.02905,-11.5949,-6.7073,-4.78322,0.532161,9797.08,1122.32,8707.09,0.494546,0.833005,0.191881,19810.2,-0.00110734,0.963278,12.0664,12.1148,117.814,84.2265,0.79919,11.8313,14.1746,116.678,134.495,1.13649,-50.2683,314.178,299.019,613.197 
258,0.19,0.57,43.2059,258,26851,-0.20202,52.5543,11.5539,117.39,0.22763,-38.2691,500,-1.33724,-3.14366,-7.94094,-8.37634,-1.24945,75.5481,13078.5,1313.73,10325.2,20050.2,-1.81295,-3.61936,-8.89236,-8.85205,-1.72515,0.642904,13050.9,1296.22,10297.6,0.524277,0.851926,0.18823,24893.1,-0.000909451,1.31379,11.8193,11.9747,117.586,84.5944,0.970903,11.6991,13.7114,116.698,134.739,0.887162,-50.1446,414.854,347.467,762.32 
259,0.19,0.57,43.2359,259,29896.2,-0.134509,59.5131,11.3024,117.693,0.00207766,-147.693,500,-4.36846,1.24959,2.82877,-6.87447,-3.29186,44.5783,15000.7,1451.71,11519.1,21906.6,-4.64916,0.968889,2.26737,-7.15517,-3.57255,1.18676,14984.3,1441.38,11502.8,0.531123,0.855918,0.187539,28212.6,-0.00102353,1.55432,11.6757,11.6049,118.037,83.4826,1.12308,11.3809,13.2993,116.826,133.078,1.21055,-49.5949,469.864,379.241,849.104 
260,0.19,0.57,43.2259,260,22592.5,0.00400496,46.7698,10.925,117.621,-0.014962,0.607398,500,-2.54891,-4.81806,-3.38267,-3.61251,-1.82103,79.4097,11530.7,1093.37,9024.74,16633.8,-3.04894,-5.31809,-4.38272,-4.11253,-2.32105,0.771535,11501.6,1074.96,8995.67,0.526471,0.859433,0.180413,21846.6,-0.00112796,1.243,11.2884,11.3804,117.867,84.3186,0.888004,11.1471,13.4208,116.979,133.922,0.888374,-49.6033,356.263,296.383,652.646 
261,0.19,0.57,43.0459,261,22208.9,-0.233275,46.3472,10.9794,117.644,-0.0296935,-77.7964,9.11926,-3.14237,-0.997744,-1.37991,-9.53577,-4.89665,-22.5745,11357,988.726,9024.23,16640.4,-3.00023,-0.855599,-1.09562,-9.39362,-4.7545,0.942637,11365.2,993.959,9032.49,0.522477,0.867266,0.168544,21752.6,-0.00112254,1.24569,11.2374,11.1562,118.092,84.4533,0.912757,11.0953,12.9933,116.732,134.378,1.35929,-49.9243,348.414,293.569,641.983 
262,0.19,0.57,43.0959,262,26957.6,-0.122373,54.8435,11.0627,117.341,0.3764,-243.445,1.42197e-12,-1.5286,-2.43452,2.8273,-3.48987,-2.97939,50.6021,14123.1,1275.93,9871.18,22733.7,-1.84723,-2.75315,2.19005,-3.80849,-3.29801,1.23012,14104.5,1264.2,9852.66,0.554531,0.864414,0.191175,25435.1,-0.000731244,1.53556,11.3128,11.214,117.713,82.7206,0.982548,11.1551,13.2948,116.459,131.992,1.25364,-49.2715,434.611,325.093,759.704 
263,0.19,0.57,43.1459,263,24334.2,-0.192565,49.7059,11.0695,117.594,0.111052,-308.353,24.0325,0.442645,-4.2069,-4.4122,-7.23876,-0.672677,2.51175,12185.8,1126.42,9799.53,19026.3,0.426829,-4.22271,-4.44383,-7.25458,-0.688493,0.725398,12184.9,1125.83,9798.61,0.519538,0.860813,0.174681,23453.3,-0.00091641,1.32898,11.2394,11.2366,118.063,84.4235,0.97806,11.2021,13.061,116.757,134.337,1.3067,-49.9131,374.452,319.256,693.709 
264,0.19,0.57,43.1559,264,24291,-0.198962,47.9758,11.4683,117.604,0.107992,-19.4901,340.583,-0.873452,-2.859,-6.2242,-4.10523,-4.44178,36.0326,11772.2,1211.21,9625,17979.3,-1.10034,-3.08589,-6.67798,-4.33212,-4.66867,0.663832,11759,1202.86,9611.81,0.515461,0.848168,0.18734,22812.6,-0.000804651,1.21038,11.7352,11.6651,117.986,84.4627,0.925046,11.5443,13.4063,116.767,134.295,1.2182,-49.8325,369.667,319.405,689.072 
265,0.19,0.57,43.1659,265,18369.8,-0.194327,37.6427,11.1856,117.387,-0.00506638,1.41012,499.995,-1.38875,-0.845043,-5.8244,-2.43225,-4.09076,35.7839,8755.35,896.881,7740.71,13707,-1.61408,-1.07036,-6.27504,-2.65757,-4.31608,0.606164,8742.26,888.586,7727.61,0.495902,0.848987,0.174796,17629,-0.000902287,0.907878,11.6229,11.6235,117.789,84.2323,0.762171,11.1974,13.4745,116.692,134.245,1.09736,-50.0127,273.648,256.555,530.203 
266,0.19,0.57,43.1959,266,21053.8,-0.266916,42.4538,11.4884,117.135,0.255192,-30.5622,499.614,1.00723,-5.33441,-7.17168,-6.79139,-3.6467,86.1016,9874.22,1040.41,9069.58,16131,0.465072,-5.87657,-8.25599,-7.33355,-4.18886,0.67225,9842.7,1020.46,9038.07,0.486384,0.846429,0.172176,20236.5,-0.00134134,0.98978,12.0351,11.7583,117.324,83.5629,0.854837,11.5487,13.8339,116.455,133.418,0.869291,-49.8547,312.504,304.692,617.196 
267,0.19,0.57,43.2859,267,30677.9,-0.151066,60.3443,11.3268,117.527,-0.0544035,240.923,323.628,-1.43899,-1.39189,-2.60103,-3.54643,-1.22769,79.3472,14980.8,1470.45,11787,22677.1,-1.93862,-1.89152,-3.60029,-4.04606,-1.72731,0.72733,14951.8,1452.06,11758,0.525112,0.854735,0.185331,28473.4,-0.000555049,1.55377,11.5572,11.6955,117.919,84.8053,1.15948,11.2882,13.2671,116.667,134.554,1.25219,-49.749,468.563,387.404,855.967 
268,0.19,0.57,43.1859,268,15789,-0.238098,32.167,11.3641,117.37,0.137426,-10.2942,2.75986e-12,-6.61783,-3.71576,-9.18448,-3.2927,-3.79149,76.0783,7676.43,821.273,6608.91,11945.9,-7.09687,-4.19481,-10.1426,-3.77174,-4.27053,0.65591,7648.59,803.638,6581.06,0.502641,0.844685,0.183638,15216.8,-0.00106142,0.785125,11.8175,11.6816,117.68,84.5925,0.629539,11.5343,13.7506,116.546,134.713,1.13322,-50.1206,241.814,222.758,464.572 
269,0.19,0.57,43.3359,269,27719,-0.0549963,55.292,11.1979,117.374,-0.733359,349.427,0.108322,-0.826288,1.26341,5.59754,-4.3999,-1.79779,41.5132,13535,1225.49,10960.3,28497.5,-1.08769,1.00201,5.07475,-4.6613,-2.05919,3.93098,13519.8,1215.87,10945.1,0.517866,0.864018,0.169873,26106.7,-0.000713916,1.43271,11.4146,11.5343,117.72,84.156,1.07742,11.3495,13.1646,116.577,133.981,1.14244,-49.8245,420.839,359.144,779.983 
270,0.19,0.57,43.3859,270,31015.4,0.00430133,62.098,11.1237,117.586,-0.0422026,-20.4212,500,2.12141,2.06023,-4.61957,-5.56702,1.32853,36.2555,15077.7,1410.3,12409,22514.5,1.89312,1.83194,-5.07615,-5.79532,1.10024,0.160435,15064.5,1401.9,12395.7,0.513803,0.859952,0.172414,29319.5,-0.000864102,1.59184,11.4906,11.4709,117.989,84.6379,1.22883,11.236,13.2015,116.848,134.508,1.14063,-49.87,468.105,406.658,874.763 
271,0.19,0.57,42.9959,271,25568,-0.0955852,51.3056,11.1738,117.538,-0.0518406,14.6974,2.6113e-06,-0.284721,-1.31317,-4.20068,-3.26764,1.94674,61.7767,12921,1243.08,9723.9,18686.9,-0.673712,-1.70216,-4.97867,-3.65664,1.55774,0.473348,12898.4,1228.76,9701.29,0.536206,0.857108,0.189181,24054.8,-0.000729172,1.36951,11.4653,11.4689,117.867,84.4239,0.952998,11.3231,13.2869,116.756,134.009,1.11089,-49.5849,401.772,319.875,721.647 
272,0.19,0.57,43.2159,272,26906,-0.101505,53.1552,11.3464,117.483,0.142536,-190.939,500,1.44144,-0.470817,-0.170612,1.74603,0.792711,70.9271,12830,1341.66,10608.8,20519.4,0.99483,-0.917426,-1.06383,1.29942,0.346102,2.61407,12804,1325.22,10582.8,0.51269,0.84665,0.187438,24974.3,-0.000786229,1.30849,11.6708,11.8906,117.9,84.7429,1.02292,11.3819,13.6625,116.679,134.739,1.22079,-49.9961,405.122,354.884,760.007 
