cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
0,0.26,0.5,43.1509,0,26113,-0.274079,53.2794,11.2294,117.777,3.17216,-1020.54,149.156,-0.150913,0.871506,-0.0536429,-3.20306,-2.0615,154.988,12636.2,1011.08,11202.9,124861,-1.12683,-0.104414,-2.00548,-4.17898,-3.03742,0.808145,12579.5,975.157,11146.2,0.495302,0.880546,0.138794,25397.6,-0.000971187,1.38161,11.4472,10.9759,118.004,85.8034,1.1601,11.1617,12.3495,117.066,135.906,0.938159,-50.1025,387.28,356.756,744.035 
1,0.26,0.5,43.2109,1,20878.4,-0.00407407,42.0965,11.4013,117.895,-0.0271458,-15.2307,8.77291e-12,-1.49541,1.26765,-3.34061,-3.53779,-0.401848,137.771,9595.47,812.158,9270.89,15637.6,-2.36292,0.400143,-5.07563,-4.4053,-1.26936,0.600755,9545.04,780.223,9220.46,0.473733,0.874855,0.134856,20148.6,-0.00112156,0.984513,11.8619,11.5401,118.063,86.1702,0.896826,11.5682,13.1736,117.149,136.644,0.914116,-50.4743,300.668,304.912,605.579 
2,0.26,0.5,43.2409,2,28313.7,-0.36485,57.478,11.4199,117.691,0.214194,291.657,20.0213,-0.854318,4.23019,-3.95811,-1.7119,-4.25109,118.228,13510.5,1051.53,12096.1,23401.4,-1.59877,3.48573,-5.44701,-2.45636,-4.99554,0.505354,13467.3,1024.13,12052.8,0.492801,0.88255,0.13534,27328,-0.00106669,1.43394,11.5988,11.2889,117.889,86.0393,1.21791,11.3334,12.6087,116.983,136.52,0.905548,-50.4808,418.884,388.28,807.164 
3,0.26,0.5,43.1909,3,17121.8,-0.0558258,35.5289,11.256,117.925,-0.0247278,42.7232,500,-1.21485,-0.832864,-1.52525,-1.61028,-5.54887,106.123,7745.89,578.821,8339.38,13052.9,-1.88308,-1.50109,-2.8617,-2.27851,-6.2171,0.805874,7707.05,554.222,8300.54,0.446716,0.888222,0.109525,17252.7,-0.00131126,0.815632,11.833,11.2348,118.146,86.1953,0.827872,11.3876,12.6866,117.332,136.961,0.814099,-50.7655,241.91,266.831,508.741 
4,0.26,0.5,43.1809,4,17416,-0.291923,36.68,11.2161,117.865,0.224038,174.483,257.303,3.0754,-1.8932,-3.48662,-0.656668,-2.99179,146.114,8290.96,563.559,8250.54,14665.2,2.15535,-2.81324,-5.32671,-1.57671,-3.91183,0.535724,8237.48,529.69,8197.06,0.46634,0.898853,0.106374,17664.1,-0.00135587,0.896633,11.5802,11.0191,118.101,86.1727,0.848065,11.3014,12.2956,117.222,136.546,0.879144,-50.373,255.256,262.911,518.167 
5,0.26,0.5,43.1609,5,26261.2,-0.163619,53.1709,11.3015,117.792,0.347042,-75.7162,500,5.77537,1.25244,-3.23488,2.01084,-0.429765,126.189,12444.3,940.06,11688.5,20417,4.98079,0.457857,-4.82404,1.21626,-1.22434,8.95355,12398.1,910.81,11642.3,0.480793,0.886084,0.125961,25786.7,-0.00126139,1.34237,11.6099,11.0503,118.088,85.9646,1.20222,11.3099,12.2915,117.177,136.445,0.911773,-50.4799,384.215,372.859,757.074 
6,0.26,0.5,43.2009,6,14093.4,-0.0269593,30.1648,11.2572,117.847,0.814806,-379.382,498.008,1.27474,-0.530661,-4.96453,0.367966,-0.388823,130.4,6746.39,527.009,6866.4,21117.1,0.453644,-1.35175,-6.60671,-0.453128,-1.20992,0.279362,6698.66,496.782,6818.68,0.460701,0.885126,0.118328,14540.1,-0.00149975,0.707841,11.7396,11.3683,117.885,86.4838,0.69813,11.4879,12.3527,117.142,137.18,0.743443,-50.6966,210.758,221.021,431.78 
7,0.26,0.5,43.2309,7,24172.2,0.0379366,49.6037,11.1163,117.91,-0.0318933,-80.7294,2.47282e-12,3.56646,1.63757,4.31549,3.30015,-2.54048,142.633,11449.8,826.274,10900.4,18034.1,2.66833,0.739451,2.51924,2.40203,-3.43861,0.484864,11397.6,793.212,10848.2,0.477426,0.891432,0.118705,23873,-0.00116574,1.2598,11.4359,10.8835,118.188,86.1722,1.12623,11.2273,12.3072,117.242,136.666,0.945376,-50.4936,349.816,347.181,696.997 
8,0.26,0.5,43.1709,8,21250.3,-0.157455,44.5746,10.9681,117.888,0.179915,-21.7854,500,3.34586,1.3323,-0.557701,0.0682058,-0.349205,78.6771,10228.8,769.829,9470.69,16042.9,2.85045,0.836887,-1.54852,-0.427203,-0.844614,2.78606,10200.1,751.591,9441.89,0.484374,0.88578,0.127883,21058.2,-0.00112049,1.13194,11.3788,10.8962,118.072,85.6392,0.983013,11.0025,12.5408,117.272,136.031,0.800171,-50.3918,313.107,302.602,615.709 
9,0.26,0.5,43.2209,9,20138.1,-0.0127635,41.9157,-11.0871,117.865,0.0122894,-6.19667,4.02292e-11,-3.59258,-2.18951,-2.54897,-1.99636,-6.62861,143.055,9505.29,724.106,9439.82,15130.7,-4.49336,-3.09029,-4.35053,-2.89714,-7.52939,0.805439,9452.93,690.946,9387.46,0.466846,0.886593,0.119396,20248.5,-0.00131546,1.02437,11.5862,11.0491,118.021,86.0802,0.979934,11.225,12.1749,117.232,136.438,0.789262,-50.358,292.565,298.774,591.338 
