cyc,time,charge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
348,0.38,0.38,43.2309,348,14606.5,-0.0809823,32.4721,10.6256,117.776,-0.0621786,128.429,1.02985,-0.501016,0.793192,1.77092,-0.643172,0.956458,56.6342,7228.73,447.68,6946.36,11492,-0.857626,0.436582,1.0577,-0.999783,0.599848,-3.46815,7208,434.552,6925.63,0.475071,0.904566,0.103608,15172.5,-0.00127901,0.829843,11.108,10.6986,118.142,87.7545,0.762751,10.6462,12.0859,117.133,138.533,1.00954,-50.7786,220.017,218.954,438.971 
349,0.38,0.38,43.1609,349,16477.9,-0.235736,34.9525,11.0051,117.725,0.125688,-104.028,208.639,0.139728,1.04388,0.200341,-1.67873,0.515762,62.1875,8209.93,535.255,7299.31,12947.5,-0.25185,0.652304,-0.582815,-2.07031,0.124184,0.726183,8187.17,520.84,7276.55,0.494537,0.899824,0.116494,16555.2,-0.00101579,0.910306,11.2473,10.9971,118.151,87.2717,0.768032,10.9197,12.3346,116.964,137.788,1.18758,-50.5159,251.196,230.787,481.983 
350,0.38,0.38,43.1709,350,13459.8,-0.135724,29.0889,10.926,118.055,-0.118298,55.8338,500,0.779263,-0.342446,5.05749,0.995262,-1.17446,58.2154,6603.1,426.009,6246.77,10561.3,0.412696,-0.709013,4.32435,0.628695,-1.54103,-0.387921,6581.79,412.515,6225.46,0.478987,0.901159,0.108784,13741.1,-0.00109323,0.723432,11.4816,10.9424,118.377,87.4109,0.660086,10.792,12.5272,117.559,138.313,0.8178,-50.9025,202.773,199.091,401.864 
351,0.38,0.38,43.1809,351,10241.4,-0.263522,22.6389,11.1464,117.755,-0.0438426,305.671,20.1911,1.9315,4.39986,-0.0976342,-2.19493,-0.894587,102.37,5264.66,309.418,4873.94,8650.85,1.28691,3.75526,-1.38683,-2.83952,-1.53918,-0.917181,5227.2,285.689,4836.47,0.484487,0.912704,0.0981343,10789.1,-0.00124633,0.559889,11.6777,11.2159,117.974,87.295,0.511864,11.0771,12.2542,117.165,138.17,0.809102,-50.8749,163.603,155.01,318.613 
352,0.38,0.38,43.2109,352,13777.4,-0.241738,30.4472,10.7293,118.035,0.068976,-99.7463,294.208,-2.51708,-1.88221,-2.71337,-2.62219,-4.4668,73.8776,7000.56,447.159,6221.13,10858.4,-2.98227,-2.3474,-3.64375,-3.08737,-4.93199,0.785571,6973.52,430.034,6194.09,0.494691,0.902595,0.113389,14096.7,-0.0010491,0.789063,11.1397,10.8555,118.329,87.1862,0.668507,10.6242,12.3887,117.432,137.824,0.897214,-50.6375,212.879,196.302,409.181 
353,0.38,0.38,43.2209,353,17117.8,-0.239663,36.5912,10.9222,117.991,0.084243,70.4285,494.39,0.402908,5.8136,2.20464,1.58845,-3.10152,119.796,8587.85,552.113,7578.21,13203.3,-0.351414,5.05927,0.696002,0.834133,-3.85584,0.707826,8544.01,524.344,7534.37,0.496498,0.903018,0.113631,17208.5,-0.00106718,0.967069,11.2279,10.8044,118.284,86.7472,0.805525,10.8457,12.2795,117.441,137.268,0.842469,-50.5204,261.731,239.339,501.07 
354,0.38,0.38,43.3409,354,13943.5,-0.275778,31.5877,10.5784,117.77,0.413643,124.145,490.702,0.0385123,0.0319772,-0.961309,-3.02874,-2.13318,69.5421,7151.83,392.844,6419.56,12549.3,-0.399376,-0.405911,-1.83708,-3.46662,-2.57107,0.788356,7126.38,376.724,6394.11,0.492167,0.915323,0.097906,14479.6,-0.00116537,0.827798,10.9653,10.6856,118.116,88.1242,0.708236,10.4633,12.1535,117.057,138.796,1.05965,-50.672,216.392,200.931,417.323 
355,0.38,0.38,43.1909,355,10198,-0.0329689,22.3161,10.9241,118.022,0.0012934,22.7996,500,-4.20764,-0.553637,-6.42383,-0.958404,-3.65856,15.4623,5004.72,363.54,4958.06,7936.9,-4.305,-0.650999,-6.61856,-1.05577,-3.75592,0.596091,4999.06,359.956,4952.4,0.46745,0.888093,0.11808,10694.3,-0.00112791,0.53673,11.5217,11.2656,118.246,86.821,0.515014,11.0537,12.4665,117.41,137.359,0.836598,-50.5379,155.428,158.332,313.76 
356,0.38,0.38,43.1509,356,17299.4,-0.251822,37.0038,10.9266,117.889,0.148461,108.004,7.96061,2.68451,1.85811,-5.5817,-1.95852,-2.84284,43.0529,8492.59,553.371,7865.44,13684.1,2.41342,1.58702,-6.12389,-2.22961,-3.11394,0.179873,8476.83,543.392,7849.68,0.484281,0.899135,0.113097,17504,-0.001072,0.956478,11.1538,10.8557,118.248,87.7215,0.846245,10.8751,12.0695,117.3,138.443,0.947829,-50.721,258.377,247.808,506.185 
357,0.38,0.38,43.0509,357,15773.9,-0.0118896,34.9154,10.5595,118.101,-0.0279527,7.62615,0.00326708,3.0991,-1.63796,-0.66047,-2.85607,-5.00235,50.4197,7915.24,449.204,7365.28,12009,2.78162,-1.95544,-1.29543,-3.17355,-5.31983,0.855463,7896.79,437.517,7346.82,0.483113,0.911612,0.0988562,16345.6,-0.00121422,0.931908,10.9482,10.467,118.509,87.0702,0.813165,10.5082,12.098,117.44,137.62,1.06857,-50.5501,238.251,230.631,468.882 
