cyc,time,charge,freq,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.05,0.71,43.0559,0,14609.5,-0.280695,34.4163,10.1455,121.533,-0.125728,82.519,243.266,3.5206,1.08682,-6.85696,0.000803531,-2.2914,-84.8548,8716.84,32.8649,7322.94,11704.5,4.05491,1.62113,-5.78834,0.535112,-1.7571,-3.33817,8784.43,39.0094,7390.53,0.535745,0.992289,0.00962954,16396.7,-0.00137372,1.16124,10.3247,8.92492,121.918,83.1225,0.923286,10.1882,9.68558,120.931,130.996,0.986609,-47.8735
1,0.05,0.71,43.1659,1,10796.6,-0.0341186,26.9389,9.77552,121.617,0.00479055,24.3233,499.827,1.62315,-0.305502,-4.27472,0.511769,0.379141,-139.553,6594.92,14.1365,5766.86,8576.45,2.50188,0.573225,-2.51727,1.3905,1.25787,1.78513,6706.07,24.2419,5878.01,0.525537,0.993714,0.00753986,12760.4,-0.0015103,0.927299,10.0888,8.6806,121.943,82.863,0.778389,9.94945,9.30604,121.102,130.731,0.840675,-47.8677
2,0.05,0.71,43.1759,2,8636.53,-0.283848,22.2682,9.87001,121.619,0.444275,163.912,459.471,-0.927486,2.25454,2.12211,-2.47063,-0.948292,-164.356,5262.61,17.9092,4951.72,9525.4,0.107418,3.28945,4.19192,-1.43572,0.0866123,0.328183,5393.53,29.8106,5082.64,0.507452,0.99042,0.0106888,10628.6,-0.00152854,0.73462,10.1253,8.73128,122.014,82.1743,0.656877,10.055,9.40471,121.064,129.928,0.949564,-47.7532
3,0.05,0.71,43.2559,3,13801.7,0.0084769,33.063,9.95897,121.514,-0.0558169,29.0851,0.000188013,-0.0504485,3.51503,-8.6923,-2.27206,-3.86168,-61.7159,8531.77,21.7179,6816.52,10771.8,0.33816,3.90364,-7.91508,-1.88345,-3.47307,0.123448,8580.93,26.1869,6865.68,0.548212,0.994688,0.00697709,15652.6,-0.00154997,1.13618,10.3427,8.96464,121.884,83.2097,0.889738,10.1107,9.48387,120.96,131.116,0.924204,-47.9058
4,0.05,0.71,43.1959,4,7739.8,-0.0590542,20.6766,9.47866,121.839,-0.0102109,89.7496,500.0,0.630062,0.108662,-4.06237,-1.59429,-2.70577,-196.107,4656.0,15.1969,4695.96,6409.85,1.86489,1.34349,-1.59271,-0.359457,-1.47094,-6.41776,4812.2,29.3974,4852.17,0.490544,0.989422,0.0110374,9809.94,-0.00155195,0.673958,9.7357,8.75687,122.253,83.0693,0.628935,9.92609,9.44128,121.296,131.021,0.956744,-47.952
5,0.05,0.71,43.2159,5,11282.9,-0.338158,28.6122,9.9059,121.49,0.00308439,288.751,198.771,-1.84327,0.151004,-5.24417,-2.93991,-1.27534,-139.544,7020.99,15.3676,6012.42,9255.55,-0.964599,1.02967,-3.48683,-2.06124,-0.396673,0.406968,7132.14,25.4723,6123.57,0.530688,0.993789,0.00760436,13439.4,-0.00172084,1.01052,10.0214,8.55754,121.759,82.9362,0.797863,10.1203,9.35075,121.08,130.595,0.679402,-47.6592
6,0.05,0.71,43.1859,6,7732.76,-0.165423,20.7582,9.52592,121.73,0.234249,-152.751,1.40435e-05,1.98913,-1.15,-4.56152,-2.50147,-4.44891,-166.599,4829.27,-2.30726,4461.3,7601.94,3.03816,-0.100963,-2.46345,-1.45243,-3.39988,0.437384,4961.97,9.75662,4594.01,0.511871,0.996571,0.00389696,9693.8,-0.00149084,0.698476,9.86127,8.61686,122.152,83.3369,0.619019,9.77964,9.26892,121.09,131.497,1.06136,-48.1596
7,0.05,0.71,43.1359,7,12684.0,-0.246315,31.7533,9.77138,121.717,-0.164828,63.6046,0.0291255,-1.54917,-0.395413,-1.90129,-1.86869,-4.20176,-95.7459,7878.99,30.7253,6428.99,10441.7,-0.94628,0.207473,-0.695518,-1.2658,-3.59887,0.889583,7955.26,37.6585,6505.26,0.542811,0.991784,0.0105513,14655.7,-0.0016299,1.10606,10.0896,8.72046,122.004,83.0047,0.868599,9.96289,9.3317,121.167,130.922,0.837301,-47.9178
8,0.05,0.71,43.3159,8,13745.3,-0.111547,33.0161,9.9605,121.634,-0.346162,341.5,9.07761e-12,-0.688749,2.16236,-1.00132,-2.65115,-2.50392,-58.5415,8243.9,26.3193,6997.76,14553.6,-0.320128,2.53098,-0.264081,-2.28253,-2.1353,0.893131,8290.53,30.5585,7044.39,0.533282,0.993591,0.00792768,15546.3,-0.00149363,1.1447,10.221,8.67356,122.019,82.5063,0.909932,10.1964,9.45301,121.017,130.093,1.00207,-47.5867
9,0.05,0.71,42.9959,9,13069.1,-0.0793286,32.3268,9.68331,121.79,-0.0156215,46.4698,500.0,-0.340774,0.327724,-4.25207,-1.06986,1.00497,-106.465,7875.18,36.9985,6745.17,10213.8,0.329608,0.998106,-2.9113,-0.399474,1.67535,-8.46123,7959.98,44.7079,6829.97,0.530848,0.990267,0.0119145,14994.8,-0.00148157,1.11237,10.0191,8.66628,122.084,83.289,0.916343,9.91572,9.26093,121.356,131.224,0.728447,-47.9354
10,0.05,0.71,43.3759,10,13267.5,-0.293797,32.1613,-9.99672,121.886,0.170246,161.242,415.428,-2.18691,0.551075,-5.80881,-0.696364,2.12076,-95.6299,8093.65,32.321,6613.82,11359.7,-1.58476,1.15323,-4.6045,-0.094208,2.72291,-0.912708,8169.82,39.2458,6689.99,0.542466,0.991664,0.0106909,15060.5,-0.00139217,1.12167,10.1712,8.7204,122.163,83.0741,0.889123,10.0403,9.2341,121.379,130.956,0.783813,-47.8818
