cyc,time,charge,freq,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,0.03,0.84,43.1897,12,21479.2,0.111536,40.8285,12.1157,122.614,-0.131776,37.8954,2.46436e-06,-0.0347106,-1.33732,-3.15714,-1.36584,0.0551161,-42.1002,11346.9,105.136,11383.9,16265.6,0.230383,-1.07223,-2.62695,-1.10075,0.32021,0.381796,11380.5,108.185,11417.5,0.4918,0.983636,0.0171552,23140.5,-0.00161754,1.04642,12.4985,10.8409,123.036,80.8902,0.998727,12.3599,11.6575,122.035,128.382,1.00124,-47.4915
13,0.03,0.84,43.1697,13,21350.4,-0.402808,42.2003,12.072,122.58,0.0929184,284.967,68.5242,-2.69259,-5.65451,-6.26233,-3.55536,0.773552,-156.553,12117.8,65.3515,10853.0,17446.0,-1.70682,-4.66874,-4.29079,-2.56959,1.75932,0.626128,12242.5,76.6879,10977.7,0.519862,0.989157,0.0127051,23549.6,-0.00188644,1.18094,12.1914,10.4804,122.922,80.4545,1.02236,12.1128,11.0592,121.999,127.833,0.922528,-47.379
14,0.03,0.84,43.1797,14,22547.3,-0.38531,43.6215,-12.2292,122.871,0.296037,-35.6166,371.21,-5.28625,-2.43586,-2.87396,-1.46032,0.298381,-235.862,12383.9,79.6712,11845.8,17709.0,-3.80109,-0.9507,0.0963619,0.0248428,1.78354,1.03385,12571.8,96.7506,12033.7,0.503546,0.986711,0.0145943,24966.5,-0.00205316,1.17249,12.3832,10.6799,123.231,80.9576,1.05301,12.4315,11.4405,122.262,128.765,0.968712,-47.8075
15,0.03,0.84,43.1297,15,28090.9,-0.360718,52.7064,12.353,122.731,0.184177,-60.1566,217.63,-4.65435,-0.936034,-3.63289,-6.16081,-4.00007,-206.413,15199.5,126.204,14213.5,21555.6,-3.35462,0.363697,-1.03342,-4.86108,-2.70034,0.910802,15363.9,141.151,14377.9,0.509192,0.984177,0.0177631,30173.2,-0.00176805,1.39844,12.5694,10.7927,123.152,80.3577,1.26193,12.374,11.4691,122.079,128.135,1.07276,-47.7776
17,0.03,0.84,43.0397,17,29128.5,-0.135544,54.8355,12.1856,122.701,0.0318686,54.7161,500.0,-3.30675,-1.8934,2.12152,-3.78032,-4.10374,-51.3324,16170.7,115.781,14236.8,21808.9,-2.98353,-1.57018,2.76797,-3.45709,-3.78052,1.30676,16211.6,119.498,14277.7,0.524349,0.987265,0.0151836,30917.6,-0.00174797,1.53897,12.4064,10.5787,123.135,80.3204,1.31167,12.3113,11.1008,122.003,127.782,1.13199,-47.4614
18,0.03,0.84,43.2497,18,28331.6,-0.354517,52.6618,12.4494,122.805,0.115699,206.21,94.8936,1.4509,-1.51166,-1.07657,-6.2885,-0.258024,-202.259,15426.9,148.855,14146.6,22118.9,2.72448,-0.238085,1.47058,-5.01493,1.01555,35.6731,15588.0,163.501,14307.7,0.514032,0.981975,0.0206166,30324.9,-0.00170518,1.38878,12.7099,10.9254,123.159,81.0461,1.23998,12.4135,11.5661,122.229,128.593,0.93007,-47.5473
19,0.03,0.84,43.1497,19,26464.5,-0.0762671,49.9131,12.1872,122.795,0.0564725,-54.6099,500.0,-0.605522,-1.03579,-4.10629,-5.21567,-3.32694,-91.8783,14637.6,105.081,13152.6,19902.7,-0.0269884,-0.457252,-2.94922,-4.63713,-2.74841,0.727403,14710.8,111.735,13225.8,0.519204,0.986882,0.015324,28333.4,-0.00175504,1.35214,12.4894,10.8225,123.111,80.7927,1.177,12.321,11.4418,122.123,128.406,0.988353,-47.613
180,0.04,0.83,43.1747,180,24163.8,-0.335006,45.7932,12.2916,122.889,3.84158,-1640.7,225.166,-2.80072,1.16746,1.8925,-2.59418,-1.98871,-212.965,13593.7,95.1504,11891.8,223503.0,-1.45974,2.50845,4.57447,-1.25319,-0.647729,-0.228952,13763.4,110.572,12061.4,0.525588,0.986136,0.0166069,26186.6,-0.00169889,1.29516,12.384,10.5447,123.21,80.0476,1.07485,12.5103,11.1989,122.272,127.356,0.938353,-47.3085
181,0.04,0.83,43.2147,181,22615.1,-0.34248,43.1508,12.2842,122.65,0.181971,-147.461,495.344,-1.81962,-1.01851,3.83073,-4.69684,-3.62723,-202.448,12405.8,87.3028,11638.2,18129.1,-0.544862,0.256249,6.38025,-3.42208,-2.35247,-19.1212,12567.0,101.962,11799.4,0.508366,0.986,0.0156688,24720.4,-0.00185201,1.15638,12.5784,10.7143,123.049,79.8988,1.04141,12.3733,11.4094,121.944,127.242,1.10501,-47.3434
182,0.04,0.83,43.2647,182,28494.0,-0.39172,53.2932,12.4473,122.832,0.756227,-467.892,417.231,-0.765125,-1.56962,-6.67523,-0.0265561,2.76077,-6.20021,15957.7,139.544,13800.0,33112.8,-0.726084,-1.53058,-6.59714,0.012485,2.79981,-0.0919697,15962.7,139.993,13805.0,0.528885,0.984884,0.0183378,30181.8,-0.00182123,1.46209,12.6013,10.8595,123.159,80.0951,1.21773,12.4486,11.5049,122.17,127.434,0.988734,-47.3392
