cyc,time,charge,freq,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,0.04,0.83,43.1047,12,40135.6,-0.0950288,66.8456,13.2033,122.316,-0.0690933,340.218,384.033,-2.05598,-0.314701,-6.91913,2.4649,-3.90235,55.4808,20742.8,201.517,18788.7,29496.2,-2.40533,-0.664049,-7.61783,2.11556,-4.25169,0.405941,20698.6,197.5,18744.5,0.517395,0.983576,0.0190396,40005.5,-0.000328763,1.72804,13.4333,11.1883,122.64,82.3237,1.51276,13.0721,11.9701,121.478,130.172,1.1623,-47.8479
13,0.04,0.83,43.1947,13,30897.5,-0.0758562,53.5722,12.8232,122.117,-0.00952866,-36.0445,495.88,-8.30182,-4.28155,-5.12191,0.732213,-4.70307,-103.056,16213.7,122.159,14883.3,22374.2,-7.6529,-3.63263,-3.82407,1.38113,-4.05416,0.784955,16295.8,129.621,14965.4,0.513898,0.986271,0.0157046,31710.2,-0.000815041,1.40142,13.1687,10.988,122.487,81.8167,1.22733,12.8598,11.8597,121.354,129.873,1.13346,-48.0561
14,0.04,0.83,43.1847,14,31387.9,-0.0319103,53.8571,12.795,122.349,0.00283957,-25.7599,500.0,-1.24492,0.985112,-0.557022,2.64349,-4.84161,-86.2509,16421.4,141.311,14891.4,22434.9,-0.701818,1.52821,0.529176,3.18659,-4.29852,-1.17193,16490.1,147.557,14960.1,0.516947,0.984582,0.0178451,31899.0,-0.000617426,1.41206,13.0161,11.1899,122.671,81.8849,1.21412,12.8723,12.0016,121.588,129.759,1.08276,-47.8744
15,0.04,0.83,43.2247,15,32267.2,-0.103566,55.4082,12.8616,122.263,-0.0451804,45.6492,485.907,-4.46592,-6.54265,-11.5752,-5.38266,-7.39589,-159.114,16512.5,149.539,15583.7,23265.8,-3.46402,-5.54075,-9.57142,-4.38075,-6.39399,0.673897,16639.2,161.061,15710.4,0.506969,0.983343,0.018535,32821.0,-0.000446431,1.4132,12.9499,11.2339,122.528,82.0718,1.27592,12.8445,11.9622,121.513,130.188,1.0149,-48.1164
16,0.04,0.83,43.1647,16,34964.8,-0.0448162,59.2219,12.9931,122.396,-0.0529415,36.5197,500.0,-5.32809,-3.76752,-6.0593,-3.50547,-3.38723,128.892,17729.5,144.082,16900.9,25111.9,-6.13969,-4.57912,-7.6825,-4.31707,-4.19883,0.714588,17626.9,134.748,16798.3,0.504647,0.986799,0.0145614,34929.1,-0.000403096,1.51329,13.2313,11.0833,122.785,82.341,1.37649,12.9181,11.9322,121.652,130.397,1.13255,-48.0555
17,0.04,0.83,43.3747,17,35886.9,-0.108043,63.0224,12.5981,122.166,-0.0336116,26.7115,499.939,-4.39316,-6.72945,-14.3357,-5.71424,-3.22174,-36.0652,19198.5,143.051,16696.5,25875.3,-4.16607,-6.50236,-13.8815,-5.48714,-2.99464,0.579752,19227.2,145.662,16725.2,0.527435,0.986916,0.0157899,36454.2,-0.000635486,1.74238,12.7809,10.7392,122.509,82.2275,1.44722,12.6661,11.4272,121.461,130.109,1.04826,-47.8813
18,0.04,0.83,43.1547,18,37462.2,0.011074,62.6263,13.0857,122.349,0.0131891,-26.1116,500.0,-6.50195,-4.13909,-7.34425,-1.22868,-1.54725,0.386333,19018.1,184.537,17911.6,26689.0,-6.50438,-4.14152,-7.34911,-1.23111,-1.54968,0.646266,19017.8,184.509,17911.3,0.507596,0.983305,0.0186227,37466.3,-0.000312113,1.57157,13.2439,11.4367,122.708,82.331,1.4051,13.108,12.2377,121.576,130.479,1.13165,-48.1484
19,0.04,0.83,43.2447,19,36197.2,-0.111557,59.9355,13.3295,122.323,-0.0585321,-105.796,1.1879,-5.95313,-7.04706,-8.90999,-6.94419,-3.42846,-71.8307,18690.5,191.078,17070.8,26208.7,-5.50083,-6.59477,-8.00539,-6.49189,-2.97616,0.729264,18747.7,196.28,17128.0,0.515196,0.982008,0.0206734,36389.5,-0.000479045,1.49826,13.517,11.5947,122.708,82.5449,1.3227,13.3569,12.194,121.537,130.78,1.1708,-48.2349
20,0.06,0.81,43.2007,20,35435.9,0.0604039,59.2176,13.1227,122.216,-0.0375038,-39.9792,500.0,-7.86091,-5.13764,-8.64365,-7.12015,-5.52365,11.2299,17859.3,185.061,17184.6,25345.8,-7.93162,-5.20836,-8.78507,-7.19086,-5.59437,0.746903,17850.4,184.248,17175.6,0.502244,0.982257,0.0193779,35541.3,-0.000504817,1.45065,13.4323,11.5143,122.581,81.6234,1.35277,13.1821,12.1641,121.392,129.658,1.18915,-48.035
21,0.06,0.81,43.2407,21,32464.5,-0.0250566,56.5514,12.6816,122.062,0.129461,-171.484,3.33153e-08,-7.25984,-6.46964,-10.9743,-4.86448,-5.49709,23.8195,16446.1,135.834,15961.9,24068.7,-7.40982,-6.61962,-11.2743,-5.01446,-5.64707,0.686523,16427.2,134.109,15942.9,0.500091,0.985914,0.0152591,32848.4,-0.000518647,1.45212,12.8719,10.9575,122.366,82.4083,1.34532,12.6468,11.7692,121.389,130.4,0.976793,-47.9918
22,0.06,0.81,43.2907,22,35899.6,0.0147527,61.0392,12.9044,122.248,-0.0131581,-43.9098,2.60138e-11,-0.572709,-1.47339,-3.20507,-2.63901,-2.60135,69.3796,18597.0,183.836,17036.5,25660.2,-1.00957,-1.91025,-4.0788,-3.07587,-3.03822,0.688943,18541.8,178.812,16981.2,0.514586,0.983404,0.0190283,36032.4,-0.000476671,1.57134,13.2108,11.2213,122.685,82.3898,1.39862,12.8339,11.9016,121.581,130.421,1.10357,-48.0311
23,0.06,0.81,43.3507,23,37361.8,-0.0119431,63.7017,12.8911,122.178,-0.0262813,16.0402,0.228275,-3.73737,-0.852294,-1.81418,-2.48739,1.10685,-40.2213,19753.7,183.469,17344.5,26746.1,-3.48411,-0.599031,-1.30766,-2.23413,1.36012,0.791269,19785.7,186.382,17376.5,0.525049,0.983782,0.0193757,37683.5,-0.000521304,1.67919,13.2196,11.1335,122.532,82.1321,1.42625,12.7807,11.9573,121.488,130.092,1.04348,-47.9596
24,0.06,0.81,43.2307,24,33033.6,-0.00246768,55.5561,13.1191,122.029,-0.0304626,-17.8794,500.0,-2.79643,4.96639,-5.68431,-1.62064,-1.20338,-128.962,17234.6,158.354,15735.3,23744.0,-1.98439,5.77843,-4.06023,-0.808602,-0.391341,-1.76934,17337.3,167.692,15838.0,0.515217,0.983355,0.019131,33650.4,-0.000748819,1.40381,13.4458,11.4661,122.419,81.8699,1.23385,13.1175,12.2828,121.256,129.833,1.16221,-47.9631
25,0.06,0.81,43.0807,25,38307.8,-0.0646201,66.031,12.8745,122.161,-0.0279029,120.372,500.0,-0.132113,-1.80995,-8.62076,-2.62276,-6.24462,15.6051,20099.8,185.581,18095.0,27783.4,-0.230374,-1.90822,-8.81728,-2.72102,-6.34288,0.559571,20087.4,184.451,18082.6,0.518887,0.984185,0.0184438,38712.4,-0.000658325,1.72483,13.1106,11.1093,122.616,82.1715,1.49651,12.7926,11.8774,121.42,130.043,1.19644,-47.8719
26,0.06,0.81,43.2607,26,33522.3,-0.10112,58.337,12.7786,122.028,-0.12101,274.877,500.0,-2.03204,-1.83305,-6.95103,-2.7895,-1.0536,-112.522,17304.8,141.773,16393.0,25350.1,-1.32352,-1.12453,-5.534,-2.08098,-0.345077,0.468299,17394.5,149.921,16482.6,0.506072,0.985141,0.0164792,34371.5,-0.000830722,1.52638,12.9946,10.8932,122.503,81.473,1.37819,12.7967,11.6968,121.322,129.4,1.18068,-47.9271
27,0.06,0.81,43.2807,27,36188.4,-0.109409,62.2083,12.8355,122.174,-0.0183947,13.9033,57.4903,-0.569219,0.218658,0.571409,-2.19083,1.96599,-99.8433,19105.6,166.903,16834.5,26001.3,0.0594676,0.847345,1.82878,-1.56214,2.59467,0.514671,19185.2,174.133,16914.1,0.524089,0.984365,0.0186118,36606.7,-0.000432388,1.63622,13.001,11.2055,122.555,82.5563,1.39975,12.6995,11.877,121.471,130.459,1.08363,-47.9025
28,0.06,0.81,43.1707,28,37568.3,-0.119548,63.1083,13.1249,122.087,-0.14066,-47.7843,393.353,-1.82712,-0.924752,-7.72394,-3.11113,-4.75736,-6.13976,19250.1,164.696,17915.6,27182.5,-1.78846,-0.886092,-7.64662,-3.07247,-4.7187,0.577823,19255.0,165.141,17920.5,0.510564,0.985213,0.016692,37713.1,-0.000483704,1.57957,13.4262,11.3951,122.471,81.9041,1.43896,12.9875,12.0638,121.435,129.861,1.03628,-47.9567
29,0.06,0.81,43.3007,29,38455.9,-0.0242244,65.1457,12.976,122.092,-0.000920495,-69.624,6.05458e-11,1.19757,-0.229088,-4.5491,-1.61389,-1.70527,35.2344,20059.3,181.901,18064.2,27520.4,0.97571,-0.45095,-4.99282,-1.83575,-1.92713,0.393408,20031.2,179.35,18036.1,0.51883,0.984573,0.0179883,38608.4,-0.000511604,1.68295,13.2965,11.2461,122.458,81.8853,1.4833,12.8809,11.8665,121.413,129.852,1.045,-47.9668
30,0.06,0.81,43.0307,30,38374.7,0.0122347,65.2217,-12.8591,122.318,-0.0318869,-15.339,1.18699e-10,-0.447949,-0.490701,-4.17328,-0.896745,2.41052,-45.3534,20175.7,190.912,17840.5,27318.2,-0.162371,-0.205123,-3.60212,-0.611167,2.6961,-0.911256,20211.8,194.196,17876.6,0.523287,0.983464,0.0196184,38624.8,-0.000525366,1.72697,13.1464,11.1396,122.637,81.5289,1.47068,12.8267,11.9102,121.7,129.222,0.936901,-47.6932
31,0.06,0.81,43.1607,31,35971.7,-0.0117352,62.2419,12.7551,122.125,-0.0200401,-67.6887,500.0,1.46123,-0.442816,-1.65132,-0.96361,-0.337508,133.112,18811.6,154.082,16981.8,25888.3,0.623054,-1.28099,-3.32767,-1.80178,-1.17568,0.522097,18705.6,144.443,16875.7,0.518339,0.986667,0.0155222,36087.6,-0.000524511,1.63244,12.9795,11.0856,122.459,81.7719,1.42085,12.6579,11.8561,121.52,129.719,0.939761,-47.9474
32,0.06,0.81,43.1307,32,37146.0,0.0138958,64.2645,12.7019,122.266,0.0812099,-33.3703,495.045,0.961171,1.46894,-3.7875,-2.95509,-2.71183,-25.729,19162.1,156.392,17879.3,26660.9,1.12318,1.63095,-3.46349,-2.79308,-2.54982,0.427737,19182.6,158.255,17899.8,0.509912,0.985768,0.0160254,37619.4,-0.000647669,1.68737,13.0436,10.8795,122.544,81.9218,1.51209,12.6877,11.7159,121.659,129.904,0.885714,-47.9818
33,0.06,0.81,43.2207,33,30783.5,-0.0190123,53.6807,12.609,122.319,-0.0255264,-25.2755,500.0,-0.803099,-1.8985,-1.33106,-2.43855,-0.654766,7.19152,15863.4,112.847,14986.5,22055.0,-0.848382,-1.94378,-1.42163,-2.48383,-0.700049,0.807828,15857.6,112.326,14980.8,0.50683,0.987756,0.013624,31287.9,-0.00067595,1.40294,12.8661,10.9831,122.84,81.8981,1.2735,12.6874,11.6596,121.607,129.834,1.2331,-47.9364
34,0.06,0.81,43.2107,34,32695.5,-0.114573,56.2047,12.867,122.316,0.093854,38.0219,13.5538,-3.47794,-1.41024,0.151132,-3.44766,-0.984449,86.3082,16669.9,118.365,15845.7,23658.3,-4.0214,-1.9537,-0.935788,-3.99112,-1.52791,0.924715,16601.1,112.115,15776.9,0.505341,0.98832,0.0129213,32851.4,-0.000534514,1.4275,13.0725,11.2001,122.716,81.7407,1.31362,12.8068,11.8348,121.644,129.629,1.07239,-47.8883
35,0.06,0.81,43.2507,35,34188.2,-0.136024,58.4695,12.9648,122.107,-0.0689895,178.815,426.672,-2.65942,-1.65174,-4.12593,-3.5623,-6.55625,7.95565,17866.1,162.377,16218.3,25078.4,-2.70951,-1.70183,-4.22612,-3.61239,-6.60634,0.775876,17859.8,161.801,16212.0,0.516804,0.984393,0.0180529,34558.1,-0.00064234,1.50168,13.2983,11.2195,122.477,81.8448,1.33086,12.906,11.8679,121.36,130.021,1.11691,-48.1763
36,0.06,0.81,43.1907,36,35371.6,-0.242291,58.9792,13.2799,122.089,-0.0317784,38.4844,5.79742e-12,-2.8096,1.11782,-7.12407,-1.03644,-5.88517,16.4553,17829.3,199.132,16979.4,25536.8,-2.91321,1.01421,-7.3313,-1.14005,-5.98879,0.551853,17816.2,197.94,16966.3,0.50483,0.980928,0.0210392,35291.4,-0.000315211,1.4312,13.5012,11.5834,122.364,81.9158,1.3154,13.096,12.4245,121.422,129.95,0.942144,-48.0338
37,0.06,0.81,43.4007,37,38884.5,-0.00484938,65.0213,13.1171,122.309,-0.0414037,-72.275,500.0,-3.55013,-3.04746,-4.58766,-1.17931,-0.455787,78.0659,20427.2,187.152,17957.1,27861.8,-4.04169,-3.53902,-5.57078,-1.67087,-0.947347,0.646742,20365.0,181.499,17894.9,0.524916,0.984643,0.0183409,38796.8,-0.000443115,1.67991,13.4412,11.3703,122.671,81.7403,1.43062,13.0502,12.102,121.603,129.617,1.06756,-47.8769
38,0.06,0.81,43.1807,38,35914.5,-0.119026,60.6116,13.0934,122.397,-0.0884223,-78.2375,134.282,-1.78086,-0.633383,0.797032,-3.48121,0.811043,40.281,18836.5,177.584,16776.4,26060.0,-2.0345,-0.887021,0.289754,-3.73485,0.557404,1.04988,18804.4,174.668,16744.3,0.521605,0.984005,0.0188535,36051.1,-0.000546964,1.55032,13.3688,11.4056,122.711,81.7924,1.31701,13.1002,12.2491,121.706,129.744,1.00425,-47.9512
39,0.06,0.81,43.2707,39,33786.2,-0.0726879,59.3215,12.6303,122.251,0.166436,-1496.86,496.806,-3.56582,0.596656,-9.21497,-4.98639,-0.642959,-60.4768,17875.2,123.676,16191.1,32500.7,-3.18502,0.977463,-8.45336,-4.60558,-0.262153,0.455628,17923.3,128.055,16239.2,0.517272,0.987651,0.014318,34649.7,-0.000995593,1.59738,12.9305,10.8211,122.684,82.1006,1.40616,12.6888,11.4538,121.568,130.074,1.11598,-47.9733
