cyc,time,freq,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
0,0.04,43.2267,0,3.55461e-07,6.88173e-07,9.50127e-30,14.3392,0.516529,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0279023,-1.36935e-31,-1.72812e-13,40657.4,57033.4,1.41803,20.3335,1.3492,19.3464,1.19224,0.0066,1.40625,6.683e-06 
1,0.04,43.2567,1,3.65311e-07,6.86123e-07,9.47295e-30,14.2965,0.532428,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.108873,-5.49118e-31,-3.20849e-13,40295.1,55732.3,1.46545,20.9509,1.38263,19.7667,1.11442,0.0066,1.41411,6.683e-06 
2,0.04,43.2717,2,3.56685e-07,6.62975e-07,9.15337e-30,13.8142,0.538007,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.136703,-6.73202e-31,1.55753e-13,36352.9,51987.4,1.48223,20.4757,1.39449,19.2638,1.08776,0.0066,1.38914,6.683e-06 
3,0.04,43.2217,3,3.62323e-07,6.74503e-07,9.31253e-30,14.0544,0.53717,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.132544,-6.63037e-31,2.51517e-13,38282.4,55616.7,1.4797,20.7963,1.39271,19.5737,1.09174,0.0066,1.36376,6.683e-06 
4,0.04,43.2417,4,3.60614e-07,6.77734e-07,9.35713e-30,14.1217,0.532088,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.107169,-5.33576e-31,3.3488e-13,38835,56158,1.46443,20.6803,1.38191,19.5149,1.11605,0.0066,1.3916,6.683e-06 
5,0.04,43.2467,5,3.71529e-07,6.31292e-07,8.71593e-30,13.154,0.588522,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.376234,-1.9299e-30,-1.98589e-13,31386.1,44677.7,1.63703,21.5335,1.50509,19.798,0.860031,0.0066,1.34506,6.683e-06 
6,0.04,43.1817,6,3.37329e-07,7.26884e-07,1.00357e-29,15.1458,0.464076,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.259293,1.20761e-30,5.96754e-13,47911.8,69068.6,1.26604,19.1753,1.24306,18.8272,1.47178,0.0066,1.41921,6.683e-06 
7,0.04,43.2667,7,3.63061e-07,6.75522e-07,9.32659e-30,14.0756,0.537453,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.13395,-6.71438e-31,3.71228e-13,38456,56020.7,1.48056,20.8397,1.39331,19.6117,1.09039,0.0066,1.40352,6.683e-06 
8,0.04,43.2117,8,3.50597e-07,6.65862e-07,9.19323e-30,13.8743,0.526531,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0791315,-3.83037e-31,-6.60833e-14,36829.9,51892.1,1.4478,20.0873,1.37016,19.0101,1.14296,0.0066,1.38873,6.683e-06 
9,0.04,43.2517,9,3.77159e-07,6.83268e-07,9.43355e-30,14.237,0.551992,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.20519,-1.06847e-30,-1.76324e-13,39794.3,56265.3,1.52457,21.7053,1.42455,20.2813,1.02234,0.0066,1.36212,6.683e-06 
10,0.04,43.3117,10,3.23458e-07,7.32392e-07,1.01118e-29,15.2606,0.441646,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.393433,1.757e-30,4.54734e-13,49009.3,69777.4,1.20363,18.3681,1.19967,18.3078,1.60469,0.0066,1.43096,6.683e-06 
11,0.04,43.1617,11,3.34234e-07,6.91539e-07,9.54773e-30,14.4093,0.483319,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.149982,6.92105e-31,2.29967e-13,41256.9,58503.6,1.32089,19.0332,1.28125,18.4619,1.36463,0.0066,1.43398,6.683e-06 
12,0.04,43.3317,12,3.35534e-07,6.81186e-07,9.40479e-30,14.1936,0.492574,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,0.0991164,4.59163e-31,7.82898e-14,39431.5,54948.2,1.34767,19.1283,1.29993,18.4507,1.31511,0.0066,1.44307,6.683e-06 
13,0.04,43.2167,13,3.49585e-07,6.78957e-07,9.37402e-30,14.1472,0.514886,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0193858,-9.35663e-32,-1.88154e-13,39045.7,54716.5,1.41316,19.9923,1.34578,19.0389,1.20044,0.0066,1.37901,6.683e-06 
14,0.04,43.2317,14,3.57608e-07,6.89766e-07,9.52325e-30,14.3724,0.518449,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.0378174,-1.86717e-31,4.83597e-14,40940.3,58575.1,1.42373,20.4624,1.3532,19.4488,1.18269,0.0066,1.3957,6.683e-06 
15,0.04,43.2367,15,3.66051e-07,6.56692e-07,9.06661e-30,13.6832,0.557417,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.231283,-1.16888e-30,2.81978e-13,35329,51026.6,1.54111,21.0873,1.43632,19.6536,0.997484,0.0066,1.38193,6.683e-06 
