cyc,time,charge,freq,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.07,0.64,43.2204,0,20525.7,-0.373306,41.8666,11.6604,122.737,0.983324,-411.478,78.5463,-5.1543,-1.91611,-6.32241,0.0801395,0.347791,-251.983,9261.55,54.6639,12973.3,29063.6,-3.56763,-0.329435,-3.14907,1.66681,1.93446,0.0858643,9462.26,72.9106,13174.1,0.495943,0.986695,0.0100921,19079.3,-0.0019647,0.935281,12.0141,10.322,123.209,81.8231,1.24801,11.8658,10.996,122.084,129.946,1.12484,-48.1226
1,0.07,0.64,43.3904,1,23450.7,-0.412187,46.7495,11.8959,122.756,1.08319,-415.476,365.55,-1.22214,-2.0959,-2.52155,-0.804818,-2.72926,-267.774,10982.6,102.202,14135.1,32754.0,0.463962,-0.409795,0.850656,0.881284,-1.04316,-0.144973,11195.9,121.592,14348.3,0.51665,0.981349,0.0153706,21670.2,-0.00194143,1.09296,12.0982,10.3541,123.247,81.9412,1.31383,12.1178,11.1447,122.039,129.935,1.20819,-47.994
2,0.07,0.64,43.3404,2,24127.8,0.0372323,46.2377,12.0083,122.958,-0.039164,-31.0468,3.91612e-11,-2.68172,-4.98177,2.64531,2.97745,1.70414,-236.364,10625.6,124.679,14824.5,18114.4,-1.1934,-3.49345,5.62195,4.46577,3.19247,0.345778,10813.9,141.795,15012.8,0.496661,0.977568,0.0171011,21773.2,-0.00163143,1.02402,12.2197,10.5584,123.448,82.2207,1.3074,12.347,11.5359,122.215,130.041,1.2334,-47.8199
3,0.07,0.64,43.0504,3,23377.8,-0.322398,46.1419,11.7975,122.629,0.140642,-112.393,16.5767,-2.67965,-2.35852,3.12048,0.895261,2.44051,-255.424,10474.8,92.2179,14309.1,18235.3,-1.07131,-0.750185,6.33715,2.5036,4.04885,0.42744,10678.2,110.714,14512.5,0.501977,0.982179,0.0138584,21272.4,-0.00165858,1.0427,12.0603,10.384,123.045,82.3439,1.31479,11.985,11.3558,122.0,130.247,1.04458,-47.9034
4,0.07,0.64,43.2304,4,23064.8,-0.00535572,45.0403,11.7591,123.038,-0.00468056,-7.12411,2.05356e-11,-0.973259,-3.79555,-2.90994,-2.49897,1.27539,-286.879,10276.7,100.093,14230.0,17242.5,0.833139,-1.98915,0.702854,-0.692569,3.08179,0.636968,10505.2,120.867,14458.5,0.498824,0.980263,0.0151656,21059.9,-0.00174206,1.01159,12.1775,10.4228,123.472,82.082,1.29478,12.1439,11.3493,122.346,130.165,1.12592,-48.0831
5,0.07,0.64,43.2104,5,19228.2,-0.000367531,38.9733,11.5401,122.693,-0.000846447,-19.5275,8.62891e-11,-2.76273,1.32305,0.698955,1.08321,-1.47958,-315.508,8435.59,68.6188,12559.1,14641.6,-0.776065,3.30972,4.67229,3.06988,0.507088,0.566695,8686.9,91.4655,12810.4,0.481576,0.981907,0.0129818,18038.5,-0.00195683,0.839264,12.0341,10.4355,123.231,81.7751,1.17664,11.9465,11.1984,122.014,129.807,1.21702,-48.032
6,0.07,0.64,43.2404,6,22991.9,-0.296837,46.2621,11.6263,122.699,-0.00656567,-294.493,500.0,1.58388,0.899996,-3.18912,0.150375,1.49546,-234.941,10904.5,78.874,13635.9,17572.0,3.06325,2.37936,-0.230395,1.62974,2.97482,1.02347,11091.6,95.8867,13823.0,0.523624,0.985097,0.012617,21182.4,-0.00183593,1.10587,11.9233,10.3178,123.098,81.6762,1.31112,11.89,10.9826,122.017,129.346,1.08097,-47.6695
7,0.07,0.64,43.1604,7,22662.3,0.0203375,44.7492,11.6821,122.728,0.0159538,-46.1049,1.9751e-11,-5.8764,0.424619,-1.20449,-2.13553,-0.45854,-259.34,9983.38,102.648,14176.9,17041.6,-4.24341,2.05761,2.0615,-0.502539,1.17445,-2.76454,10189.9,121.428,14383.5,0.492509,0.979572,0.0153133,20689.9,-0.00173842,0.98822,12.0119,10.4869,123.226,81.8733,1.30457,12.0741,11.2611,122.022,129.731,1.20461,-47.8575
8,0.07,0.64,43.1904,8,16820.6,0.0364978,34.1569,11.5236,122.682,-0.020703,-13.5922,8.25675e-13,-3.40917,-3.22284,1.63956,-3.02366,-1.75217,-319.342,7165.05,58.8197,11253.6,12822.5,-1.39836,-1.21203,5.66119,-1.01285,0.258643,-1.46504,7419.41,81.9441,11507.9,0.468984,0.981039,0.0129472,15820.2,-0.00184168,0.712449,12.0436,10.4757,123.279,81.9155,1.04327,11.9919,11.3357,121.999,129.751,1.28056,-47.836
9,0.07,0.64,43.1804,9,19179.2,-0.0676206,38.5327,11.6439,122.777,-0.00481731,36.6717,500.0,-3.41466,1.60679,-3.60803,-4.19548,-1.82396,-307.982,8510.66,98.4246,12220.4,14611.4,-1.47538,3.54607,0.270533,-2.2562,0.115325,-0.350319,8755.98,120.726,12465.7,0.490367,0.97644,0.0175274,17856.0,-0.00178799,0.825244,12.0935,10.6444,123.231,82.1546,1.11079,12.0042,11.5219,122.096,130.143,1.13525,-47.9881
10,0.07,0.64,43.1704,10,20930.5,-0.324314,41.4961,11.8426,122.754,0.00408802,444.133,117.293,-1.62802,0.087453,-0.723058,0.793034,-4.05181,-259.011,9462.95,82.0398,12916.2,16056.5,0.00290081,1.71838,2.53879,2.42396,-2.42088,0.404479,9669.26,100.795,13122.6,0.502333,0.982084,0.013952,19248.7,-0.00169964,0.948182,11.9379,10.4384,123.333,82.061,1.18302,12.1323,11.2834,121.974,129.884,1.35923,-47.8228
11,0.07,0.64,43.2904,11,22676.8,-0.372141,45.3595,11.7897,122.542,-0.372043,354.088,463.644,-2.59086,-2.89909,-2.68712,-1.36126,0.135826,-221.21,10290.5,89.3733,13963.4,21697.2,-1.19796,-1.50619,0.0986725,0.0316417,1.52872,1.09441,10466.7,105.392,14139.6,0.503482,0.982684,0.0135444,20788.7,-0.00181421,1.04338,11.8878,10.3169,123.033,82.1939,1.30753,12.0244,11.1388,121.833,130.228,1.1992,-48.0342
12,0.07,0.64,43.1504,12,22743.2,-0.361783,45.4588,-11.7737,122.849,-0.854965,-160.841,497.864,-3.80695,-2.03492,-1.31923,-1.42667,2.21811,-236.013,10119.6,92.8943,14285.2,21899.6,-2.32084,-0.548804,1.65299,0.0594441,3.70422,0.35101,10307.6,109.985,14473.2,0.493824,0.981669,0.0138053,20873.1,-0.00188427,1.03117,11.9161,10.2447,123.341,81.8417,1.33303,12.0662,11.1285,122.107,129.641,1.23403,-47.7992
13,0.07,0.64,43.2004,13,18446.2,-0.350311,36.9304,-11.9253,122.648,0.150749,936.88,410.115,-1.00824,-1.42479,-7.24078,0.128121,2.22803,-214.34,8211.62,71.192,11801.5,18934.3,0.341405,-0.0751433,-4.54149,1.47776,3.57767,6.82088,8382.35,86.7129,11972.2,0.489565,0.982219,0.0131664,17122.0,-0.00186145,0.787676,12.304,10.6399,123.186,81.6742,1.06641,12.207,11.4295,121.948,129.548,1.23834,-47.8734
14,0.07,0.64,43.1004,14,22838.7,-0.338996,45.3569,-11.7851,122.839,-0.449429,-169.26,5.09695,-1.42441,-1.3616,-1.43038,-0.949867,-2.39558,-240.299,10501.3,91.1345,13828.5,19877.2,0.0886829,0.151492,1.59581,0.56323,-0.882486,-0.0521393,10692.8,108.535,14019.9,0.510949,0.982547,0.0140602,20927.3,-0.00175029,1.0349,11.9191,10.6114,123.401,82.2652,1.28306,12.0064,11.2496,122.186,130.334,1.21523,-48.0687
15,0.07,0.64,43.0004,15,24028.3,0.256106,47.0393,11.5827,122.405,-0.413594,23.5185,0.00579438,-0.478753,-1.89571,-1.74197,2.71407,-1.34654,-307.686,11225.9,89.9162,14248.5,18053.1,1.45867,0.0417047,2.13287,4.65149,0.590875,0.759693,11471.0,112.197,14493.5,0.520197,0.983172,0.0140595,22051.3,-0.00180379,1.13077,12.0734,10.2871,122.978,81.8076,1.34327,11.9817,11.126,121.676,129.53,1.30183,-47.7228
16,0.07,0.64,43.2204,16,21169.4,-0.336468,41.7443,11.9295,122.877,0.37898,23.855,483.635,-3.21532,-2.74955,-4.00188,-2.38179,1.17316,-237.87,9454.22,102.905,13184.3,16505.4,-1.71752,-1.25175,-1.00628,-0.883983,2.67096,0.540211,9643.69,120.13,13373.7,0.496931,0.978666,0.0162774,19406.5,-0.00175127,0.91966,12.1748,10.5084,123.244,82.2423,1.18433,12.1923,11.5021,122.237,130.119,1.00723,-47.8772
