cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,44.14,12,20051.9,0.00658654,34.8012,-12.4941,123.253,-0.0544189,168.771,470.735,-1.44704,1.43811,6.6161,-1.20073,3.71557,22.2932,9058.92,37.3133,10389.2,14453.5,-1.58742,1.29774,6.33535,-1.34111,3.5752,0.234839,9034.85,36.3307,10365.1,0.444348,0.993012,0.00641534,20332.8,0.000507884,0.866938,12.0316,10.5015,123.473,83.6164,0.812829,12.8215,12.3922,122.224,133.309,1.24946,-49.6923 
13,44.16,13,13812.1,0.0792319,23.8378,12.223,123.682,-0.0296517,14.1954,11.9653,0.13614,4.0222,7.99982,-3.56275,0.915276,12.7111,5664.82,10.9722,7389.77,9498.73,0.0561012,3.94216,7.83974,-3.64279,0.835238,0.131855,5651.1,10.4119,7376.05,0.41276,0.996786,0.00259355,13691,0.000682066,0.571318,11.6353,10.3108,124.354,83.8907,0.580981,12.6697,12.3977,122.673,133.814,1.68039,-49.9233 
14,44.08,14,23807.1,0.062325,39.9619,12.7636,122.759,-0.245842,-20.1034,411.136,3.74929,-1.63278,-0.144715,2.71709,0.653625,0.644363,9991.12,46.4647,13009.6,16765,3.74523,-1.63683,-0.15283,2.71303,0.649568,1.02874,9990.42,46.4363,13008.9,0.413338,0.991931,0.00653259,24170.1,0.000608195,0.90796,12.4782,10.7367,123.062,83.5262,0.980026,13.0232,12.667,121.846,133.279,1.21578,-49.7526 
15,43.98,15,19715.8,0.0753727,33.38,12.5737,124.031,0.00917224,-183.524,86.8703,-0.112237,0.869449,-1.19635,4.3653,-1.18717,53.2322,8333,35.8875,10777.7,13717.8,-0.447425,0.53426,-1.86672,4.03011,-1.52236,3.56464,8275.51,33.5412,10720.2,0.414594,0.992957,0.00573053,19960.5,0.000651871,0.787748,11.9259,10.6169,124.547,84.1707,0.80731,13.0851,12.5738,123.058,134.198,1.48887,-50.0268 
16,44.15,16,17351.6,-0.0267058,29.6621,12.3739,123.967,0.0404071,-28.4752,500,4.70695,5.78021,3.08604,7.82151,3.99655,2.43779,7277.65,20.2504,9280.82,11985.7,4.6916,5.76486,3.05534,7.80616,3.9812,0.879231,7275.02,20.1429,9278.19,0.418387,0.995178,0.00398327,17388.2,0.00077888,0.696576,11.7878,10.673,124.38,84.7378,0.720784,12.781,12.3958,123.055,135,1.32535,-50.2626 
17,44.17,17,11231.9,0.121263,17.7631,12.9455,123.57,-0.0659303,167.477,5.58099,7.06673,2.99392,2.66762,4.32221,2.87841,71.7587,4260.45,9.58629,5990.57,7845.16,6.61489,2.54207,1.76393,3.87036,2.42657,0.897552,4182.96,6.42337,5913.08,0.393571,0.99732,0.00199708,10628.2,0.000990819,0.395252,11.8715,10.7065,124.25,83.1428,0.423104,13.6376,12.7645,122.442,132.827,1.80737,-49.6838 
18,44.19,18,9033.53,0.127334,11.7386,15.4858,122.916,-0.0684826,-84.6426,27.0181,0.401073,2.78902,5.84083,0.129113,-0.863411,13.3805,2895.31,17.2874,5169.75,6106.3,0.316819,2.70476,5.67232,0.0448592,-0.947665,0.271948,2880.86,16.6976,5155.3,0.33892,0.989959,0.00593105,8500.14,0.000723815,0.194076,14.9097,12.1626,123.456,83.9244,0.264046,16.4261,15.0932,122.044,134.54,1.41219,-50.6158 
19,44.01,19,20941.2,-0.00589923,33.5552,13.576,122.904,-0.0763749,43.961,499.94,0.205731,-0.269023,1.25059,1.87672,-0.933014,13.3792,8896.63,30.0892,11273.1,14938.7,0.121486,-0.353268,1.0821,1.79248,-1.01726,0.334311,8882.18,29.4994,11258.7,0.419879,0.994221,0.0048034,21154.2,0.000482294,0.76047,13.1779,10.9608,123.308,84.13,0.785513,13.9129,12.8192,121.746,133.906,1.56228,-49.7757 
20,44.03,20,23373,-0.02489,37.1725,13.7338,122.613,0.000162246,-37.4196,283.285,3.79912,-2.84796,-0.227397,0.195425,3.35947,-29.2802,9731.26,38.4096,12932.5,16619.3,3.98349,-2.66359,0.141342,0.379794,3.54384,0.973752,9762.88,39.7001,12964.1,0.408595,0.992934,0.00560944,23893.8,0.000312796,0.8318,13.1979,10.9432,123.002,83.7549,0.886198,14.2889,12.7902,121.485,133.742,1.51715,-49.987 
21,44.05,21,24380.2,0.0128212,40.0166,13.1976,122.425,0.0244814,-42.616,59.5864,1.46985,1.12461,1.2292,0.55719,2.41711,16.4026,10162.9,37.8711,13412.9,17226,1.36657,1.02133,1.02263,0.453907,2.31383,0.834479,10145.2,37.1482,13395.2,0.409974,0.993633,0.00508264,24746,0.000547783,0.899436,12.6845,10.8939,122.666,83.5291,0.981501,13.6597,12.4479,121.358,133.255,1.30821,-49.7257 
