cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.9,0,4122.02,-0.000828162,10.3936,11.7069,118.813,0.00481277,9.10953,0.139955,-0.607457,0.741604,1.07183,-0.556747,1.15998,88.8215,3023.8,5.71828,2763.7,3962.39,-1.16674,0.182319,-0.0467407,-1.11603,0.600698,0.969776,2931.8,1.80329,2671.7,0.546667,0.998925,0.0012418,5363.04 
1,44.397,1,3445.81,-0.00897508,-8.83459,12.0215,119.116,0.0119712,9.90938,4.53069e-12,-5.74604,-0.755263,-3.20766,-3.70258,-1.79925,9.35441,1852.25,-4.42235,3210.69,3461.17,-5.80495,-0.814166,-3.32547,-3.76148,-1.85815,0.786339,1842.56,-4.83467,3201,0.387461,1.00461,-0.00279001,4755.47 
2,44.65,2,4700.63,-0.0652661,11.2012,11.9688,119.262,-0.0700686,127.926,0.0917678,-5.75146,-6.37651,-5.26128,-8.24932,-5.74016,8.73817,3088.87,1.69883,3184.16,4656.03,-5.80648,-6.43153,-5.37133,-8.30434,-5.79518,0.830605,3079.82,1.31368,3175.11,0.515955,0.999254,0.000761577,5969.18 
3,44.168,3,4216.97,-0.3477,11.4602,11.7249,118.821,-0.272576,51.6844,499.999,-2.72652,0.481496,-0.851022,-5.5307,-1.91187,-6.75897,2896.08,0.765512,3115.57,4832.78,-2.68396,0.524055,-0.765903,-5.48814,-1.86931,0.925519,2903.08,1.06343,3122.57,0.505357,0.999359,0.000626958,5744.62 
4,44.446,4,4103.38,-0.0218049,9.38706,12.4369,119.562,0.0390663,52.828,2.60902e-07,-4.07411,-7.23515,0.692958,-6.01139,-5.94927,-4.14295,3917.53,11.5859,1640.35,3867.66,-4.04803,-7.20907,0.745133,-5.98531,-5.92318,1.03323,3921.82,11.7685,1644.64,0.723791,0.994776,0.01301,5418.44 
5,44.218,5,4550.85,-0.391214,11.5606,12.3882,119.186,0.611003,-117.912,383.552,-4.62649,-5.99686,-9.76748,-3.81622,-4.16429,-9.78624,3221.69,-2.67283,3055.49,7007.43,-4.56487,-5.93524,-9.64424,-3.7546,-4.10267,0.655583,3231.83,-2.24148,3065.63,0.536711,1.00122,-0.0013487,6021.55 
6,44.449,6,3464.42,0.0307826,-8.79143,11.7853,120.015,-0.0061555,27.1445,3.23259e-12,-5.79773,-5.21479,-0.890772,-4.16657,1.90712,-6.40511,3376.36,-0.219622,1564.71,3378.27,-5.7574,-5.17446,-0.81011,-4.12624,1.94745,0.941806,3382.99,0.062697,1571.34,0.702899,0.999968,7.34951e-05,4812.92 
7,44.368,7,3529.51,-0.0363419,-9.41241,11.9633,119.354,-0.156317,69.8137,500,-7.60735,-4.4169,-4.86474,-5.21123,-6.51661,-12.9419,2247.01,4.33967,2982.38,4020.88,-7.52586,-4.33541,-4.70175,-5.12974,-6.43511,0.832844,2260.41,4.91011,2995.79,0.453299,0.996213,0.00301014,4986.58 
8,44.385,8,3091.93,-0.31251,-8.51026,12.0561,119.431,0.395273,346.891,475.861,-3.98638,-2.81767,-4.88995,-0.620186,-1.72524,-12.066,1883.71,8.34453,2636.52,7803.59,-3.9104,-2.74169,-4.738,-0.54421,-1.64926,0.651196,1896.21,8.87636,2649.01,0.440281,0.991875,0.00613469,4306.81 
9,44.75,9,4627.01,0.00399272,11.0099,11.6228,119.099,-0.00758879,17.2033,1.17896e-11,-2.04307,-2.70191,-3.75128,-3.32466,-1.80742,-28.2621,2882.07,5.12351,3103.93,4169.98,-1.86511,-2.52395,-3.39536,-3.1467,-1.62946,0.729681,2911.34,6.36922,3133.21,0.505217,0.996186,0.00373068,5762.56 
10,44.318,10,4956.03,-0.014594,11.324,12.2874,118.84,-0.0341613,49.0753,500,-5.30678,-1.10463,-3.68645,-1.46238,0.0871079,-45.0022,3019.59,5.91696,3493.99,4584.12,-5.02341,-0.821261,-3.11971,-1.17901,0.370475,0.68078,3066.21,7.90052,3540.6,0.487616,0.995511,0.00409366,6288.16 
11,44.44,11,3340.19,-0.299158,-8.65927,12.2965,119.093,-0.676551,383.833,339.066,-6.93807,-3.70513,-2.98329,-6.19941,-6.51539,16.8566,2088.96,2.56817,2681.28,11919.8,-7.04422,-3.81128,-3.19557,-6.30556,-6.62153,0.88155,2071.5,1.82518,2663.82,0.460786,0.99846,0.00126057,4495.58 
12,44.406,12,3441.76,-0.294254,-8.62515,-12.5353,118.976,0.0582223,-243.182,0.850287,-4.24248,-0.623144,-4.06315,-0.482792,0.42021,-12.7464,1865.87,-3.30648,2963.7,3980.53,-4.16222,-0.542883,-3.90263,-0.402531,0.500471,0.541396,1879.08,-2.74466,2976.9,0.409558,1.00256,-0.00170128,4588.06 
13,44.459,13,3136.63,-0.0289143,-7.84496,12.0503,119.644,0.0351422,-16.2192,1.1209e-12,-4.69767,-1.90951,-4.25052,-3.76491,-5.03383,-4.16494,2998.1,4.56182,1491.2,3095.95,-4.67144,-1.88328,-4.19807,-3.73869,-5.00761,0.784704,3002.41,4.7454,1495.52,0.688101,0.997242,0.00581118,4363.33 
14,44.391,14,3407.61,-0.296897,-9.1116,12.1975,119.193,0.2679,-238.274,269.07,-2.98898,-0.939842,-2.51223,-2.85054,0.550277,-25.8648,1878.47,4.25997,2959.2,5695.94,-2.82611,-0.776978,-2.1865,-2.68767,0.71314,0.718384,1905.26,5.40001,2985.99,0.41217,0.995065,0.00332029,4622.51 
15,44.443,15,2299.88,0.00173745,-7.03354,11.8051,119.763,-0.00158729,-3.95162,1.39533e-11,-5.73304,-2.70991,-5.67391,-4.01022,-2.00859,-2.26186,2947.1,-3.62984,1020.5,2703.17,-5.71879,-2.69567,-5.64542,-3.99597,-1.99435,0.718436,2949.45,-3.53014,1022.84,0.760121,1.0021,-0.00639836,3880.23 
16,44.348,16,3985.6,-0.0602231,9.16527,12.2187,118.608,0.0340893,-15.0542,499.931,-3.6846,-2.53059,-2.62266,-2.17124,-2.39475,-40.1739,2482.42,2.13378,2774.32,3662.27,-3.43164,-2.27763,-2.11673,-1.91828,-2.14179,0.821915,2524.03,3.90454,2815.93,0.496219,0.9973,0.00254773,5086.53 
17,44.469,17,2840.64,-0.302582,-7.57238,12.6797,119.15,1.4622,-162.099,46.2147,-4.47099,-1.65341,-5.7,-2.67979,-4.66495,-15.5107,2744.8,5.80791,1482.75,10841.4,-4.37332,-1.55574,-5.50466,-2.58212,-4.56728,0.703782,2760.86,6.49158,1498.82,0.669335,0.995902,0.00791526,4124.79 
18,44.394,18,3807.72,-0.296146,9.5287,12.2045,119.021,0.89525,-788.435,499.517,-2.23947,-0.0711259,-4.6905,-2.99387,-5.35041,-40.9524,1955.05,2.79431,3223.89,26763.4,-1.98161,0.18674,-4.17477,-2.736,-5.09254,0.69744,1997.47,4.59938,3266.31,0.401921,0.995987,0.00258721,4969.81 
19,44.363,19,4102.45,-0.301263,9.81472,12.5596,119.342,0.6283,487.934,477.092,-4.16673,-2.46542,-0.745992,-4.58884,-1.87584,-6.42592,2539.65,2.51461,2904.71,13992.7,-4.12627,-2.42496,-0.665067,-4.54838,-1.83538,0.951098,2546.31,2.79784,2911.37,0.490085,0.998081,0.00176715,5195.65 
20,44.373,20,3789.23,-0.00143302,8.88271,12.0643,119.303,0.000459319,8.78589,0.004967,-2.7991,-4.6304,-5.51087,-1.05425,-5.82008,30.8267,2093.7,1.12467,3042.64,3488.67,-2.99321,-4.82451,-5.89908,-1.24836,-6.01419,0.718815,2061.77,-0.234085,3010.71,0.429399,1.0002,-0.000143245,4801.51 
