cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.23,0,7044.77,-0.0283078,15.4922,11.6185,120.146,0.0550406,17.6271,499.895,0.188888,-1.1036,2.55021,-3.1407,1.26131,12.4595,4994.55,0.13472,3312.83,5891.05,0.110434,-1.18206,2.3933,-3.21915,1.18285,4.34904,4981.1,-0.414457,3299.38,0.623922,1.00015,-0.000231453,7983.53 
1,43.95,1,8207.09,-0.110373,18.2719,11.2641,119.748,0.109027,75.5041,500,-0.558657,-0.217528,-5.81627,-4.19356,-0.149425,-4.99451,5421.26,3.7994,3926.1,6967.97,-0.527207,-0.186078,-5.75337,-4.16211,-0.117976,0.464641,5426.65,4.01955,3931.49,0.602673,0.998705,0.00187982,9004.31 
2,43.99,2,7741.65,-0.0164616,17.4919,10.6971,120.07,0.00015945,17.5592,499.986,-2.26287,-1.88545,-2.14487,-0.0324256,-3.6034,-44.4854,5046,15.7607,3751.76,6091.22,-1.98275,-1.60534,-1.58464,0.247687,-3.32329,0.807883,5094.04,17.7214,3799.8,0.595665,0.993949,0.00851801,8551.85 
3,44.07,3,6586.65,-0.0221538,14.651,11.3861,119.525,0.00779218,19.5168,500,-5.36868,-0.259749,-7.93121,-1.56137,-0.274941,-28.2267,4378.99,-0.301745,3312.29,5435.4,-5.19094,-0.0820126,-7.57574,-1.38364,-0.0972046,0.47132,4409.47,0.942407,3342.77,0.591765,0.999626,0.000519064,7451.39 
4,44.2,4,5828.05,-0.258435,13.1602,11.8464,119.889,0.446032,-108.011,333.254,-2.34966,-1.35907,-3.0051,-0.423662,-2.96244,-20.7191,4068.84,7.1352,2865.78,6643.4,-2.2192,-1.2286,-2.74417,-0.293199,-2.83198,0.705471,4091.22,8.04844,2888.15,0.608863,0.996569,0.00510719,6719.44 
5,44.09,5,6795.07,-0.227203,15.1034,11.4787,119.903,0.41403,-108.399,228.18,-0.137417,0.0932834,-1.64143,0.555128,-0.741655,21.662,4543.63,9.70849,3236.93,7104.65,-0.273817,-0.0431163,-1.91423,0.418728,-0.878055,0.28852,4520.24,8.75369,3213.54,0.607187,0.996622,0.00499284,7444.56 
6,44.16,6,6572.53,-0.0340224,15.6119,10.8166,119.809,0.0324835,25.6761,500,-1.84373,-2.47776,-2.37081,0.940741,-0.163839,-9.11167,4489.12,6.43912,3372.04,5524.36,-1.78635,-2.42039,-2.25606,0.998115,-0.106465,0.595046,4498.96,6.84074,3381.87,0.593807,0.997346,0.00371232,7576.47 
7,44.25,7,6683.76,-0.225995,15.3715,11.1121,120.17,-0.451967,-4682.84,424.796,-4.68959,-3.30899,-3.85157,-3.71309,-1.51368,20.2746,3956.08,11.0718,3780.35,74459.2,-4.81725,-3.43665,-4.10689,-3.84075,-1.64135,0.76983,3934.18,10.1782,3758.46,0.534944,0.995493,0.00496379,7354.38 
8,44.13,8,6532.46,-0.0340585,14.6276,11.1797,119.78,-0.0789781,97.2536,1.64082e-12,-2.17048,-1.9911,-1.95111,-1.10041,-2.14168,-14.7995,4418.5,3.65793,3170.6,5573.55,-2.0773,-1.89791,-1.76474,-1.00722,-2.0485,0.799363,4434.48,4.31024,3186.58,0.604625,0.998302,0.00248548,7334.27 
9,44.03,9,8273.85,-0.0933533,17.9588,11.2223,119.845,0.427989,-468.626,2.30633,-3.02888,-2.33146,-5.5285,2.20931,-0.750942,15.3605,5438.03,8.70343,3838.05,13089.9,-3.1256,-2.42818,-5.72195,2.11258,-0.847663,0.428423,5421.44,8.02638,3821.46,0.609221,0.997416,0.00385414,8898.97 
