cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44,0,10828,-0.040454,22.7836,11.7123,118.882,0.0045055,2.06637,500,-3.80112,-1.63478,0.458284,-1.53907,-1.90291,53.7222,7148.45,4.61502,5012.63,8687.09,-4.1394,-1.97305,-0.218265,-1.87734,-2.24118,0.979112,7092.8,2.2471,4956.99,0.611256,0.999446,0.000834367,11603.7 
1,44.9,1,11058,-0.367164,23.7428,11.8702,119.16,0.173913,38.756,483.58,-4.15192,-4.09164,-3.19552,-2.00924,-2.395,-2.22377,7375.66,7.76423,5088.79,9394.02,-4.13792,-4.07764,-3.16751,-1.99523,-2.381,0.799007,7377.96,7.86225,5091.1,0.614274,0.998139,0.00283672,12010.9 
2,44.321,2,8959.6,-0.343787,19.6942,11.8614,119.033,0.272978,-208.762,499.993,-1.21855,-4.52111,-2.78338,-1.45285,-2.14067,-6.00553,5430.91,1.9209,4928.39,9459.63,-1.18073,-4.48329,-2.70775,-1.41503,-2.10285,0.77226,5437.13,2.18561,4934.61,0.547677,0.999297,0.000815228,9927.63 
3,44.386,3,8824.32,-0.00434134,19.2603,11.5342,119.387,-0.0107236,13.3414,3.0533e-12,-2.0423,-0.348806,-7.24017,0.444958,-2.88795,29.0056,4523.38,-6.01987,5593.59,7236.44,-2.22494,-0.531447,-7.60546,0.262318,-3.07059,0.422522,4493.33,-7.29836,5563.55,0.470203,1.00285,-0.00242236,9556.16 
4,44.442,4,8959.49,-0.0663607,19.5737,11.7989,119.451,0.075606,21.413,490.331,-4.1643,-4.14095,-5.60278,-6.05849,-0.134524,0.595207,8151.58,9.98614,2379.67,7570.84,-4.16804,-4.14469,-5.61028,-6.06223,-0.138272,0.721208,8150.97,9.95991,2379.05,0.790136,0.997866,0.00765296,10315.9 
5,44.324,5,10522.9,-0.171376,22.8335,11.7974,119.151,0.0234547,89.5135,500,-3.51112,-2.42018,-0.0800371,-2.81697,-6.08358,-6.85544,6025.85,-1.48959,6034.47,8837.43,-3.46795,-2.37702,0.00629669,-2.77381,-6.04041,1.00043,6032.95,-1.18742,6041.58,0.523204,1.00034,-0.000362181,11530.8 
6,44.37,6,8534.23,-0.35023,18.8973,11.9114,118.911,-0.425219,528.683,51.7501,-5.68852,-3.61874,-1.38139,-1.91357,-0.521074,13.6477,4700.02,-1.48307,5205.34,14645.7,-5.77446,-3.70468,-1.55326,-1.99951,-0.60701,0.886115,4685.88,-2.08462,5191.2,0.497975,1.00078,-0.000740279,9409.87 
7,44.2,7,10424.4,-0.350382,22.1572,12.0126,118.958,0.171977,-194.787,245.134,-1.63683,-5.46634,-8.01799,-4.04711,-3.60065,16.1786,6955.55,10.0623,4826.35,9755.11,-1.7387,-5.56821,-8.22174,-4.14898,-3.70252,0.648345,6938.8,9.3492,4809.59,0.61321,0.997648,0.00356803,11315.5 
8,44.392,8,7849.35,-0.0164095,17.7594,11.4878,118.862,-0.0013997,-5.66128,499.986,-4.57228,-2.67927,3.06175,-0.992629,-1.38956,-42.7078,4025.63,-2.76319,5299.84,6641.69,-4.30337,-2.41035,3.59959,-0.72371,-1.12064,1.72595,4069.86,-0.880758,5344.08,0.4556,1.00038,-0.00030369,8932.97 
9,44.364,9,7554.47,-0.34652,17.1432,11.8642,118.796,0.0638969,-178.311,476.854,-0.295601,-2.02975,-6.02969,-0.91845,-2.95717,24.8063,4479.61,-10.3171,4486.73,6991.93,-0.4518,-2.18595,-6.34208,-1.07465,-3.11337,0.518366,4453.91,-11.4105,4461.03,0.523162,1.0045,-0.00473407,8513.45 
10,44.306,10,9510.16,-0.0129872,20.6542,11.5729,118.794,-0.0111006,-9.9433,500,-4.20657,-5.52847,-8.9178,-2.86844,-1.39634,-14.6182,6277.38,-8.5112,4710.5,7784.77,-4.11452,-5.43642,-8.73371,-2.77639,-1.30429,0.609498,6292.52,-7.86687,4725.64,0.594035,1.00219,-0.00307602,10592.9 
11,44.15,11,8980.19,-0.36564,20.4404,11.5715,119.158,0.440061,1012.44,61.2804,1.14504,-3.00894,-2.90364,0.159003,-0.547628,8.19219,6203.05,2.74897,4231.12,22203.4,1.09345,-3.06053,-3.00681,0.107418,-0.599212,0.449874,6194.57,2.38788,4222.63,0.617163,0.999326,0.00104062,10037.2 
12,44.315,12,8971.38,-0.0188372,19.7803,11.6381,118.836,-0.0204279,-21.7421,500,-2.86103,-3.23792,-7.19203,-5.07677,-0.892386,-14.0164,5800.33,-12.284,4800.21,7508.36,-2.77278,-3.14966,-7.01552,-4.98851,-0.804129,0.625451,5814.85,-11.6662,4814.73,0.570293,1.00352,-0.00448348,10196.2 
13,44.6,13,9398.29,-0.102431,20.0934,11.9563,119.159,0.0246811,-54.2659,0.000524432,-2.15487,-3.91947,-5.63729,-3.82248,0.673301,-5.14938,7191.68,-4.66277,3726.08,7864.32,-2.12245,-3.88704,-5.57244,-3.79006,0.705725,0.62005,7197.02,-4.43581,3731.41,0.679438,1.00108,-0.00219465,10592.6 
14,44.3,14,9545.28,-0.16927,20.3545,11.7979,119.103,-0.0417459,121.807,0.400708,-4.37466,-5.26585,-5.3407,-1.36534,-2.38491,-11.5257,6053.84,-4.58051,4788.25,7982.87,-4.30209,-5.19327,-5.19555,-1.29277,-2.31234,0.716028,6065.78,-4.07249,4800.19,0.58135,1.00118,-0.00156529,10434 
15,44.406,15,7484.05,-0.0248193,16.6629,11.5655,118.727,0.00416013,8.16808,500,-3.9238,0.0772783,-6.15411,-1.19875,-2.74312,0.61034,3630.83,3.58009,5250.6,6274.59,-3.92764,0.0734351,-6.16179,-1.20259,-2.74697,0.558786,3630.2,3.55319,5249.97,0.431773,0.99829,0.00124519,8407.67 
16,44.4,16,7432.26,-0.0265569,16.4134,11.911,119.261,-0.00234769,20.29,499.884,-1.5795,-3.54098,-1.65959,-3.53051,-2.76441,-4.17479,3783.94,-3.47104,5252.35,6365.71,-1.55321,-3.51469,-1.60702,-3.50422,-2.73813,0.875591,3788.27,-3.28702,5256.67,0.441943,1.00152,-0.00115321,8571.84 
17,44.4,17,7110.17,-0.0189364,15.8565,11.6511,118.609,-0.00666387,15.3414,500,-4.12698,-2.64838,1.64209,-1.06897,-4.10544,4.90087,3552.69,-7.67284,4995.95,6017.4,-4.15783,-2.67924,1.58037,-1.09983,-4.1363,1.15061,3547.61,-7.88886,4990.87,0.438556,1.00391,-0.00292024,8089.31 
