Run           ,B (G)       ,omega (kHz)     ,Amplitude   ,f0 (MHz)     ,Width      ,Offset      ,median    ,lower     ,upper     ,sigma_M    ,sigma_P    ,N_fits      
50us          ,      202.10,      2.5000,        0.03,     44.7966,        0.01,        0.08,       44.80,       44.69,       44.91,        0.10,        0.11,         100
90us          ,      202.10,      2.5000,        0.04,     44.7845,        0.03,        0.08,       44.78,       44.65,       44.91,        0.13,        0.12,         100
130us         ,      202.10,      2.5000,        0.03,     44.8159,        0.02,        0.08,       44.82,       44.74,       44.99,        0.08,        0.17,         100
169us         ,      202.10,      2.5000,        0.04,     44.8251,        0.03,        0.08,       44.83,       44.67,       44.94,        0.16,        0.11,         100
209us         ,      202.10,      2.5000,        0.04,     44.8300,        0.03,        0.07,       44.83,       44.72,       44.93,        0.11,        0.10,         100
249us         ,      202.10,      2.5000,        0.03,     44.8389,        0.02,        0.08,       44.84,       44.74,       44.96,        0.10,        0.12,         100
290us         ,      202.10,      2.5000,        0.04,     44.8284,        0.02,        0.08,       44.83,       44.69,       44.97,        0.14,        0.14,         100
329us         ,      202.10,      2.5000,        0.03,     44.8303,        0.02,        0.08,       44.83,       44.73,       44.97,        0.10,        0.14,         100
369us         ,      202.10,      2.5000,        0.04,     44.8359,        0.03,        0.08,       44.84,       44.73,       44.96,        0.10,        0.13,         100
409us         ,      202.10,      2.5000,        0.04,     44.8155,        0.02,        0.08,       44.82,       44.67,       44.94,        0.15,        0.13,         100
449us         ,      202.10,      2.5000,        0.03,     44.8167,        0.02,        0.08,       44.82,       44.66,       44.95,        0.15,        0.13,         100
489us         ,      202.10,      2.5000,        0.03,     44.7809,        0.02,        0.07,       44.78,       44.66,       44.96,        0.13,        0.18,         100
529us         ,      202.10,      2.5000,        0.03,     44.8229,        0.02,        0.08,       44.82,       44.64,       45.01,        0.18,        0.19,         100
570us         ,      202.10,      2.5000,        0.04,     44.8184,        0.02,        0.08,       44.82,       44.69,       44.95,        0.13,        0.13,         100
