cyc,freq,delay_samples,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,45.84,5000,0,31976.4,0.0110957,49.0189,14.3485,114.274,-0.0171678,12.1512,500,-2.52741,-1.81668,-4.25789,2.1906,0.509628,-165.359,204.92,77.4304,30762.3,22903.1,-1.48618,-0.775459,-2.17544,3.23183,1.55085,7.29471,336.635,89.4045,30894,0.00955078,0.682701,0.00530262,35246.9,0.00138468,-0.0142885,-32.5822,47.275,103,98,2.10753,14.4438,-12.9634,113.513,141.21,-10.5128,-43.2099 
1,45.944,5000,1,30649.2,-0.0189714,47.4955,14.1383,114.332,0.0204948,-75.17,500,-2.48343,-0.933786,-0.0522396,-0.344542,1.60045,-153.538,9.4425,58.8694,29673.6,21909.8,-1.51665,0.0329991,1.88133,0.622243,2.56724,0.475538,131.741,69.9874,29795.9,0.00389753,0.518218,0.00430827,33801.1,0.000121234,-0.0275282,13.9292,-8.66544,112.954,77.099,2.11396,14.2385,12.5333,113.635,141.516,-0.681118,-64.4174 
2,45.828,5000,2,32558.7,-0.0847943,50.4759,14.2016,114.193,-0.282055,500.491,55.3907,-3.95702,-1.67288,-2.16549,-2.06403,0.353698,-269.765,96.6162,77.6829,31490.3,27930.9,-2.25838,0.0257584,1.23178,-0.365394,2.05233,-0.79535,311.494,97.2173,31705.2,0.00861947,0.646757,0.0056167,36138.4,0.000353907,-0.0107961,17.7207,-34.1724,113.611,55,2.20387,14.2414,-12.7621,113.468,140.515,0.143612,-85.5149 
3,45.852,5000,3,32562.1,-0.0022951,50.0463,14.2827,114.281,-0.0653178,94.6904,500,1.10759,-1.42572,0.306459,0.859255,1.25732,-200.959,142.257,81.4669,31437.1,23470.3,2.37297,-0.160342,2.83723,2.12464,2.5227,0.707418,302.328,96.0188,31597.2,0.00839633,0.642758,0.0055667,36007.2,0.000201164,-0.0261701,14.0789,-8.45455,114.998,74.9958,2.18783,14.3279,-12.7404,113.605,141.198,1.39303,-66.2025 
4,45.912,5000,4,32766,-0.0183304,51.8595,13.9265,114.107,-0.00190243,19.2519,500,-0.850876,-1.96651,-3.35062,0.0796469,0.160914,-219.489,142.281,74.6915,31903,23511.9,0.531185,-0.584452,-0.586494,1.46171,1.54297,1.248,317.112,90.5852,32077.8,0.00867253,0.666711,0.00517504,36565.1,-0.00241927,0.0113943,-23.9903,10232.6,136.148,91.4503,2.34596,13.9772,12.2501,113.373,141.032,22.7753,-49.5816 
5,45.844,5000,5,33746,-0.0201908,52.61,14.0783,114.089,-0.0255144,-17.5715,2.84328e-11,-3.33231,-0.780561,-0.12587,0.100977,0.62534,-281.183,197.046,77.5395,32722.3,24125.5,-1.56178,0.989972,3.4152,1.87151,2.39587,0.519715,421.018,97.9006,32946.3,0.0111823,0.710766,0.00544406,37650.3,-0.00247528,0.0122384,-23.4611,10369.7,137.264,87.9885,2.35191,14.055,12.4871,113.332,141.047,23.9319,-53.0587 
6,45.884,5000,6,30966.5,-0.0142002,49.1942,13.7639,114.343,-0.0334594,94.0583,500,-2.18129,-1.07625,3.24774,-0.190013,-0.403158,-174.971,3813.08,73.5419,26309.8,22144.4,-1.07954,0.0254986,5.45124,0.911733,0.698588,0.0925972,3952.46,86.212,26449.2,0.116798,0.963232,0.00596857,33840,-5.02784e-05,0.341717,13.0287,10.7003,114.158,91.4487,1.91555,13.9201,12.4718,113.627,141.07,0.53032,-49.6216 
7,45.948,5000,7,30726.1,-0.0208588,48.5392,13.9376,114.126,-0.043174,57.3016,500,-3.51832,-0.640485,-0.878477,0.278672,-0.00933594,-227.989,106.663,70.5331,29907.2,22103.5,-2.08274,0.795099,1.99269,1.71426,1.42625,0.48182,288.264,87.0423,30088.8,0.00840699,0.654271,0.00530068,34288.6,9.54566e-05,-0.0282533,-14.6261,8.53721,115.413,75.9747,2.15653,14.0075,-12.5383,113.445,141.356,1.96869,-65.3811 
8,45.864,5000,8,31117.7,-0.058023,50.1459,13.6862,114.082,-0.0720992,83.5434,1.26019,-1.94102,-3.05605,-1.70293,0.584242,-0.0742253,-258.934,158.991,59.3433,30400.7,22537.6,-0.310582,-1.42561,1.55795,2.21468,1.55621,0.566351,365.242,78.0933,30606.9,0.0104501,0.727711,0.00467813,34951.1,-0.000105509,0.00307621,-0.792337,-0.0360621,130.002,59.1782,2.29735,13.6304,12.2251,113.359,142.054,16.6432,-82.876 
9,45.876,5000,9,30416.3,-0.0804224,48.4964,13.8119,114.351,-0.300108,579.91,442.769,-1.74092,-0.642534,-3.63814,1.11833,1.73024,-177.031,3353.09,60.1575,26266.1,27470.5,-0.626196,0.472186,-1.4087,2.23305,2.84496,1.40073,3494.11,72.9768,26407.1,0.104821,0.964739,0.00506493,33334.1,0.00306473,-0.0817392,11.1379,-0.0531454,114.646,90.2682,1.91331,13.899,12.4169,113.617,140.782,1.02875,-50.5133 
