cyc,freq,delay_samples,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
93,45.84,5180,93,19372.7,-0.078036,28.3584,15.2406,114.816,-0.045124,72.8863,494.232,-0.377113,-2.09501,-0.191793,0.0310495,0.740932,-252.986,98.3245,67.3671,18627,14176.5,1.21587,-0.502025,2.99417,1.62403,2.33392,0.60942,299.837,85.6864,18828.5,0.0138968,0.666618,0.00831353,21576,-0.000311144,-0.0188935,13.0069,-7.28854,112.172,77.3555,1.14235,15.4845,13.7672,114.13,140.707,-1.95743,-63.351 
94,45.944,5180,94,19344.8,-0.12141,28.3558,15.3043,114.842,-0.247502,338.555,486.317,-1.72627,-2.93157,-1.37488,0.941286,0.542757,-308.668,93.3286,92.7057,18734,16854.8,0.217329,-0.98797,2.51232,2.88489,2.48636,0.646795,339.194,115.057,18979.8,0.0155691,0.627505,0.0110437,21786.4,-0.000423086,-0.0191596,-14.1493,8.18012,114.639,75.0169,1.13386,15.5768,13.8809,114.03,141.201,0.608491,-66.1842 
95,45.828,5180,95,22251.8,-0.116894,32.8337,15.1247,114.781,-0.0670149,14.0345,0.020591,-1.45041,-1.9159,-2.60941,-1.68456,0.779065,-270.995,37.8963,84.5392,21523.6,16196.5,0.255973,-0.20952,0.803355,0.0218257,2.48545,0.760698,253.754,104.163,21739.5,0.010224,0.581953,0.00874905,24819.3,0.000349666,-0.0108623,26.486,50.274,103,98,1.34517,15.4642,13.5687,114.072,140.228,-11.0717,-42.2282 
96,45.852,5180,96,20616.4,-0.111018,30.4243,15.1329,114.568,0.211977,-325.83,13.5546,-3.00587,-2.6054,-0.184241,1.04337,3.68747,-240.991,28.9001,82.3976,19930.8,17236.2,-1.48841,-1.08794,2.85068,2.56083,5.20493,0.645442,220.859,99.8484,20122.7,0.00961947,0.558297,0.00905768,22959.6,-0.00032975,-0.0199008,-14.0372,-8.25657,113.24,75.7874,1.2424,15.3477,13.6113,113.892,140.536,-0.652106,-64.7489 
97,45.912,5180,97,20044.2,-0.0988457,29.6317,15.0717,114.857,0.0500212,178.382,435.45,-3.41892,-2.6579,-1.48412,-0.927551,1.55209,-216.71,3364.64,65.0049,16077.5,14828.8,-2.05435,-1.29333,1.24501,0.437014,2.91665,0.00478526,3537.26,80.6974,16250.1,0.16152,0.961609,0.0090649,21899.9,-0.00045042,0.247628,14.6029,-11.706,114.858,89.5677,1.007,15.4013,13.5124,114.06,139.67,0.7988,-50.1024 
98,45.844,5180,98,18795.4,-0.0594649,27.5322,15.2293,114.785,-0.165173,229.334,500,-0.0162264,-2.47348,-1.23615,-0.292802,0.405699,-241.731,25.3769,85.7922,18176.8,14882.6,1.50589,-0.95136,1.80808,1.22931,1.92782,0.672434,217.925,103.297,18369.4,0.0103896,0.546597,0.0102525,20975.3,-0.000350733,-0.01754,14.7008,-8.7963,113.72,75.8057,1.12194,15.5122,13.6451,114.052,140.666,-0.332196,-64.8605 
99,45.884,5180,99,21319,-0.111309,31.061,15.3152,114.749,-0.0648656,102.05,381.211,-1.07474,-1.31142,-1.31265,2.44829,1.12341,-218.38,113.268,94.1708,20441.2,15701.2,0.300345,0.0636631,1.43752,3.82337,2.4985,0.823039,287.216,109.984,20615.2,0.0121793,0.598755,0.00973219,23582.4,-0.000204032,-0.019012,15.5515,7.40139,115.432,74.9839,1.24951,15.4821,13.7652,114.068,141.048,1.36412,-66.0642 
100,45.948,5180,100,19540.5,-0.0465753,28.6552,15.231,114.367,0.00516905,15.0486,497.595,-1.18907,-2.93475,-3.20364,-0.23345,-1.45976,-223.49,-73.4615,56.5066,19151.9,14210.4,0.218182,-1.52749,-0.389124,1.17381,-0.0525045,0.325761,104.557,72.69,19329.9,0.00476398,0.451133,0.00687958,21947.3,-0.000550533,-0.0223024,14.8061,8.77212,111.794,77.5744,1.19039,15.5919,13.47,113.651,140.332,-1.85762,-62.7581 
101,45.864,5180,101,20348.8,-0.030338,30.1166,15.0446,114.456,0.0101487,-9.66062,500,-0.428455,-0.732082,-5.95928,-0.185876,1.78359,-194.69,-7.33234,76.8831,19672.5,14752.9,0.797457,0.49383,-3.50745,1.04004,3.0095,2.91311,147.746,90.9811,19827.5,0.00655107,0.481315,0.00838188,22552.9,-0.000273489,-0.0223352,-14.5313,-8.43735,113.001,77.1521,1.22855,15.3126,-13.6035,113.776,141.486,-0.774246,-64.3342 
102,45.876,5180,102,20859.3,-0.0319827,30.2349,15.3783,114.808,-0.157947,777.371,500,-1.37315,-2.62195,-1.57075,-0.213527,-0.0408002,-270.4,85.5825,86.3037,19941.3,19133.1,0.329489,-0.919316,1.83453,1.48911,1.66184,0.58265,300.966,105.884,20156.7,0.0130412,0.618937,0.00958391,23078.1,-0.000178601,-0.022319,-14.1808,-8.09178,113.264,76.6896,1.20736,15.5534,13.8814,114.067,140.583,-0.802819,-63.8935 
