cyc,freq,delay_samples,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
260,45.836,9500,260,16604.6,-0.167992,25.2669,15.0286,115.621,0.272353,-122.315,496.897,-1.16515,0.252501,-1.73549,3.01686,2.2558,-286.225,13.6793,32.3593,16331.3,13445.8,0.637129,2.05478,1.86907,4.81914,4.05808,0.860914,241.668,53.0855,16559.3,0.0127504,0.722329,0.00587072,18953.7,-0.000513632,-0.0167672,-16.1736,-8.05149,112.655,76.951,1.04098,15.2888,13.3711,114.85,139.809,-2.1954,-62.8584 
261,45.916,9500,261,14544.6,-0.210936,22.8664,14.8625,115.603,0.35801,-292.92,71.9181,2.19674,-0.825056,-0.247256,-0.0990109,1.52828,-276.954,24.482,45.0802,14526.2,14477.1,3.94064,0.91885,3.24056,1.6449,3.27219,0.751055,245.086,65.1351,14746.8,0.0144945,0.682553,0.00807074,16908.9,-0.000553067,-0.0160544,15.8453,-7.59247,113.998,76.5809,0.935619,14.9005,13.4748,114.794,140.099,-0.796474,-63.5185 
262,45.848,9500,262,16109.4,-0.020135,24.7744,14.7716,115.532,-0.0126111,3.72617,500,-1.50306,0.825313,0.242783,1.2845,0.841022,-291.718,64.5674,37.9369,15886.1,11914.7,0.333805,2.66218,3.91652,3.12137,2.67789,0.691898,296.931,59.0609,16118.4,0.016041,0.741794,0.00670455,18510.8,-0.000474935,-0.0143098,16.8983,8.04637,117.32,75.5962,1.02416,15.0041,13.4031,114.889,139.874,2.43103,-64.278 
263,45.928,9500,263,18289.5,-0.144309,28.1757,14.6808,115.28,0.341778,-519.82,471.259,-2.44089,2.58225,-1.35092,0.281297,-0.498754,-340.492,72.4095,57.6011,17905.6,19248.9,-0.296897,4.72624,2.93706,2.42529,1.64524,0.743195,343.624,82.257,18176.8,0.0164544,0.704763,0.00826731,20883.4,-0.00027496,-0.0157574,15.9373,-8.66412,115.191,75.4504,1.17706,14.7844,13.2243,114.581,140.097,0.610215,-64.6464 
264,45.868,9500,264,16226.2,-0.177003,25.3188,14.7136,115.614,0.0229572,51.3851,53.1275,-1.68491,-1.1155,1.42159,-0.482808,2.44828,-328.312,218.102,44.5046,15862.5,12165.5,0.382385,0.951797,5.55618,1.58449,4.51557,0.572287,479.615,68.2785,16124,0.0256483,0.800556,0.00774018,18699.7,-0.000300904,-0.0111089,14.0996,5.81587,112.472,74.1228,1.05702,14.779,13.055,114.884,139.387,-2.41273,-65.2637 
265,45.856,9500,265,15231.4,-0.152044,23.4566,14.8398,115.674,0.163532,-137.322,10.7144,-0.570753,1.41143,-0.0749451,1.68139,1.62211,-326.395,153.617,48.1169,14980.1,12062.6,1.48447,3.46665,4.03549,3.73661,3.67733,0.753941,413.602,71.7519,15240,0.0234537,0.767112,0.00859828,17634.8,-0.000780648,0.0257255,15.3526,-9.17643,117.846,97.9999,0.963453,14.9726,13.44,114.865,140.631,2.98035,-42.6315 
266,45.904,9500,266,17745,-0.00888517,27.1363,14.7975,115.309,0.0153075,-6.48424,500,0.911734,-0.58146,-1.49949,2.426,2.97507,-339.121,160.245,44.2567,17470.7,13074.9,3.04709,1.5539,2.77122,4.56136,5.11042,0.837408,430.368,68.8133,17740.8,0.0210166,0.781363,0.0070945,20477.5,-0.000602575,-0.000959438,-2.41519,0.0410026,123.949,73.164,1.12643,15.0043,13.3618,114.577,140.467,9.37225,-67.3032 
267,45.832,9500,267,16775.8,-0.160437,26.1236,14.6454,115.753,0.350952,172.546,65.7692,1.2774,1.23303,0.801983,2.53109,1.61104,-362.109,-12.9873,38.7271,16762.7,14425.8,3.5575,3.51313,5.36219,4.81119,3.89114,0.746291,275.445,64.9483,17051.2,0.0140941,0.707895,0.00696773,19543.3,-0.000624675,-0.0187364,-16.3114,9.02274,115.206,74.9211,1.09782,14.9333,13.2376,114.923,139.939,0.283068,-65.0181 
268,45.892,9500,268,17063.6,-0.173867,25.964,15.0348,115.72,-0.0035248,-21.6458,32.36,-0.325349,0.811283,-1.28066,-3.5244,-0.697553,-321.489,382.93,47.5,16432.8,12710.1,1.69898,2.83561,2.76799,-1.50007,1.32678,0.611744,639.008,70.7798,16688.9,0.032774,0.837634,0.00775206,19497.4,-0.00069832,0.0392439,14.7614,-10.2901,116.507,95.3514,1.0645,15.1495,13.1986,114.851,139.676,1.65669,-44.3242 
269,45.88,9500,269,16796.9,0.00387755,25.6893,14.6921,115.795,0.0017064,-9.04778,500,1.63331,1.90306,0.67692,1.6188,1.08459,-275.544,3027.01,49.8733,13614.2,12287.1,3.36834,3.63809,4.14698,3.35383,2.81962,0.760662,3246.5,69.8261,13833.7,0.171968,0.963726,0.00921247,18878.5,-0.000636277,0.232634,14.5782,11.3641,115.793,89.6214,0.868238,15.0678,13.4639,115.04,139.54,0.753222,-49.9184 
270,45.908,9500,270,16433.8,-0.0975188,25.634,14.5288,115.544,0.0400285,-10.0787,499.993,-0.137205,-0.25579,-0.774499,-0.125845,1.18645,-330.039,126.314,47.6932,16136.3,12137,1.94096,1.82238,3.38183,1.95232,3.26462,0.726436,389.202,71.5922,16399.2,0.0205706,0.756484,0.00797772,18920.3,-0.000518842,-0.0037255,115.66,0.228242,106.882,77.7995,1.06563,14.8246,13.2007,114.792,139.754,-7.90972,-61.9541 
271,45.86,9500,271,16840,-0.132875,25.649,14.8541,115.598,0.106466,-42.0415,1.44566,-1.13727,0.827486,-0.0435976,1.84439,-0.932747,-295.846,69.679,54.5752,16502.3,12548.3,0.725599,2.69035,3.68213,3.70726,0.930118,0.686239,305.331,75.9982,16738,0.0158868,0.696582,0.00829464,19219.2,-0.000332102,-0.0144676,-15.4137,7.91907,115.452,73.2859,1.06871,14.9628,13.3045,114.779,140.284,0.673412,-66.9978 
272,45.888,9500,272,16029.9,-0.159013,24.7633,14.7891,115.513,0.0293296,126.469,47.1236,-0.821865,-1.13314,1.34868,1.81477,2.52144,-279.681,1677.12,42.9944,14220.6,12042.6,0.939214,0.627939,4.87084,3.57585,4.28252,0.659295,1899.9,63.2468,14443.4,0.10427,0.94495,0.00800192,18220.9,-0.000706746,0.128752,14.2634,11.7856,115.976,90.7582,0.917876,15.0241,13.3874,114.712,139.812,1.26448,-49.0542 
273,45.94,9500,273,14981.6,-0.179566,23.2887,14.8478,115.681,0.180389,31.1111,3.25979,0.579651,1.61237,0.273523,1.12517,1.10261,-323.664,50.6758,44.0047,14896.1,11439.2,2.61768,3.65039,4.34958,3.16319,3.14063,0.742955,308.486,67.442,15153.9,0.0176961,0.72328,0.00813157,17432.4,-0.0017021,0.00633251,-20.5185,5680.08,134.406,89.0642,0.959026,14.9752,13.3221,114.815,139.192,19.5917,-50.1277 
274,45.932,9500,274,17049.9,-0.0128352,25.7578,14.9445,115.725,-0.00475597,10.7916,2.08183e-11,1.36392,1.05031,-0.00587421,1.9468,-1.06962,-305.03,-3.05345,49.5818,16845.3,12532.6,3.28461,2.97101,3.83551,3.8675,0.851078,0.741014,239.914,71.6698,17088.2,0.0122721,0.656694,0.00766674,19549.6,-0.000556189,-0.0167235,15.777,-11.0053,117.959,73.3409,1.05509,15.2285,13.6658,114.869,139.504,3.08981,-66.1627 
275,45.936,9500,275,16319.4,-0.197561,25.0597,15.0395,115.49,0.0552049,160.627,499.991,1.48552,2.53284,4.45829,1.40336,2.43636,-337.311,51.4541,50.8275,16181,12557.5,3.60948,4.6568,8.7062,3.52731,4.56032,0.652587,320.135,75.253,16449.7,0.0169309,0.708533,0.00835673,18908.3,-0.00063143,-0.0152407,15.6762,8.78306,116.316,75.3895,1.01297,15.2338,13.6644,114.664,140.842,1.65279,-65.4526 
276,45.924,9500,276,15628.9,-0.210201,24.2438,14.9862,115.461,-1.18122,-615.57,496.828,0.204173,-0.525635,3.45033,0.905189,-0.230103,-367.747,49.3896,50.8548,15669.8,35497.7,2.51978,1.78997,8.08154,3.22079,2.0855,0.543354,342.313,77.4842,15962.7,0.0186241,0.71627,0.00886247,18380.2,-0.000705494,-0.0160139,14.9637,-9.09348,117.118,72.9441,0.997311,15.2,13.4247,114.63,140.528,2.48777,-67.5837 
277,45.896,9500,277,15114.3,-0.17726,23.0935,15.0867,115.661,0.234512,-85.4361,85.7319,1.234,1.01099,0.568347,0.802918,1.36107,-355.576,49.1974,58.9748,15013.4,11994,3.47297,3.24996,5.04628,3.04188,3.60004,0.725911,332.427,84.7229,15296.7,0.0188689,0.691559,0.0100997,17617.7,-1.19142e-05,-0.00946277,18.5544,78.3022,103,98,0.93545,15.3387,13.8266,114.73,140.161,-11.7298,-42.1613 
278,45.92,9500,278,16978.7,-0.0713248,25.9488,14.8255,115.377,0.118337,-162.527,500,-1.15607,-0.0150371,2.04023,-3.04519,3.36908,-371.25,46.9928,45.8315,16761.5,13149.5,1.18159,2.32263,6.71556,-0.707525,5.70675,0.558739,342.707,72.7146,17057.2,0.0174696,0.72923,0.00779167,19617.4,0.000199528,-0.00754972,-23.2545,81.736,103,75.1196,1.0926,15.0817,13.2383,114.584,139.581,-11.5844,-64.4615 
