cyc,freq,delay_samples,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
62,45.84,1120,62,17977,0.0294667,26.8245,15.2388,115.856,-0.0320616,-6.58435,4.58538e-13,1.86437,-0.362227,-0.55506,0.623511,2.53762,-202.777,65.1353,60.8496,17716.7,13313.8,3.1412,0.914603,1.9986,1.90034,3.81445,0.830184,226.654,75.5332,17878.3,0.0110947,0.631635,0.00772254,20429.1,-0.000748441,-0.0165635,15.6648,-8.12919,114.252,74.0633,1.07694,15.5869,13.8692,115.058,140.654,-0.806317,-66.5903 
63,45.944,1120,63,18037.6,-0.0186346,26.9875,15.056,115.784,0.00301531,13.0734,1.28854e-11,-2.97489,-0.666614,-3.91148,-0.677552,0.582054,-235.712,0.57401,46.9935,17804.8,13228.4,-1.49068,0.817602,-0.943052,0.806663,2.06627,1.75036,188.327,64.0619,17992.6,0.00917777,0.626847,0.00651601,20519.9,-0.000536508,-0.0202011,15.8796,-7.88779,113.71,74.1573,1.14584,15.2896,13.1871,115.008,140.899,-1.29763,-66.7422 
64,45.828,1120,64,19704.1,-0.14584,28.3179,15.6983,115.702,-0.109197,-28.1324,141.305,-2.58414,-0.984327,-4.14462,-0.533213,1.31387,-265.475,105.354,94.6186,18831.3,14571.3,-0.91251,0.687299,-0.801372,1.13841,2.9855,1.25873,316.815,113.842,19042.8,0.0145094,0.613936,0.0108926,21835.1,-0.000387123,-0.0753317,0.156953,-6.91596,128.521,71.2573,1.13631,15.6155,13.9117,114.96,141.186,13.5609,-69.9292 
66,45.912,1120,66,19243.2,-0.0925902,29.133,14.9719,115.477,0.0408358,150.593,27.3859,-2.33587,-1.8091,0.681195,-0.977153,1.5883,-301.574,265.824,52.101,18517.4,14399.2,-0.436943,0.089833,4.47906,0.921779,3.48724,0.475579,506.038,73.9387,18757.6,0.0233175,0.79637,0.00720888,21702.1,-0.000652283,0.0363555,15.1614,-8.97605,114.871,96.8244,1.17763,15.0777,13.5129,114.741,140.373,0.129559,-43.5489 
67,45.844,1120,67,19520.8,-0.179114,28.338,15.6798,115.783,0.100715,-126.277,484.851,-3.29932,-0.726862,-5.48078,-2.21244,2.1923,-196.153,21.9996,83.9891,18807.6,14878.5,-2.0642,0.50826,-3.01053,-0.977314,3.42742,-0.422498,178.243,98.193,18963.8,0.00824915,0.509148,0.00944812,21607.4,0.000331111,-0.0100088,26.257,-54.979,103,98,1.13443,15.6989,13.9802,115.021,140.474,-12.0214,-42.4735 
68,45.884,1120,68,21660.2,-0.181673,31.5054,15.5876,115.701,0.185979,21.9092,497.21,-2.11052,-2.30612,-0.091007,-4.4022,-0.56615,-265.637,91.6867,72.692,20802.6,16119.4,-0.437876,-0.633478,3.25428,-2.72956,1.1065,-4.81259,303.276,91.9274,21014.2,0.0126106,0.653403,0.00799395,24049.3,0.000502769,-0.0110787,24.4352,59.9338,103,97.9995,1.27739,15.5594,13.8096,114.866,140.511,-11.8664,-42.5117 
69,45.948,1120,69,17921.6,-0.159899,26.7084,15.2543,115.827,0.116124,21.7079,232.336,-0.891333,1.25545,3.77254,1.57052,2.96414,-310.822,-7.31973,70.0622,17533.7,13344.9,1.06583,3.21261,7.68686,3.52768,4.9213,0.623457,240.261,92.5695,17781.3,0.0118163,0.597282,0.00949893,20333.1,-0.000478568,-0.0197898,17.9578,7.44755,114.284,77.1525,1.07737,15.426,13.7742,115.05,140.754,-0.7665,-63.601 
70,45.864,1120,70,18549.2,-0.0357513,27.4316,15.2742,115.824,-0.0580118,-36.1469,457.325,1.14531,-2.5727,0.296762,-0.0543034,2.05009,-280.417,114.043,58.8117,18069.5,13708,2.91102,-0.806984,3.82819,1.71141,3.8158,0.665936,337.406,79.1174,18292.9,0.0160606,0.709042,0.0079042,21008.3,-0.000589472,7.92084e-06,4.5904,0.696415,136.754,88.2446,1.12111,15.4863,13.5646,115.019,140.216,21.7352,-51.9716 
71,45.876,1120,71,21558.9,-0.193516,31.7769,15.4275,115.696,0.0120982,72.0253,78.1253,-1.70695,-0.0158308,0.27459,-0.2506,-0.563696,-208.824,190.181,102.718,20731.3,15987.2,-0.392034,1.29908,2.90441,1.06431,0.751216,0.483842,356.517,117.84,20897.7,0.0148729,0.633541,0.0102807,23970.9,-0.000283174,-0.0200756,14.4612,-6.77641,115.663,73.9131,1.27931,15.4891,13.631,114.914,140.08,0.748919,-66.1665 
72,45.9,1120,72,16981,-0.125284,25.8531,14.8168,115.956,-0.0461429,281.665,310.917,-0.79406,-0.505219,-3.36757,-0.625567,-0.0980228,-232.001,3140.7,65.7492,13597.6,12893,0.66679,0.955632,-0.44587,0.835284,1.36283,1.13212,3325.5,82.549,13782.4,0.175956,0.958368,0.0109128,18899.6,-0.000681123,0.241765,14.394,11.5946,115.863,90.9138,0.854508,15.1508,13.688,115.104,141.301,0.759424,-50.3874 
73,45.872,1120,73,19936.6,-0.206723,30.1485,15.1415,115.687,0.440318,347.225,0.489767,-0.32296,-2.16439,0.388808,0.95678,1.39677,-233.102,151.922,84.2008,19368.5,19837.4,1.14482,-0.696608,3.32438,2.42456,2.86456,0.633141,337.597,101.08,19554.2,0.0150486,0.656181,0.00943247,22433.8,0.000353092,-0.010683,22.7521,62.33,103,98,1.21825,15.2594,13.6805,114.81,140.161,-11.8103,-42.161 
74,45.836,1120,74,20063.1,-0.192621,29.3159,15.6108,115.728,0.14654,9.79763,132.747,0.364376,1.48121,2.9849,1.95163,0.142085,-237.737,35.8167,71.6768,19353.8,14944.6,1.86134,2.97817,5.97882,3.44859,1.63905,0.624115,225.183,88.8918,19543.2,0.0100938,0.591429,0.00830917,22309,-0.00204954,0.00890754,19.9628,5252.35,135.793,91.6125,1.16538,15.6058,13.8871,114.816,140.714,20.9768,-49.1011 
