cyc,freq,delay_samples,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
74,45.836,5120,74,20510.5,-0.0792295,30.5915,15.0306,114.639,-0.0169978,19.9586,500,1.11429,-0.467439,-0.32675,1.13757,-1.95694,-243.668,62.8424,59.7363,19911.7,14979.4,2.64861,1.06688,2.74188,2.67188,-0.422622,0.685081,256.933,77.381,20105.8,0.0111824,0.654857,0.00703977,22976.5,-0.000428326,-0.0191987,15.2794,-8.26025,113.159,76.0071,1.24473,15.3561,13.5882,113.933,140.699,-0.774031,-64.6922 
75,45.916,5120,75,21381.7,-0.014373,31.0651,15.2656,114.661,0.00487613,5.6046,8.33253e-13,-2.04174,-0.225341,0.286561,0.0898225,1.55854,-240.135,45.1325,75.7318,20439.7,15438.5,-0.529672,1.28672,3.31069,1.60189,3.07061,0.621213,236.409,93.1206,20631,0.0100388,0.591954,0.00824601,23549.4,-0.0002663,-0.0201901,-14.5369,-7.53589,114.988,76.8095,1.24406,15.5429,13.8569,113.976,140.921,1.01266,-64.112 
76,45.848,5120,76,22823.4,0.0408633,33.0728,15.2515,114.718,-0.0130891,10.1505,1.39808e-11,-2.62218,-1.4299,-2.43909,0.0411909,0.695066,-320.776,60.148,82.8438,21925.6,16424.5,-0.602346,0.589935,1.60058,2.06103,2.7149,0.748498,315.658,106.072,22181.2,0.0124371,0.629699,0.00873216,25380.4,-0.000545896,-0.0110729,-0.00483697,-10.1985,121.682,84.1106,1.33278,15.5843,13.8312,114.036,140.63,7.64547,-56.519 
77,45.928,5120,77,18494.6,-0.0953928,27.1535,15.1932,114.593,-0.00917234,-157.416,459.97,-4.3918,-3.50908,-2.45099,-0.1918,0.995702,-272.125,188.416,67.8603,17701.2,13476.8,-2.67831,-1.79559,0.97601,1.5217,2.7092,-0.331495,405.173,87.5655,17918,0.0196186,0.72558,0.00892207,20652.5,-0.000587915,0.00352353,5145.91,9.7568,124.825,91.3417,1.1074,15.3794,13.5584,113.891,140.568,10.9344,-49.2262 
78,45.868,5120,78,20805.4,-0.0984772,30.8143,15.0285,114.516,0.136843,195.869,201.881,-2.98917,-0.58774,1.4815,-0.963566,-2.34425,-282.269,51.6221,72.7513,20056.4,15947.7,-1.2118,1.18963,5.03625,0.813809,-0.566874,0.0427236,276.46,93.1911,20281.3,0.0119193,0.628969,0.00839331,23194.3,-0.000246444,-0.0212077,12.8165,8.20398,110.425,77.8931,1.26934,15.2299,13.4815,113.773,140.635,-3.34803,-62.7419 
79,45.856,5120,79,20327.2,-0.0473227,29.4357,15.3596,114.542,0.0215962,2.36342,500,-2.67636,1.18032,-0.814412,0.72771,1.32629,-311.186,125.888,75.4821,19358.7,14719.7,-0.716903,3.13977,3.1045,2.68717,3.28575,0.73005,373.76,98.0158,19606.6,0.01659,0.685436,0.00912487,22529.2,0.000437152,-0.00785391,-34.3657,48.3553,103,98,1.16244,15.6827,14.0459,113.865,140.843,-10.8653,-42.8426 
80,45.904,5120,80,19534,-0.081946,28.9533,14.9759,114.709,0.0925369,-813.421,339.283,1.33428,-2.22794,-4.29492,0.105102,0.466434,-260.822,3090.21,61.1374,15872.4,16565.5,2.97661,-0.585614,-1.01027,1.74743,2.10876,1.19291,3297.96,80.0242,16080.2,0.153618,0.959266,0.00908411,21468.5,-0.000473055,0.222964,15.04,11.8916,114.72,90.7497,1.00317,15.3289,13.4015,113.977,141.127,0.743547,-50.3778 
81,45.832,5120,81,19075.8,-0.118942,28.0174,15.2706,114.81,0.0483937,-198.213,11.7833,-1.68795,-0.580945,-0.664645,-1.63838,1.25621,-281.053,0.24296,81.0218,18546.1,14240,0.0817671,1.18877,2.87479,0.131334,3.02592,0.606333,224.112,101.374,18770,0.0104558,0.558165,0.00985091,21434.2,-0.000367216,-0.019743,-14.0515,8.1924,112.926,76.537,1.16303,15.5027,13.3747,114.06,140.245,-1.13327,-63.7077 
82,45.892,5120,82,24916.2,-0.098697,36.9008,14.9701,114.727,0.12229,-243.548,123.263,-2.43798,-0.805558,-0.47318,0.385386,0.527328,-269.42,1720.83,77.239,22273.2,18952.3,-0.741517,0.890906,2.91975,2.08185,2.22379,0.60409,1935.44,96.7483,22487.8,0.0707742,0.919558,0.0078629,27346.6,-0.00038141,0.131207,14.6474,-11.3227,114.955,91.9198,1.41162,15.1256,13.5298,113.963,140.724,0.991931,-48.8038 
83,45.88,5120,83,20777.7,0.00669886,29.8153,15.2099,114.706,0.01267,-96.9293,500,-2.44951,-2.26412,-0.655712,-1.21327,-1.7369,-251.655,124.975,70.9784,19760.4,14802.5,-0.864907,-0.679518,2.5135,0.371335,-0.152292,-1.11553,325.428,89.2014,19960.8,0.0142225,0.67582,0.00816483,22881.2,-0.000492419,0.00144196,3199.92,18.5662,144.473,75.4435,1.22246,15.6033,13.5486,113.978,140.075,30.4948,-64.6315 
84,45.908,5120,84,20282.9,-0.0579957,29.1787,15.3245,114.855,0.0384836,-4.96368,135.904,0.844076,-2.95141,-3.07863,0.277973,0.225624,-246.677,1266.59,86.3223,18131.1,14562.5,2.39734,-1.39815,0.0278883,1.83123,1.77889,0.993986,1463.08,104.185,18327.6,0.065984,0.889192,0.0103631,22173.2,-0.000391078,0.0904156,15.0212,-11.5202,114.712,92.2877,1.07346,15.6307,14.2053,114.108,141.32,0.604856,-49.0322 
85,45.86,5120,85,21785.2,-0.0144177,31.6454,15.1632,114.797,-0.00465867,54.109,3.80497,-1.13599,-1.09871,-3.12712,-1.88648,0.30888,-256.645,125.67,83.219,20803.3,15628.7,0.480035,0.517319,0.104936,-0.270452,1.92491,0.961935,330.097,101.803,21007.7,0.0137147,0.649474,0.00884784,24068.9,0.000458346,-0.00848661,22.5728,70.4973,103,98,1.2957,15.4535,13.6676,114.067,140.81,-11.0669,-42.8101 
86,45.888,5120,86,20112,-0.068206,29.5889,15.0258,114.719,0.0256526,-23.0127,25.5353,-0.74473,-0.548057,-2.868,2.0348,1.39983,-267.973,170.585,65.2992,19251,14492.4,0.942623,1.1393,0.506704,3.72215,3.08718,0.946084,384.035,84.7038,19464.5,0.0171606,0.721509,0.00795256,22378.9,-7.61475e-05,-0.00605565,-19.6348,-31.317,114.679,55,1.18769,15.4033,13.7327,113.962,140.778,0.716476,-85.7784 
87,45.94,5120,87,19411.8,-0.130082,28.176,15.4885,114.703,-0.0428582,-125.192,19.2665,-0.198816,-1.86225,0.00885575,1.02587,0.381496,-326.891,141.876,71.3792,18661.8,14381.1,1.85953,0.196097,4.12555,3.08422,2.43984,0.647547,402.257,95.0501,18922.2,0.0184654,0.707458,0.00916843,21784.4,-0.00151911,0.00579672,22.8584,6815.43,134.2,55.8721,1.1302,15.7041,13.6775,113.975,141.102,20.2254,-85.2301 
88,45.932,5120,88,19032,-0.105972,28.1839,15.0943,114.697,-0.119802,379.511,462.83,1.00248,-0.0441702,0.885894,0.881055,-0.285151,-288.776,66.0437,78.367,18438.7,15328.8,2.82082,1.77418,4.52259,2.6994,1.5332,0.661234,296.065,99.278,18668.7,0.0138402,0.630191,0.00970106,21391.7,-0.000402009,-0.0160726,-12.9858,-8.24755,110.501,77.2784,1.14498,15.4722,13.5781,114.005,140.064,-3.50467,-62.7856 
89,45.936,5120,89,19627.3,-0.0654343,28.3295,15.3113,114.553,-0.00318122,242.471,381.085,0.733999,-0.430661,-3.75573,0.419688,-1.31655,-246.846,52.5856,70.7709,18788.8,14145.5,2.28832,1.12366,-0.647084,1.97401,0.237773,1.13002,249.207,88.6455,18985.4,0.0114828,0.616336,0.00852772,21702.7,-0.000160974,-0.0223313,13.1074,7.96446,115.189,75.8721,1.1572,15.5282,13.64,113.86,141.099,1.32954,-65.2273 
90,45.924,5120,90,23334.8,-0.0955566,34.2555,15.113,114.665,0.114611,-17.5393,445.803,-1.10915,-1.68588,-2.14972,0.983459,-0.743988,-245.417,167.849,85.9328,22312.5,16918.4,0.436172,-0.140559,0.940925,2.52878,0.801336,0.793958,363.332,103.704,22508,0.0140841,0.666892,0.00841595,25797.3,-0.000388676,0.00361324,-5.07732,0.0515702,126.744,86.2288,1.37077,15.3066,13.8865,113.904,141.585,12.8404,-55.3564 
91,45.896,5120,91,18507.7,-0.0676411,27.1766,15.0748,114.524,0.0464185,145.557,84.237,-0.775687,-1.34488,0.0146637,-0.867146,1.95875,-212.632,2698.79,61.9441,15192.5,13556.4,0.563198,-0.00599267,2.69243,0.471739,3.29763,0.616408,2868.16,77.3413,15361.9,0.141798,0.954937,0.00918907,20227.1,-0.000430503,0.195463,15.4339,11.5451,114.404,90.4226,0.946935,15.3026,13.6614,113.625,140.465,0.779023,-50.0426 
92,45.92,5120,92,19756.9,-0.0674053,28.859,15.1355,114.63,0.614549,-16.0478,195.341,0.414297,-0.946568,1.00936,0.905926,-1.74979,-265.718,118.332,79.232,18891.9,14540.1,2.08745,0.726586,4.35567,2.57908,-0.0766366,0.549669,329.986,98.4733,19103.6,0.0150562,0.656932,0.00940619,21917,0.00034728,-0.007075,-22.9409,-81.6232,103,90.193,1.15444,15.5546,13.8983,113.941,140.95,-10.9412,-50.7574 
