xs,ys
-4044700.000000006,2.9642811878953426e-08
-4044687.998799886,2.407141053487496e-08
-4044675.997599766,1.907736187644858e-08
-4044663.996399646,1.4661446196907355e-08
-4044651.995199526,1.082444057186315e-08
-4044639.9939994058,7.56711885133596e-09
-4044627.992799286,4.89025165241146e-09
-4044615.991599166,2.7946063506469005e-09
-4044603.990399046,1.2809470728151345e-09
-4044591.989198926,3.5003468895905016e-10
-4044579.987998806,2.626804629864638e-12
-4044567.986798686,2.394777531262237e-10
-4044555.985598566,1.0613385877512711e-09
-4044543.984398446,2.4689570740838946e-09
-4044531.983198326,4.463077682271679e-09
-4044519.9819982057,7.0444415794392656e-09
-4044507.9807980857,1.0213786621592264e-08
-4044495.9795979657,1.3971847346552463e-08
-4044483.9783978458,1.8319354965921622e-08
-4044471.977197726,2.325703735755244e-08
-4044459.975997606,2.878561905792608e-08
-4044447.974797486,3.490582125453873e-08
-4044435.973597366,4.161836177834328e-08
-4044423.972397246,4.89239550961485e-08
-4044411.971197126,5.6823312303102004e-08
-4044399.9699970055,6.531714111545722e-08
-4044387.9687968856,7.440614586175171e-08
-4044375.9675967656,8.40910274772394e-08
-4044363.9663966456,9.437248349515435e-08
-4044351.9651965257,1.0525120803950746e-07
-4044339.9639964057,1.167278918176869e-07
-4044327.9627962857,1.288032221129632e-07
-4044315.961596166,1.4147788277712918e-07
-4044303.960396046,1.5475255422303228e-07
-4044291.959195926,1.6862791341725414e-07
-4044279.9579958054,1.8310463387324477e-07
-4044267.9567956855,1.9818338564175807e-07
-4044255.9555955655,2.138648353068552e-07
-4044243.9543954455,2.3014964597637802e-07
-4044231.9531953256,2.4703847727515394e-07
-4044219.9519952056,2.645319853377874e-07
-4044207.9507950856,2.8263082280130286e-07
-4044195.9495949657,3.013356387979863e-07
-4044183.9483948457,3.206470789480562e-07
-4044171.9471947253,3.405657853533329e-07
-4044159.9459946053,3.610923965868178e-07
-4044147.9447944853,3.822275476902621e-07
-4044135.9435943654,4.0397187016382246e-07
-4044123.9423942454,4.263259919597895e-07
-4044111.9411941255,4.4929053747534437e-07
-4044099.9399940055,4.728661275455668e-07
-4044087.9387938855,4.970533794362214e-07
-4044075.9375937656,5.218529068368079e-07
-4044063.9363936456,5.472653198533761e-07
-4044051.935193525,5.732912250026252e-07
-4044039.933993405,5.999312252007471e-07
-4044027.932793285,6.27185919762528e-07
-4044015.9315931653,6.550559043902701e-07
-4044003.9303930453,6.835417711679502e-07
-4043991.9291929253,7.126441085541273e-07
-4043979.9279928054,7.423635013751617e-07
-4043967.9267926854,7.727005308181499e-07
-4043955.9255925654,8.036557744241908e-07
-4043943.9243924455,8.352298060813504e-07
-4043931.923192325,8.674231960192326e-07
-4043919.921992205,9.002365107969478e-07
-4043907.920792085,9.336703133039708e-07
-4043895.919591965,9.677251627481887e-07
-4043883.918391845,1.0024016146505343e-06
-4043871.917191725,1.0377002208380461e-06
-4043859.9159916053,1.0736215294373083e-06
-4043847.9147914853,1.1101660848675396e-06
-4043835.9135913653,1.1473344278340791e-06
-4043823.9123912454,1.1851270953215085e-06
-4043811.911191125,1.2235446205886594e-06
-4043799.909991005,1.262587533155872e-06
-4043787.908790885,1.3022563588073788e-06
-4043775.907590765,1.3425516195786402e-06
-4043763.906390645,1.3834738337514205e-06
-4043751.905190525,1.4250235158470073e-06
-4043739.903990405,1.467201176619874e-06
-4043727.902790285,1.5100073230509346e-06
-4043715.901590165,1.5534424583412491e-06
-4043703.900390045,1.597507081907036e-06
-4043691.899189925,1.6422016893665506e-06
-4043679.897989805,1.6875267725436821e-06
-4043667.896789685,1.7334828194549237e-06
-4043655.895589565,1.7800703143044268e-06
-4043643.894389445,1.827289737477852e-06
-4043631.893189325,1.875141565535746e-06
-4043619.891989205,1.9236262712074424e-06
-4043607.890789085,1.972744323384478e-06
-4043595.889588965,2.022496187114498e-06
-4043583.8883888447,2.072882323596815e-06
-4043571.8871887247,2.1239031901683423e-06
-4043559.8859886047,2.175559240308953e-06
-4043547.884788485,2.2278509236276856e-06
-4043535.883588365,2.2807786858582027e-06
-4043523.882388245,2.334342968852876e-06
-4043511.881188125,2.388544210576342e-06
-4043499.879988005,2.443382845099634e-06
-4043487.878787885,2.4988593025937683e-06
-4043475.877587765,2.5549740093239246e-06
-4043463.8763876446,2.6117273876452907e-06
-4043451.8751875246,2.6691198559884423e-06
-4043439.8739874046,2.7271518288662293e-06
-4043427.8727872847,2.7858237168592668e-06
-4043415.8715871647,2.845135926611809e-06
-4043403.8703870447,2.9050888608260864e-06
-4043391.869186925,2.9656829182560254e-06
-4043379.867986805,3.026918493701592e-06
-4043367.866786685,3.0887959780027486e-06
-4043355.865586565,3.1513157580334426e-06
-4043343.8643864444,3.214478216698435e-06
-4043331.8631863245,3.2782837329174878e-06
-4043319.8619862045,3.342732681634129e-06
-4043307.8607860846,3.407825433800346e-06
-4043295.8595859646,3.4735623563728905e-06
-4043283.8583858446,3.539943812307868e-06
-4043271.8571857247,3.606970160554632e-06
-4043259.8559856047,3.674641756050419e-06
-4043247.8547854847,3.742958949714284e-06
-4043235.8535853648,3.811922088441784e-06
-4043223.8523852443,3.881531515101674e-06
-4043211.8511851244,3.951787568519785e-06
-4043199.8499850044,4.02269058348928e-06
-4043187.8487848844,4.094240890754627e-06
-4043175.8475847645,4.166438817008356e-06
-4043163.8463846445,4.239284684885831e-06
-4043151.8451845245,4.312778812959591e-06
-4043139.8439844046,4.386921515733693e-06
-4043127.8427842846,4.461713103638527e-06
-4043115.841584164,4.5371538830281495e-06
-4043103.840384044,4.613244156162948e-06
-4043091.8391839243,4.689984221222168e-06
-4043079.8379838043,4.7673743722864116e-06
-4043067.8367836843,4.845414899335598e-06
-4043055.8355835644,4.9241060882432035e-06
-4043043.8343834444,5.003448220771349e-06
-4043031.8331833244,5.083441574565091e-06
-4043019.8319832045,5.164086423147548e-06
-4043007.8307830845,5.245383035914233e-06
-4042995.829582964,5.327331678131441e-06
-4042983.828382844,5.409932610917843e-06
-4042971.827182724,5.493186091258845e-06
-4042959.825982604,5.577092371988261e-06
-4042947.824782484,5.661651701786747e-06
-4042935.8235823642,5.746864325176502e-06
-4042923.8223822443,5.832730482516019e-06
-4042911.8211821243,5.9192504099953326e-06
-4042899.8199820044,6.0064243396308186e-06
-4042887.8187818844,6.094252499259991e-06
-4042875.817581764,6.182735112540348e-06
-4042863.816381644,6.2718723989301625e-06
-4042851.815181524,6.361664573704618e-06
-4042839.813981404,6.452111847936676e-06
-4042827.812781284,6.543214428496072e-06
-4042815.811581164,6.634972518043962e-06
-4042803.810381044,6.7273863150285295e-06
-4042791.809180924,6.820456013679671e-06
-4042779.8079808042,6.914181804004665e-06
-4042767.8067806843,7.008563871782908e-06
-4042755.805580564,7.103602398565334e-06
-4042743.804380444,7.199297561654381e-06
-4042731.803180324,7.295649534121872e-06
-4042719.801980204,7.3926584847893925e-06
-4042707.800780084,7.490324578227099e-06
-4042695.799579964,7.588647974749469e-06
-4042683.798379844,7.687628830410484e-06
-4042671.797179724,7.787267296998827e-06
-4042659.795979604,7.887563522033782e-06
-4042647.7947794837,7.988517648764098e-06
-4042635.7935793637,8.090129816148263e-06
-4042623.7923792438,8.192400158873016e-06
-4042611.791179124,8.295328807333748e-06
-4042599.789979004,8.398915887633413e-06
-4042587.788778884,8.503161521578657e-06
-4042575.787578764,8.608065826674858e-06
-4042563.786378644,8.713628916122305e-06
-4042551.785178524,8.8198508988113e-06
-4042539.783978404,8.926731879318376e-06
-4042527.7827782836,9.034271957905628e-06
-4042515.7815781636,9.142471230500265e-06
-4042503.7803780437,9.251329788714871e-06
-4042491.7791779237,9.36084771982696e-06
-4042479.7779778037,9.471025106778676e-06
-4042467.7767776838,9.581862028172754e-06
-4042455.775577564,9.693358558268082e-06
-4042443.774377444,9.805514766976063e-06
-4042431.773177324,9.91833071985596e-06
-4042419.771977204,1.0031806478111377e-05
-4042407.7707770835,1.0145942098590085e-05
-4042395.7695769635,1.0260737633762815e-05
-4042383.7683768435,1.0376193131745268e-05
-4042371.7671767236,1.0492308636277031e-05
-4042359.7659766036,1.0609084186721445e-05
-4042347.7647764836,1.0726519818062283e-05
-4042335.7635763637,1.0844615560899238e-05
-4042323.7623762437,1.0963371441444688e-05
-4042311.7611761237,1.1082787481519177e-05
-4042299.759976004,1.1202863698548281e-05
-4042287.7587758834,1.1323600105562846e-05
-4042275.7575757634,1.1444996711176976e-05
-4042263.7563756434,1.1567053519612151e-05
-4042251.7551755235,1.16897705306749e-05
-4042239.7539754035,1.1813147739757462e-05
-4042227.7527752835,1.1937185137834721e-05
-4042215.7515751636,1.2061882711459869e-05
-4042203.7503750436,1.2187240442761472e-05
-4042191.7491749236,1.231325830943921e-05
-4042179.747974803,1.2439936284765927e-05
-4042167.7467746832,1.2567274337563685e-05
-4042155.7455745633,1.2695272432230496e-05
-4042143.7443744433,1.282393052871647e-05
-4042131.7431743233,1.2953248582525948e-05
-4042119.7419742034,1.3083226544713402e-05
-4042107.7407740834,1.3213864361880695e-05
-4042095.7395739635,1.3345161976173022e-05
-4042083.7383738435,1.347711932527628e-05
-4042071.7371737235,1.360973634241298e-05
-4042059.735973603,1.3743012956344804e-05
-4042047.734773483,1.3876949091348314e-05
-4042035.733573363,1.401154466724252e-05
-4042023.732373243,1.414679959936546e-05
-4042011.7311731232,1.4282713798575985e-05
-4041999.7299730033,1.441928717125024e-05
-4041987.7287728833,1.4556519619279219e-05
-4041975.7275727633,1.4694411040064883e-05
-4041963.7263726434,1.483296132651783e-05
-4041951.7251725234,1.4972170367053495e-05
-4041939.723972403,1.5112038045595303e-05
-4041927.722772283,1.5252564241549155e-05
-4041915.721572163,1.5393748829833793e-05
-4041903.720372043,1.553559168085542e-05
-4041891.719171923,1.567809266051093e-05
-4041879.717971803,1.582125163018423e-05
-4041867.716771683,1.5965068446744184e-05
-4041855.715571563,1.6109542962540964e-05
-4041843.7143714433,1.6254675025404013e-05
-4041831.7131713233,1.6400464478638506e-05
-4041819.711971203,1.6546911161028938e-05
-4041807.710771083,1.669401490681324e-05
-4041795.709570963,1.684177554571441e-05
-4041783.708370843,1.6990192902914676e-05
-4041771.707170723,1.713926679905926e-05
-4041759.705970603,1.7288997050252925e-05
-4041747.704770483,1.743938346805819e-05
-4041735.703570363,1.759042585949198e-05
-4041723.702370243,1.774212402702384e-05
-4041711.701170123,1.7894477768572675e-05
-4041699.6999700028,1.8047486877510986e-05
-4041687.698769883,1.8201151142637825e-05
-4041675.697569763,1.835547034821282e-05
-4041663.696369643,1.851044427392926e-05
-4041651.695169523,1.8666072694918394e-05
-4041639.693969403,1.882235538174633e-05
-4041627.692769283,1.8979292100412498e-05
-4041615.691569163,1.9136882612346566e-05
-4041603.690369043,1.9295126674406886e-05
-4041591.6891689226,1.9454024038884036e-05
-4041579.6879688026,1.9613574453474095e-05
-4041567.6867686827,1.9773777661313104e-05
