B,Ebs_full,Ebs_o1,Ebs_o2,Ebs_naive
200.0,-4.321600664776686,-2.9651558237892233,-3.5692625488172824,-1.9098507995512126
200.24242424242425,-4.287475256319628,-2.9487463774239293,-3.546889634176838,-1.9010188619455277
200.4848484848485,-4.253098789428884,-2.9321389609276745,-3.5242724723622807,-1.8920693639545634
200.72727272727272,-4.218468978546318,-2.91533018758195,-3.5014074269654984,-1.8830000188650688
200.96969696969697,-4.18358352923696,-2.8983166012080237,-3.4782908034150064,-1.8738084831784527
201.21212121212122,-4.148440139256435,-2.881094674794454,-3.45491884855546,-1.8644923549816812
201.45454545454547,-4.113036499709593,-2.863660809120565,-3.431287750281972,-1.8550491722709266
201.6969696969697,-4.077370296306913,-2.8460113313788855,-3.4073936372357623,-1.845476411227091
201.93939393939394,-4.041439210725667,-2.828142493799924,-3.3832325785682227,-1.835771484442414
202.1818181818182,-4.005240922083571,-2.810050472283109,-3.3588005837812087,-1.8259317390974505
202.42424242424244,-3.9687731085328175,-2.7917313650381708,-3.334093602651975,-1.815954455087782
202.66666666666666,-3.932033448983478,-2.7731811912417417,-3.309107525252011,-1.8058368430999485
202.9090909090909,-3.8950196249655398,-2.7543958897146377,-3.283838182069895,-1.7955760426362428
203.15151515151516,-3.8577293226398295,-2.735371317625786,-3.258281344249154,-1.7851691199881259
203.3939393939394,-3.8201602349686703,-2.7161032492295756,-3.232432723953125,-1.774613066158236
203.63636363636363,-3.782310064058148,-2.696587374644141,-3.2062879748699578,-1.7639047947311708
203.87878787878788,-3.7441765236845566,-2.6768192986789883,-3.1798426928720347,-1.7530411396934573
204.12121212121212,-3.705757342018927,-2.656794539721351,-3.1530924168454724,-1.7420188532034493
204.36363636363637,-3.6670502645642293,-2.636508528691629,-3.126032629706659,-1.730834603312163
204.6060606060606,-3.6280530573214063,-2.615956608079627,-3.0986587596245263,-1.7194849716365117
204.84848484848484,-3.5887635102013506,-2.595134031074398,-3.070966181468774,-1.7079664509867707
205.0909090909091,-3.5491794407017045,-2.5740359608021732,-3.0429502185063244,-1.6962754429506846
205.33333333333334,-3.5092986978684286,-2.552657469688238,-3.0146061443701075,-1.6844082554371098
205.57575757575756,-3.4691191665642593,-2.5309935389606064,-2.9859291853267287,-1.67236110018284
205.8181818181818,-3.4286387720675626,-2.5090390583151403,-2.956914522871841,-1.6601300902269296
206.06060606060606,-3.387855485027389,-2.486788825764087,-2.9275572966848986,-1.647711237357773
206.3030303030303,-3.346767326802468,-2.464237547692356,-2.8978526079777,-1.6351004495390824
206.54545454545453,-3.305372375214466,-2.4413798391485497,-2.8677955232745487,-1.6222935283221092
