B,Ebs_full,Ebs_o1,Ebs_o2,Ebs_naive
206.78787878787878,-3.2636687707482173,-2.418210224400823,-2.837381078665267,-1.6092861662526725
207.03030303030303,-3.2216547232347064,-2.394723137790909,-2.8066042845762427,-1.5960739442830327
207.27272727272728,-3.1793285190555074,-2.370912924923357,-2.7754601311089147,-1.5826523292002785
207.5151515151515,-3.1366885289108972,-2.3467738442311514,-2.74394359399976,-1.5690166710847968
207.75757575757575,-3.093733216197636,-2.3223000689634397,-2.7120496412610584,-1.5551622008145072
208.0,-3.050461146046518,-2.29748568964621,-2.679773240567331,-1.5410840276330124
208.24242424242425,-3.0068709950742973,-2.2723247170723604,-2.64710936745847,-1.526777136802541
208.4848484848485,-2.962961561909694,-2.2468110858840054,-2.6140530144376264,-1.5122363873657583
208.72727272727272,-2.918731778558603,-2.220938658816819,-2.58059920104926,-1.4974565100440933
208.96969696969697,-2.87418072267979,-2.194701231684093,-2.546742985031155,-1.4824321053043232
209.21212121212122,-2.8293076308491267,-2.168092539187022,-2.5124794746434436,-1.4671576416298535
209.45454545454547,-2.7841119128976133,-2.1411062616473338,-2.477803842287544,-1.4516274540383973
209.6969696969697,-2.73859316741707,-2.113736032769545,-2.442711339539383,-1.4358357428939017
209.93939393939394,-2.6927511985360373,-2.08597544855214,-2.407197313733311,-1.419776573067421
210.1818181818182,-2.6465860340789957,-2.057818077480844,-2.371257226246962,-1.4034438735096328
210.42424242424244,-2.6000979452327995,-2.0292574721523224,-2.3348866726521713,-1.3868314373066462
210.66666666666666,-2.5532874678571127,-2.000287182493936,-2.2980814049139076,-1.369932922301165
210.9090909090909,-2.5061554255891716,-1.9709007707643658,-2.260837355837459,-1.3527418523728514
211.15151515151516,-2.4587029549090214,-1.9410918285416143,-2.2231506659847415,-1.3352516194853299
211.3939393939394,-2.410931532348346,-1.9108539959290753,-2.185017713303088,-1.3174554866227464
211.63636363636363,-2.3628430040455077,-1.8801809832377516,-2.146435145735183,-1.2993465917566704
211.87878787878788,-2.3144396178709408,-1.849066595433327,-2.1073999171066564,-1.2809179530045514
212.12121212121212,-2.265724058371003,-1.8175047596714762,-2.0679093266190045,-1.262162475164488
212.36363636363637,-2.2166994848073878,-1.7854895562835957,-2.027961062309892,-1.243072957838092
212.6060606060606,-2.167369572593536,-1.7530152536192438,-1.9875532488814776,-1.2236421053844377
212.84848484848484,-2.117738558474787,-1.7200763472010323,-1.9466845003401387,-1.2038625389840063
213.0909090909091,-2.067811289825864,-1.686667603703878,-1.90535397793876,-1.1837268111330732
213.33333333333334,-2.0175932784903243,-1.6527841103337257,-1.863561453965946,-1.1632274229369077
213.57575757575756,-1.9670907596333524,-1.6184213302527266,-1.8213073819861247,-1.1423568446257666
213.8181818181818,-1.916310756135205,-1.5835751647789407,-1.7785929742008522,-1.1211075397819548
214.06060606060606,-1.8652611491160531,-1.5482420231809444,-1.7354202866762642,-1.0994719938410544
214.3030303030303,-1.8139507552544933,-1.5124189009920364,-1.6917923132646795,-1.0774427475171506
214.54545454545456,-1.76238941164393,-1.4761034678877287,-1.6477130891420393,-1.0550124359031239
214.78787878787878,-1.7105880690239332,-1.439294166305164,-1.6031878049876105,-1.0321738341149185
215.03030303030303,-1.6585588943300558,-1.4019903221368253,-1.558222932950187,-1.0089199104864355
215.27272727272728,-1.6063153836272814,-1.3641922690061585,-1.5128263656777396,-0.9852438884828548
215.5151515151515,-1.5538724866315394,-1.325901487832286,-1.4670075698364948,-0.9611393186889556
215.75757575757575,-1.5012467441840347,-1.2871207636191089,-1.4207777557140497,-0.9366001624508206
216.0,-1.448456440227536,-1.247854361664549,-1.374150064691229,-0.9116208890101478
216.24242424242425,-1.3955217700462752,-1.2081082256833895,-1.327139776582376,-0.8861965882778197
216.4848484848485,-1.342465026777274,-1.167890200678224,-1.279764539087676,-0.8603231017566544
216.72727272727272,-1.2893108084857865,-1.1272102837834006,-1.2320446218775616,-0.8339971745531083
216.96969696969697,-1.2360862484285886,-1.0860809067544765,-1.1840031981438015,-0.8072166319277022
217.21212121212122,-1.182821271514575,-1.044517254289354,-1.1356666568103422,-0.7799805844403737
217.45454545454544,-1.1295488804218305,-1.0025376229566607,-1.0870649490061173,-0.7522896664696027
217.6969696969697,-1.076305475358321,-0.9601638261842799,-1.038231972870847,-0.7241463137477185
217.93939393939394,-1.0231312120687766,-0.9174216515392006,-0.9892060013029601,-0.6955550865891515
218.1818181818182,-0.9700704034235588,-0.8743413774244513,-0.9400301578784518,-0.6665230467305965
218.42424242424244,-0.9171719707785312,-0.830958357347737,-0.8907529468860691,-0.6370601971983089
218.66666666666666,-0.8644899523165761,-0.7873136810991681,-0.8414288442554781,-0.6071799964248213
218.9090909090909,-0.8120840767881048,-0.7434549235349728,-0.7921189571240086,-0.5768999600265248
219.15151515151516,-0.7600204125084234,-0.6994369932259711,-0.7428917609227069,-0.5462423663139608
219.3939393939394,-0.7083721031913822,-0.6553230950215941,-0.6938239241991707,-0.5152350848497965
219.63636363636363,-0.6572202042649821,-0.6111858226339352,-0.6450012329796261,-0.4839125513368911
219.87878787878788,-0.6066546358023999,-0.5671083996939348,-0.5965196283642443,-0.4523169169887381
220.12121212121212,-0.5567752712097033,-0.5231860904080728,-0.5484863733258544,-0.42049940653462947
220.36363636363637,-0.507693184461404,-0.47952780398142864,-0.5010213674441218,-0.3885219264320199
220.6060606060606,-0.45953208312357086,-0.4362579204019528,-0.4542586316918974,-0.35645897407211485
220.84848484848484,-0.4124299598478497,-0.3935183690210877,-0.40834798958070145,-0.32439991025198156
221.0909090909091,-0.3665410017136056,-0.35147099562227196,-0.3634569762197797,-0.2924516715715372
221.33333333333334,-0.32203780506138935,-0.31030025831589736,-0.3197730134935009,-0.260742017508863
221.57575757575756,-0.2791139537230858,-0.2702162975657098,-0.2775058980993277,-0.22942342979841426
221.8181818181818,-0.23798703135588278,-0.23145843078892844,-0.2368906602946133,-0.19867781078790744
222.06060606060606,-0.1989021546458369,-0.19429912701472635,-0.19819086584881382,-0.1687221645447423
222.3030303030303,-0.16213613440315783,-0.15904852158232982,-0.1617024532903939,-0.13981549210863928
222.54545454545456,-0.12800239727584717,-0.12605953407903184,-0.12775822511903925,-0.11226719378716925
222.78787878787878,-0.09685683362838632,-0.09573365349545516,-0.09673314823224444,-0.08644735128885404
223.03030303030303,-0.06910477931413349,-0.06852745108951751,-0.0690506698701647,-0.06279936695353336
223.27272727272728,-0.04520939366072322,-0.04495987087928208,-0.045190327653875616,-0.04185557484821406
223.5151515151515,-0.025701767151202808,-0.02562032567998991,-0.025697036038293247,-0.024256620792095007
223.75757575757575,-0.011193185773915372,-0.011177586486047275,-0.011192582521563221,-0.01077565186898303
224.0,-0.002390102836375703,-0.0023893845340389997,-0.002390089882021845,-0.0023486838249957196
