cyc,time,timewait,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
54,0.4,5.6,9,54,13206.2,-0.536488,25.4455,13.6644,113.226,0.683554,-187.088,124.875,0.338799,0.15765,2.85291,0.308663,-0.571506,99.2506,7732.27,71.175,7231.06,15481.8,-0.286155,-0.467304,1.603,-0.316292,-1.19646,3.41704,7653.21,63.988,7152,0.471384,0.985579,0.0162138,16235.6,-0.00210801,0.657141,13.4352,11.0874,112.654,91.1336,0.524605,-13.8014,-12.8753,112.445,141.502,0.209083,-50.3686 
55,1.9,4.1,9,55,12491.4,-0.0408238,24.1986,13.0141,113.16,0.319625,7.97758,499.8,-0.141832,0.314391,-0.165386,1.80155,-1.40708,88.6355,7687.67,65.9512,6531.26,10334.8,-0.699946,-0.243723,-1.28161,1.24344,-1.9652,0.565119,7617.07,59.5329,6460.66,0.495585,0.986507,0.0166911,15369.9,-0.0019882,0.664486,13.3259,10.9807,112.69,90.5257,0.501854,-13.3816,12.4267,112.439,140.859,0.251142,-50.3331 
56,1.3,4.7,9,56,12535.6,-0.507911,24.4349,13.5008,113.359,0.357529,-60.5406,19.1218,-1.71334,2.08277,-0.0394722,-1.32411,-0.856106,99.9013,7743.15,67.6987,6446.05,11443.6,-2.34239,1.45372,-1.29758,-1.95316,-1.48516,0.769302,7663.58,60.4646,6366.47,0.500778,0.986381,0.0171943,15303.3,-0.00195171,0.668825,13.3392,10.9596,112.972,90.6782,0.486019,-13.5618,12.5839,112.493,140.888,0.479182,-50.2097 
57,1,5,0,57,15855,-0.285308,30.4309,13.2015,113.531,0.474158,529.832,127.929,-0.0450584,-0.209362,0.420568,-0.171115,-3.31229,112.882,9126.3,73.9824,8428.25,21255.9,-0.755848,-0.920152,-1.00101,-0.881905,-4.02308,0.867975,9036.39,65.8083,8338.33,0.474541,0.987416,0.01433,19042.4,-0.00191135,0.822463,13.091,10.6295,113.157,91.051,0.673024,13.1211,-12.048,112.859,141.369,0.298456,-50.3185 
58,5,1,9,58,13041.4,-0.192074,25.0414,13.1961,113.63,-0.0438245,123.368,500,-0.477594,-0.674989,2.13896,0.754589,-2.27267,125.605,7946.35,77.188,6739.62,10933.2,-1.2685,-1.46589,0.557154,-0.0363129,-3.06357,1.10558,7846.3,68.0926,6639.57,0.496168,0.98504,0.0185415,15813.8,-0.00196304,0.681771,13.4632,10.963,113.05,90.9808,0.512603,-13.462,12.5278,112.891,141.24,0.159366,-50.259 
59,2.2,3.8,9,59,11861.1,-0.305683,21.968,13.9664,113.48,0.420236,-912.312,499.972,0.67718,-0.395419,-0.722899,0.460233,-0.07097,95.6659,6892.98,85.5617,6257.49,22468.3,0.0747973,-0.997802,-1.92766,-0.14215,-0.673353,0.474202,6816.78,78.6343,6181.29,0.478897,0.980213,0.0228975,14234.3,-0.00176063,0.551162,13.7751,11.5392,113.04,90.6097,0.425531,14.1746,13.6269,112.591,140.937,0.44877,-50.3268 
60,4,2,9,60,12244.1,-0.0203718,23.6276,12.9488,113.483,-0.0116669,12.7304,500,1.05722,0.275177,0.101764,1.21165,-1.44238,105.274,7429.6,68.2388,6427.42,9964.47,0.39434,-0.387708,-1.22401,0.548769,-2.10526,0.558737,7345.74,60.6156,6343.56,0.491091,0.985765,0.0172977,14958,-0.00187662,0.66339,13.1876,10.7152,113.02,90.8549,0.495418,-13.4746,12.3381,112.617,140.989,0.403462,-50.1343 
61,2.5,3.5,9,61,11830.4,-0.47783,23.2471,13.3849,113.371,-0.88187,1593.81,164.555,1.75199,0.741505,1.81373,1.2453,-2.30756,115.803,7116.88,62.0146,6328.6,55884,1.02281,0.0123226,0.355365,0.516122,-3.03674,1.31445,7024.64,53.629,6236.36,0.484182,0.986816,0.015594,14508.3,-0.0018941,0.626324,13.2949,10.8193,112.956,90.5118,0.47236,13.6349,-12.6057,112.528,140.646,0.42793,-50.1338 
62,0.1,5.9,9,62,13816.9,-0.526946,26.5473,13.5561,113.612,-0.236113,654.243,494.561,1.15071,1.15878,2.94875,0.410266,0.0752736,125.597,7967.32,70.9164,7602.6,16744,0.359862,0.36793,1.36705,-0.380586,-0.715578,-0.368861,7867.27,61.8216,7502.56,0.466337,0.986435,0.0149521,16870.3,-0.00215101,0.679412,13.4144,11.0403,113.106,90.9786,0.555889,13.9115,12.7463,112.781,141.428,0.325438,-50.4499 
63,0.7,5.3,9,63,13341.9,-0.00447998,25.3554,13.3097,113.179,-0.0133825,3.88255,4.47213e-12,2.45324,1.64013,-1.42161,-2.55533,-0.118809,92.2949,8032.76,85.7889,7132.15,10987.5,1.87208,1.05897,-2.58392,-3.13649,-0.699965,0.259477,7959.24,79.1056,7058.64,0.484445,0.982904,0.0202268,16429.6,-0.00226318,0.65552,13.8117,11.2825,112.485,90.8871,0.513493,13.7869,13.1051,112.569,141.35,-0.0838055,-50.4624 
64,3,3,9,64,12314.9,-0.224797,24.6202,12.9593,113.522,-0.02935,468.041,500,0.127692,0.441707,-0.955461,0.313922,-2.82961,130.584,7582.76,57.9689,6616.31,10833.7,-0.694563,-0.380548,-2.59997,-0.508333,-3.65186,0.668171,7478.75,48.5129,6512.29,0.489015,0.988776,0.0135369,15293.5,-0.00214182,0.669518,13.2893,-10.801,113.043,91.0689,0.510887,13.3304,-12.4158,112.47,141.343,0.572832,-50.2742 
65,1,5,9,65,13239.5,-0.480357,25.17,13.5898,113.459,0.100908,-552.376,76.696,2.39795,0.47326,2.29149,-2.4169,0.0763199,118.385,7839.2,61.9519,7013.58,12949.6,1.65251,-0.27218,0.800612,-3.16234,-0.66912,1.48507,7744.9,53.3793,6919.29,0.482607,0.988082,0.0140119,16048,-0.00190934,0.67138,13.464,10.9433,112.844,90.3253,0.521187,13.7082,-12.5745,112.68,140.557,0.16435,-50.232 
66,0.06,5.94,9,66,11872.4,-0.284853,23.5006,13.1464,113.566,0.232523,-495.506,500,2.33494,1.16768,-0.030149,-0.152829,0.327526,97.4479,6909.59,60.6367,6735.27,13808,1.72133,0.554076,-1.25736,-0.766432,-0.286078,-35.4913,6831.97,53.5802,6657.65,0.460961,0.986461,0.0146085,14821.1,-0.00200828,0.599425,13.3929,10.9216,113.051,90.6329,0.522238,13.3383,-12.3032,112.727,140.552,0.323819,-49.919 
67,5.5,0.5,9,67,13242,-0.403711,25.3574,13.4221,113.069,0.251142,109.952,461.772,-1.39439,0.00041176,-0.112678,-1.34038,-2.3886,103.069,8110.02,65.2744,6823.83,11978.4,-2.04339,-0.648583,-1.41067,-1.98938,-3.0376,0.845484,8027.92,57.811,6741.73,0.498072,0.987555,0.0155506,16118,-0.00198118,0.700075,13.4746,10.8615,112.607,90.7308,0.517856,-13.6101,-12.3905,112.517,140.966,0.0898914,-50.2351 
68,1.6,4.4,9,68,12184.9,-0.0285287,23.2952,13.1693,113.447,0.0168888,8.51579,500,0.780569,-1.23432,1.46686,0.627575,-0.108516,128.991,7412.84,65.6138,6505.59,9991.39,-0.0316507,-2.04654,-0.157579,-0.184644,-0.920735,0.952837,7310.09,56.2733,6402.84,0.487551,0.986708,0.015932,14993.5,-0.00196451,0.635995,13.5649,10.8517,112.838,90.3887,0.489629,13.5921,-12.4689,112.642,140.665,0.195687,-50.2759 
69,0.4,5.6,9,69,12399.9,-0.511609,24.0151,13.6314,113.343,-1.36761,2031.26,232.37,1.41148,0.0633231,2.04278,-0.345002,-1.38847,125.127,7447.41,68.0136,6734.51,101089,0.623585,-0.724568,0.466998,-1.13289,-2.17636,1.15867,7347.74,58.9529,6634.84,0.479945,0.986154,0.0161042,15309.5,-0.0020749,0.624103,13.626,11.0934,112.871,91.0681,0.502358,13.5887,12.6612,112.452,141.264,0.418518,-50.1956 
72,1,5,0,72,17048.3,-0.542941,32.258,13.3885,113.397,-1.47052,387.263,357.812,-0.482049,1.15391,1.94011,0.587035,-3.30904,151.64,9901.4,76.8501,8917.12,32597.6,-1.43689,0.199077,0.0304313,-0.367803,-4.26388,1.00521,9780.61,65.8695,8796.33,0.480946,0.988352,0.0136065,20336.2,-0.00201123,0.891879,13.1945,10.5735,112.937,90.4712,0.710913,-13.3677,11.83,112.431,140.67,0.50549,-50.1993 
73,5,1,9,73,14443,-0.533556,27.7844,13.469,113.217,0.230961,-878.53,489.47,0.137807,1.31421,2.24381,0.229903,-3.37489,144.835,8944.21,83.2883,7221.1,18787.7,-0.774181,0.402225,0.41983,-0.682084,-4.28687,1.08531,8828.84,72.8004,7105.74,0.508699,0.985775,0.0185233,17355.7,-0.00199769,0.759162,13.4478,-11.0122,112.702,90.2034,0.541388,13.4496,12.6773,112.402,140.577,0.300452,-50.3733 
74,2.2,3.8,9,74,13040.9,-0.445663,25.1104,13.3535,113.6,0.531654,-515.307,1.45014e-05,2.54765,-0.387995,1.6791,1.78971,-1.77315,119.97,7774.35,69.078,6860.8,19834,1.79223,-1.14341,0.168268,1.03429,-2.52856,1.24848,7678.79,60.3907,6765.24,0.486089,0.986424,0.0161777,15797.1,-0.00189388,0.67188,13.5765,10.7994,113.203,90.6928,0.527609,-13.3979,-12.3925,112.688,140.723,0.514554,-50.0305 
75,4,2,9,75,12909.1,-0.0819796,24.8484,13.1667,113.212,0.0164031,-1.55477,0.000227789,0.905309,1.36189,2.63885,-0.0924119,-1.5445,99.5069,8045.46,69.2266,6645.26,10651.4,0.278741,0.735321,1.38571,-0.71898,-2.17107,3.82639,7966.2,62.0211,6566,0.502745,0.986558,0.0171026,15845.4,-0.0020761,0.693212,13.3778,10.9644,112.707,90.2209,0.489598,13.6852,12.7375,112.405,140.363,0.302433,-50.1423 
76,2.5,3.5,9,76,12820.6,-0.572308,24.9783,13.7473,113.339,-0.615064,371.291,40.4216,2.93459,-0.479048,2.74652,-1.27253,-3.22173,114.446,7903.63,90.083,6761.13,18612.4,2.21395,-1.19968,1.30525,-1.99317,-3.94236,1.36096,7812.47,81.7957,6669.97,0.493946,0.982007,0.0220912,15816.4,-0.00219046,0.649097,13.782,11.2303,112.686,90.6495,0.493086,13.692,-12.8959,112.746,141.121,-0.0606797,-50.472 
77,0.1,5.9,9,77,13518.1,-0.390933,25.8887,13.5621,113.343,0.569434,-7.34066,0.000554806,0.169059,1.39858,1.6122,1.01026,0.710797,104.846,7928.34,74.0221,7399.31,11565.7,-0.491128,0.738397,0.291829,0.350071,0.0506106,0.689471,7844.82,66.4299,7315.79,0.471904,0.985397,0.0164518,16623.8,-0.00217183,0.654316,13.5985,-11.286,112.942,90.473,0.54006,13.7976,12.8024,112.408,140.7,0.534493,-50.2268 
78,0.7,5.3,9,78,13581.2,-0.0436735,25.8574,13.3577,113.183,0.042292,19.3094,494.446,1.3665,1.60292,2.61927,-1.4592,-0.987364,129.478,8126.07,74.1831,7368.65,11270.3,0.551208,0.787631,0.988689,-2.27449,-1.80266,1.56509,8022.94,64.8073,7265.52,0.479223,0.986061,0.0161657,16741.6,-0.00227717,0.690297,13.5052,11.0423,112.674,90.8977,0.547324,-13.7166,-12.669,112.442,141.362,0.231765,-50.4647 
79,3,3,9,79,13312.5,-0.521139,25.6631,13.5707,113.227,0.251862,171.508,94.8037,2.02272,0.161553,2.0772,-0.914917,-0.953343,105.316,8123.13,68.125,6871.77,12743.4,1.35957,-0.501597,0.750896,-1.57807,-1.61649,1.47355,8039.24,60.4987,6787.88,0.496719,0.987002,0.016153,16184.7,-0.001964,0.691411,13.5491,10.9415,112.629,90.7016,0.520289,13.5119,-12.5052,112.373,140.683,0.255692,-49.981 
80,1,5,9,80,12788.3,-0.533168,25.003,13.5281,113.369,0.183129,-53.5686,5.39159,0.344372,-0.165023,0.0854962,-0.547857,-2.18717,119.621,7834.87,63.1728,6769.15,11330.3,-0.408852,-0.918247,-1.42095,-1.30108,-2.94039,0.796703,7739.59,54.5107,6673.87,0.491458,0.987825,0.0148229,15748.2,-0.00212859,0.656312,13.6571,11.1117,112.84,90.4756,0.516984,13.4612,12.4549,112.703,140.92,0.136512,-50.4445 
81,0.06,5.94,9,81,13201.7,-0.528377,25.5672,13.5595,113.455,0.282536,276.115,499.231,1.14127,0.923703,0.772561,-0.29516,-2.47838,104.874,7792.9,72.9957,7220.97,13825.1,0.480903,0.263338,-0.548168,-0.955524,-3.13875,0.859379,7709.36,65.4015,7137.43,0.473714,0.985371,0.0165993,16274.3,-0.00214514,0.664531,13.445,11.0536,112.871,90.773,0.542158,-13.8305,-12.3775,112.662,141.175,0.208281,-50.402 
82,5.5,0.5,9,82,13485.5,0.0183643,25.8283,13.1399,113.158,-0.0121929,-23.9719,7.41244e-12,-1.11187,-0.0823066,-0.594181,-0.720317,-1.26339,109.068,8337.46,76.739,6920.36,11057.5,-1.79864,-0.769081,-1.96773,-1.40709,-1.95016,0.75069,8250.58,68.8411,6833.48,0.501532,0.985609,0.0182194,16450.8,-0.0020621,0.710619,13.459,11.0019,112.61,90.2761,0.513288,13.5827,12.7185,112.159,140.578,0.451744,-50.3019 
83,1.6,4.4,9,83,14045.4,-0.185627,26.4207,13.5422,113.355,-0.429604,1429.81,500,1.0672,-1.41478,-0.417377,0.0990523,-1.45447,149.035,8589.78,73.3543,7252.73,31643.3,0.128769,-2.35322,-2.29425,-0.839383,-2.39291,0.704006,8471.07,62.5623,7134.01,0.497365,0.98724,0.0158977,17031.9,-0.00223043,0.707588,13.7373,11.2031,112.762,90.0227,0.517499,14.1873,12.8299,112.639,140.232,0.123407,-50.2089 
84,0.4,5.6,9,84,12453.9,-0.236745,24.1041,13.2918,113.61,0.0966451,86.2935,500,-0.868791,-0.115196,-0.417585,0.746123,0.182191,98.8232,7460,65.1068,6745.61,10701.1,-1.49105,-0.737459,-1.66211,0.12386,-0.440072,0.604902,7381.29,57.9508,6666.9,0.479879,0.986447,0.0157598,15381.6,-0.0020273,0.64009,13.4817,10.9443,113.082,91.0521,0.504376,-13.7562,12.4419,112.673,140.988,0.409003,-49.9363 
85,1.9,4.1,9,85,12345.8,-0.524519,24.1915,13.544,113.441,-0.0302906,172.201,319.132,0.379214,1.44742,0.674881,-1.57777,-1.58199,95.0869,7655.85,51.4247,6488.75,10835.9,-0.219523,0.84868,-0.522592,-2.17651,-2.18072,0.877056,7580.11,44.5392,6413.01,0.496219,0.989822,0.0126321,15275.7,-0.00214579,0.660711,13.4329,-10.9522,112.936,90.9283,0.48274,13.7619,-12.6269,112.557,141.137,0.378714,-50.2085 
86,1.3,4.7,9,86,12293.7,-0.472858,24.008,13.3564,113.606,0.137581,-223.549,1.19568,0.297129,0.881177,-1.92115,1.59128,-2.24848,104.359,7232.67,54.9386,6727.67,11439.8,-0.359989,0.224059,-3.23539,0.934161,-2.9056,0.394434,7149.54,47.3817,6644.54,0.47276,0.988535,0.0129656,15123,-0.00195817,0.620318,13.5162,11.0008,112.988,90.6426,0.520067,-13.3908,12.2932,112.686,141.062,0.301858,-50.4193 
87,1,5,0,87,16355.5,-0.351238,30.9887,12.9172,113.224,-0.0309132,39.1164,481.232,-1.3804,-0.328677,0.124519,-1.79415,-0.662604,137.745,9548.29,84.722,8389.25,13070,-2.24774,-1.19602,-1.61017,-2.66149,-1.52995,0.825841,9438.57,74.7476,8279.54,0.487177,0.986331,0.0163585,19374,-0.0017638,0.878475,12.9215,10.5184,112.597,90.7946,0.678632,13.1159,11.8561,112.5,140.914,0.0965582,-50.1196 
88,5,1,9,88,13412.7,-0.384546,26.2618,13.2692,113.303,0.659517,326.372,500,0.209728,0.676128,-0.768898,1.18698,-0.0678931,126.705,8260.53,78.3004,6919.16,18351,-0.588099,-0.121699,-2.36455,0.389155,-0.86572,0.334101,8159.6,69.1254,6818.24,0.499318,0.985391,0.0183334,16341.5,-0.00199034,0.710999,13.1795,11.0816,112.695,90.2345,0.526718,13.4027,-12.4891,112.623,140.55,0.0714929,-50.3159 
89,2.2,3.8,9,89,12513.2,-0.538031,24.216,13.7438,113.358,-0.167516,467.159,482.545,0.339727,1.35337,2.25777,1.83855,-2.947,141.157,7827.1,67.1372,6452.22,13381.9,-0.549097,0.464548,0.480119,0.94973,-3.83583,1.19278,7714.66,56.9157,6339.79,0.503489,0.987254,0.0162685,15322.4,-0.0020816,0.660072,13.7725,-10.9149,112.895,89.8722,0.481894,13.6328,12.6377,112.452,140.038,0.44226,-50.1662 
90,3.5,2.5,9,90,12407.9,-0.503554,24.6307,13.2608,113.354,-0.115819,242.923,75.7985,0.88487,-0.715097,-0.0146157,0.329102,-1.05888,112.459,7607.57,57.0186,6583.55,11548.5,0.176747,-1.42322,-1.43086,-0.379021,-1.767,0.703347,7517.99,48.8751,6493.98,0.491027,0.988751,0.0136745,15310.8,-0.00201939,0.665717,13.2328,10.9038,112.804,90.4192,0.500492,13.4987,-12.4394,112.607,140.519,0.19756,-50.0998 
91,4.5,1.5,9,91,13031.3,-0.0481705,25.3373,13.1096,113.445,0.0612028,-28.8524,500,-0.796643,-1.38199,2.4351,-0.430155,-0.748664,135.554,8083.63,82.0952,6866.71,10870.5,-1.65019,-2.23554,0.727998,-1.28371,-1.60221,1.12046,7975.66,72.2794,6758.73,0.495809,0.984388,0.0193193,16086.1,-0.00216546,0.706781,13.3939,10.7907,112.748,90.8239,0.526172,13.5687,-12.2715,112.685,140.834,0.0626937,-50.01 
92,5.9,0.1,9,92,12871.8,-0.512758,24.8975,13.5653,113.365,-0.404161,619.577,398.937,0.172833,-0.092352,0.621272,0.151267,-0.209205,141.378,7918.06,77.1044,6613,19146.3,-0.717385,-0.98257,-1.15916,-0.738951,-1.09942,0.753238,7805.45,66.8669,6500.39,0.50016,0.98523,0.0185966,15605.9,-0.00191011,0.690084,13.3797,10.7352,112.737,90.7197,0.491094,13.6497,-12.702,112.639,140.855,0.0985816,-50.1354 
93,3.5,2.5,9,93,12574.7,-0.535507,24.7008,13.5165,113.407,-0.340494,838.228,279.131,1.50059,0.750729,2.64123,1.5133,-0.797249,131.202,7756.52,57.8263,6647.39,20159.6,0.674449,-0.075414,0.988948,0.687159,-1.62339,-0.517374,7652.02,48.3257,6542.88,0.493568,0.989069,0.0134231,15503.5,-0.00214516,0.6726,13.3484,10.9498,112.97,90.8502,0.496547,13.8512,12.4426,112.575,141.017,0.395366,-50.1666 
94,4.5,1.5,9,94,13724.3,-0.566302,26.6824,13.5795,113.363,0.26362,153.706,482.896,-0.0180504,0.951761,0.487162,-2.17633,-0.464539,108.513,8633.73,85.0465,6959.43,13114.2,-0.701329,0.268482,-0.879396,-2.85961,-1.14782,0.83469,8547.3,77.1888,6873,0.508922,0.984442,0.0202689,16794.9,-0.00221144,0.723565,13.5311,11.1571,112.824,90.8998,0.506108,13.7097,-12.9221,112.627,141.17,0.196403,-50.2706 
95,5.9,0.1,9,95,12431.2,-0.482304,24.187,13.4255,113.564,0.0246775,-1126.93,68.3325,0.644088,0.440971,2.7133,3.16396,-0.724702,117.781,7572.85,61.1268,6551.78,11476,-0.0975499,-0.300666,1.23002,2.42232,-1.46634,0.311988,7479.04,52.598,6457.97,0.491118,0.987842,0.0147816,15228.6,-0.00194317,0.65933,13.2982,10.8982,112.884,90.4127,0.494957,13.6702,-12.3807,112.74,140.665,0.144015,-50.2527 
96,3.5,2.5,9,96,12502.5,-0.477428,24.1436,13.4907,113.239,0.382034,-129.182,50.3049,1.65822,1.79939,-0.740182,0.621101,-0.18683,129.618,7653.52,66.4389,6460.81,12209.6,0.842052,0.983218,-2.37252,-0.195068,-1.003,-0.359365,7550.28,57.0529,6357.57,0.497404,0.986949,0.0162623,15179.4,-0.00188954,0.664368,13.3136,10.9466,112.7,90.4903,0.485157,13.7258,-12.4082,112.38,140.625,0.319167,-50.1345 
97,4.5,1.5,9,97,12800.5,-0.544059,25.0747,13.5492,113.385,0.286473,-85.5554,100.763,-0.891515,-0.758445,-0.050758,0.687977,-1.6485,119.559,7867.72,76.6737,6765.09,11857.6,-1.64434,-1.51127,-1.55642,-0.0648522,-2.40133,0.783175,7772.49,68.0162,6669.86,0.492668,0.984917,0.0184386,15776.3,-0.00209833,0.668137,13.5472,10.9386,112.794,90.4966,0.50103,13.5928,-12.7737,112.665,140.939,0.128428,-50.4427 
98,5.9,0.1,9,98,13204.5,-0.057286,25.38,13.2287,113.408,0.0429627,35.7984,499.998,1.16864,1.07478,-0.597229,-0.647724,2.37408,72.2779,8314.43,76.0966,6761.2,10979.6,0.713524,0.619667,-1.50746,-1.10284,1.91897,3.34857,8256.85,70.8628,6703.62,0.506518,0.985203,0.0191006,16301.2,-0.00215854,0.708257,13.5201,10.9462,112.873,90.3998,0.501795,13.6656,12.6832,112.616,140.63,0.257208,-50.2303 
99,3.5,2.5,9,99,13357.7,-0.564158,25.6558,13.8029,113.322,1.59559,1035.81,499.892,1.80634,-0.160585,1.59768,1.27403,-0.531166,87.515,8244.52,65.9997,6913.36,65329.9,1.25529,-0.711644,0.495561,0.722976,-1.08222,0.271185,8174.81,59.6625,6843.65,0.498854,0.987389,0.0158055,16387.2,-0.00215813,0.680925,13.8331,11.1093,112.776,90.3342,0.506577,13.818,12.7175,112.748,140.738,0.0275269,-50.4034 
100,4.5,1.5,9,100,14278,-0.598731,27.2277,13.8843,113.409,0.249393,107.561,499.982,1.01671,1.86853,0.166072,-1.4588,-3.76251,100.661,8913.67,90.0667,7328.28,13179.6,0.38287,1.23469,-1.1016,-2.09263,-4.39634,0.815571,8833.49,82.7776,7248.1,0.503872,0.983866,0.0206044,17531.2,-0.00226296,0.737677,13.7932,11.0775,112.836,91.0256,0.544493,13.7633,-12.501,112.593,141.431,0.242088,-50.4052 
101,5.9,0.1,9,101,14308.4,-0.523848,27.6052,13.4107,113.374,0.261157,-28.0319,56.3001,0.576749,0.607313,1.59579,0.97326,-1.33207,112.623,8591.69,77.0182,7476.19,12289.7,-0.13241,-0.101845,0.177473,0.264101,-2.04123,1.09677,8501.98,68.8629,7386.49,0.489583,0.986024,0.0168837,17365.8,-0.0019994,0.74647,13.352,10.8696,112.893,90.2976,0.577923,13.3385,-12.2945,112.569,140.581,0.323946,-50.2836 
102,3.5,2.5,9,102,13011.3,-0.521796,25.3279,13.495,113.228,-0.186549,414.887,139.904,0.929409,-0.541261,-0.499089,-0.522491,1.31117,88.4188,7999.92,65.3712,6746.02,13646.2,0.37266,-1.09801,-1.61259,-1.07924,0.754416,0.394393,7929.5,58.9686,6675.59,0.497453,0.987153,0.0160116,15940.2,-0.00197581,0.69369,13.452,10.7871,112.759,90.5776,0.515311,-13.5547,12.3446,112.388,140.637,0.370806,-50.0593 
103,4.5,1.5,9,103,14120.2,-0.151773,26.7011,13.4365,113.365,0.010312,103.167,0.00271162,1.04562,-1.47986,-0.892678,-0.0859723,0.00776565,99.16,8550.37,77.965,7315.78,11713.8,0.42124,-2.10425,-2.14145,-0.710356,-0.616619,0.5843,8471.38,70.7845,7236.79,0.493799,0.985588,0.0176991,17155.5,-0.00213785,0.709788,13.6539,11.1917,112.846,90.9571,0.536788,13.6745,-12.8417,112.65,141.619,0.195847,-50.6618 
104,5.9,0.1,9,104,13215.2,-0.522624,25.4717,13.5963,113.181,-0.49224,383.778,497.067,-0.675577,0.566666,3.48516,2.53014,0.977531,121.673,8065.26,66.4075,6805.16,17423.6,-1.44172,-0.199474,1.95288,1.764,0.211392,0.146127,7968.34,57.5969,6708.24,0.497455,0.987509,0.01557,16018.2,-0.00197106,0.701492,13.4184,10.7938,112.687,90.2627,0.505768,-13.7412,-12.6215,112.329,140.592,0.358204,-50.3296 
