cyc,time,timewait,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,1,5,0,12,17557.7,-0.0365735,32.6147,-13.0752,113.374,0.00697655,-145.418,1.60628e-12,2.12588,-0.0124664,0.886336,-0.282159,-0.0224186,167.368,9969.91,84.4235,9187.65,13915.2,1.07201,-1.06634,-1.2214,-1.33603,-1.07629,0.663344,9836.59,72.304,9054.34,0.475156,0.9873,0.014497,20701.8,-0.00196301,0.879997,13.3304,10.6856,112.692,91.614,0.71356,13.3299,-12.3085,112.54,142.03,0.152656,-50.4162 
13,5,1,9,13,13617,-0.415534,26.4101,13.4191,113.283,-0.032869,707.702,499.997,0.0818599,1.08711,1.31902,0.375905,-0.697333,124.145,8154.06,119.409,6772.47,12294.1,-0.699847,0.305406,-0.244392,-0.405802,-1.47904,0.90316,8055.17,110.419,6673.58,0.501459,0.976573,0.0295774,16063.5,0.00468121,0.713431,13.1932,10.8244,112.78,90.844,1.07511,0.057674,45.4956,115.347,134.508,-2.56642,-43.6641 
14,2.2,3.8,9,14,13954.4,-0.556855,26.6486,13.744,113.247,0.0360147,399.543,468.834,0.399971,1.41976,0.0086529,-0.412947,-0.0453233,110.577,8443.53,87.2429,7214.18,12391.3,-0.296303,0.723484,-1.3839,-1.10922,-0.741598,0.507078,8355.45,79.2358,7126.11,0.494207,0.983675,0.0200714,16906.8,-0.00211019,0.696483,13.8564,-11.1306,112.651,91.4425,0.529703,-13.5968,-12.8973,112.591,142.02,0.0599532,-50.5775 
15,4,2,9,15,13112.3,-0.518103,25.7491,13.3431,113.277,-0.248081,831.032,499.766,0.819662,1.48814,0.600715,-1.77927,-0.764306,145.776,7896.62,65.8376,7009.82,17895.7,-0.0982535,0.570227,-1.23512,-2.69719,-1.68222,0.759824,7780.51,55.2816,6893.71,0.484678,0.987719,0.0145571,16053,0.00467282,0.681453,13.0985,10.7343,112.705,91.3412,-0.180609,8.90549,-0.0416243,111.105,124.456,1.59982,-33.1145 
16,2.5,3.5,9,16,13853.7,-0.120754,26.1938,13.4231,113.281,0.113948,-17.8948,500,1.83029,1.85085,1.73543,-1.41606,2.13666,126.682,8473.65,72.6063,7145.8,11512.1,1.03261,1.05317,0.140069,-2.21374,1.33898,0.896329,8372.74,63.433,7044.9,0.497589,0.986915,0.0163159,16826.6,0.00479255,0.700091,13.5252,10.903,112.693,91.0173,0.000266295,88.1635,0.0943993,122.16,125.506,-9.46724,-34.4887 
17,0.1,5.9,9,17,13325.9,-0.00598516,24.8166,13.3446,113.425,-0.00821878,6.16101,3.26035e-06,-1.69679,1.23762,-0.807851,-0.315228,1.92822,139.221,7581.75,80.8045,7364.76,10782.3,-2.57343,0.360985,-2.56112,-1.19186,1.05159,0.478794,7470.86,70.7232,7253.86,0.461863,0.983704,0.0176431,16175.5,-0.00195448,0.652945,13.5255,10.8315,112.938,91.2869,0.537513,-14.0745,-12.5295,112.611,141.611,0.326996,-50.3241 
18,0.7,5.3,9,18,12461,-0.372231,23.6759,13.4121,113.536,-0.0409425,376.391,488.988,2.33681,2.18305,0.22025,1.20159,1.30919,134.061,7158.02,50.4833,6811.09,10838.8,1.49266,1.3389,-1.46804,0.357446,0.465041,1.67156,7051.23,40.7756,6704.31,0.46708,0.989982,0.0110795,15096.4,-0.00228891,0.642711,13.1872,10.7204,113.005,91.0233,0.0637015,13197,12.9611,145.01,141.948,-32.0047,-50.9244 
19,3,3,9,19,13515.9,-0.473635,25.502,13.6184,113.305,-0.114124,-63.4875,260.19,0.714979,0.231159,3.01236,0.850112,0.699066,115.105,8120.55,64.7837,6974.89,11541.5,-0.00980406,-0.493624,1.56279,0.125328,-0.0257173,-0.348426,8028.86,56.4487,6883.2,0.49291,0.987846,0.0148822,16288.7,-0.00187691,0.690603,13.6174,-10.9068,112.741,91.3249,0.522739,-13.5781,12.5569,112.507,141.61,0.233953,-50.2852 
20,1,5,9,20,13274.4,-0.00999381,24.9776,13.2274,112.957,-0.0141339,12.3394,2.88847,1.43785,1.62326,3.10993,-0.855211,0.629146,107.004,7876.35,77.1352,7070.36,10761,0.764078,0.94949,1.76238,-1.52899,-0.0446286,0.0735695,7791.12,69.3868,6985.13,0.481728,0.984654,0.0179697,16173.3,-0.00204822,0.667271,13.5195,11.0681,112.515,91.3506,0.520074,-13.7108,-12.7995,112.237,142.008,0.278004,-50.6576 
21,0.06,5.94,9,21,12529.5,-0.393601,24.2307,13.6443,113.207,0.0130031,213.647,57.6539,0.616008,-0.457913,-1.89269,0.0574977,-0.32209,127.988,7363.05,46.3897,6892.51,10852.9,-0.189896,-1.26382,-3.5045,-0.748407,-1.12799,0.487242,7261.1,37.1218,6790.56,0.471201,0.991133,0.00996979,15409.8,-0.00205628,0.620984,13.6641,11.0595,112.611,91.1838,0.518405,13.5239,-12.5885,112.551,141.547,0.0598349,-50.3635 
22,5.5,0.5,9,22,13561.5,-0.138,25.8432,13.3217,113.326,0.0651998,-2.79441,500,0.679361,-0.73489,-3.87707,-0.470851,-0.666953,111.644,8280.58,78.7738,6999.21,11213.2,-0.0236301,-1.43788,-5.28305,-1.17384,-1.36994,0.431217,8191.66,70.6894,6910.28,0.496946,0.985123,0.0184955,16484,-0.00204712,0.701117,13.5819,10.9827,112.718,90.7322,0.520977,-13.8,12.5233,112.613,141.009,0.104486,-50.2764 
23,1.6,4.4,9,23,12909.7,-0.498149,24.8223,13.5772,113.351,0.402328,119.177,498.803,2.25553,1.51779,3.08871,2.60295,1.83135,134.071,7748.88,57.5354,6904.76,12531.9,1.41131,0.673578,1.40029,1.75874,0.987142,0.775272,7642.09,47.8269,6797.97,0.483687,0.989167,0.0127943,15799.7,-0.00204946,0.659039,13.4981,11.0048,112.834,91.7469,0.512963,-13.7575,-12.5785,112.472,142.04,0.362374,-50.2932 
