Run           ,B (G)       ,omega (kHz)     ,Amplitude   ,f0 (MHz)     ,Width      ,Offset      ,median    ,lower     ,upper     ,sigma_M    ,sigma_P    ,N_fits      
50us          ,      202.10,      2.5000,     3643.96,     43.3320,        0.05,    26475.46,       43.33,       43.12,       43.50,        0.21,        0.17,         100
90us          ,      202.10,      2.5000,     2907.56,     43.2442,        0.04,    27070.71,       43.24,       43.09,       43.44,        0.16,        0.20,         100
130us         ,      202.10,      2.5000,     2805.76,     43.2902,        0.05,    24265.88,       43.29,       43.11,       43.50,        0.18,        0.21,         100
169us         ,      202.10,      2.5000,     2350.00,     43.1870,        0.04,    27305.81,       43.19,       43.01,       43.34,        0.18,        0.15,         100
209us         ,      202.10,      2.5000,     2671.14,     43.1262,        0.05,    26610.48,       43.13,       42.90,       43.25,        0.22,        0.12,         100
249us         ,      202.10,      2.5000,     2473.96,     43.3391,        0.03,    26640.85,       43.34,       43.19,       43.49,        0.15,        0.15,         100
290us         ,      202.10,      2.5000,     2205.37,     43.1790,        0.03,    27786.99,       43.18,       42.98,       43.41,        0.19,        0.23,         100
329us         ,      202.10,      2.5000,     2499.68,     43.1864,        0.03,    26707.31,       43.19,       43.04,       43.42,        0.15,        0.23,         100
369us         ,      202.10,      2.5000,     2290.29,     43.1504,        0.03,    26191.28,       43.15,       43.00,       43.29,        0.15,        0.14,         100
409us         ,      202.10,      2.5000,     3856.89,     43.1310,        0.07,    25350.92,       43.13,       42.97,       43.26,        0.16,        0.13,         100
449us         ,      202.10,      2.5000,     1737.59,     43.1436,        0.04,    23266.79,       43.14,       42.99,       43.29,        0.16,        0.14,         100
489us         ,      202.10,      2.5000,     3347.05,     43.1771,        0.05,    23930.25,       43.18,       42.99,       43.33,        0.18,        0.15,         100
529us         ,      202.10,      2.5000,     2923.86,     43.1151,        0.03,    24903.04,       43.12,       42.99,       43.32,        0.13,        0.20,         100
570us         ,      202.10,      2.5000,     3094.63,     43.2957,        0.03,    25736.03,       43.30,       43.17,       43.41,        0.13,        0.11,         100
