cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
448,43.138,0.61,448,15759.8,0,5,101,125,0,5,135,-6.4887,-6.45879,-20.5489,-10.2605,-14.4177,324.684,-27.6266,28187.4,-48.5767,16439.4,-7.74321,-7.7133,-23.0579,-11.515,-15.6723,0.649051,-46.6011,26764.3,-67.5512,0.365034,-0.000995942,1.00137,-127.663,550.027,581.638,0.940114,37699.7,8.90692e-07,0.635024,111.697,87.2916,24.8823,25.3516,0.98149,562.792,595.145,0.649767 
449,43.168,0.61,449,14327.5,0,5,101,125,0,5,135,-9.44828,-8.85434,-19.2102,-6.06886,-15.4638,310.926,-39.2561,26947,-32.438,16439.4,-10.6496,-10.0557,-21.6129,-7.27022,-16.6652,0.673786,-57.4266,25584.2,-50.6085,0.48602,-0.00128428,1.00107,-118.157,527.851,581.857,0.832952,36373.2,8.80121e-07,0.629683,111.475,87.4553,24.4877,25.4784,0.961117,545.081,601.112,0.650378 
450,43.278,0.61,450,16343.5,0,5,101,125,0,5,135,-11.2839,-7.25844,-10.0555,-12.7926,-15.2558,328.082,-35.1832,28787.9,-64.7851,16439.4,-12.5515,-8.52608,-12.5908,-14.0603,-16.5234,0.804041,-54.3563,27349.9,-83.9581,0.350446,-0.00113697,1.00167,-155.106,596.516,637.906,126.3,39138.8,9.01885e-07,0.683972,111.559,87.3398,25.6259,26.2525,0.976133,596.932,638.196,0.684366 
451,43.253,0.61,451,11301.5,0,5,101,125,0,5,135,-8.79543,-5.81629,-13.8411,-11.7962,-9.89284,371.399,-32.5284,23313.1,-34.871,16439.4,-10.2304,-7.2513,-16.7111,-13.2313,-11.3279,0.715565,-54.233,21685.3,-56.5756,0.444082,-0.00143114,1.00142,-122.124,542.033,593.344,0.862445,31773,8.41333e-07,0.67406,111.92,87.2884,24.781,25.687,0.96473,558.216,610.996,0.694149 
452,43.188,0.61,452,14626.1,0,5,101,125,0,5,135,-15.7374,-2.81151,-19.5716,-7.40267,-9.86515,315.876,-25.3288,26919.2,-38.3612,16439.4,-16.9579,-4.032,-22.0126,-8.62315,-11.0856,0.648985,-43.7886,25534.7,-56.821,0.391061,-0.000980884,1.00121,-111.974,527.096,560.393,0.570345,36255.8,8.79173e-07,0.618183,111.436,87.3512,25.1878,25.729,0.978966,576.695,612.995,0.676281 
453,43.233,0.61,453,10565.2,0,5,101,125,0,5,135,-3.63031,-6.24897,-15.5628,-10.9631,-8.85966,355.984,-5.76763,22440.6,-56.7758,16439.4,-5.00576,-7.62442,-18.3137,-12.3385,-10.2351,0.6578,-26.5713,20880.3,-77.5795,0.222044,-0.000727704,1.00202,-119.667,562.704,595.679,0.576503,30664.3,8.31431e-07,0.696338,111.057,87.2968,25.9993,26.5068,0.980853,614.455,650.622,0.760471 
454,43.308,0.61,454,16658.3,0,5,101,125,0,5,135,-5.3651,-1.7586,-11.624,-6.02107,-15.767,342.408,-22.8767,28888.7,-23.93,16439.4,-6.68809,-3.0816,-14.27,-7.34406,-17.09,0.705614,-42.8871,27388,-43.9404,0.448537,-0.000895607,1.00087,-95.6155,551.864,617.792,525.472,37577.9,8.89733e-07,0.656263,111.324,87.1367,25.3046,25.9473,0.975232,582.058,623.444,0.677052 
455,43.128,0.61,455,15705.7,0,5,101,125,0,5,135,-9.98294,-11.8914,-21.356,-10.1815,-11.5034,368.642,-19.7025,28143.2,-36.2796,16439.4,-11.4073,-13.3158,-24.2047,-11.6059,-12.9278,0.670512,-41.246,26527.5,-57.8231,0.372816,-0.000889269,1.00118,-110.634,551.193,601.181,0.661367,37546.4,8.89484e-07,0.647167,111.118,86.5822,25.3891,26.2736,0.966335,585.951,639.224,0.688049 
456,43.223,0.61,456,11777.4,0,5,101,125,0,5,135,-11.087,-7.7593,-16.0472,-7.38206,-10.4452,324.601,-51.736,24025.4,-67.2065,16439.4,-12.3412,-9.01349,-18.5555,-8.63626,-11.6994,0.692003,-70.7057,22602.7,-86.1762,0.406081,-0.00179074,1.00207,-174.117,589.176,634.121,1.25508,32945.1,8.51553e-07,0.717789,111.291,87.2717,25.5871,26.2994,0.972914,595.123,640.479,0.72501 
457,43.198,0.61,457,14113.3,0,5,101,125,0,5,135,-8.38151,-10.9011,-23.1064,-14.9198,-11.6586,365.745,-31.0244,26712.3,-44.2867,16439.4,-9.79467,-12.3143,-25.9328,-16.3329,-13.0718,0.665152,-52.3985,25109.2,-65.6608,0.399405,-0.0011939,1.00142,-131.191,535.647,568.685,0.535945,36076.4,8.7772e-07,0.62881,111.043,87.2219,25.5618,26.1232,0.978511,593.948,631.923,0.697992 
458,43.243,0.61,458,9398.55,0,5,101,125,0,5,135,-8.75607,-3.32215,-21.7411,-8.80666,-12.7575,357.382,-21.246,21742,-11.7119,16439.4,-10.1369,-4.703,-24.5028,-10.1875,-14.1383,0.61515,-42.1314,20175.6,-32.5973,0.518552,-0.0011947,1.00088,-81.2481,555.269,599.73,0.697819,30497.9,8.29924e-07,0.695331,111.336,87.4584,25.3723,26.1343,0.970842,585.172,632.461,0.733027 
459,43.298,0.61,459,17107,0,5,101,125,0,5,135,-6.16619,-2.72981,-16.4294,-7.15475,-11.7273,337.106,-30.4651,29350.2,-31.8176,16439.4,-7.4687,-4.03232,-19.0344,-8.45726,-13.0298,0.634112,-50.1656,27872.7,-51.518,0.447958,-0.00102952,1.001,-111.987,572.526,612.864,1.55159e+08,39212.4,9.0245e-07,0.656382,111.006,86.996,25.0966,25.7262,0.975526,572.525,612.864,0.656381 
460,43.213,0.61,460,13514.8,0,5,101,125,0,5,135,-9.92684,-4.36242,-24.6322,-7.65326,-7.21486,364.2,-26.1418,25687.3,-23.5065,16439.4,-11.334,-5.76961,-27.4465,-9.06045,-8.62206,0.558969,-47.4256,24091,-44.7903,0.468753,-0.00112618,1.00101,-101.174,580.545,622.544,0.679861,34905.8,8.68123e-07,0.692503,111.554,87.099,26.0018,26.6852,0.97439,614.569,659.404,0.733297 
461,43.208,0.61,461,12105.7,0,5,101,125,0,5,135,-7.44855,-9.89444,-13.9154,-8.15012,-11.7883,337.027,-13.9322,24252.3,-38.9249,16439.4,-8.75076,-11.1966,-16.5198,-9.45232,-13.0905,0.720051,-33.6281,22775.1,-58.6207,0.323431,-0.000844443,1.0014,-103.973,569.516,596.169,0.845204,32983.8,8.51887e-07,0.684,111.152,87.3966,25.4259,25.7723,0.986558,587.648,615.062,0.705726 
462,43.318,0.61,462,14752.7,0,5,101,125,0,5,135,-11.0995,-7.2373,-15.2536,-6.59703,-10.4927,336.572,-46.6483,27148.7,-28.5494,16439.4,-12.4,-8.53775,-17.8545,-7.89748,-11.7932,0.694705,-66.3176,25673.6,-48.2187,0.534044,-0.00147825,1.00102,-124.18,556.732,623.01,0.910033,36627.9,8.8217e-07,0.667603,111.473,87.0833,25.0621,26.2703,0.95401,570.952,639.059,0.684728 
463,43.183,0.61,463,14732.3,0,5,101,125,0,5,135,-9.13603,-9.06798,-18.0485,-11.5378,-11.2576,344.36,-35.906,26920.4,-33.6891,16439.4,-10.4666,-10.3985,-20.7096,-12.8683,-12.5882,0.691045,-56.0304,25411,-53.8135,0.464572,-0.00126157,1.00115,-120.607,589.825,627.297,1.8621e+10,36564.6,8.81662e-07,0.689916,111.52,87.1515,25.473,26.0275,0.978692,589.826,627.305,0.689921 
