cyc,freq,delay,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
406,43.248,0.57,406,12083.3,0,5,101,125,0,5,135,-9.98175,-5.72817,-14.0167,-7.87245,-9.3917,365.484,-36.9,24728.8,-16.0379,16439.4,-11.3939,-7.14033,-16.841,-9.28461,-10.8039,0.69636,-58.2588,23126.9,-37.3968,0.564879,-0.00144156,1.00088,-103.135,597.486,653.982,854.044,34365.7,8.63622e-07,0.723808,111.241,87.016,25.4501,26.1835,0.971992,588.771,634.845,0.707918 
407,43.288,0.57,407,16826.3,0,5,101,125,0,5,135,-4.85825,-5.44619,-21.3736,-10.2537,-11.4283,334.013,-34.0363,28628.3,-44.4138,16439.4,-6.14882,-6.73675,-23.9547,-11.5443,-12.7189,0.607965,-53.5561,27164.3,-63.9335,0.411096,-0.00112787,1.00128,-130.276,554.281,596.86,0.874318,38269.6,8.95158e-07,0.642542,111.047,87.1695,25.0437,25.7481,0.972644,570.116,613.907,0.660896 
408,43.268,0.57,408,16950.7,0,5,101,125,0,5,135,-9.15281,-5.64954,-21.3695,-9.48849,-11.6734,302.995,-20.0777,28711.4,-22.2145,16439.4,-10.3235,-6.82025,-23.7109,-10.6592,-12.8441,0.631578,-37.7847,27383.4,-39.9215,0.440944,-0.000789103,1.00079,-85.6906,588.186,638.093,1.48005,38331.2,8.95638e-07,0.684017,110.783,86.6479,25.5157,26.3309,0.969039,591.806,642.012,0.688222 
409,43.158,0.57,409,15958.7,0,5,101,125,0,5,135,-11.1291,-6.08133,-19.4831,-2.94548,-11.1383,321.613,-34.8103,28694.5,-52.6083,16439.4,-12.3717,-7.32398,-21.9684,-4.18813,-12.3809,0.622751,-53.6054,27284.9,-71.4034,0.384849,-0.00112392,1.00142,-139.289,580.849,623.56,0.996683,38686.7,8.98398e-07,0.669888,111.76,86.3817,25.5256,26.203,0.974151,592.269,635.789,0.683042 
410,43.258,0.57,410,13211.8,0,5,101,125,0,5,135,-6.14719,-8.23181,-27.563,-4.54668,-11.7232,322.949,-58.5856,25805.6,-41.081,16439.4,-7.39501,-9.47962,-30.0586,-5.79449,-12.971,0.542478,-77.4588,24390.1,-59.9542,0.518453,-0.00181806,1.00134,-149.404,555.257,597.341,0.725826,35163.4,8.70253e-07,0.661778,111.495,86.7012,25.3076,26.0102,0.972989,582.195,626.469,0.693967 
411,43.238,0.57,411,11082.3,0,5,101,125,0,5,135,-5.05717,-8.10806,-21.446,-7.97628,-11.281,309.698,-20.6729,23263.9,-61.217,16439.4,-6.25378,-9.30467,-23.8392,-9.17289,-12.4776,0.609502,-38.7716,21906.5,-79.3158,0.289447,-0.00101238,1.00197,-133.95,594.751,636.88,0.848573,32431.2,8.47102e-07,0.726541,111.629,87.3536,25.9747,26.6357,0.975186,613.292,656.961,0.74932 
412,43.193,0.57,412,14208.4,0,5,101,125,0,5,135,-4.05859,-8.50588,-19.3151,-7.37431,-10.1687,330.182,-46.7115,27400.3,-33.7916,16439.4,-5.33435,-9.78164,-21.8666,-8.65007,-11.4444,0.616893,-66.0073,25953.1,-53.0874,0.508875,-0.00145545,1.00111,-129.712,575.972,636.718,1.32199,37141.3,8.86273e-07,0.683293,111.177,86.9392,25.2798,26.3354,0.959916,580.914,642.232,0.689183 
413,43.148,0.57,413,16341.6,0,5,101,125,0,5,135,-4.88202,-8.24528,-18.8849,-9.09657,-12.7243,374.913,-38.1867,29258.8,-64.5925,16439.4,-6.33061,-9.69387,-21.7821,-10.5452,-14.1729,0.651623,-60.0966,27615.5,-86.5024,0.366667,-0.00124508,1.0017,-163.899,549.856,608.567,0.763429,39393.1,9.03834e-07,0.640015,111.265,87.5872,25.1037,26.1746,0.959088,572.852,634.413,0.666989 
414,43.178,0.57,414,14978.8,0,5,101,125,0,5,135,-5.85441,-8.85231,-10.4646,-10.289,-9.52507,328.202,-38.8204,27076.5,-20.9205,16439.4,-7.12251,-10.1204,-13.0008,-11.5571,-10.7932,0.752808,-58.0005,25637.9,-40.1006,0.54655,-0.00129441,1.00085,-106.121,537.815,593.707,0.581181,36158.9,8.78389e-07,0.643303,111.214,87.1521,25.3911,26.4341,0.960542,586.039,647.055,0.701047 
415,43.228,0.57,415,9977.12,0,5,101,125,0,5,135,-10.2591,-9.16502,-11.1591,-8.02701,-10.2813,365.331,-28.4581,22541.2,-43.1191,16439.4,-11.6706,-10.5766,-13.9822,-9.43857,-11.6928,0.756242,-49.8081,20939.9,-64.4691,0.391662,-0.00136106,1.00167,-127.171,587.086,633.399,0.776709,31542.1,8.3929e-07,0.72657,111.65,86.4362,25.9183,26.6771,0.971557,610.631,659.006,0.755826 
416,43.118,0.57,416,15996.1,0,5,101,125,0,5,135,-5.67616,-7.16414,-24.5742,-5.9855,-12.2665,341.498,-17.6201,29008.1,-27.0747,16439.4,-6.99564,-8.48362,-27.2132,-7.30499,-13.586,0.572009,-37.5772,27511.3,-47.0319,0.399692,-0.000781114,1.00093,-94.0155,581.749,630.035,1.33758,39103.5,9.01614e-07,0.671475,110.7,86.5271,25.4017,26.1921,0.969822,586.53,635.262,0.677019 
417,43.218,0.57,417,11056.7,0,5,101,125,0,5,135,-4.95999,-6.99319,-19.2622,-8.94829,-9.00339,384.581,-30.1195,23479.9,-29.0325,16439.4,-6.44593,-8.47913,-22.2341,-10.4342,-10.4893,0.617199,-52.5944,21794.3,-51.5074,0.459728,-0.00138089,1.00128,-114.403,561.564,614.945,0.552364,32722.6,8.49632e-07,0.691651,111.702,87.3058,26.0908,27.0626,0.964093,618.787,678.189,0.762456 
