cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
13,1.49,3.51,13,17980.4,0,5,101,125,0,5,135,-7.85763,-10.8295,-3.70396,-6.08667,-10.2757,343.024,-31.538,30987.9,-40.6864,16439.4,-9.18301,-12.1549,-6.35471,-7.41204,-11.6011,0.863941,-51.5843,29484.5,-60.7327,0.414453,-0.00100074,1.00112,-124.463,536.676,559.435,0.516782,42125.7,9.24267e-07,0.592834,111.084,86.836,25.7179,26.0245,0.988219,601.225,627.16,0.66437 
14,2.99,2.01,14,18581.1,0,5,101,125,0,5,135,-6.88641,-6.93197,-11.4153,-10.2243,-12.096,356.115,-18.4298,31817,-57.0031,16439.4,-8.26236,-8.30792,-14.1672,-11.6002,-13.472,0.746152,-39.2412,30256.2,-77.8145,0.295895,-0.000741672,1.0014,-132.619,544.195,582.135,0.518947,42697.9,9.28433e-07,0.606232,111.722,86.6494,25.8813,26.5512,0.974772,608.89,652.8,0.679061 
15,4.49,0.51,15,19209.6,0,5,101,125,0,5,135,-4.30192,-4.36336,-10.3361,-9.31421,-3.21239,367.586,-33.2702,32058.4,-51.9069,16439.4,-5.7222,-5.78364,-13.1767,-10.7345,-4.63267,0.670991,-54.752,30447.3,-73.3886,0.383368,-0.00102863,1.00131,-142.818,571.881,606.57,0.55882,43584.6,9.34816e-07,0.630039,111.545,87.2067,26.2953,26.8362,0.979842,628.522,666.892,0.692567 
16,3.49,1.51,16,15806.3,0,5,101,125,0,5,135,-8.1661,-10.1088,-20.8619,-6.87303,-12.1392,360.894,-32.7852,28795.7,-48.0159,16439.4,-9.56052,-11.5032,-23.6508,-8.26745,-13.5336,0.644433,-53.8758,27213.9,-69.1066,0.393819,-0.00113255,1.00138,-136.804,549.414,580.18,0.565479,39658.7,9.05861e-07,0.623261,111.47,86.6577,25.7364,26.2078,0.982015,602.091,636.022,0.683134 
17,3.99,1.01,17,19519.8,0,5,101,125,0,5,135,-13.5332,-13.3155,-10.326,-3.20063,-11.4142,320.927,-31.0833,31952.8,-26.3829,16439.4,-14.7732,-14.5555,-12.806,-4.44063,-12.6541,0.78379,-49.8383,30546.2,-45.1379,0.479197,-0.000933196,1.0008,-104.004,540.2,580.03,0.491801,42827.1,9.29369e-07,0.602302,111.146,86.8691,26.0105,26.7078,0.97389,614.981,660.524,0.685784 
18,0.49,4.51,18,16079.1,0,5,101,125,0,5,135,-8.60459,-9.72143,-16.3835,-6.10703,-4.8189,315.08,-27.1628,29302.2,-46.8288,16439.4,-9.822,-10.9388,-18.8183,-7.32444,-6.03631,0.644535,-45.5761,27921.2,-65.2421,0.367945,-0.000933619,1.00127,-123.867,520.665,527.794,0.576755,39601.7,9.05427e-07,0.578973,111.251,87.3212,24.9826,24.9367,1.00184,567.336,575.825,0.631266 
19,0.99,4.01,19,14946.8,0,5,101,125,0,5,135,-10.9486,-13.1813,-19.2073,-6.78198,-19.23,351.307,-10.2075,28189,-50.133,16439.4,-12.306,-14.5387,-21.922,-8.13936,-20.5874,0.717111,-30.7379,26649.2,-70.6634,0.266051,-0.000659535,1.00144,-115.534,549.945,577.268,1.02237,38593.2,8.97674e-07,0.627668,111.443,86.9998,24.8172,25.1929,0.985087,559.851,587.719,0.639002 
20,0.01,4.99,20,17539.8,0,5,101,125,0,5,135,-8.07611,-9.20187,-15.6487,-2.11563,-13.4188,351.188,-21.4673,30670.5,-54.3668,16439.4,-9.43303,-10.5588,-18.3626,-3.47254,-14.7758,0.675588,-41.9907,29131.3,-74.8902,0.318452,-0.000824352,1.0014,-131.859,529.72,541.023,0.581198,41618.3,9.20541e-07,0.581551,111.428,87.041,25.187,25.2244,0.99852,576.659,589.186,0.633202 
21,1.99,3.01,21,14148.9,0,5,101,125,0,5,135,-5.18802,-14.3174,-12.9,-6.12043,-14.753,391.449,-39.8102,27952.5,-42.3762,16439.4,-6.7005,-15.8298,-15.925,-7.63291,-16.2655,0.744602,-62.6865,26236.8,-65.2525,0.444618,-0.00136716,1.00135,-140.99,534.476,566.696,0.60029,38368.9,8.95932e-07,0.614277,111.839,87.1305,25.2052,25.7261,0.979753,577.494,612.859,0.664017 
22,2.49,2.51,22,16292.7,0,5,101,125,0,5,135,-7.54007,-10.4627,-16.7434,-8.23678,-10.2187,370.19,-31.842,29835.9,-54.5363,16439.4,-8.97041,-11.893,-19.6041,-9.66712,-11.6491,0.682698,-53.4759,28213.4,-76.1701,0.369104,-0.00108426,1.00147,-144.88,538.776,554.671,0.50563,40662.1,9.13437e-07,0.598472,111.67,87.0065,25.8516,25.998,0.994369,607.492,625.882,0.675053 
