cyc,freq,amplitude,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
118,100,0.85,10,0.01,118,6.82662e-07,6.24374e-07,8.62043e-30,13.0099,1.09335,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.10193,-1.9811e-29,-1.50545e-13,21727.9,34146.9,3.21325,41.8039,2.88797,37.5721,-0.795753,0.0066,1.1381,6.683e-06 
119,100,0.85,0.01,10,119,6.46415e-07,6.32915e-07,8.73834e-30,13.1878,1.02133,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.90582,-1.70089e-29,-5.09219e-13,22631.7,34276.5,2.98999,39.4314,2.66242,35.1116,-0.604685,0.0066,1.18924,6.683e-06 
120,120,0.85,0.01,10,120,6.10831e-07,6.54581e-07,9.03748e-30,13.6393,0.933163,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.64809,-1.38991e-29,3.16333e-14,25036.4,39100.3,2.71562,37.0391,2.39843,32.7128,-0.354702,0.0066,1.18326,6.683e-06 
121,120,0.85,10,0.01,121,7.04508e-07,6.45833e-07,8.9167e-30,13.457,1.09085,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.09531,-2.03807e-29,-1.86682e-13,24046,38143,3.2055,43.1365,2.87999,38.756,-0.789297,0.0066,1.11256,6.683e-06 
122,120,0.85,10,0.01,122,6.78388e-07,6.4921e-07,8.96332e-30,13.5274,1.04494,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.97145,-1.8465e-29,3.57067e-13,24425.1,39619.8,3.06328,41.4381,2.73541,37.0028,-0.668552,0.0066,1.16985,6.683e-06 
123,120,0.85,10,0.01,123,6.87343e-07,6.80448e-07,9.39461e-30,14.1783,1.01013,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.87422,-1.7786e-29,-7.07766e-13,28123.3,41823,2.95521,41.8997,2.62815,37.2626,-0.573969,0.0066,1.19642,6.683e-06 
124,120,0.85,10,0.01,124,6.63917e-07,6.65931e-07,9.19419e-30,13.8758,0.996974,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.83668,-1.68357e-29,-1.14017e-13,26361.5,41700.2,2.91431,40.4383,2.58815,35.9126,-0.537497,0.0066,1.12704,6.683e-06 
125,120,0.85,0.01,10,125,5.84945e-07,7.00252e-07,9.66804e-30,14.5909,0.835335,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.33503,-1.07818e-29,-5.40074e-13,30651,44797.1,2.41105,35.1794,2.12169,30.9574,-0.0522207,0.0066,1.2142,6.683e-06 
126,120,0.85,0.01,10,126,6.14315e-07,6.76331e-07,9.33776e-30,14.0925,0.908305,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.5715,-1.33288e-29,-7.97087e-13,27615.9,39586.5,2.63808,37.1771,2.32647,32.7856,-0.280659,0.0066,1.2225,6.683e-06 
127,120,0.85,10,0.01,127,6.98599e-07,6.47128e-07,8.93457e-30,13.484,1.07954,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.06524,-1.99197e-29,-2.92361e-13,24190.9,36941.1,3.17048,42.7507,2.84403,38.3488,-0.759953,0.0066,1.18278,6.683e-06 
128,120,0.85,10,0.01,128,7.21069e-07,6.57467e-07,9.07732e-30,13.6994,1.09674,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.11085,-2.10145e-29,-1.29905e-12,25369,36853.4,3.22372,44.163,2.89878,39.7115,-0.804465,0.0066,1.12908,6.683e-06 
129,120,0.85,0.01,10,129,6.2394e-07,6.73712e-07,9.30161e-30,14.0379,0.926123,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.62659,-1.40121e-29,-3.24852e-13,27296.4,40942.1,2.69366,37.8134,2.37793,33.3812,-0.333902,0.0066,1.20578,6.683e-06 
130,120,0.85,0.01,10,130,6.0794e-07,6.58241e-07,9.088e-30,13.7155,0.923582,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.61879,-1.35874e-29,-6.19599e-14,25458.7,38425.3,2.68574,36.8363,2.37056,32.5135,-0.326364,0.0066,1.25241,6.683e-06 
131,120,0.85,10,0.01,131,6.88316e-07,6.50129e-07,8.976e-30,13.5465,1.05874,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.00918,-1.90937e-29,8.34038e-14,24529,39368.6,3.10606,42.0762,2.77848,37.6387,-0.705296,0.0066,1.12561,6.683e-06 
