cyc,freq,Vpp,time,wait time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,meanEk,meanEk_kHz,meanEtof,meanEtof_kHz,meanEtot_kHz
0,5,1.8,0.1,10.9,0,32805.8,0,5,101,125,0,5,135,-10.841,-3.23259,14.5299,-1.0051,-2.00209,-212.209,32.5742,33534.1,26.8905,16439.4,-10.0211,-2.41265,16.1698,-0.18517,-1.18216,-5.8265,44.9757,34464.2,39.292,0.488197,0.000745156,0.999381,92.1261,6.67065e-30,10.0673,1.0865e-29,16.3974,32.7948 
1,5,1.8,1,10,1,34297.6,0,5,101,125,0,5,135,9.03376,5.96249,-14.9894,-6.51826,4.79816,-129.686,50.2871,34995.1,29.4305,16439.4,9.53484,6.46357,-13.9872,-6.01718,5.29924,11.8157,57.866,35563.5,37.0093,0.565776,0.000928917,0.999435,102.277,7.15405e-30,10.7968,1.1651e-29,17.5836,35.1671 
2,5,1.8,3,8,2,32944.8,0,5,101,125,0,5,135,0.420426,-2.71975,-3.05888,1.24299,0.914274,-166.057,35.1179,33789.3,4.30658,16439.4,1.06204,-2.07814,-1.77566,1.8846,1.55588,3.73712,44.8222,34517.1,14.0109,0.727216,0.000741479,0.99978,61.6354,7.19327e-30,10.856,1.16675e-29,17.6085,35.2169 
3,5,1.8,10,1,3,30538,0,5,101,125,0,5,135,11.3986,5.89858,-17.1538,-7.16938,-1.0938,-221.068,13.4357,31423.6,18.9777,16439.4,12.2528,6.75274,-15.4455,-6.31521,-0.239642,-4.1574,26.3549,32392.6,31.8969,0.407774,0.000464704,0.999466,64.6312,7.71156e-30,11.6382,1.23956e-29,18.7073,37.4146 
4,5,1.8,8,3,4,31411.9,0,5,101,125,0,5,135,-7.47636,-3.62201,9.86735,-1.43855,-4.78706,-229.741,27.6277,32233.7,18.4096,16439.4,-6.58869,-2.73433,11.6427,-0.550879,-3.89938,6.46455,41.0537,33240.6,31.8357,0.517985,0.000705244,0.99948,79.2566,7.38565e-30,11.1464,1.19258e-29,17.9984,35.9967 
5,5,1.8,2,9,5,30431.8,0,5,101,125,0,5,135,-6.11433,-8.95011,-4.14945,8.64307,7.38989,-131.087,9.01235,31046.8,16.3619,16439.4,-5.60784,-8.44362,-3.13647,9.14956,7.89638,-21.0915,16.6731,31621.4,24.0226,0.366439,0.000301207,0.999588,45.5002,7.08061e-30,10.686,1.14667e-29,17.3054,34.6109 
6,5,1.8,6,5,6,31861.1,0,5,101,125,0,5,135,-13.0308,-9.45014,6.74916,5.13398,-1.5697,-160.032,11.2203,32494.3,20.9491,16439.4,-12.4125,-8.83181,7.98582,5.75232,-0.951372,1.94423,20.5725,33195.7,30.3013,0.361339,0.000354008,0.999505,56.9341,7.51959e-30,11.3485,1.19778e-29,18.0768,36.1535 
7,5,1.8,4,7,7,34585.6,0,5,101,125,0,5,135,2.0653,-3.65816,0.430264,2.3752,-2.8535,-89.5543,18.1055,35319.3,21.6455,16439.4,2.41132,-3.31214,1.1223,2.72122,-2.50748,-1.57866,23.3391,35711.8,26.8791,0.419813,0.000373311,0.999592,55.594,7.76251e-30,11.7151,1.25397e-29,18.9247,37.8495 
8,5,1.8,5,6,8,34065.8,0,5,101,125,0,5,135,3.31963,-0.732553,-0.263992,1.94969,3.08655,-160.198,4.33072,34914.3,23.4977,16439.4,3.93861,-0.11358,0.973955,2.56867,3.70553,0.912044,13.6927,35616.4,32.8597,0.257748,0.000219637,0.999499,53.1244,7.24862e-30,10.9395,1.1717e-29,17.6832,35.3664 
9,5,1.8,9,2,9,32682.2,0,5,101,125,0,5,135,5.88989,3.32254,2.0187,-2.03738,-6.28013,-62.2247,13.9261,33041.8,23.786,16439.4,6.13031,3.56296,2.49954,-1.79695,-6.03971,0.426204,17.5625,33314.6,27.4224,0.347984,0.000301151,0.999553,50.4694,7.46004e-30,11.2586,1.20687e-29,18.2139,36.4278 
