cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
0,6,1.8,10,0.01,0,4.35957e-07,7.56214e-07,1.04407e-29,15.757,0.5765,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.32111,-1.93278e-30,1.05282e-12,38602.6,60137.7,1.59975,25.2072,1.47826,23.2929,0.912195,0.0066,1.34761,3.7 
1,6,1.8,0.01,10,1,4.23267e-07,7.85325e-07,1.08426e-29,16.3635,0.538971,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.141479,-8.26782e-31,6.53566e-13,43234.5,63812.2,1.48513,24.3019,1.39655,22.8525,1.08318,0.0066,1.42213,3.7 
2,6,1.8,10,0.01,2,4.47009e-07,7.4453e-07,1.02794e-29,15.5135,0.600391,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.429627,-2.6515e-30,4.92536e-13,36840.7,55417.9,1.67403,25.9701,1.53189,23.765,0.80959,0.0066,1.37864,3.7 
3,6,1.8,0.01,10,3,4.07543e-07,8.16941e-07,1.12791e-29,17.0223,0.498865,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,0.0651332,3.66488e-31,1.10545e-12,48669.1,72923,1.366,23.2525,1.31274,22.3458,1.28212,0.0066,1.43495,3.7 
4,6,1.8,10,0.01,4,4.34487e-07,8.064e-07,1.11336e-29,16.8027,0.538798,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.140624,-8.43569e-31,1.38287e-12,46809.5,72497.7,1.4846,24.9453,1.39618,23.4596,1.084,0.0066,1.39938,3.7 
5,6,1.8,10,0.01,5,4.57007e-07,7.2903e-07,1.00654e-29,15.1905,0.62687,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.54541,-3.44136e-30,8.63297e-13,34587.5,53346,1.75702,26.6902,1.59276,24.1949,0.700302,0.0066,1.34688,3.7 
6,6,1.8,10,0.01,6,4.45712e-07,7.55781e-07,1.04347e-29,15.7479,0.589737,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.381742,-2.34913e-30,4.90001e-13,38536.3,57832.6,1.64081,25.8394,1.50782,23.7451,0.854825,0.0066,1.35991,3.7 
7,6,1.8,0.01,10,7,4.25705e-07,7.4629e-07,1.03037e-29,15.5502,0.570428,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.292854,-1.72125e-30,5.69792e-13,37102.7,56105.5,1.58101,24.5851,1.46483,22.7784,0.938981,0.0066,1.34085,3.7 
8,6,1.8,10,0.01,8,4.5651e-07,7.15903e-07,9.88411e-30,14.917,0.63767,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.591412,-3.72756e-30,1.55815e-12,32752.4,53356.7,1.79096,26.7157,1.61801,24.1359,0.656852,0.0066,1.3352,3.7 
9,6,1.8,10,0.01,9,4.58036e-07,7.32835e-07,1.01179e-29,15.2698,0.625019,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.537455,-3.3988e-30,2.09377e-13,35131.8,52690.2,1.7512,26.7405,1.58846,24.2555,0.707803,0.0066,1.35567,3.7 
10,6,1.8,0.01,10,10,4.34097e-07,7.4808e-07,1.03284e-29,15.5875,0.580281,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.338566,-2.02915e-30,4.43355e-13,37370.2,56182.2,1.61145,25.1185,1.48667,23.1734,0.895664,0.0066,1.36478,3.7 
11,6,1.8,0.01,10,11,4.17449e-07,7.92179e-07,1.09372e-29,16.5063,0.526963,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.0813253,-4.68719e-31,8.51875e-13,44376.3,66272.4,1.44909,23.9192,1.37107,22.6314,1.14085,0.0066,1.42936,3.7 
12,6,1.8,0.01,10,12,4.18261e-07,7.94514e-07,1.09695e-29,16.555,0.526436,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.0786524,-4.54196e-31,5.22311e-13,44770,66377.7,1.44752,23.9637,1.36996,22.6797,1.14342,0.0066,1.39424,3.7 
13,6,1.8,10,0.01,13,4.50645e-07,7.40145e-07,1.02188e-29,15.4221,0.60886,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.467137,-2.90645e-30,3.31147e-13,36193.7,53398.4,1.70052,26.2257,1.5512,23.9228,0.77418,0.0066,1.38843,3.7 
14,6,1.8,0.01,10,14,4.21437e-07,7.3545e-07,1.0154e-29,15.3243,0.573033,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.305022,-1.77479e-30,1.29084e-12,35509.2,55152.6,1.58903,24.3508,1.47058,22.5357,0.927429,0.0066,1.41756,3.7 
15,6,1.8,0.01,10,15,4.13693e-07,7.86006e-07,1.0852e-29,16.3777,0.526323,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.0780801,-4.45967e-31,9.67073e-13,43347,65090.5,1.44718,23.7015,1.36972,22.4329,1.14397,0.0066,1.43301,3.7 
16,6,1.8,10,0.01,16,4.78354e-07,7.13107e-07,9.84552e-30,14.8588,0.670802,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.728543,-4.81159e-30,9.85433e-13,32370.3,51163.5,1.89519,28.1603,1.697,25.2153,0.527131,0.0066,1.32079,3.7 
17,6,1.8,0.01,10,17,4.37405e-07,7.19669e-07,9.93611e-30,14.9955,0.607787,1062.49,2846.28,2770.88,4.92329,21.3147,20.4737,-0.462409,-2.79251e-30,8.43892e-13,33272.1,50936.8,1.69716,25.4498,1.54874,23.2241,0.778642,0.0066,1.39646,3.7 
