cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
12,4.99,0.01,12,15399.7,0,5,101,125,0,5,135,-8.29031,-8.81899,-14.3953,-7.14196,-10.3458,340.91,-29.0837,28144.1,-34.6804,16439.4,-9.60752,-10.1362,-17.0297,-8.45917,-11.663,0.700685,-49.0065,26649.9,-54.6032,0.427891,-0.00105191,1.00111,-114.53,540.507,574.621,0.509177,38024.2,8.9324e-07,0.623911,111.544,86.333,25.8732,26.4443,0.978403,608.508,647.557,0.702754 
13,1.49,3.51,13,14345.3,0,5,101,125,0,5,135,-6.99428,-8.42905,-15.6819,-7.79364,-7.60413,360.508,-15.5828,27634.1,-39.5154,16439.4,-8.38721,-9.82199,-18.4677,-9.18657,-8.99706,0.66337,-36.6509,26054,-60.5835,0.335167,-0.000804493,1.00126,-109.351,505.726,527.104,0.495309,37400,8.88326e-07,0.58121,110.98,87.1813,25.1192,25.4228,0.98806,573.559,598.492,0.659547 
14,2.99,2.01,14,16881.4,0,5,101,125,0,5,135,-11.4399,-8.52453,-17.9308,-9.90967,-11.6365,317.066,-18.0468,29770.1,-44.9665,16439.4,-12.665,-9.74961,-20.3809,-11.1347,-12.8616,0.694859,-36.5762,28380.4,-63.4958,0.32434,-0.000736991,1.00122,-112.771,548.314,586.061,0.555619,40483.3,9.12096e-07,0.621507,111.726,86.4222,25.751,26.3881,0.975858,602.772,644.803,0.683518 
15,4.49,0.51,15,14241.1,0,5,101,125,0,5,135,-1.51579,-6.05628,-12.5297,-7.1784,-6.76627,307.354,-40.6155,27209.9,-32.7073,16439.4,-2.70334,-7.24384,-14.9048,-8.36596,-7.95383,0.637986,-58.5773,25862.8,-50.6691,0.490678,-0.00129592,1.00106,-119.38,585.169,607.44,0.594043,38004.7,8.93088e-07,0.667572,111.303,86.5137,26.4204,26.6721,0.990565,634.519,658.758,0.723921 
16,3.49,1.51,16,14401.4,0,5,101,125,0,5,135,-5.51377,-4.34792,-21.1482,-3.62346,-14.3445,339.119,-43.1521,28151.1,-69.3769,16439.4,-6.82406,-5.6582,-23.7688,-4.93375,-15.6548,0.581826,-62.9702,26664.8,-89.195,0.370404,-0.00135128,1.00182,-170.004,524.084,555.348,0.468866,38614.8,8.97841e-07,0.600874,111.409,86.8925,25.7828,26.326,0.979366,604.263,641.775,0.693593 
17,3.99,1.01,17,15090,0,5,101,125,0,5,135,-7.89132,-11.8448,-14.2888,-9.56511,-9.91483,336.765,-33.642,28577.9,-45.883,16439.4,-9.19251,-13.146,-16.8912,-10.8663,-11.216,0.724504,-53.3225,27101.9,-65.5636,0.403962,-0.00112554,1.00131,-131.999,559.144,592.132,0.683667,38680.3,8.98349e-07,0.64051,111.439,86.3416,25.5045,26.0101,0.980561,591.286,626.463,0.677488 
18,0.49,4.51,18,14804.5,0,5,101,125,0,5,135,-9.23814,-7.37423,-14.145,-11.2509,-8.56538,324.671,-30.0439,28566.4,-55.172,16439.4,-10.4926,-8.6287,-16.6539,-12.5054,-9.81984,0.71336,-49.0177,27143.4,-74.1458,0.35522,-0.001033,1.00149,-137.993,485.698,482.555,0.440406,38844.7,8.9962e-07,0.538142,111.158,87.2182,25.0807,24.7869,1.01186,571.801,568.925,0.634002 
19,0.99,4.01,19,16259.1,0,5,101,125,0,5,135,-7.10391,-2.91317,-12.857,-6.44582,-11.573,288.269,-11.5783,28603,-49.6684,16439.4,-8.21772,-4.02698,-15.0846,-7.55963,-12.6868,0.682935,-28.4248,27339.6,-66.5149,0.262602,-0.000594464,1.00132,-108.243,500.188,521.693,0.500963,38510.7,8.97034e-07,0.569462,111.236,87.0139,24.9221,25.2419,0.987329,564.59,590.006,0.643407 
20,0.01,4.99,20,15763.7,0,5,101,125,0,5,135,-7.39469,-6.10608,-17.7138,-5.91067,-9.93186,383.774,-5.23899,29580.7,-63.4496,16439.4,-8.87752,-7.5889,-20.6794,-7.3935,-11.4147,0.630421,-27.6667,27898.6,-85.8774,0.21165,-0.000567001,1.00167,-130.72,516.915,540.642,0.639196,40173.5,9.09763e-07,0.581081,110.989,86.838,24.639,24.9782,0.986421,551.838,577.742,0.620647 
21,1.99,3.01,21,19614.5,0,5,101,125,0,5,135,-2.95251,-8.08704,-16.8869,-12.5108,-9.19704,295.63,0.587643,32305.9,-36.682,16439.4,-4.09476,-9.22929,-19.1714,-13.653,-10.3393,0.660609,-16.689,31010.1,-53.9586,0.204925,-0.000307625,1.00095,-81.4393,546.649,571.735,0.598314,43057,9.31029e-07,0.600466,111.523,86.6054,25.5089,25.8561,0.986574,591.493,619.066,0.64995 
22,2.49,2.51,22,14713.9,0,5,101,125,0,5,135,-6.64887,-10.5234,-16.9642,-13.7515,-7.76956,373.108,-24.9798,27750.1,-38.2768,16439.4,-8.09049,-11.965,-19.8474,-15.1932,-9.21118,0.691366,-46.7842,26114.8,-60.0812,0.393536,-0.00102475,1.00125,-118.882,497.338,523.104,0.446636,37519.7,8.89273e-07,0.573568,111.578,87.0448,25.3375,25.7583,0.983665,583.571,614.393,0.673341 
