cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,75,0,13185.4,0,5,101,125,0,5,135,-3.44592,-10.2179,-13.9258,-6.09262,-13.3737,320.46,-27.7501,25609,-34.0615,16439.4,-4.68411,-11.4561,-16.4022,-7.33081,-14.6119,0.69896,-46.4777,24204.4,-52.7892,0.423199,-0.00109847,1.00119,-109.825,524.028,519.37,0.473787,35393.2,8.72144e-07,0.598174,111.02,87.0215,25.7406,25.4156,1.01279,602.286,598.155,0.688208 
1,1,1,15970.4,0,5,101,125,0,5,135,-13.1205,-3.32056,-10.7973,-3.52616,-6.12661,313.804,-20.8039,28781.2,-31.66,16439.4,-14.333,-4.53303,-13.2223,-4.73864,-7.33909,0.700623,-39.1426,27405.8,-49.9987,0.394817,-0.000816815,1.00099,-99.1411,455.262,458.223,0.399539,38993.7,9.00769e-07,0.507056,110.702,87.4759,24.7297,24.6353,1.00383,555.91,561.988,0.620515 
2,125,2,15361.5,0,5,101,125,0,5,135,-12.4438,-6.04002,-19.6429,-9.1093,-14.8301,252.426,-33.6537,28378.6,-43.0742,16439.4,-13.4191,-7.01534,-21.5936,-10.0846,-15.8054,0.682064,-48.4055,27272.2,-57.826,0.410924,-0.00101526,1.00115,-117.797,511.692,515.517,0.409035,38924.1,9.00232e-07,0.570521,110.784,87.1853,26.1421,26.0321,1.00423,621.223,627.524,0.69356 
3,2,3,15302.5,0,5,101,125,0,5,135,-8.07081,-6.49445,-19.9173,-6.88416,-14.7963,251.555,-46.8537,28160.2,-55.5745,16439.4,-9.04277,-7.46641,-21.8612,-7.85612,-15.7683,0.64737,-61.5546,27057.6,-70.2754,0.421939,-0.00130166,1.00141,-145.885,523.524,532.558,0.729691,38558.1,8.97402e-07,0.58839,110.91,87.6672,24.5547,24.5501,1.00019,548.067,558.108,0.616295 
4,200,4,16269.1,0,5,101,125,0,5,135,-5.48023,-6.20778,-18.9716,-9.07041,-9.15167,286.665,-35.7498,28687.4,-42.9521,16439.4,-6.58785,-7.3154,-21.1869,-10.178,-10.2593,0.618443,-52.5025,27430.9,-59.7048,0.422902,-0.00109491,1.00118,-124.148,553.351,557.714,0.544972,39381.6,9.03746e-07,0.614695,110.173,86.9935,25.9347,25.8034,1.00509,611.403,616.548,0.679361 
5,50,5,12676.8,0,5,101,125,0,5,135,-9.94691,-3.24652,-9.2813,-7.29885,-12.1508,294.316,-24.2214,25788.8,-47.4071,16439.4,-11.0841,-4.3837,-11.5557,-8.43603,-13.2879,0.762948,-41.4212,24498.8,-64.6069,0.348225,-0.000967073,1.00143,-118.95,547.172,559.369,0.740122,36276.1,8.79337e-07,0.629152,111.008,86.4728,25.0888,25.1383,0.998031,572.17,585.172,0.658035 
6,100,6,15902.6,0,5,101,125,0,5,135,-8.70736,-4.41711,-13.2441,-11.6364,-5.5899,304.059,-23.1264,28842.5,-45.0494,16439.4,-9.88218,-5.59193,-15.5937,-12.8112,-6.76472,0.69209,-40.8956,27509.8,-62.8186,0.351706,-0.000850197,1.00124,-116.278,560.389,554.027,0.53758,39965,9.08187e-07,0.613529,110.347,87.2182,26.1465,25.7811,1.01417,621.429,615.481,0.68097 
7,12,7,16675,0,5,101,125,0,5,135,-7.94106,-13.634,-13.2817,-8.08459,-8.85608,291.298,-24.2567,29598.1,-50.4212,16439.4,-9.06658,-14.7595,-15.5327,-9.21011,-9.9816,0.734713,-41.2802,28321.4,-67.4447,0.33777,-0.000833588,1.00129,-122.214,498.248,494.777,0.478392,40511.9,9.1231e-07,0.544233,110.567,87.738,25.027,24.759,1.01082,569.354,567.646,0.623142 
8,4,8,16117.2,0,5,101,125,0,5,135,-12.6659,-10.3261,-6.47904,-7.31559,-11.3276,351.028,-24.8235,29122.2,-52.36,16439.4,-14.0222,-11.6824,-9.19164,-8.67189,-12.6839,0.836599,-45.3376,27583.6,-72.8741,0.341432,-0.000940108,1.00144,-132.787,503.595,544.065,0.794913,39721.6,9.06339e-07,0.577531,110.895,87.7058,23.9661,24.6915,0.970619,522.106,564.557,0.599022 
9,25,9,14351.4,0,5,101,125,0,5,135,-4.66882,-10.956,-15.0473,-7.60369,-13.4833,302.351,-24.9752,27747.2,-26.1212,16439.4,-5.83704,-12.1242,-17.3838,-8.77191,-14.6515,0.704199,-42.6445,26422,-43.7906,0.447979,-0.000923124,1.0009,-95.1932,513.055,510.444,0.529791,38327.4,8.95609e-07,0.571396,110.525,87.8607,25.0356,24.7782,1.01039,569.747,568.529,0.635476 
10,150,10,11317.3,0,5,101,125,0,5,135,-8.1329,-9.62185,-17.4513,-4.55378,-12.5551,300.807,-12.5638,24332.2,-32.7649,16439.4,-9.29516,-10.7841,-19.7758,-5.71604,-13.7173,0.666447,-30.143,23013.8,-50.3441,0.332866,-0.000749007,1.00119,-90.5559,539.605,546.778,0.56165,34195.8,8.62196e-07,0.629995,110.904,87.4173,25.5183,25.4563,1.00243,591.928,600.073,0.691242 
11,0.5,11,10974.3,0,5,101,125,0,5,135,-8.00662,-11.0006,-10.2075,-5.62122,-16.0084,306.588,-21.9624,23549.3,-41.4469,16439.4,-9.19122,-12.1852,-12.5767,-6.80581,-17.1929,0.78298,-39.8794,22205.5,-59.3639,0.358898,-0.0010273,1.00145,-111.116,504.688,518.49,1.06006,33037.7,8.52351e-07,0.600154,111.075,87.777,23.7504,23.8544,0.99564,512.753,526.927,0.609833 
12,8,12,17678.3,0,5,101,125,0,5,135,-8.20715,-10.3162,-11.6579,-10.0573,-10.1181,302.928,-35.9982,30387.9,-50.3255,16439.4,-9.37761,-11.4867,-13.9988,-11.2277,-11.2886,0.75603,-53.7014,29060.1,-68.0286,0.396801,-0.00105708,1.00127,-135.336,502.761,498.155,0.538833,41359.8,9.18631e-07,0.544781,110.366,88.138,24.7311,24.4157,1.01292,555.97,552.016,0.60306 
