Run           ,B (G)       ,omega (kHz)     ,Amplitude   ,f0 (MHz)     ,Width      ,Offset      ,median    ,lower     ,upper     ,sigma_M    ,sigma_P    ,N_fits      
130us         ,      202.10,      2.5000,     2291.56,     44.7555,        0.01,    29605.34,       44.76,       44.61,       44.87,        0.14,        0.12,         100
209us         ,      202.10,      2.5000,     2578.22,     44.8300,        0.02,    29546.16,       44.83,       44.77,       44.97,        0.06,        0.14,         100
249us         ,      202.10,      2.5000,     1589.30,     44.8183,        0.02,    26234.94,       44.82,       44.71,       44.93,        0.11,        0.11,         100
290us         ,      202.10,      2.5000,     1664.04,     44.8598,        0.02,    26697.51,       44.86,       44.72,       44.98,        0.14,        0.12,         100
329us         ,      202.10,      2.5000,     1749.39,     44.8424,        0.02,    25446.89,       44.84,       44.74,       44.93,        0.10,        0.09,         100
369us         ,      202.10,      2.5000,     2557.22,     44.8100,        0.03,    26056.65,       44.81,       44.72,       44.88,        0.09,        0.07,         100
409us         ,      202.10,      2.5000,     2792.48,     44.7556,        0.02,    25827.71,       44.76,       44.65,       44.84,        0.10,        0.09,         100
449us         ,      202.10,      2.5000,     2093.81,     44.8113,        0.02,    26599.99,       44.81,       44.73,       44.92,        0.08,        0.11,         100
489us         ,      202.10,      2.5000,     2005.93,     44.8512,        0.03,    24995.25,       44.85,       44.74,       44.99,        0.12,        0.14,         100
529us         ,      202.10,      2.5000,     3129.13,     44.8015,        0.02,    24728.98,       44.80,       44.70,       44.93,        0.10,        0.12,         100
570us         ,      202.10,      2.5000,     2200.17,     44.8420,        0.01,    26170.64,       44.84,       44.75,       44.92,        0.09,        0.08,         100
