cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,7,0,22002.2,-0.0552044,36.2361,13.3619,98.5027,-0.00821757,24.4663,476.116,3.56598,2.30284,3.31062,-2.69123,2.10634,-100.292,9802.6,76.9357,12243.5,15768.3,4.19749,2.93435,4.57364,-2.05972,2.73785,0.63067,9943.27,87.3556,12384.2,0.491702,0.984858,0.0128272,20222.1,0.000309831,0.894488,12.7964,10.3062,98.5776,72.2825,0.892752,13.4665,12.3076,97.9587,123.181,0.618951,-50.899 
1,0,1,24807.1,0.0117365,41.5845,13.0371,98.2887,-0.00909747,-26.0587,500,3.01895,1.39822,2.66626,-0.132957,-1.03749,-153.727,11508,80.5845,13296.1,17656.3,3.98693,2.36619,4.60221,0.835022,-0.0695098,0.607348,11723.7,96.5562,13511.8,0.511093,0.985792,0.0129928,22938.4,0.000335462,1.07084,12.5765,10.2797,98.2911,73.2459,0.998716,13.1003,12.3483,97.8114,124.484,0.479613,-51.2379 
2,9,2,21158.6,-0.0620992,34.8164,13.4028,98.564,0.0338235,-18.0726,9.39365,-0.458343,0.138416,3.16686,-0.803358,1.5817,-80.9418,9604.98,71.7695,11625.4,15210.5,0.0513257,0.648085,4.1862,-0.293689,2.09137,0.373632,9718.51,80.1791,11739,0.499362,0.985768,0.0124255,19461.9,9.44165e-05,0.83928,12.8789,10.729,98.6248,73.2498,0.82966,13.5662,12.6341,97.951,124.568,0.67372,-51.3181 
3,0,3,23971.4,0.0255792,39.9464,13.1324,98.4499,-0.0658578,-2.46911,500,2.82396,0.634145,2.12902,-2.75944,-1.43505,-144.53,11081.5,74.9333,12930.8,17082.6,3.73402,1.54421,3.94915,-1.84937,-0.524981,0.423737,11284.2,89.9494,13133.5,0.50864,0.986242,0.0124591,22185,0.000371267,1.04027,12.6066,10.1387,98.4437,72.7659,0.957943,13.2587,12.3113,97.8709,123.767,0.572818,-51.0008 
4,6,4,20886.7,-0.0216918,34.7498,13.1267,98.592,-0.0599184,24.1908,1.06644,-0.337068,-1.91514,-4.14523,2.20856,0.894895,-120.407,9077.44,112.825,11598.8,14896.4,0.421101,-1.15697,-2.62889,2.96673,1.65306,3.09467,9246.32,125.335,11767.7,0.486302,0.976828,0.0192422,19013.5,0.000605914,0.874784,12.3962,10.1378,98.6644,73.9333,0.878093,13.0687,12.094,98.0672,125.482,0.597182,-51.549 
5,8,5,20975.3,-0.0375958,34.5936,13.2937,98.2283,0.50705,131.843,21.0477,-0.948275,2.0589,2.76798,4.18834,0.45414,-106.869,9508.45,77.814,11448,17146.8,-0.27535,2.73183,4.11383,4.86127,1.12706,0.67243,9658.34,88.9172,11597.9,0.500832,0.984144,0.0139261,19284.6,0.000270801,0.855242,12.7702,10.49,98.1797,72.6403,0.828644,13.4704,12.4748,97.7508,123.642,0.428853,-51.0015 
6,4,6,23397.3,-0.0351003,38.6905,13.2387,98.3497,0.11134,48.3114,59.7148,-1.54219,-1.21782,2.59196,1.03948,-0.889997,-104.781,11028.5,80.0403,12317.3,16849.2,-0.88241,-0.558037,3.91152,1.69926,-0.230216,0.0072586,11175.5,90.9267,12464.2,0.519287,0.985961,0.01326,21520.8,0.000292189,1.01237,12.8233,10.2822,98.4505,72.8458,0.911074,13.3136,12.3462,97.6526,123.678,0.797896,-50.8326 
7,2,7,22961.6,-0.0153174,38.5814,12.9725,98.5085,0.0243484,6.25147,3.45157,-2.0396,-0.525121,0.540117,1.726,-0.448525,-179.522,10509.8,92.8773,12395.4,16297.8,-0.909195,0.605281,2.80092,2.85641,0.681877,0.535909,10761.6,111.529,12647.2,0.506219,0.982187,0.0159848,21258.8,0.000465378,0.984731,12.4635,10.2691,98.5347,72.3468,0.940018,13.0252,12.2341,97.9405,122.965,0.594177,-50.6186 
8,5,8,21891.1,-0.0311871,36.47,13.1353,98.2858,-0.00132655,-25.1878,295.942,2.30558,1.84728,0.547761,2.64781,1.40791,-172.712,9904.59,83.4444,11987.5,15595.5,3.3931,2.9348,2.7228,3.73533,2.49543,0.821823,10146.8,101.389,12229.8,0.499904,0.982814,0.0150419,20297.5,0.000255781,0.91103,12.5284,10.4765,98.4031,72.7467,0.887091,13.2747,12.3677,97.5913,123.753,0.811769,-51.006 
9,0,9,25199.6,-0.00979473,40.9151,13.4054,98.5432,0.139096,26.769,163.789,1.20998,1.71973,1.42579,-0.623853,-1.2854,-159.006,11683.1,86.9894,13301.5,17976.1,2.2112,2.72095,3.42822,0.377363,-0.284179,0.594464,11906.1,103.509,13524.5,0.514715,0.985014,0.0139025,23131.4,0.000544968,1.04562,12.8432,10.4468,98.5604,72.8084,0.958534,13.5569,12.4673,98.0184,124.021,0.541973,-51.2122 
