cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,40,41,10,12,17699,-0.0561069,32.8426,12.4608,118.624,-0.0107653,-11.2624,0.00502661,-5.99087,-5.13692,-9.00008,-5.88605,-3.2743,-162.623,9087.61,20.9882,9617.92,13326.2,-4.96687,-4.11292,-6.95209,-4.86205,-2.25031,0.699619,9217.14,32.7642,9747.46,0.486018,0.993818,0.00615378,18964.6,-0.00130916,0.869794,12.8473,10.2667,118.132,87.0918,0.843939,12.5856,11.3311,117.966,136.494,0.165375,-49.4018 
13,60,61,10,13,17850.8,-0.268515,32.5826,12.835,118.455,0.430322,120.07,297.607,-5.93605,-2.09346,-7.01657,-5.25907,-1.21958,-185.614,9175.86,-0.350513,9560.5,15295.7,-4.76729,-0.924701,-4.67905,-4.09031,-0.0508198,0.677578,9323.71,13.0902,9708.35,0.489895,0.997549,0.00247765,19032.1,-0.00129261,0.867798,12.986,10.3143,117.849,87.5484,0.812482,12.8987,11.4956,117.95,137.091,-0.101249,-49.5429 
14,50,51,10,14,18876.3,-0.0765918,34.2619,12.7128,118.604,-1.96983,1261.44,495.814,-6.42352,-5.77793,-4.80647,-4.07241,-6.23413,-211.301,9404.03,32.2165,10295.6,95068.4,-5.09301,-4.44742,-2.14546,-2.74191,-4.90362,0.889017,9572.34,47.5173,10463.9,0.477751,0.991388,0.00829572,20036.3,-0.00122982,0.880569,12.9224,10.4222,118.001,87.7227,0.872654,12.9521,11.4848,117.9,137.334,0.101684,-49.6112 
15,3,4,10,15,23882.7,-0.202657,42.9233,12.7417,118.55,-0.19948,44.4526,0.00139445,-6.24683,-5.92128,-4.17505,-0.0329179,-1.50299,-172.104,12356,73.0496,12193.1,18092.6,-5.16314,-4.83759,-2.00767,1.05077,-0.419297,0.823531,12493.1,85.512,12330.2,0.503281,0.988163,0.0126142,24823.3,-0.00104589,1.16546,12.9123,10.2927,118.037,86.8669,1.05117,12.6128,11.4881,117.868,136.09,0.168141,-49.2229 
16,5,6,10,16,22942.4,0.133758,41.0575,-12.4902,118.474,-0.0704938,-49.8745,1.04412e-10,-6.03445,-3.65762,-9.70643,-0.134992,-2.54649,-155.091,11954.1,33.889,11564.5,16808.3,-5.05788,-2.68106,-7.7533,0.841572,-1.56993,0.522009,12077.6,45.1194,11688,0.508197,0.993505,0.00706091,23765.6,-0.000927719,1.14085,12.744,10.2984,117.875,86.8956,1.01629,12.5941,11.2751,117.901,135.954,-0.0254838,-49.0586 
17,16,17,10,17,16258.5,-0.271951,30.0705,12.7699,118.607,0.426745,81.7517,241.67,-6.86818,-6.2037,-3.12522,-3.92671,-1.80244,-198.167,8230.92,16.8665,9031.74,13636.1,-5.62038,-4.9559,-0.629617,-2.67891,-0.554636,0.956396,8388.76,31.2163,9189.59,0.477221,0.99353,0.00621857,17578.4,-0.00135466,0.777333,12.8383,10.4287,117.902,86.5392,0.775564,13.0399,11.2704,118.017,136.01,-0.115317,-49.4711 
18,14,15,10,18,16882.2,-0.230354,30.4723,12.8913,118.4,0.137138,7.60244,89.2992,-4.51308,-6.68833,-5.34842,-2.79761,-2.66716,-159.79,8492.27,23.8269,9129.19,12821.8,-3.50692,-5.68217,-3.3361,-1.79145,-1.661,0.791202,8619.55,35.3977,9256.47,0.482185,0.992865,0.00699512,17876,-0.00108516,0.797014,13.0831,10.3005,117.978,87.5934,0.780899,12.922,11.3519,117.76,136.886,0.218335,-49.2928 
19,4,5,10,19,22135.8,-0.245499,40.8832,12.4418,118.613,0.296192,321.217,488.333,-9.45135,-4.89812,-6.39396,-3.30078,-5.07857,-159.675,11571.4,17.6636,11347.2,19655.8,-8.44591,-3.89269,-4.3831,-2.29535,-4.07314,0.810175,11698.6,29.226,11474.4,0.504839,0.995647,0.00467007,23173,-0.00109519,1.16997,12.5656,9.88887,118.098,87.3455,1.02994,12.4335,11.0185,117.985,136.462,0.112254,-49.1162 
20,7,8,10,20,22165,-0.180227,39.5939,-12.8205,118.316,0.427495,-171.021,188.953,-4.18241,-6.32914,-9.05804,-2.65515,-6.93477,-162.49,11381.4,38.6152,11441.1,18904.6,-3.15926,-5.30599,-7.01173,-1.63199,-5.91161,0.695415,11510.8,50.3815,11570.6,0.498705,0.992399,0.00795722,23081.4,-0.00111883,1.06134,12.9541,10.4377,117.891,87.2549,0.963501,12.7683,11.6777,117.743,136.622,0.148086,-49.3671 
21,2,3,10,21,22998.6,-0.242916,42.4401,12.4201,118.596,-0.0658395,-8.87314,227.458,-5.76314,-5.9834,-6.50649,-4.58178,-5.48645,-201.004,12450.7,44.2322,11274.8,17178.2,-4.49747,-4.71773,-3.97515,-3.31611,-4.22078,0.808216,12610.8,58.7874,11434.9,0.52445,0.991908,0.00938149,24045.7,-0.0010686,1.22848,12.5487,10.1445,118.158,86.6873,0.997367,12.4441,11.3041,117.91,135.688,0.248318,-49.0008 
