cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,2.2,0,15731.8,-0.00428836,28.4191,-13.5159,113.556,-0.0182951,-7.1212,500,0.533441,0.760958,-3.13741,0.570672,-1.3659,13.1604,597,114.04,16430.5,12508.3,0.450574,0.678091,-3.30315,0.487805,-1.44877,-0.0534867,586.518,113.087,16420,0.0351669,0.747708,0.012528,16678.1,-0.00244366,0.0309636,9.80198,91.7235,119.215,98,1.19374,13.8643,12.1835,112.513,137.433,6.7021,-39.4327 
1,6,1,13481.6,-0.530284,23.725,14.8778,113.263,-0.875136,-390.49,52.731,0.531976,-1.64441,3.18106,1.81832,1.56198,45.3008,4679.15,121.793,9967.43,22615,0.246729,-1.92966,2.61057,1.53307,1.27674,0.30151,4643.07,118.513,9931.34,0.322979,0.957242,0.0215094,14375.8,-0.00199591,0.316046,14.7655,12.9537,113.001,87.5684,0.605307,15.1159,14.479,112.506,137.643,0.494452,-50.075 
2,2,2,16048.4,-0.377905,29.4609,13.7572,113.126,0.775796,-54.3256,500,1.20469,2.00161,-2.18839,-1.2358,-0.186325,41.325,515.509,148.043,16975.5,14565.8,0.944477,1.7414,-2.70882,-1.49601,-0.446538,-0.378193,482.592,145.05,16942.5,0.0282444,0.655313,0.015526,17086.3,-0.00184925,0.0305519,11.428,26.1986,115.724,90.9562,1.25782,13.8435,12.2441,112.243,137.016,3.48104,-46.0595 
3,3,3,17189.5,-0.0209143,29.6798,14.0654,113.557,-0.137132,74.6428,25.3998,2.02288,1.98882,-3.37879,-0.885731,0.484502,36.4954,2036.31,157.361,16408.6,13922.9,1.79307,1.75902,-3.8384,-1.11553,0.2547,-2.34606,2007.24,154.718,16379.5,0.111148,0.881143,0.0171026,18059.2,-0.00199439,0.138791,13.6277,13.9946,113.445,87.8113,1.0886,14.4677,13.4529,112.715,137.879,0.730861,-50.068 
4,10,4,13159.5,-0.621302,23.0268,15.4733,112.91,0.457748,417.24,203.098,1.96089,0.220513,0.795926,2.22805,-0.262553,33.3636,6386.35,147.953,8042.49,17816.1,1.75081,0.0104315,0.375762,2.01797,-0.472635,0.897956,6359.78,145.537,8015.91,0.447387,0.961495,0.032363,14215.4,-0.00232156,0.389604,15.5455,13.8413,112.66,88.2773,0.455078,15.6724,15.3769,112.282,138.501,0.378462,-50.2238 
5,2.5,5,14138.1,-0.162226,26.4136,13.4301,113.437,-0.0642919,82.2852,2.48625e-10,-1.1315,-0.74917,1.84568,-0.58146,0.627226,52.3955,903.391,98.2942,14852.6,11720.1,-1.46142,-1.07909,1.18584,-0.911381,0.297306,1.60233,861.657,94.5001,14810.9,0.0560378,0.838978,0.0116169,15376.3,-0.00189401,0.0676344,12.422,14.5511,112.985,86.5716,1.11744,13.7034,12.234,112.603,137.578,0.382218,-51.0059 
6,5,6,14195,-0.266242,24.5822,14.6083,113.327,0.60116,-1346.15,500,-1.28833,-0.477435,-1.71414,1.41881,-0.476444,95.8794,3798.6,146.855,11593.8,38033.8,-1.89206,-1.08116,-2.92159,0.815088,-1.08017,0.525707,3722.23,139.912,11517.4,0.247995,0.93828,0.0218878,15009.3,-0.00192088,0.264341,14.5248,12.6774,112.571,88.4893,0.73242,14.8921,13.9315,112.642,138.411,-0.0703599,-49.9216 
7,8,7,13475,-0.611554,23.5252,15.3899,113.054,0.454121,89.5781,10.776,2.01221,2.17648,2.66494,-0.711091,-0.470524,63.705,5474.98,140.973,9228.23,13110.1,1.61108,1.77534,1.86268,-1.11222,-0.871657,0.42954,5424.24,136.36,9177.49,0.376208,0.957861,0.026641,14418.2,-0.00222797,0.351944,15.4152,13.1314,112.507,88.4766,0.532699,15.5807,15.0398,112.492,138.601,0.014903,-50.1245 
8,4,8,14863.4,-0.31248,26.4229,14.3862,113.23,0.654226,-152.72,500,-0.210349,0.676545,-1.30588,-1.01044,-0.246928,36.3424,3153.57,134.941,13065.9,15626.8,-0.439187,0.447707,-1.76355,-1.23928,-0.475766,0.491783,3124.62,132.309,13037,0.196507,0.93101,0.018352,15900.9,-0.00202953,0.225877,13.8158,12.9655,112.833,88.1851,0.846384,14.741,13.615,112.423,137.77,0.409318,-49.5852 
9,1.5,9,15815,-0.043316,29.2389,13.4032,113.367,0.00903461,-0.353318,500,-0.855051,-2.01026,-1.58855,-1.6624,2.25268,47.5826,221.049,151.636,17207,12757.6,-1.15467,-2.30988,-2.18778,-1.96201,1.95307,0.613553,183.147,148.19,17169.1,0.0107677,0.413911,0.0156508,17008.9,-0.00179056,0.0144617,-17.9962,8.51659,113.176,73.4529,1.28786,13.5949,12.363,112.508,138.093,0.667884,-64.6397 
10,2.2,10,17281.2,-0.530263,30.9093,14.0898,113.56,0.366562,345.773,393.743,-0.212995,1.89195,0.66643,0.558072,0.432594,66.6575,737.203,162.257,17807.8,18303.2,-0.632719,1.47222,-0.173018,0.138348,0.0128693,1.21159,684.108,157.43,17754.7,0.0378301,0.712902,0.0160714,18083.7,-0.00185739,0.043784,12.3564,21.1174,115.294,90.0946,1.25116,14.0138,12.8978,112.774,138.752,2.52071,-48.6569 
11,6,11,13741.4,-0.0421367,23.7369,14.7619,113.258,0.0709095,-116.407,500,0.548001,0.787533,-0.420391,-0.805863,2.7508,67.8504,4972.29,150.612,10152.9,11675.4,0.120765,0.360297,-1.27486,-1.2331,2.32356,5.29739,4918.25,145.699,10098.8,0.331975,0.950713,0.0258886,14815.1,-0.00228817,0.324394,14.8854,13.4022,112.92,89.0678,0.610372,15.3379,14.4689,112.52,138.86,0.399882,-49.7918 
12,2,12,16818.7,-0.293852,30.7491,13.5206,113.439,0.0415084,644.183,500,0.202768,-1.07538,-3.15959,-0.0309196,2.39965,52.4486,523.238,129.128,17596.6,14404.4,-0.127487,-1.40563,-3.8201,-0.361174,2.0694,-0.0480401,481.461,125.33,17554.8,0.027224,0.687027,0.0129808,17685.2,-0.00166347,0.0304675,12.5307,21.9882,115.324,89.7253,1.32787,13.5472,12.275,112.602,137.591,2.722,-47.8658 
13,3,13,15601,-0.471386,27.74,14.1432,113.271,0.192484,-442.362,150.386,1.89523,0.720039,-1.31134,0.0598653,1.74517,91.6521,1652.44,129.033,14987.1,15543.6,1.31812,0.14293,-2.46556,-0.517244,1.16806,-5.97096,1579.44,122.396,14914.1,0.0975247,0.880581,0.0148926,16195.2,-0.00152053,0.124417,13.2656,12.7855,113.566,87.8421,1.04375,14.2122,12.8893,112.427,137.693,1.13915,-49.8506 
14,10,14,13201.1,-0.631866,22.7662,15.7427,113.479,-0.296033,208.549,463.294,1.17132,1.0269,0.0315657,-0.43427,0.166385,95.592,6435.37,147.302,8084.7,13676.9,0.569398,0.424979,-1.17227,-1.03619,-0.435532,0.289366,6359.23,140.38,8008.55,0.447593,0.962806,0.0312798,14207.6,-0.00235519,0.393089,15.8309,13.6298,113.006,88.4003,0.467116,15.8363,14.8242,112.904,138.64,0.101842,-50.2392 
15,2.5,15,17856,-0.563218,31.4853,14.3473,113.477,-0.0579591,708.81,120.644,-0.389472,-1.09485,-2.60194,0.418804,0.713922,42.1903,1173.65,153.732,17892.7,16042.6,-0.655133,-1.36051,-3.13326,0.153143,0.448261,0.310992,1140.04,150.677,17859,0.0611547,0.812154,0.015304,18641.9,-0.00184385,0.0768369,12.7842,15.8531,113.282,87.0923,1.22993,14.2448,13.0623,112.682,137.728,0.599863,-50.6352 
16,5,16,14827.5,0.00877888,25.1784,14.4743,113.408,-0.00706926,-0.343879,1.88285e-10,0.00979255,0.664328,-3.21049,-2.38484,0.725112,105.22,4353.2,149.972,11413.8,11863.8,-0.652751,0.00178393,-4.53558,-3.04738,0.0625683,0.444942,4269.38,142.352,11330,0.277723,0.944867,0.022621,15372.8,-0.00168104,0.302281,14.2394,12.808,113.237,88.4087,0.706146,15.1309,14.0314,112.556,138.37,0.681763,-49.9608 
17,8,17,14231.1,-0.183066,23.8572,14.9935,113.189,0.0963874,14.8862,500,0.8729,1.65515,-4.17303,0.565584,1.89622,139.687,5895.64,146.994,9256.55,11691.1,-0.00667284,0.775576,-5.93218,-0.313988,1.01664,-0.3299,5784.37,136.879,9145.28,0.392247,0.960235,0.0268314,14746.7,-0.0019031,0.380859,15.4707,13.0061,112.899,87.9877,0.547224,15.4211,14.7166,112.634,138.267,0.265277,-50.2792 
18,4,18,14913.7,-0.0751947,26.6424,-14.0149,113.327,-0.00212457,41.134,500,-1.52,1.42462,3.81976,0.514187,-0.315537,68.6654,2836.21,123.231,13402.2,12157.9,-1.95237,0.992253,2.95503,0.0818192,-0.747904,-1.22378,2781.52,118.259,13347.5,0.175356,0.93075,0.0160589,15862.1,-0.00196229,0.205446,13.475,13.0313,112.717,87.6235,0.878682,14.5573,13.5982,112.634,137.961,0.0824444,-50.3379 
19,1.5,19,15850.9,-0.00826615,28.8796,13.2058,113.099,-0.00899261,-20.6491,500,1.24314,0.303013,-2.72507,0.399938,1.16701,61.9892,179.895,123.631,16921.1,12421.2,0.852813,-0.0873171,-3.50573,0.00960836,0.776676,-0.794175,130.518,119.142,16871.7,0.00783198,0.38499,0.0128413,16664.8,-0.00139361,0.0149578,13.9551,10.5834,113.386,75.5049,1.31972,13.3605,11.989,112.372,137.359,1.01375,-61.8541 
20,2.2,20,15717.1,-0.50698,29.141,13.6883,113.263,0.00472983,249.807,474.513,0.566462,0.531097,3.44964,0.0827856,1.58361,93.8333,693.22,106.985,16577.3,13023.7,-0.0243811,-0.059746,2.26795,-0.508057,0.992766,0.150113,618.479,100.19,16502.5,0.0368341,0.779126,0.0110601,16791,-0.00188882,0.0414995,12.2533,20.82,114.857,89.1935,1.24328,13.6408,12.2793,112.443,138.424,2.41332,-49.2302 
21,6,21,13853.5,-0.107196,24.1749,14.4989,113.319,0.0519592,-87.1382,500,0.0143618,-0.918363,-0.737237,-0.994358,1.06796,95.4857,4749.09,136.841,10434,11557.6,-0.586886,-1.51961,-1.93973,-1.59561,0.466712,0.625181,4673.04,129.927,10358,0.315237,0.953601,0.0225849,14823.9,-0.00210154,0.323236,14.7771,12.7787,113.03,88.3927,0.642771,15.0652,14.2423,112.502,138.516,0.528877,-50.1236 
22,2,22,16346.4,-0.237444,29.8989,13.3841,113.423,0.182301,108.593,9.38299e-08,-1.15383,2.76287,0.548186,-0.533519,1.31425,65.4046,438.329,137.229,17178.7,13671.3,-1.56566,2.35104,-0.275484,-0.945354,0.902415,1.58996,386.232,132.493,17126.6,0.0224942,0.624875,0.0140505,17170.3,-0.00165944,0.0288941,11.0612,23.8179,116.21,90.9597,1.28632,13.6268,12.3087,112.628,137.553,3.58111,-46.5931 
23,3,23,16251.6,-0.43405,29.0694,14.0708,113.282,15.4739,-5772.51,0.00813908,1.15477,1.4588,2.51528,-1.28257,0.404241,67.1498,1645.34,127.019,15933.9,2.92108e+06,0.73195,1.03598,1.66963,-1.70539,-0.0185833,0.0256497,1591.86,122.157,15880.4,0.0927942,0.881607,0.013972,17154.7,-0.00177134,0.130189,12.4654,12.6177,113.348,87.8228,1.10644,14.2084,12.9307,112.497,138.473,0.8514,-50.6506 
24,10,24,11744.4,-0.578296,20.3797,15.7355,113.217,0.0608961,-2021.2,148.259,-0.0981646,0.930178,-0.858333,-1.87943,2.13019,115.223,5797.73,119.957,7154.7,14446.1,-0.823693,0.20465,-2.30939,-2.60496,1.40466,0.440654,5705.95,111.613,7062.92,0.451863,0.966902,0.0282867,12627.6,-0.0020997,0.369725,15.3268,13.4183,113.053,88.5847,0.412184,15.8878,14.8185,112.454,138.758,0.598816,-50.1731 
25,2.5,25,15572.2,-0.503805,28.4401,13.9023,113.252,0.318573,31.1805,1.03019,1.7386,1.60517,1.6349,0.787389,-0.413155,32.6292,964.284,126.779,15969,13194.4,1.53314,1.39971,1.22398,0.581931,-0.618613,0.702928,938.294,124.416,15943,0.056652,0.811657,0.0141717,16562.4,-0.00171538,0.0661085,12.3895,16.2572,114.023,88.5412,1.1662,13.7736,12.5345,112.444,138.065,1.57855,-49.5239 
26,5,26,15571.5,-0.545282,26.7381,14.9626,113.492,-0.106615,1344.33,60.2087,1.61772,0.0498478,1.452,0.0749675,1.85001,104.604,3918.13,138.684,12717.7,17689.4,0.95906,-0.608817,0.134667,-0.583697,1.19135,0.876742,3834.81,131.109,12634.4,0.236476,0.943547,0.0187573,16216.5,-0.00189147,0.271074,14.3775,12.8273,113.196,88.0058,0.783865,15.0908,14.1259,112.74,138.618,0.455766,-50.6124 
