cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,6,11,11331.9,0.0317596,14.5036,16.7231,94.7794,0.154803,-52.5304,17.9053,0.617135,1.9104,5.06484,1.63517,-0.359872,-83.0029,1357.29,90.0006,8756.19,8160.36,1.13978,2.43304,6.11014,2.15782,0.162775,0.490973,1473.71,98.6242,8872.61,0.158777,0.895163,0.0200652,9281.61,2024.44,1218.54,48755.1,0.00148468,0.0566816,15.8875,15.8835,95.4684,72.8077,0.420309,16.2179,15.6688,94.6888,126.236,0.779544,-53.4287 
12,7,12,12309.2,0.0161039,15.8406,16.7638,94.7608,-0.0135233,-7.88283,498.021,-0.378022,0.340558,3.67807,2.46888,-0.0485938,-89.9347,1647.58,115.535,9339.72,8647.93,0.188273,0.906853,4.81066,3.03517,0.517701,0.491401,1773.73,124.879,9465.86,0.175552,0.890307,0.0237255,10103.7,2249.86,1791.33,53855.7,0.00148172,0.0744337,15.4723,15.4694,95.3084,72.6988,0.43169,16.2692,16.4178,94.5268,126.042,0.781645,-53.3431 
13,8,13,10342.1,0.0344512,13.0159,16.9591,94.6105,0.0478174,-10.9094,326.398,-0.162642,-0.96755,-0.788113,0.348762,1.38887,-89.0246,1454.68,90.4283,7704.07,7202.76,0.397922,-0.406986,0.333015,0.909326,1.94943,0.895367,1579.55,99.6777,7828.93,0.186509,0.900549,0.0229161,8469.01,1592.41,1372.24,37422,0.00144298,0.0609474,15.7534,15.9213,95.6063,72.0873,0.36455,16.2879,15.8633,94.5159,125.908,1.09032,-53.8212 
14,9,14,11216.2,0.0494484,13.8651,17.1673,94.915,-0.0258413,-9.99198,490.925,0.0508217,-0.418897,1.44546,2.97828,-0.724958,-87.9928,1610.47,111.74,8182.5,7756.94,0.604889,0.13517,2.5536,3.53235,-0.170891,0.616295,1733.89,120.882,8305.91,0.191737,0.891261,0.0261096,9043.1,1755.51,1675.52,41217.1,0.00168353,0.0693545,15.9343,15.561,95.5774,72.97,0.37676,16.4516,16.1522,94.7366,126.477,0.840816,-53.5065 
15,10,15,10590.8,0.0028302,13.1106,17.343,95.1055,-0.00174408,-1.17394,2.42451e-11,1.26251,1.36257,3.65133,1.95404,0.618723,-88.3279,1658.66,101.292,7720.75,7401.93,1.81869,1.91875,4.76368,2.51022,1.1749,0.609093,1782.55,110.469,7844.64,0.205225,0.90216,0.0252847,8685.83,1562.03,1736.7,36397.8,0.00140028,0.0712712,16.8135,15.0878,95.8018,73.304,0.35167,16.5773,16.2884,94.8866,126.504,0.915176,-53.2004 
16,0,16,10834.8,0.0503533,14.2706,16.0917,94.8891,-0.0194522,-25.774,0.0155722,-0.00112217,-0.674059,1.56587,0.703496,0.909187,-64.1279,434.392,70.2451,9122.83,7491.8,0.402674,-0.270262,2.37346,1.10729,1.31298,0.518192,524.338,76.9078,9212.77,0.0607465,0.795746,0.0151449,8631.58,2322.58,292.333,57554.1,0.00171415,0.0107244,13.2925,22.5007,96.4748,68.8607,0.484674,15.1852,14.8188,94.7267,125.33,1.74808,-56.4688 
17,0,17,11919.8,0.0067765,15.9009,16.0688,94.7887,-0.0012246,2.82232,1.03145e-10,1.1814,1.45815,2.63341,1.34488,1.44394,-53.8588,497.429,86.2476,10127.4,8317.75,1.52053,1.79729,3.31168,1.68401,1.78307,0.672,572.971,91.8433,10202.9,0.0599873,0.780937,0.0163116,9551.54,2809.11,316.346,70079.5,0.00174194,0.0139369,13.2679,19.945,96.9475,67.8031,0.531348,15.2206,15.0293,94.5651,126.084,2.38236,-58.2807 
18,0,18,12061.6,0.0206905,16.1614,16.0661,94.8874,-0.0618279,-7.72387,497.409,1.90395,1.69946,4.57518,0.738875,2.34789,-53.6168,427.422,73.5982,10409.4,8468.02,2.24156,2.03707,5.2504,1.07649,2.6855,0.604966,502.624,79.1688,10484.6,0.051662,0.783918,0.0137188,9729.1,3010.41,309.606,75256.4,0.00161874,0.0132344,14.2907,15.3261,99.0427,65.8734,0.553091,15.2485,14.8864,94.7182,125.485,4.32448,-59.6121 
19,2,19,11818.3,0.0608296,15.4478,16.1715,94.8023,-0.0539657,-13.2447,409.522,3.03926,1.92137,7.04521,2.48969,2.15116,-69.9287,502.748,86.1024,9910.41,8155.51,3.47958,2.36169,7.92586,2.93001,2.59148,0.589092,600.83,93.3677,10008.5,0.0638617,0.786197,0.0168944,9408.3,2716.02,340.975,67455,0.00188147,0.014698,13.7521,18.4411,94.384,70.6195,0.52337,15.2633,14.8461,94.6456,125.391,-0.261643,-54.7719 
20,4,20,11341.6,0.0506257,14.4439,16.6296,95.1112,0.00341183,-38.5256,500,-0.467868,-0.813867,-1.85613,-1.19156,-1.22166,-65.5013,973.768,85.2854,9039.68,7823.46,-0.0554241,-0.401422,-1.03124,-0.779118,-0.809221,0.664792,1065.64,92.0907,9131.55,0.117085,0.868635,0.0182386,9101.41,2192.38,712.703,53631.6,0.00176563,0.0401617,14.9058,14.8787,96.5458,71.2905,0.452313,15.686,15.3574,94.9613,125.059,1.5845,-53.7689 
21,6,21,11239.9,0.0431956,14.1934,16.8564,95.0904,-0.103516,-91.1497,497.877,0.180522,0.992168,3.94117,-0.400874,-0.0444627,-89.7838,1290.36,87.8675,8653.58,8095.5,0.745867,1.55751,5.07186,0.164471,0.520882,0.370783,1416.29,97.1957,8779.51,0.154917,0.892779,0.0199859,9142.26,1964.08,1192.37,47233.6,0.00154824,0.0610706,15.3839,14.2016,96.3172,72.8745,0.410637,16.2458,15.8713,94.8212,125.992,1.49604,-53.1171 
