cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,-1,48.3749,0,11,16016.2,0.0222442,28.0254,12.0397,96.3258,-0.00685761,-37.1524,500,-1.07416,1.7389,0.907864,-0.424389,4.24034,-121.208,111.897,25.4812,15007.1,10992.4,-0.310942,2.50212,2.4343,0.338827,5.00356,0.755785,281.904,38.0743,15177.1,0.0206708,0.808828,0.00459997,13637.8,10350.1,927.122,261503,0.0010596,0.0312675,9.27077,7.4862,94.9614,71.2559,1.33967,11.7707,11.5057,96.0597,123.856,-1.09836,-52.5996 
12,-1,48.3749,1.14,12,14522.9,0.0798998,24.922,12.2943,96.1651,-0.0389818,-50.5635,3.50197,5.01034,2.62956,5.0124,2.25697,-0.467252,-99.8562,469.354,13.7038,13263.8,10038.4,5.63911,3.25833,6.26994,2.88574,0.161516,0.655775,609.412,24.0784,13403.9,0.049127,0.935328,0.0032982,12404.8,7757.2,1396.44,193888,0.000846025,0.0817772,10.1052,7.98336,97.2591,71.5364,1.11678,12.1142,11.9195,95.7575,123.158,1.50162,-51.6215 
13,-1,48.3749,0,13,16296.1,0.0218016,26.93,12.7985,96.1219,0.0705132,-56.5958,500,0.76369,1.64218,-0.985682,4.69897,1.29419,-124.454,133.85,17.414,15287.2,11349.9,1.54734,2.42583,0.581626,5.48262,2.07784,0.951992,308.409,30.3443,15461.7,0.0221642,0.85311,0.00360218,13914.7,9738.59,985.813,245609,0.000936749,0.042791,8.80872,6.62151,96.3592,69.5909,1.22903,12.5194,12.0887,95.7663,123.228,0.592815,-53.6372 
14,-1,48.3749,1.16,14,12765.8,0.136533,20.7723,12.6043,96.1876,0.216896,-266.693,257.422,1.5358,0.255601,-4.53944,-1.19395,-0.699164,-156.708,3636.02,49.3705,8347.62,10406.1,2.52254,1.24235,-2.56594,-0.207202,0.287583,3.00569,3855.82,65.6519,8567.42,0.338374,0.971065,0.0139195,11395.1,3675.27,18543.1,70909,0.00102407,0.376357,11.6789,9.93629,96.5067,72.7871,0.647629,12.701,12.2203,95.7152,123.382,0.791471,-50.5945 
15,-1,48.3749,1.1,15,16528.5,0.0357283,27.2334,12.8185,95.9781,-0.11642,-11.0387,499.933,0.353739,0.84021,1.408,1.26375,0.241373,-128.012,627.002,-2.41478,15001.2,11405.9,1.15979,1.64627,3.02011,2.0698,1.04743,0.662308,806.551,10.8851,15180.7,0.0569373,0.976927,0.00131911,14165.6,9108.39,1659.82,228216,0.000909922,0.0912819,9.87306,8.72182,96.7417,71.6723,1.15447,12.7162,12.5207,95.79,123.664,0.951705,-51.9919 
16,-1,48.3749,1.6,16,11769.2,0.00199514,19.4854,12.5395,96.1479,-0.0100614,2.207,6.70253e-11,-0.11184,-0.891754,0.663243,1.63339,2.3137,-94.4168,4310.68,70.1105,6732.35,7954.69,0.482677,-0.297237,1.85228,2.22791,2.90822,0.741801,4443.11,79.9201,6864.77,0.423794,0.969483,0.0209956,10484.1,3000.86,26479.4,45724.2,0.000891466,0.451466,11.764,9.98155,96.5058,73.5665,0.519331,12.5796,12.3303,95.5787,124.318,0.927102,-50.7513 
17,-1,48.3749,1.18,17,12908.6,0.0968339,21.1438,12.6977,95.9103,-0.119667,20.0131,423.508,-1.28037,2.09191,0.519949,-1.04031,-0.987302,-125.147,3350.82,32.3109,8808.22,8817.81,-0.492349,2.87993,2.09598,-0.252291,-0.199284,0.480161,3526.35,45.3132,8983.75,0.308462,0.978007,0.00920587,11432.1,3811.97,16232.6,76966.7,0.000883282,0.350633,12.1217,9.65703,96.5533,72.7024,0.666343,12.7277,12.5672,95.2483,123.106,1.30501,-50.4039 
18,-1,48.3749,1.22,18,11637.4,0.124828,19.6248,12.1595,96.6067,0.250274,-507.052,431.643,-0.602744,-1.28686,1.84986,2.89103,-0.478118,-137.226,4155.12,44.088,6787.87,11899.2,0.26133,-0.422782,3.57801,3.7551,0.385955,0.526569,4347.59,58.3452,6980.35,0.414439,0.977054,0.0151638,10490.3,3150.36,25240.9,50331.7,0.0010085,0.44998,11.5748,9.68118,96.8191,73.3621,0.575081,11.9707,11.6395,96.1298,123.984,0.689303,-50.6221 
19,-1,48.3749,1.3,19,11136.1,0.102446,18.7126,12.3059,96.3827,0.0047372,40.9347,18.4986,-1.81342,2.15716,3.16237,-1.74006,2.83153,-125.206,4205.62,33.1679,6202.85,7502.54,-1.02503,2.94554,4.73915,-0.951676,3.61992,0.491939,4381.23,46.1763,6378.47,0.438374,0.98189,0.0131602,9994.28,2897.23,26764.6,42150.2,0.000820637,0.465045,11.703,9.53982,96.6615,73.4471,0.513996,12.2797,11.8407,95.7369,124.298,0.924646,-50.8513 
20,-1,48.3749,1.2,20,12343.9,0.109744,20.5981,12.4089,95.9624,0.165784,1054.75,454.496,-0.711043,-2.16417,3.37361,2.7418,-4.43789,-173.851,3691.31,37.3713,7906.27,14012.9,0.383649,-1.06947,5.563,3.83649,-3.3432,-0.0358509,3935.15,55.4338,8150.12,0.354287,0.975941,0.0123742,11107.3,3516.97,19795.6,65278.4,0.00101385,0.400168,11.5629,9.54466,96.4287,73.078,0.632309,12.3528,12.1602,95.4608,123.769,0.967916,-50.6912 
21,-1,48.3749,0,21,15373.5,-0.00703553,25.6174,12.6777,95.8456,-0.00231048,2.17701,3.93129e-11,-0.134021,1.40048,4.47169,1.19868,3.4011,-129.853,76.4377,-21.7096,14410,10572.5,0.683629,2.21813,6.10699,2.01633,4.21875,0.599379,258.569,-8.21838,14592.1,0.0197386,1.0589,-0.00103856,13099.6,8494.03,900.327,213470,0.000754288,0.0300876,9.09177,7.97381,97.4675,71.6444,1.12062,12.5969,12.5526,95.5456,123.929,1.92189,-52.2849 
22,-1,48.3749,1.4,22,11465.5,0.0993007,19.3642,12.2803,96.3996,0.00692804,136.912,374.634,0.471921,0.0397899,1.2165,-0.912903,1.36194,-162.94,4307.54,27.3386,6520.02,7771.97,1.49791,1.06578,3.26848,0.113086,2.38793,0.607776,4536.08,44.2674,6748.56,0.433047,0.983209,0.0119391,10474.8,3001.73,27469.4,44782.6,0.000813574,0.473959,11.3808,9.7475,96.6014,72.4693,0.524231,12.4346,11.9962,95.653,123.196,0.948372,-50.7265 
23,-1,48.3749,1.24,23,10828.3,0.133128,18.2056,12.0902,96.3539,-0.043182,-263.065,460.537,-0.0794437,1.93021,-2.56897,1.30549,-0.644482,-136.146,4071.54,40.9513,6033.07,7535.09,0.777831,2.78749,-0.854423,2.16277,0.212793,1.16798,4262.5,55.0963,6224.03,0.437644,0.97788,0.016045,9739.64,2728.92,25315.5,39650.2,0.000823049,0.45339,11.5261,9.64604,96.4738,72.8347,0.499388,12.2164,11.8749,95.7761,123.646,0.697705,-50.8113 
24,-1,48.3749,1.12,24,14667.1,0.00997646,24.226,12.695,95.6967,-0.0122154,-0.788709,1.68223e-11,1.31854,-1.46999,3.17059,-0.848099,1.56019,-139.949,1417.92,33.007,12398.7,10012,2.19976,-0.588776,4.93303,0.0331198,2.44141,0.453013,1614.21,47.5471,12595,0.127125,0.95098,0.00690607,12697.8,6457.99,3937.97,157727,0.000994131,0.171402,10.6981,9.27116,95.683,72.517,0.970262,12.6495,12.291,95.3935,123.771,0.289546,-51.2537 
25,-1,48.3749,0,25,17743,0.10226,28.9031,12.9332,96.076,0.0159238,-37.0399,37.2994,-0.99715,1.71134,7.06542,-1.31633,-1.25442,-136.296,56.7217,13.6351,16675,12187.9,-0.138933,2.56955,8.78186,-0.458115,-0.396204,0.15218,247.889,27.7956,16866.2,0.0164273,0.835962,0.00302663,15090.1,11079.7,923.228,280254,0.00095132,0.0368262,7.68193,7.50477,95.2261,70.9138,1.27912,12.813,12.4432,95.7316,123.178,-0.505531,-52.2641 
